id,k,d,a,gpm,xpm,win
1815098954,5,10,5,463,649,0
1815098954,5,10,5,463,649,0
1815099847,1,11,12,234,256,0
1815099847,1,11,12,234,256,0
1815100126,6,9,18,403,521,1
1815100126,6,9,18,403,521,1
1815107492,5,11,23,253,325,0
1815107492,5,11,23,253,325,0
1815108195,8,8,8,461,426,0
1815108195,8,8,8,461,426,0
1815108961,8,8,14,380,440,0
1815108961,8,8,14,380,440,0
1815110721,3,6,1,252,300,0
1815110721,3,6,1,252,300,0
1815111443,2,5,24,356,460,1
1815111443,2,5,24,356,460,1
1815112241,11,9,13,461,563,1
1815112241,11,9,13,461,563,1
1815112502,5,7,13,396,478,0
1815112502,5,7,13,396,478,0
1815113029,7,9,15,382,456,1
1815113029,7,9,15,382,456,1
1815118352,3,10,8,289,367,0
1815118352,3,10,8,289,367,0
1815120337,4,7,17,354,303,1
1815120337,4,7,17,354,303,1
1815120417,5,10,19,410,580,1
1815120417,5,10,19,410,580,1
1815121692,3,2,14,358,495,1
1815121692,3,2,14,358,495,1
1815098882,2,6,16,370,452,1
1815098882,2,6,16,370,452,1
1815099373,1,6,5,190,170,0
1815099373,1,6,5,190,170,0
1815099730,1,10,11,317,365,0
1815099730,1,10,11,317,365,0
1815099948,3,8,25,315,506,1
1815099948,3,8,25,315,506,1
1815100247,7,5,17,421,506,1
1815100247,7,5,17,421,506,1
1815106550,6,3,18,470,400,1
1815106550,6,3,18,470,400,1
1815106997,2,12,7,307,374,0
1815106997,2,12,7,307,374,0
1815108574,0,6,14,332,299,1
1815108574,0,6,14,332,299,1
1815108831,2,1,11,495,520,1
1815108831,2,1,11,495,520,1
1815109123,14,4,18,587,765,1
1815109123,14,4,18,587,765,1
1815109555,1,1,18,314,386,1
1815109555,1,1,18,314,386,1
1815110559,4,4,12,313,433,0
1815110559,4,4,12,313,433,0
1815111104,4,7,4,275,262,0
1815111104,4,7,4,275,262,0
1815111195,10,6,10,467,543,1
1815111195,10,6,10,467,543,1
1815111446,1,9,12,228,306,0
1815111446,1,9,12,228,306,0
1815112516,2,3,9,346,442,1
1815112516,2,3,9,346,442,1
1815113719,4,9,24,465,544,1
1815113719,4,9,24,465,544,1
1815113976,8,9,19,360,403,1
1815113976,8,9,19,360,403,1
1815114295,0,5,1,210,167,0
1815114295,0,5,1,210,167,0
1815114390,7,6,18,332,417,0
1815114390,7,6,18,332,417,0
1815115691,6,5,23,418,475,1
1815115691,6,5,23,418,475,1
1815117258,2,9,11,256,323,0
1815117258,2,9,11,256,323,0
1815120118,2,4,11,338,388,1
1815120118,2,4,11,338,388,1
1815120771,7,11,23,380,430,1
1815120771,7,11,23,380,430,1
1815121606,5,7,16,373,518,1
1815121606,5,7,16,373,518,1
1815121798,3,5,12,313,400,0
1815121798,3,5,12,313,400,0
1815122392,4,6,11,466,447,1
1815122392,4,6,11,466,447,1
1815122851,1,4,5,239,210,0
1815122851,1,4,5,239,210,0
1815098917,5,8,18,332,460,0
1815098917,5,8,18,332,460,0
1815098980,6,6,12,382,438,0
1815098980,6,6,12,382,438,0
1815099270,2,13,4,201,159,0
1815099270,2,13,4,201,159,0
1815099400,10,3,13,406,555,0
1815099400,10,3,13,406,555,0
1815099720,5,1,12,443,519,1
1815099720,5,1,12,443,519,1
1815099814,2,10,16,294,399,0
1815099814,2,10,16,294,399,0
1815099833,3,8,8,281,355,0
1815099833,3,8,8,281,355,0
1815099868,0,10,11,242,245,0
1815099868,0,10,11,242,245,0
1815099953,3,2,11,413,397,1
1815099953,3,2,11,413,397,1
1815100091,12,9,23,440,496,0
1815100091,12,9,23,440,496,0
1815100158,0,12,2,256,241,0
1815100158,0,12,2,256,241,0
1815100201,2,6,9,322,345,1
1815100201,2,6,9,322,345,1
1815100433,5,9,3,276,293,0
1815100433,5,9,3,276,293,0
1815100667,13,1,23,552,702,1
1815100667,13,1,23,552,702,1
1815100747,2,2,11,416,447,1
1815100747,2,2,11,416,447,1
1815105183,19,7,16,488,524,1
1815105183,19,7,16,488,524,1
1815105481,6,4,17,422,519,1
1815105481,6,4,17,422,519,1
1815105496,4,4,12,352,470,1
1815105496,4,4,12,352,470,1
1815105719,8,0,12,443,442,1
1815105719,8,0,12,443,442,1
1815105742,7,3,8,492,430,1
1815105742,7,3,8,492,430,1
1815105864,9,2,24,585,691,1
1815105864,9,2,24,585,691,1
1815105890,5,2,22,328,509,1
1815105890,5,2,22,328,509,1
1815105924,4,4,18,363,412,1
1815105924,4,4,18,363,412,1
1815106266,11,10,27,472,498,1
1815106266,11,10,27,472,498,1
1815106370,5,3,12,446,507,1
1815106370,5,3,12,446,507,1
1815106683,3,11,5,328,432,0
1815106683,3,11,5,328,432,0
1815107059,2,12,5,283,321,0
1815107059,2,12,5,283,321,0
1815107072,7,3,11,525,638,1
1815107072,7,3,11,525,638,1
1815107089,0,5,1,176,52,1
1815107089,0,5,1,176,52,1
1815107102,5,10,11,406,454,1
1815107102,5,10,11,406,454,1
1815107281,4,11,9,271,287,1
1815107281,4,11,9,271,287,1
1815107579,7,7,12,441,534,1
1815107579,7,7,12,441,534,1
1815107645,4,3,5,348,377,1
1815107645,4,3,5,348,377,1
1815107850,4,11,9,471,567,1
1815107850,4,11,9,471,567,1
1815108004,11,9,9,433,524,0
1815108004,11,9,9,433,524,0
1815108353,14,9,18,541,617,1
1815108353,14,9,18,541,617,1
1815108357,6,9,14,330,470,0
1815108357,6,9,14,330,470,0
1815108541,22,8,24,613,675,1
1815108541,22,8,24,613,675,1
1815108557,4,11,7,225,237,0
1815108557,4,11,7,225,237,0
1815108649,3,1,6,420,386,1
1815108649,3,1,6,420,386,1
1815108778,6,10,14,343,429,0
1815108778,6,10,14,343,429,0
1815108833,3,11,33,352,487,0
1815108833,3,11,33,352,487,0
1815109062,10,5,15,433,556,1
1815109062,10,5,15,433,556,1
1815109150,14,4,11,583,674,1
1815109150,14,4,11,583,674,1
1815109531,5,8,11,324,395,0
1815109531,5,8,11,324,395,0
1815109534,20,5,16,559,743,1
1815109534,20,5,16,559,743,1
1815109617,1,1,0,732,241,1
1815109617,1,1,0,732,241,1
1815109820,4,13,14,280,385,0
1815109820,4,13,14,280,385,0
1815110011,5,5,15,471,604,1
1815110011,5,5,15,471,604,1
1815110371,3,5,12,378,399,1
1815110371,3,5,12,378,399,1
1815110410,12,4,26,452,653,1
1815110410,12,4,26,452,653,1
1815110447,11,3,8,536,724,1
1815110447,11,3,8,536,724,1
1815110480,0,13,17,274,339,0
1815110480,0,13,17,274,339,0
1815110547,10,12,21,438,611,0
1815110547,10,12,21,438,611,0
1815110619,4,4,16,349,476,1
1815110619,4,4,16,349,476,1
1815111118,9,6,22,340,540,1
1815111118,9,6,22,340,540,1
1815111125,0,5,2,230,261,0
1815111125,0,5,2,230,261,0
1815111353,0,3,0,201,112,0
1815111353,0,3,0,201,112,0
1815111517,6,10,10,303,476,0
1815111517,6,10,10,303,476,0
1815111657,3,7,3,217,233,0
1815111657,3,7,3,217,233,0
1815111869,8,6,12,355,395,0
1815111869,8,6,12,355,395,0
1815112532,9,10,9,298,368,0
1815112532,9,10,9,298,368,0
1815113065,10,7,20,493,597,1
1815113065,10,7,20,493,597,1
1815113152,7,6,16,412,414,1
1815113152,7,6,16,412,414,1
1815113262,6,14,16,384,483,0
1815113262,6,14,16,384,483,0
1815113401,4,8,8,291,332,1
1815113401,4,8,8,291,332,1
1815113515,4,10,40,375,596,1
1815113515,4,10,40,375,596,1
1815113651,4,3,9,449,613,1
1815113651,4,3,9,449,613,1
1815113894,3,7,10,331,387,1
1815113894,3,7,10,331,387,1
1815114117,1,0,4,305,144,1
1815114117,1,0,4,305,144,1
1815114355,5,5,10,283,361,0
1815114355,5,5,10,283,361,0
1815114541,0,3,2,316,323,0
1815114541,0,3,2,316,323,0
1815114642,2,5,3,284,176,0
1815114642,2,5,3,284,176,0
1815114828,3,1,10,429,455,1
1815114828,3,1,10,429,455,1
1815114961,8,13,14,373,454,0
1815114961,8,13,14,373,454,0
1815114985,4,16,18,424,571,1
1815114985,4,16,18,424,571,1
1815115051,4,8,4,374,438,0
1815115051,4,8,4,374,438,0
1815115100,5,3,7,386,427,1
1815115100,5,3,7,386,427,1
1815115309,8,15,9,361,442,0
1815115309,8,15,9,361,442,0
1815115445,12,10,17,391,594,0
1815115445,12,10,17,391,594,0
1815115675,15,12,21,491,571,1
1815115675,15,12,21,491,571,1
1815115684,12,8,14,419,589,0
1815115684,12,8,14,419,589,0
1815115735,5,0,8,460,435,1
1815115735,5,0,8,460,435,1
1815115958,16,7,13,520,596,1
1815115958,16,7,13,520,596,1
1815116005,5,3,1,245,209,0
1815116005,5,3,1,245,209,0
1815116109,11,5,17,580,692,1
1815116109,11,5,17,580,692,1
1815116155,15,3,10,622,718,1
1815116155,15,3,10,622,718,1
1815116237,1,7,9,310,329,1
1815116237,1,7,9,310,329,1
1815116418,14,4,19,505,685,1
1815116418,14,4,19,505,685,1
1815116495,5,9,4,311,368,0
1815116495,5,9,4,311,368,0
1815116628,3,5,17,371,456,1
1815116628,3,5,17,371,456,1
1815117030,4,6,16,368,461,1
1815117030,4,6,16,368,461,1
1815117088,5,5,17,387,413,1
1815117088,5,5,17,387,413,1
1815117170,7,8,17,392,443,1
1815117170,7,8,17,392,443,1
1815117191,3,1,13,476,501,1
1815117191,3,1,13,476,501,1
1815117228,5,4,17,430,556,1
1815117228,5,4,17,430,556,1
1815117656,7,4,11,397,411,1
1815117656,7,4,11,397,411,1
1815117766,1,9,5,201,196,0
1815117766,1,9,5,201,196,0
1815117795,3,5,2,261,304,0
1815117795,3,5,2,261,304,0
1815118209,8,4,16,388,507,1
1815118209,8,4,16,388,507,1
1815118373,4,6,14,421,402,1
1815118373,4,6,14,421,402,1
1815118502,17,2,13,655,658,1
1815118502,17,2,13,655,658,1
1815118783,2,9,10,272,429,0
1815118783,2,9,10,272,429,0
1815118870,12,4,20,509,485,1
1815118870,12,4,20,509,485,1
1815119399,6,6,18,496,642,1
1815119399,6,6,18,496,642,1
1815119482,4,9,8,258,297,0
1815119482,4,9,8,258,297,0
1815119526,1,6,5,210,232,0
1815119526,1,6,5,210,232,0
1815119550,9,5,10,516,582,1
1815119550,9,5,10,516,582,1
1815119763,1,2,7,331,425,0
1815119763,1,2,7,331,425,0
1815119775,7,10,23,395,533,0
1815119775,7,10,23,395,533,0
1815120031,17,2,18,617,671,1
1815120031,17,2,18,617,671,1
1815120451,3,10,6,309,360,0
1815120451,3,10,6,309,360,0
1815120467,3,1,11,376,419,1
1815120467,3,1,11,376,419,1
1815120492,10,5,13,545,600,1
1815120492,10,5,13,545,600,1
1815120595,9,7,11,403,543,1
1815120595,9,7,11,403,543,1
