id,k,d,a,gpm,xpm,win
1815099663,17,11,15,660,505,0
1815099663,17,11,15,660,505,0
1815100620,7,2,5,786,629,1
1815100620,7,2,5,786,629,1
1815100758,0,5,1,320,333,0
1815100758,0,5,1,320,333,0
1815105470,4,6,27,388,520,1
1815105470,4,6,27,388,520,1
1815107185,1,13,5,284,261,0
1815107185,1,13,5,284,261,0
1815107493,0,13,15,375,371,1
1815107493,0,13,15,375,371,1
1815111010,12,4,22,738,694,1
1815111010,12,4,22,738,694,1
1815111331,1,15,22,615,600,0
1815111331,1,15,22,615,600,0
1815111850,0,8,7,419,344,0
1815111850,0,8,7,419,344,0
1815112241,12,9,16,748,614,1
1815112241,12,9,16,748,614,1
1815113474,9,6,5,525,468,0
1815113474,9,6,5,525,468,0
1815113859,5,8,7,553,478,1
1815113859,5,8,7,553,478,1
1815114012,1,2,6,815,561,1
1815114012,1,2,6,815,561,1
1815114730,2,13,7,475,526,0
1815114730,2,13,7,475,526,0
1815115117,6,4,2,583,603,0
1815115117,6,4,2,583,603,0
1815115377,4,11,15,584,561,1
1815115377,4,11,15,584,561,1
1815115931,6,11,6,529,510,0
1815115931,6,11,6,529,510,0
1815116006,16,8,25,743,685,1
1815116006,16,8,25,743,685,1
1815116224,5,3,17,814,587,1
1815116224,5,3,17,814,587,1
1815117316,9,9,19,622,628,1
1815117316,9,9,19,622,628,1
1815117969,2,4,0,350,269,0
1815117969,2,4,0,350,269,0
1815119362,1,4,3,582,435,1
1815119362,1,4,3,582,435,1
1815121927,5,14,10,351,332,0
1815121927,5,14,10,351,332,0
1815122280,3,8,10,559,529,0
1815122280,3,8,10,559,529,0
1815099545,8,4,10,844,730,1
1815099545,8,4,10,844,730,1
1815099716,2,7,8,499,415,0
1815099716,2,7,8,499,415,0
1815106091,4,17,16,401,455,0
1815106091,4,17,16,401,455,0
1815107936,4,9,7,783,581,1
1815107936,4,9,7,783,581,1
1815108977,2,7,8,631,533,0
1815108977,2,7,8,631,533,0
1815109012,2,10,5,409,363,0
1815109012,2,10,5,409,363,0
1815109937,4,10,16,400,415,1
1815109937,4,10,16,400,415,1
1815111531,14,13,4,866,609,0
1815111531,14,13,4,866,609,0
1815111625,15,5,15,853,796,1
1815111625,15,5,15,853,796,1
1815111673,11,6,11,1024,873,1
1815111673,11,6,11,1024,873,1
1815112713,6,10,9,617,582,0
1815112713,6,10,9,617,582,0
1815114988,7,4,26,486,495,1
1815114988,7,4,26,486,495,1
1815115691,10,4,13,813,673,1
1815115691,10,4,13,813,673,1
1815116842,0,15,21,458,475,1
1815116842,0,15,21,458,475,1
1815117497,7,3,11,761,735,1
1815117497,7,3,11,761,735,1
1815117659,5,12,8,427,339,0
1815117659,5,12,8,427,339,0
1815118407,9,10,12,581,598,0
1815118407,9,10,12,581,598,0
1815118549,3,20,17,230,228,0
1815118549,3,20,17,230,228,0
1815119944,2,14,9,462,430,0
1815119944,2,14,9,462,430,0
1815120161,2,11,17,345,429,0
1815120161,2,11,17,345,429,0
1815098717,2,3,7,536,477,0
1815098717,2,3,7,536,477,0
1815098746,0,9,4,357,404,0
1815098746,0,9,4,357,404,0
1815098763,2,10,11,405,376,0
1815098763,2,10,11,405,376,0
1815098809,4,5,19,639,716,1
1815098809,4,5,19,639,716,1
1815098899,0,7,6,503,448,0
1815098899,0,7,6,503,448,0
1815099139,4,9,9,653,622,0
1815099139,4,9,9,653,622,0
1815099328,2,9,3,387,385,0
1815099328,2,9,3,387,385,0
1815099558,4,9,10,626,570,0
1815099558,4,9,10,626,570,0
1815099609,3,13,11,271,298,0
1815099609,3,13,11,271,298,0
1815099760,3,14,12,392,338,0
1815099760,3,14,12,392,338,0
1815099862,4,12,9,387,385,0
1815099862,4,12,9,387,385,0
1815099896,5,9,1,547,522,0
1815099896,5,9,1,547,522,0
1815099898,6,3,6,1027,726,1
1815099898,6,3,6,1027,726,1
1815099953,0,6,1,219,201,0
1815099953,0,6,1,219,201,0
1815100179,5,7,10,592,607,0
1815100179,5,7,10,592,607,0
1815100621,6,5,6,645,544,1
1815100621,6,5,6,645,544,1
1815100711,5,9,16,455,440,0
1815100711,5,9,16,455,440,0
1815100745,8,9,23,509,570,1
1815100745,8,9,23,509,570,1
1815100750,7,5,11,573,562,1
1815100750,7,5,11,573,562,1
1815100751,0,12,7,437,419,0
1815100751,0,12,7,437,419,0
1815105582,1,12,6,327,256,0
1815105582,1,12,6,327,256,0
1815105630,11,6,20,624,568,1
1815105630,11,6,20,624,568,1
1815105699,5,16,31,375,543,1
1815105699,5,16,31,375,543,1
1815105852,0,9,1,310,267,0
1815105852,0,9,1,310,267,0
1815105895,13,7,16,551,641,1
1815105895,13,7,16,551,641,1
1815105896,5,15,8,603,503,1
1815105896,5,15,8,603,503,1
1815105942,19,15,18,499,584,0
1815105942,19,15,18,499,584,0
1815105968,4,9,5,465,448,0
1815105968,4,9,5,465,448,0
1815106529,6,17,20,524,559,0
1815106529,6,17,20,524,559,0
1815106741,9,8,23,750,673,1
1815106741,9,8,23,750,673,1
1815106803,9,16,27,353,449,0
1815106803,9,16,27,353,449,0
1815106915,6,7,11,742,633,1
1815106915,6,7,11,742,633,1
1815106923,0,4,0,150,57,0
1815106923,0,4,0,150,57,0
1815106986,1,11,5,269,257,0
1815106986,1,11,5,269,257,0
1815107136,8,12,7,598,663,0
1815107136,8,12,7,598,663,0
1815107313,7,11,10,451,447,1
1815107313,7,11,10,451,447,1
1815107421,10,9,12,450,358,0
1815107421,10,9,12,450,358,0
1815107621,0,6,4,274,327,0
1815107621,0,6,4,274,327,0
1815107644,5,7,9,726,600,1
1815107644,5,7,9,726,600,1
1815107679,1,11,0,393,362,0
1815107679,1,11,0,393,362,0
1815107725,1,14,7,352,364,0
1815107725,1,14,7,352,364,0
1815107916,6,9,15,535,484,0
1815107916,6,9,15,535,484,0
1815107952,17,5,8,850,644,1
1815107952,17,5,8,850,644,1
1815107989,7,10,12,687,585,0
1815107989,7,10,12,687,585,0
1815108027,1,5,7,248,277,0
1815108027,1,5,7,248,277,0
1815108175,1,15,15,305,239,1
1815108175,1,15,15,305,239,1
1815108476,14,6,18,592,496,1
1815108476,14,6,18,592,496,1
1815108490,2,8,9,359,391,0
1815108490,2,8,9,359,391,0
1815108558,6,12,21,437,584,0
1815108558,6,12,21,437,584,0
1815108649,0,3,2,252,199,0
1815108649,0,3,2,252,199,0
1815108899,2,10,10,379,365,0
1815108899,2,10,10,379,365,0
1815108926,11,11,3,586,622,0
1815108926,11,11,3,586,622,0
1815108962,3,9,20,324,409,0
1815108962,3,9,20,324,409,0
1815109318,6,11,19,430,415,1
1815109318,6,11,19,430,415,1
1815109320,0,2,1,188,128,0
1815109320,0,2,1,188,128,0
1815109336,11,7,23,919,600,1
1815109336,11,7,23,919,600,1
1815109343,9,9,12,611,602,0
1815109343,9,9,12,611,602,0
1815109484,9,15,13,719,601,1
1815109484,9,15,13,719,601,1
1815109531,0,14,3,239,228,0
1815109531,0,14,3,239,228,0
1815109606,12,9,15,739,592,1
1815109606,12,9,15,739,592,1
1815109617,0,4,0,112,0,0
1815109617,0,4,0,112,0,0
1815109657,1,12,5,342,319,0
1815109657,1,12,5,342,319,0
1815109722,14,9,8,1159,658,1
1815109722,14,9,8,1159,658,1
1815109927,14,9,19,617,513,0
1815109927,14,9,19,617,513,0
1815110039,6,7,13,690,617,1
1815110039,6,7,13,690,617,1
1815110171,3,8,11,772,560,0
1815110171,3,8,11,772,560,0
1815110283,4,10,4,826,633,1
1815110283,4,10,4,826,633,1
1815110360,4,11,15,440,395,1
1815110360,4,11,15,440,395,1
1815110492,0,8,8,509,442,0
1815110492,0,8,8,509,442,0
1815110513,2,13,12,575,582,0
1815110513,2,13,12,575,582,0
1815110538,11,2,12,1072,905,1
1815110538,11,2,12,1072,905,1
1815110922,4,19,6,283,297,0
1815110922,4,19,6,283,297,0
1815110958,4,7,10,514,573,0
1815110958,4,7,10,514,573,0
1815111173,6,12,12,462,529,0
1815111173,6,12,12,462,529,0
1815111287,24,16,7,873,581,1
1815111287,24,16,7,873,581,1
1815111320,0,13,5,514,492,0
1815111320,0,13,5,514,492,0
1815111353,6,1,2,511,351,1
1815111353,6,1,2,511,351,1
1815111356,4,6,8,423,409,0
1815111356,4,6,8,423,409,0
1815111429,1,9,4,301,266,0
1815111429,1,9,4,301,266,0
1815111435,6,9,12,509,434,1
1815111435,6,9,12,509,434,1
1815112012,4,19,8,370,384,0
1815112012,4,19,8,370,384,0
1815113115,2,6,3,419,433,0
1815113115,2,6,3,419,433,0
1815113262,9,2,10,1087,764,1
1815113262,9,2,10,1087,764,1
1815113286,4,16,14,588,583,0
1815113286,4,16,14,588,583,0
1815113487,1,11,4,308,249,0
1815113487,1,11,4,308,249,0
1815113559,5,8,9,484,450,1
1815113559,5,8,9,484,450,1
1815113599,7,0,7,615,579,1
1815113599,7,0,7,615,579,1
1815113733,3,8,6,658,509,0
1815113733,3,8,6,658,509,0
1815113807,1,9,15,271,357,0
1815113807,1,9,15,271,357,0
1815113843,8,6,12,683,668,0
1815113843,8,6,12,683,668,0
1815113849,4,4,10,550,549,1
1815113849,4,4,10,550,549,1
1815113947,0,13,0,334,277,0
1815113947,0,13,0,334,277,0
1815113960,3,3,6,543,363,1
1815113960,3,3,6,543,363,1
1815114077,8,14,10,500,542,1
1815114077,8,14,10,500,542,1
1815114117,6,4,14,722,426,1
1815114117,6,4,14,722,426,1
1815114118,2,1,5,470,415,1
1815114118,2,1,5,470,415,1
1815114130,2,12,12,373,418,0
1815114130,2,12,12,373,418,0
1815114212,3,11,7,450,431,0
1815114212,3,11,7,450,431,0
1815114296,11,3,8,1055,719,1
1815114296,11,3,8,1055,719,1
1815114356,5,7,12,798,514,1
1815114356,5,7,12,798,514,1
1815114623,2,10,1,254,243,0
1815114623,2,10,1,254,243,0
1815114632,0,10,1,276,235,0
1815114632,0,10,1,276,235,0
1815114642,3,4,3,361,293,0
1815114642,3,4,3,361,293,0
1815114738,3,8,11,491,525,0
1815114738,3,8,11,491,525,0
1815114782,13,13,16,561,491,1
1815114782,13,13,16,561,491,1
1815114875,2,15,5,246,244,0
1815114875,2,15,5,246,244,0
1815114999,3,9,6,497,401,0
1815114999,3,9,6,497,401,0
1815115339,3,6,8,599,578,0
1815115339,3,6,8,599,578,0
1815115375,2,15,9,334,301,0
1815115375,2,15,9,334,301,0
1815115389,6,6,16,652,623,1
1815115389,6,6,16,652,623,1
1815115430,0,11,8,542,420,0
1815115430,0,11,8,542,420,0
1815115509,4,5,2,428,361,0
1815115509,4,5,2,428,361,0
1815115535,1,11,5,356,354,0
1815115535,1,11,5,356,354,0
1815115676,0,6,6,161,72,0
1815115676,0,6,6,161,72,0
1815115772,8,9,15,473,523,0
1815115772,8,9,15,473,523,0
1815115827,3,4,3,545,455,1
1815115827,3,4,3,545,455,1
1815116179,9,9,5,457,407,0
1815116179,9,9,5,457,407,0
1815116313,0,10,1,305,294,0
1815116313,0,10,1,305,294,0
1815116361,3,10,5,369,348,0
1815116361,3,10,5,369,348,0
1815116499,3,1,0,689,570,1
1815116499,3,1,0,689,570,1
1815116631,3,8,10,365,372,1
1815116631,3,8,10,365,372,1
1815116857,2,8,7,393,348,0
1815116857,2,8,7,393,348,0
1815117228,4,9,7,367,390,0
1815117228,4,9,7,367,390,0
1815117463,1,11,3,364,306,0
1815117463,1,11,3,364,306,0
1815117467,5,6,6,891,638,1
1815117467,5,6,6,891,638,1
1815117919,5,9,13,502,614,0
1815117919,5,9,13,502,614,0
1815117996,1,8,15,300,301,0
1815117996,1,8,15,300,301,0
1815118300,8,3,7,738,660,1
1815118300,8,3,7,738,660,1
1815118373,3,2,8,671,667,1
1815118373,3,2,8,671,667,1
1815118783,19,9,5,777,480,0
1815118783,19,9,5,777,480,0
1815118844,11,9,8,765,700,1
1815118844,11,9,8,765,700,1
1815118943,14,13,4,620,522,0
1815118943,14,13,4,620,522,0
1815118960,10,9,5,594,585,0
1815118960,10,9,5,594,585,0
1815118978,0,6,6,674,524,1
1815118978,0,6,6,674,524,1
1815119177,10,10,7,711,547,0
1815119177,10,10,7,711,547,0
1815119302,2,9,11,360,358,1
1815119302,2,9,11,360,358,1
1815119377,0,9,6,386,349,0
1815119377,0,9,6,386,349,0
1815119454,3,8,1,509,378,0
1815119454,3,8,1,509,378,0
1815119653,10,6,14,712,642,1
1815119653,10,6,14,712,642,1
1815119675,0,13,2,237,231,0
1815119675,0,13,2,237,231,0
1815119843,7,3,9,748,612,1
1815119843,7,3,9,748,612,1
1815119845,4,17,20,416,519,0
1815119845,4,17,20,416,519,0
1815120334,6,3,15,483,341,1
1815120334,6,3,15,483,341,1
1815120595,16,5,6,843,659,1
1815120595,16,5,6,843,659,1
1815120781,5,4,13,567,569,1
1815120781,5,4,13,567,569,1
1815120783,1,15,5,518,250,0
1815120783,1,15,5,518,250,0
1815120820,3,8,9,375,344,0
1815120820,3,8,9,375,344,0
1815120837,2,11,4,248,250,0
1815120837,2,11,4,248,250,0
1815120885,8,11,13,685,543,1
1815120885,8,11,13,685,543,1
1815121190,7,9,17,716,642,0
1815121190,7,9,17,716,642,0
1815121216,1,12,9,196,220,0
1815121216,1,12,9,196,220,0
1815121295,2,8,15,719,600,1
1815121295,2,8,15,719,600,1
1815121676,3,7,2,480,385,0
1815121676,3,7,2,480,385,0
1815121709,6,2,7,845,706,1
1815121709,6,2,7,845,706,1
1815121772,10,15,31,429,613,1
1815121772,10,15,31,429,613,1
1815121801,5,1,6,786,699,1
1815121801,5,1,6,786,699,1
1815121809,5,8,11,743,546,1
1815121809,5,8,11,743,546,1
1815121812,4,8,3,341,269,0
