id,k,d,a,gpm,xpm,win
1815098954,3,5,13,274,327,0
1815098954,3,5,13,274,327,0
1815099214,2,5,12,390,404,1
1815099214,2,5,12,390,404,1
1815099515,4,11,7,230,205,0
1815099515,4,11,7,230,205,0
1815100727,5,10,12,256,240,0
1815100727,5,10,12,256,240,0
1815100758,3,12,2,190,184,0
1815100758,3,12,2,190,184,0
1815105385,1,12,5,209,191,0
1815105385,1,12,5,209,191,0
1815106195,1,16,16,218,267,0
1815106195,1,16,16,218,267,0
1815106653,10,10,11,382,418,1
1815106653,10,10,11,382,418,1
1815107097,4,8,12,341,383,1
1815107097,4,8,12,341,383,1
1815109513,6,12,7,326,298,0
1815109513,6,12,7,326,298,0
1815109718,3,14,8,263,283,1
1815109718,3,14,8,263,283,1
1815110471,3,9,24,248,297,1
1815110471,3,9,24,248,297,1
1815112505,14,9,23,390,426,1
1815112505,14,9,23,390,426,1
1815113363,8,7,11,355,387,0
1815113363,8,7,11,355,387,0
1815114057,11,7,21,388,437,1
1815114057,11,7,21,388,437,1
1815114091,7,7,14,330,382,1
1815114091,7,7,14,330,382,1
1815116224,14,7,24,406,513,1
1815116224,14,7,24,406,513,1
1815118352,3,7,9,323,243,1
1815118352,3,7,9,323,243,1
1815118639,3,9,12,230,206,0
1815118639,3,9,12,230,206,0
1815119048,4,13,7,269,285,0
1815119048,4,13,7,269,285,0
1815119793,9,14,19,314,386,1
1815119793,9,14,19,314,386,1
1815121135,5,6,1,328,282,0
1815121135,5,6,1,328,282,0
1815121225,7,8,12,374,332,1
1815121225,7,8,12,374,332,1
1815121496,3,6,2,167,146,0
1815121496,3,6,2,167,146,0
1815099705,6,9,15,350,389,0
1815099705,6,9,15,350,389,0
1815099860,2,3,9,267,230,1
1815099860,2,3,9,267,230,1
1815100590,7,5,11,285,307,0
1815100590,7,5,11,285,307,0
1815105448,2,7,16,354,287,1
1815105448,2,7,16,354,287,1
1815105664,4,13,13,226,260,0
1815105664,4,13,13,226,260,0
1815105973,3,9,11,192,184,0
1815105973,3,9,11,192,184,0
1815106494,12,11,14,449,447,1
1815106494,12,11,14,449,447,1
1815106759,1,3,16,299,267,1
1815106759,1,3,16,299,267,1
1815108129,4,9,9,318,291,1
1815108129,4,9,9,318,291,1
1815109279,3,10,13,303,329,0
1815109279,3,10,13,303,329,0
1815110712,6,13,11,268,205,0
1815110712,6,13,11,268,205,0
1815110763,5,9,16,319,353,1
1815110763,5,9,16,319,353,1
1815111500,4,7,17,345,362,0
1815111500,4,7,17,345,362,0
1815112366,6,17,14,265,226,0
1815112366,6,17,14,265,226,0
1815112516,4,4,13,320,286,1
1815112516,4,4,13,320,286,1
1815113386,1,11,5,138,147,0
1815113386,1,11,5,138,147,0
1815115545,5,0,3,477,230,1
1815115545,5,0,3,477,230,1
1815116852,4,10,15,385,402,1
1815116852,4,10,15,385,402,1
1815116894,12,9,12,423,409,1
1815116894,12,9,12,423,409,1
1815117052,6,15,10,309,306,0
1815117052,6,15,10,309,306,0
1815117485,1,11,22,237,334,0
1815117485,1,11,22,237,334,0
1815117659,2,8,7,274,266,0
1815117659,2,8,7,274,266,0
1815118588,4,9,6,294,350,0
1815118588,4,9,6,294,350,0
1815118788,11,4,30,402,559,1
1815118788,11,4,30,402,559,1
1815119449,5,7,15,430,528,1
1815119449,5,7,15,430,528,1
1815120862,7,4,11,381,455,1
1815120862,7,4,11,381,455,1
1815121288,6,8,15,294,384,0
1815121288,6,8,15,294,384,0
1815121460,7,11,17,403,432,1
1815121460,7,11,17,403,432,1
1815121539,8,12,8,298,382,0
1815121539,8,12,8,298,382,0
1815121779,5,7,19,377,403,1
1815121779,5,7,19,377,403,1
1815123195,6,3,6,356,260,1
