id,k,d,a,gpm,xpm,win
1815099196,23,5,6,727,487,1
1815099196,23,5,6,727,487,1
1815099847,5,8,4,474,540,0
1815099847,5,8,4,474,540,0
1815100053,2,4,2,358,379,0
1815100053,2,4,2,358,379,0
1815100620,5,6,2,363,407,0
1815100620,5,6,2,363,407,0
1815100727,10,4,14,649,583,1
1815100727,10,4,14,649,583,1
1815100758,10,1,3,821,812,1
1815100758,10,1,3,821,812,1
1815100779,19,6,9,691,702,1
1815100779,19,6,9,691,702,1
1815105232,10,9,15,569,562,0
1815105232,10,9,15,569,562,0
1815105321,0,5,1,366,420,0
1815105321,0,5,1,366,420,0
1815105360,6,5,3,547,623,0
1815105360,6,5,3,547,623,0
1815105368,5,5,6,513,630,0
1815105368,5,5,6,513,630,0
1815105958,1,7,1,228,241,0
1815105958,1,7,1,228,241,0
1815106122,10,3,14,729,754,1
1815106122,10,3,14,729,754,1
1815106211,17,9,13,629,602,1
1815106211,17,9,13,629,602,1
1815106242,8,10,13,533,434,0
1815106242,8,10,13,533,434,0
1815106491,9,2,10,785,806,1
1815106491,9,2,10,785,806,1
1815106528,15,6,14,692,632,0
1815106528,15,6,14,692,632,0
1815106595,0,8,1,142,87,0
1815106595,0,8,1,142,87,0
1815106732,8,10,6,462,631,0
1815106732,8,10,6,462,631,0
1815106976,12,2,6,771,836,1
1815106976,12,2,6,771,836,1
1815107097,3,7,7,529,553,1
1815107097,3,7,7,529,553,1
1815107185,1,7,1,262,345,0
1815107185,1,7,1,262,345,0
1815107439,7,3,8,611,693,1
1815107439,7,3,8,611,693,1
1815107780,8,6,4,507,608,0
1815107780,8,6,4,507,608,0
1815108053,13,9,10,583,703,1
1815108053,13,9,10,583,703,1
1815108112,3,12,6,411,483,0
1815108112,3,12,6,411,483,0
1815108190,0,10,2,377,337,0
1815108190,0,10,2,377,337,0
1815108195,17,5,14,563,703,1
1815108195,17,5,14,563,703,1
1815108438,1,13,6,431,462,0
1815108438,1,13,6,431,462,0
1815109218,15,3,8,829,732,1
1815109218,15,3,8,829,732,1
1815109442,1,6,2,304,337,0
1815109442,1,6,2,304,337,0
1815109621,8,3,11,529,487,0
1815109621,8,3,11,529,487,0
1815109632,1,7,0,314,381,0
1815109632,1,7,0,314,381,0
1815110311,23,2,10,797,905,1
1815110311,23,2,10,797,905,1
1815110450,9,11,8,499,552,0
1815110450,9,11,8,499,552,0
1815110973,16,5,8,705,776,1
1815110973,16,5,8,705,776,1
1815111093,1,7,0,331,252,0
1815111093,1,7,0,331,252,0
1815111286,6,2,8,456,523,0
1815111286,6,2,8,456,523,0
1815112400,2,21,1,282,382,0
1815112400,2,21,1,282,382,0
1815112505,18,12,4,536,688,0
1815112505,18,12,4,536,688,0
1815113063,12,3,11,599,665,1
1815113063,12,3,11,599,665,1
1815113067,6,8,10,507,649,1
1815113067,6,8,10,507,649,1
1815113186,3,3,3,450,480,0
1815113186,3,3,3,450,480,0
1815113791,7,2,6,710,720,1
1815113791,7,2,6,710,720,1
1815114197,13,7,6,450,526,0
1815114197,13,7,6,450,526,0
1815114361,2,4,2,518,551,0
1815114361,2,4,2,518,551,0
1815114730,9,4,11,667,724,1
1815114730,9,4,11,667,724,1
1815114848,8,1,14,627,653,1
1815114848,8,1,14,627,653,1
1815115132,2,6,1,286,354,0
1815115132,2,6,1,286,354,0
1815115229,16,4,13,622,648,1
1815115229,16,4,13,622,648,1
1815115364,9,10,4,457,542,0
1815115364,9,10,4,457,542,0
1815115377,10,7,8,559,559,1
1815115377,10,7,8,559,559,1
1815115412,13,4,5,634,747,1
1815115412,13,4,5,634,747,1
1815115828,4,0,10,627,617,1
1815115828,4,0,10,627,617,1
1815116006,6,8,3,543,682,0
1815116006,6,8,3,543,682,0
1815116088,5,2,10,739,784,1
1815116088,5,2,10,739,784,1
1815116249,3,6,6,588,533,1
1815116249,3,6,6,588,533,1
1815116473,6,3,9,608,620,1
1815116473,6,3,9,608,620,1
1815117152,5,7,5,578,698,0
1815117152,5,7,5,578,698,0
1815117845,11,3,5,641,778,1
1815117845,11,3,5,641,778,1
1815117916,9,4,1,636,786,0
1815117916,9,4,1,636,786,0
1815118123,1,2,1,354,384,0
1815118123,1,2,1,354,384,0
1815118155,8,8,13,560,603,0
1815118155,8,8,13,560,603,0
1815118441,7,8,5,429,525,0
1815118441,7,8,5,429,525,0
1815118639,14,3,12,662,816,1
1815118639,14,3,12,662,816,1
1815118745,10,9,12,452,582,1
1815118745,10,9,12,452,582,1
1815118963,0,6,0,323,365,0
1815118963,0,6,0,323,365,0
1815119152,6,7,6,519,637,0
1815119152,6,7,6,519,637,0
1815119343,4,9,1,362,433,0
1815119343,4,9,1,362,433,0
1815120130,6,5,1,554,607,0
1815120130,6,5,1,554,607,0
1815120337,3,7,7,350,341,0
1815120337,3,7,7,350,341,0
1815120385,12,5,10,736,642,1
1815120385,12,5,10,736,642,1
1815120516,2,6,2,356,426,0
1815120516,2,6,2,356,426,0
1815120684,2,3,9,663,786,1
1815120684,2,3,9,663,786,1
1815120947,10,3,5,728,824,1
1815120947,10,3,5,728,824,1
1815120963,3,11,5,364,427,0
1815120963,3,11,5,364,427,0
1815121481,3,17,1,297,280,0
1815121481,3,17,1,297,280,0
1815121496,3,2,6,530,689,0
1815121496,3,2,6,530,689,0
1815121797,14,5,12,775,675,1
1815121797,14,5,12,775,675,1
1815121927,4,12,7,328,372,0
1815121927,4,12,7,328,372,0
1815122222,7,3,6,416,477,0
1815122222,7,3,6,416,477,0
1815122280,17,3,5,840,600,1
1815122280,17,3,5,840,600,1
1815122373,1,7,4,414,461,1
1815122373,1,7,4,414,461,1
1815122414,11,2,16,664,545,1
1815122414,11,2,16,664,545,1
1815122435,2,6,4,289,376,0
1815122435,2,6,4,289,376,0
1815122517,8,7,19,425,638,0
1815122517,8,7,19,425,638,0
1815122694,18,4,17,722,604,1
1815122694,18,4,17,722,604,1
1815122714,10,9,5,464,586,0
1815122714,10,9,5,464,586,0
1815122917,14,11,21,616,513,0
1815122917,14,11,21,616,513,0
1815122961,7,4,16,662,680,1
1815122961,7,4,16,662,680,1
1815123009,0,5,1,159,54,0
1815123009,0,5,1,159,54,0
1815098739,8,3,6,697,764,1
1815098739,8,3,6,697,764,1
1815098910,7,15,13,494,561,0
1815098910,7,15,13,494,561,0
1815099232,6,5,10,496,528,1
1815099232,6,5,10,496,528,1
1815099513,6,6,6,559,733,0
1815099513,6,6,6,559,733,0
1815099545,5,6,5,489,561,0
1815099545,5,6,5,489,561,0
1815099650,14,3,19,657,721,1
1815099650,14,3,19,657,721,1
1815099731,2,9,4,418,482,0
1815099731,2,9,4,418,482,0
1815099860,6,4,5,456,525,0
1815099860,6,4,5,456,525,0
1815099861,3,7,7,528,588,1
1815099861,3,7,7,528,588,1
1815099948,14,9,14,606,566,1
1815099948,14,9,14,606,566,1
1815100105,16,5,2,773,814,1
1815100105,16,5,2,773,814,1
1815100680,1,7,9,372,412,0
1815100680,1,7,9,372,412,0
1815100822,0,4,2,235,257,0
1815100822,0,4,2,235,257,0
1815105424,19,8,9,668,664,0
1815105424,19,8,9,668,664,0
1815105492,4,6,8,430,507,0
1815105492,4,6,8,430,507,0
1815105664,13,2,4,852,649,1
1815105664,13,2,4,852,649,1
1815105708,2,4,3,557,633,0
1815105708,2,4,3,557,633,0
1815105849,11,16,11,683,501,1
1815105849,11,16,11,683,501,1
1815106108,4,7,3,487,599,0
1815106108,4,7,3,487,599,0
1815106213,9,11,10,596,569,1
1815106213,9,11,10,596,569,1
1815106283,4,1,6,584,584,1
1815106283,4,1,6,584,584,1
1815106383,3,12,1,337,397,0
1815106383,3,12,1,337,397,0
1815106759,1,9,1,291,322,0
1815106759,1,9,1,291,322,0
1815107030,7,1,13,757,788,1
1815107030,7,1,13,757,788,1
1815108129,3,10,5,358,371,0
1815108129,3,10,5,358,371,0
1815108256,9,4,10,555,626,1
1815108256,9,4,10,555,626,1
1815108402,6,9,6,606,719,0
1815108402,6,9,6,606,719,0
1815108591,2,6,3,359,426,0
1815108591,2,6,3,359,426,0
1815108799,7,5,4,530,593,1
1815108799,7,5,4,530,593,1
1815108812,7,2,17,602,696,1
1815108812,7,2,17,602,696,1
1815109012,6,1,3,650,583,1
1815109012,6,1,3,650,583,1
1815109048,12,13,17,603,618,0
1815109048,12,13,17,603,618,0
1815109110,2,5,3,370,430,0
1815109110,2,5,3,370,430,0
1815109288,1,5,2,319,331,0
1815109288,1,5,2,319,331,0
1815109329,6,3,0,565,641,0
1815109329,6,3,0,565,641,0
1815109345,2,9,1,271,261,0
1815109345,2,9,1,271,261,0
1815109592,6,6,8,577,693,1
1815109592,6,6,8,577,693,1
1815109768,3,4,14,612,678,1
1815109768,3,4,14,612,678,1
1815109887,1,10,3,371,393,0
1815109887,1,10,3,371,393,0
1815109937,22,6,12,651,658,1
1815109937,22,6,12,651,658,1
1815110405,14,7,10,572,648,1
1815110405,14,7,10,572,648,1
1815110524,9,7,7,689,718,1
1815110524,9,7,7,689,718,1
1815110559,10,4,7,501,517,1
1815110559,10,4,7,501,517,1
1815110712,13,6,10,556,591,1
1815110712,13,6,10,556,591,1
1815110720,16,5,6,682,749,1
1815110720,16,5,6,682,749,1
1815111011,6,4,4,528,625,0
1815111011,6,4,4,528,625,0
1815111104,2,9,6,367,415,0
1815111104,2,9,6,367,415,0
1815111407,9,0,6,750,719,1
1815111407,9,0,6,750,719,1
1815111500,15,10,11,606,683,1
1815111500,15,10,11,606,683,1
1815111531,8,9,6,530,609,1
1815111531,8,9,6,530,609,1
1815111570,0,9,7,337,392,0
1815111570,0,9,7,337,392,0
1815111597,0,3,3,463,538,0
1815111597,0,3,3,463,538,0
1815111643,5,9,5,284,328,0
1815111643,5,9,5,284,328,0
1815111880,8,4,8,568,580,1
1815111880,8,4,8,568,580,1
1815111998,7,4,5,546,600,0
1815111998,7,4,5,546,600,0
1815112217,10,6,3,501,676,0
1815112217,10,6,3,501,676,0
1815112265,9,5,9,561,658,1
1815112265,9,5,9,561,658,1
1815112366,17,8,18,716,500,0
1815112366,17,8,18,716,500,0
1815112447,8,5,13,610,651,0
1815112447,8,5,13,610,651,0
1815112785,3,6,6,321,309,0
1815112785,3,6,6,321,309,0
1815112787,3,2,7,710,772,1
1815112787,3,2,7,710,772,1
1815112851,4,9,3,395,507,0
1815112851,4,9,3,395,507,0
1815113278,14,9,26,646,553,1
1815113278,14,9,26,646,553,1
1815113312,4,8,5,450,549,0
1815113312,4,8,5,450,549,0
1815113331,6,8,6,653,624,1
1815113331,6,8,6,653,624,1
1815113529,17,7,10,688,714,0
1815113529,17,7,10,688,714,0
1815113531,8,11,16,562,487,1
1815113531,8,11,16,562,487,1
1815114040,3,10,3,348,397,0
1815114040,3,10,3,348,397,0
1815114102,5,6,15,546,621,1
1815114102,5,6,15,546,621,1
1815114221,2,2,2,693,576,1
1815114221,2,2,2,693,576,1
1815114559,1,9,5,379,468,0
1815114559,1,9,5,379,468,0
1815114668,4,11,3,432,547,0
1815114668,4,11,3,432,547,0
1815115183,2,1,1,638,630,1
1815115183,2,1,1,638,630,1
1815115545,1,1,2,661,383,1
1815115545,1,1,2,661,383,1
1815115632,11,9,6,486,596,0
1815115632,11,9,6,486,596,0
1815115798,6,3,4,691,755,1
1815115798,6,3,4,691,755,1
1815115815,2,5,0,304,355,0
1815115815,2,5,0,304,355,0
1815116164,6,4,1,572,649,0
1815116164,6,4,1,572,649,0
1815116450,11,10,18,524,537,0
1815116450,11,10,18,524,537,0
1815116560,7,2,10,646,625,1
1815116560,7,2,10,646,625,1
1815116678,21,3,7,909,984,1
1815116678,21,3,7,909,984,1
1815116918,9,4,6,752,773,1
1815116918,9,4,6,752,773,1
1815117062,0,5,0,226,252,0
1815117062,0,5,0,226,252,0
1815117214,12,5,5,673,682,1
1815117214,12,5,5,673,682,1
1815117217,3,11,5,400,431,0
1815117217,3,11,5,400,431,0
1815117258,3,7,5,366,399,0
1815117258,3,7,5,366,399,0
1815117580,5,4,4,342,447,0
1815117580,5,4,4,342,447,0
1815117689,8,4,15,642,710,1
1815117689,8,4,15,642,710,1
1815117702,9,2,5,587,727,1
1815117702,9,2,5,587,727,1
1815118050,2,7,2,368,416,0
1815118050,2,7,2,368,416,0
1815118251,1,4,0,430,486,0
1815118251,1,4,0,430,486,0
1815118317,13,6,18,697,751,1
1815118317,13,6,18,697,751,1
1815119227,15,3,15,803,683,1
1815119227,15,3,15,803,683,1
1815119449,13,4,14,630,675,1
1815119449,13,4,14,630,675,1
1815119600,15,4,13,673,644,1
1815119600,15,4,13,673,644,1
1815119637,3,9,5,415,466,0
1815119637,3,9,5,415,466,0
1815119744,4,7,9,448,573,0
1815119744,4,7,9,448,573,0
1815120543,13,3,14,688,905,1
1815120543,13,3,14,688,905,1
1815120771,14,8,12,572,670,0
1815120771,14,8,12,572,670,0
1815120931,7,7,12,569,607,0
1815120931,7,7,12,569,607,0
1815121093,4,5,4,431,465,0
1815121093,4,5,4,431,465,0
1815121288,6,6,16,536,641,1
1815121288,6,6,16,536,641,1
1815121618,11,7,4,558,633,0
1815121618,11,7,4,558,633,0
1815121753,14,2,6,672,725,1
1815121753,14,2,6,672,725,1
1815121779,8,5,11,605,750,1
1815121779,8,5,11,605,750,1
1815122113,6,5,9,491,554,0
1815122113,6,5,9,491,554,0
1815122380,11,6,9,619,713,1
1815122380,11,6,9,619,713,1
1815122392,5,9,10,484,532,0
1815122392,5,9,10,484,532,0
1815122489,3,6,2,338,384,0
1815122489,3,6,2,338,384,0
1815122801,0,5,3,273,266,0
1815122801,0,5,3,273,266,0
1815122835,12,8,4,638,549,0
1815122835,12,8,4,638,549,0
1815122837,23,9,9,712,523,0
