id,k,d,a,gpm,xpm,win
1815099098,3,9,8,261,301,0
1815099098,3,9,8,261,301,0
1815099196,19,10,26,431,480,0
1815099196,19,10,26,431,480,0
1815100781,10,13,8,330,340,0
1815100781,10,13,8,330,340,0
1815105547,11,7,7,463,558,1
1815105547,11,7,7,463,558,1
1815105958,2,11,6,311,302,0
1815105958,2,11,6,311,302,0
1815106491,6,7,3,436,454,1
1815106491,6,7,3,436,454,1
1815106805,19,6,15,456,521,1
1815106805,19,6,15,456,521,1
1815107185,8,1,13,508,611,1
1815107185,8,1,13,508,611,1
1815107293,8,11,21,418,556,1
1815107293,8,11,21,418,556,1
1815107493,2,15,14,284,330,1
1815107493,2,15,14,284,330,1
1815108927,18,7,13,507,541,1
1815108927,18,7,13,507,541,1
1815108996,8,12,21,411,612,0
1815108996,8,12,21,411,612,0
1815109872,6,4,12,442,522,1
1815109872,6,4,12,442,522,1
1815110311,10,8,16,437,527,1
1815110311,10,8,16,437,527,1
1815111093,9,0,3,605,593,1
1815111093,9,0,3,605,593,1
1815111198,1,6,7,307,344,0
1815111198,1,6,7,307,344,0
1815111443,12,5,20,444,510,1
1815111443,12,5,20,444,510,1
1815111594,1,11,3,316,412,0
1815111594,1,11,3,316,412,0
1815111609,5,9,5,353,429,0
1815111609,5,9,5,353,429,0
1815112241,4,11,13,331,399,0
1815112241,4,11,13,331,399,0
1815112250,5,9,4,353,447,0
1815112250,5,9,4,353,447,0
1815113063,24,11,17,513,592,1
1815113063,24,11,17,513,592,1
1815113363,3,9,11,368,432,0
1815113363,3,9,11,368,432,0
1815114228,6,8,9,411,463,0
1815114228,6,8,9,411,463,0
1815114784,8,17,8,352,342,0
1815114784,8,17,8,352,342,0
1815114960,11,14,14,401,535,0
1815114960,11,14,14,401,535,0
1815115132,2,16,6,255,267,0
1815115132,2,16,6,255,267,0
1815115412,10,7,12,421,467,0
1815115412,10,7,12,421,467,0
1815117725,5,16,7,247,235,0
1815117725,5,16,7,247,235,0
1815117845,0,2,0,112,1,0
1815117845,0,2,0,112,1,0
1815117882,1,10,4,311,339,0
1815117882,1,10,4,311,339,0
1815118587,11,11,8,352,426,0
1815118587,11,11,8,352,426,0
1815118963,0,9,1,119,54,0
1815118963,0,9,1,119,54,0
1815119304,13,13,16,481,590,1
1815119304,13,13,16,481,590,1
1815119376,4,10,15,347,468,0
1815119376,4,10,15,347,468,0
1815119466,9,9,7,534,504,1
1815119466,9,9,7,534,504,1
1815120337,6,8,14,434,394,1
1815120337,6,8,14,434,394,1
1815121496,3,12,6,303,360,0
1815121496,3,12,6,303,360,0
1815122414,12,11,12,402,498,0
1815122414,12,11,12,402,498,0
1815122917,9,16,20,422,511,1
1815122917,9,16,20,422,511,1
1815099284,3,9,2,287,322,0
1815099284,3,9,2,287,322,0
1815099829,7,12,11,313,373,0
1815099829,7,12,11,313,373,0
1815105185,9,8,4,360,426,0
1815105185,9,8,4,360,426,0
1815105263,15,4,20,468,543,1
1815105263,15,4,20,468,543,1
1815105361,6,14,7,309,366,0
1815105361,6,14,7,309,366,0
1815105398,4,16,10,304,344,0
1815105398,4,16,10,304,344,0
1815105708,21,4,7,572,527,1
1815105708,21,4,7,572,527,1
1815106677,2,9,4,285,331,0
1815106677,2,9,4,285,331,0
1815106828,14,15,10,351,450,0
1815106828,14,15,10,351,450,0
1815107377,13,7,9,455,543,0
1815107377,13,7,9,455,543,0
1815108335,4,10,7,313,342,0
1815108335,4,10,7,313,342,0
1815108631,2,16,7,313,319,0
1815108631,2,16,7,313,319,0
1815108741,10,7,11,439,448,1
1815108741,10,7,11,439,448,1
1815108812,3,10,3,334,396,0
1815108812,3,10,3,334,396,0
1815109079,8,13,14,364,481,0
1815109079,8,13,14,364,481,0
1815109287,8,14,15,394,372,1
1815109287,8,14,15,394,372,1
1815109937,9,13,17,371,428,0
1815109937,9,13,17,371,428,0
1815111104,3,10,4,305,309,0
1815111104,3,10,4,305,309,0
1815111642,11,15,9,361,413,0
1815111642,11,15,9,361,413,0
1815112398,12,6,10,470,598,1
1815112398,12,6,10,470,598,1
1815113060,18,11,13,479,516,1
1815113060,18,11,13,479,516,1
1815113455,4,6,1,335,357,0
1815113455,4,6,1,335,357,0
1815113719,9,12,11,365,433,0
1815113719,9,12,11,365,433,0
1815113976,9,11,11,355,427,0
1815113976,9,11,11,355,427,0
