id,k,d,a,gpm,xpm,win
1815105786,1,13,11,218,297,0
1815105786,1,13,11,218,297,0
1815106167,5,6,12,363,410,1
1815106167,5,6,12,363,410,1
1815110437,12,3,11,417,420,1
1815110437,12,3,11,417,420,1
1815111594,4,13,5,303,312,0
1815111594,4,13,5,303,312,0
1815114909,1,15,21,261,305,1
1815114909,1,15,21,261,305,1
1815116051,5,4,18,445,456,1
1815116051,5,4,18,445,456,1
1815117007,3,6,12,366,363,1
1815117007,3,6,12,366,363,1
1815118123,1,2,1,276,257,1
1815118123,1,2,1,276,257,1
1815118469,4,6,16,384,438,0
1815118469,4,6,16,384,438,0
1815120385,9,13,15,275,357,0
1815120385,9,13,15,275,357,0
1815107030,4,12,10,295,349,0
1815107030,4,12,10,295,349,0
1815107389,8,11,18,320,465,0
1815107389,8,11,18,320,465,0
1815108831,0,3,6,181,220,0
1815108831,0,3,6,181,220,0
1815109555,2,5,5,215,303,0
1815109555,2,5,5,215,303,0
1815111116,8,11,19,292,376,0
1815111116,8,11,19,292,376,0
1815111195,4,6,15,369,324,1
1815111195,4,6,15,369,324,1
1815112563,5,14,19,297,348,1
1815112563,5,14,19,297,348,1
1815114011,2,9,21,342,301,1
1815114011,2,9,21,342,301,1
1815117217,3,3,19,309,320,1
1815117217,3,3,19,309,320,1
1815119469,2,12,3,238,260,0
1815119469,2,12,3,238,260,0
1815119679,9,1,16,422,398,1
1815119679,9,1,16,422,398,1
1815120698,4,6,14,323,355,1
1815120698,4,6,14,323,355,1
1815121042,3,8,8,210,188,0
1815121042,3,8,8,210,188,0
1815121617,13,7,24,423,565,1
1815121617,13,7,24,423,565,1
1815123184,1,8,10,294,355,1
1815123184,1,8,10,294,355,1
1815098714,7,1,10,425,392,1
1815098714,7,1,10,425,392,1
1815098809,5,9,11,368,374,0
1815098809,5,9,11,368,374,0
1815099034,7,7,13,321,487,0
1815099034,7,7,13,321,487,0
1815099922,4,11,18,281,438,0
1815099922,4,11,18,281,438,0
1815100810,3,11,7,221,227,0
1815100810,3,11,7,221,227,0
1815100853,11,5,8,451,527,1
1815100853,11,5,8,451,527,1
1815105479,13,4,15,310,478,0
1815105479,13,4,15,310,478,0
1815105561,2,8,11,240,303,0
1815105561,2,8,11,240,303,0
1815105667,11,8,13,419,651,0
1815105667,11,8,13,419,651,0
1815105707,5,12,3,261,288,0
1815105707,5,12,3,261,288,0
1815105736,6,13,6,250,309,0
1815105736,6,13,6,250,309,0
1815106153,4,3,13,378,404,1
1815106153,4,3,13,378,404,1
1815106341,8,14,10,299,397,1
1815106341,8,14,10,299,397,1
1815106694,9,1,13,424,487,1
1815106694,9,1,13,424,487,1
1815106803,12,7,17,339,450,1
1815106803,12,7,17,339,450,1
1815106923,4,5,12,333,352,1
1815106923,4,5,12,333,352,1
1815107049,4,9,15,297,326,1
1815107049,4,9,15,297,326,1
1815107381,4,14,11,223,251,0
1815107381,4,14,11,223,251,0
1815107405,3,9,3,284,250,0
1815107405,3,9,3,284,250,0
1815107450,0,15,17,241,280,1
1815107450,0,15,17,241,280,1
1815107725,1,13,7,189,260,0
1815107725,1,13,7,189,260,0
1815107972,6,9,9,369,457,0
1815107972,6,9,9,369,457,0
1815108116,7,9,10,250,278,0
1815108116,7,9,10,250,278,0
1815108460,6,10,12,248,344,0
1815108460,6,10,12,248,344,0
1815108466,8,12,13,263,347,0
1815108466,8,12,13,263,347,0
1815108962,8,7,11,286,408,0
1815108962,8,7,11,286,408,0
1815109531,3,9,13,247,215,1
1815109531,3,9,13,247,215,1
1815109764,9,4,22,391,580,1
1815109764,9,4,22,391,580,1
1815109767,2,6,2,168,141,0
1815109767,2,6,2,168,141,0
