id,k,d,a,gpm,xpm,win
1815100758,7,3,4,415,470,1
1815100758,7,3,4,415,470,1
1815108195,2,11,21,348,432,1
1815108195,2,11,21,348,432,1
1815111494,8,11,15,379,525,0
1815111494,8,11,15,379,525,0
1815114730,10,6,14,465,504,1
1815114730,10,6,14,465,504,1
1815119793,16,10,22,451,525,1
1815119793,16,10,22,451,525,1
1815122718,2,11,12,274,330,0
1815122718,2,11,12,274,330,0
1815122961,7,9,18,373,617,0
1815122961,7,9,18,373,617,0
1815099861,3,8,8,316,440,0
1815099861,3,8,8,316,440,0
1815110502,1,5,11,259,389,0
1815110502,1,5,11,259,389,0
1815121753,2,13,20,299,401,0
1815121753,2,13,20,299,401,0
1815098980,2,12,14,286,301,1
1815098980,2,12,14,286,301,1
1815098983,2,11,17,273,349,0
1815098983,2,11,17,273,349,0
1815100314,0,16,4,234,300,0
1815100314,0,16,4,234,300,0
1815100487,1,9,4,183,232,0
1815100487,1,9,4,183,232,0
1815100621,9,13,14,446,619,0
1815100621,9,13,14,446,619,0
1815105742,0,14,6,237,256,0
1815105742,0,14,6,237,256,0
1815105890,1,9,9,205,222,0
1815105890,1,9,9,205,222,0
1815106317,8,12,9,384,362,0
1815106317,8,12,9,384,362,0
1815106618,6,11,25,344,528,0
1815106618,6,11,25,344,528,0
1815107283,14,7,22,381,627,0
1815107283,14,7,22,381,627,0
1815107473,7,6,20,369,394,1
1815107473,7,6,20,369,394,1
1815107745,9,12,20,323,390,0
1815107745,9,12,20,323,390,0
1815107955,0,4,1,137,58,0
1815107955,0,4,1,137,58,0
1815109634,8,13,20,316,423,0
1815109634,8,13,20,316,423,0
1815109635,12,15,24,340,417,0
1815109635,12,15,24,340,417,0
1815109823,13,8,16,446,582,1
1815109823,13,8,16,446,582,1
1815110009,5,13,11,331,378,0
1815110009,5,13,11,331,378,0
1815110039,2,11,10,313,419,0
1815110039,2,11,10,313,419,0
1815110384,8,11,9,318,353,0
1815110384,8,11,9,318,353,0
1815110845,4,17,8,307,420,0
1815110845,4,17,8,307,420,0
1815111678,6,3,20,410,431,1
1815111678,6,3,20,410,431,1
1815113118,7,7,15,328,452,0
1815113118,7,7,15,328,452,0
1815113896,6,18,32,304,352,0
1815113896,6,18,32,304,352,0
1815113927,0,1,8,303,257,1
1815113927,0,1,8,303,257,1
1815113947,2,12,2,249,285,0
1815113947,2,12,2,249,285,0
1815114092,0,17,7,226,211,0
1815114092,0,17,7,226,211,0
1815115657,2,8,8,220,273,0
1815115657,2,8,8,220,273,0
1815115743,5,13,24,249,341,0
1815115743,5,13,24,249,341,0
