id,k,d,a,gpm,xpm,win
1815109435,3,15,14,345,304,1
1815109435,3,15,14,345,304,1
1815109854,12,7,12,412,437,1
1815109854,12,7,12,412,437,1
1815113067,6,7,20,364,492,1
1815113067,6,7,20,364,492,1
1815115117,1,13,7,217,258,0
1815115117,1,13,7,217,258,0
1815120865,8,5,10,511,548,1
1815120865,8,5,10,511,548,1
1815120947,4,4,18,394,527,1
1815120947,4,4,18,394,527,1
1815123077,5,9,9,344,439,1
1815123077,5,9,9,344,439,1
1815099716,3,11,5,326,381,0
1815099716,3,11,5,326,381,0
1815100635,8,8,32,329,465,0
1815100635,8,8,32,329,465,0
1815100680,3,5,11,375,310,1
1815100680,3,5,11,375,310,1
1815100701,2,8,17,367,536,1
1815100701,2,8,17,367,536,1
1815110832,6,6,8,319,438,0
1815110832,6,6,8,319,438,0
1815115691,8,4,10,358,441,0
1815115691,8,4,10,358,441,0
1815115795,1,4,3,232,240,0
1815115795,1,4,3,232,240,0
1815116884,2,14,3,278,312,0
1815116884,2,14,3,278,312,0
1815118625,13,5,28,461,627,1
1815118625,13,5,28,461,627,1
1815120537,4,8,14,380,371,1
1815120537,4,8,14,380,371,1
1815122801,1,3,1,226,178,0
1815122801,1,3,1,226,178,0
1815098762,3,4,12,227,290,0
1815098762,3,4,12,227,290,0
1815098953,5,7,22,376,485,1
1815098953,5,7,22,376,485,1
1815099589,4,18,15,315,404,0
1815099589,4,18,15,315,404,0
1815100462,7,14,12,328,427,0
1815100462,7,14,12,328,427,0
1815100574,9,11,10,323,397,0
1815100574,9,11,10,323,397,0
1815100652,5,1,8,467,412,1
1815100652,5,1,8,467,412,1
1815105413,0,16,1,166,150,0
1815105413,0,16,1,166,150,0
1815105639,5,12,15,268,318,0
1815105639,5,12,15,268,318,0
1815106553,7,10,13,344,374,1
1815106553,7,10,13,344,374,1
1815107451,9,5,13,380,398,1
1815107451,9,5,13,380,398,1
1815107849,1,7,4,308,386,0
1815107849,1,7,4,308,386,0
1815108030,1,10,5,238,296,0
1815108030,1,10,5,238,296,0
1815108263,7,3,6,343,468,0
1815108263,7,3,6,343,468,0
1815108463,6,13,16,296,356,0
1815108463,6,13,16,296,356,0
1815108605,5,11,9,328,436,0
1815108605,5,11,9,328,436,0
1815108885,10,4,10,544,667,1
1815108885,10,4,10,544,667,1
1815109320,0,0,0,143,91,0
