@relation bloodseeker

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1, 0}

@data
1,20,8,273,286,0
1,20,8,273,286,0
31,12,20,621,586,1
31,12,20,621,586,1
20,11,10,504,651,0
20,11,10,504,651,0
19,3,2,718,805,1
19,3,2,718,805,1
20,7,11,609,639,1
20,7,11,609,639,1
35,13,7,747,644,0
35,13,7,747,644,0
10,20,10,409,503,1
10,20,10,409,503,1
13,9,13,492,493,1
13,9,13,492,493,1
6,2,9,546,623,1
6,2,9,546,623,1
3,8,8,322,380,0
3,8,8,322,380,0
10,10,11,328,369,0
10,10,11,328,369,0
11,8,11,456,559,0
11,8,11,456,559,0
11,1,4,675,687,1
11,1,4,675,687,1
10,18,10,406,484,0
10,18,10,406,484,0
4,5,5,327,360,0
4,5,5,327,360,0
3,16,9,285,309,0
3,16,9,285,309,0
1,12,3,235,245,0
1,12,3,235,245,0
15,11,21,443,648,0
15,11,21,443,648,0
5,13,7,352,432,0
5,13,7,352,432,0
10,13,11,420,451,0
10,13,11,420,451,0
34,11,12,601,586,1
34,11,12,601,586,1
9,9,13,567,552,1
9,9,13,567,552,1
4,11,8,444,486,1
4,11,8,444,486,1
10,12,9,485,542,0
10,12,9,485,542,0
32,4,7,871,883,1
32,4,7,871,883,1
13,15,11,454,577,0
13,15,11,454,577,0
6,8,1,434,406,0
6,8,1,434,406,0
5,9,6,374,471,0
5,9,6,374,471,0
27,9,11,610,609,0
27,9,11,610,609,0
7,5,3,312,326,0
7,5,3,312,326,0
18,5,6,646,631,1
18,5,6,646,631,1
13,3,5,732,636,1
13,3,5,732,636,1
8,8,6,404,415,0
8,8,6,404,415,0
21,3,6,588,603,1
21,3,6,588,603,1
14,7,14,503,563,1
14,7,14,503,563,1
18,6,11,611,623,1
18,6,11,611,623,1
10,6,7,499,533,0
10,6,7,499,533,0
14,9,8,609,623,1
14,9,8,609,623,1
7,4,1,395,423,0
7,4,1,395,423,0
14,9,13,451,461,1
14,9,13,451,461,1
7,15,6,342,363,0
