id,k,d,a,gpm,xpm,win
1815098837,1,20,8,273,286,0
1815098837,1,20,8,273,286,0
1815100081,31,12,20,621,586,1
1815100081,31,12,20,621,586,1
1815100144,20,11,10,504,651,0
1815100144,20,11,10,504,651,0
1815105321,19,3,2,718,805,1
1815105321,19,3,2,718,805,1
1815105547,20,7,11,609,639,1
1815105547,20,7,11,609,639,1
1815105657,35,13,7,747,644,0
1815105657,35,13,7,747,644,0
1815106065,10,20,10,409,503,1
1815106065,10,20,10,409,503,1
1815106472,13,9,13,492,493,1
1815106472,13,9,13,492,493,1
1815106491,6,2,9,546,623,1
1815106491,6,2,9,546,623,1
1815107439,3,8,8,322,380,0
1815107439,3,8,8,322,380,0
1815107560,10,10,11,328,369,0
1815107560,10,10,11,328,369,0
1815107585,11,8,11,456,559,0
1815107585,11,8,11,456,559,0
1815107780,11,1,4,675,687,1
1815107780,11,1,4,675,687,1
1815108232,10,18,10,406,484,0
1815108232,10,18,10,406,484,0
1815108500,4,5,5,327,360,0
1815108500,4,5,5,327,360,0
1815108505,3,16,9,285,309,0
1815108505,3,16,9,285,309,0
1815108520,1,12,3,235,245,0
1815108520,1,12,3,235,245,0
1815108996,15,11,21,443,648,0
1815108996,15,11,21,443,648,0
1815109189,5,13,7,352,432,0
1815109189,5,13,7,352,432,0
1815109218,10,13,11,420,451,0
1815109218,10,13,11,420,451,0
1815109300,34,11,12,601,586,1
1815109300,34,11,12,601,586,1
1815109717,9,9,13,567,552,1
1815109717,9,9,13,567,552,1
1815110203,4,11,8,444,486,1
1815110203,4,11,8,444,486,1
1815110973,10,12,9,485,542,0
1815110973,10,12,9,485,542,0
1815111594,32,4,7,871,883,1
1815111594,32,4,7,871,883,1
1815111838,13,15,11,454,577,0
1815111838,13,15,11,454,577,0
1815111853,6,8,1,434,406,0
1815111853,6,8,1,434,406,0
1815111940,5,9,6,374,471,0
1815111940,5,9,6,374,471,0
1815112241,27,9,11,610,609,0
1815112241,27,9,11,610,609,0
1815112349,7,5,3,312,326,0
1815112349,7,5,3,312,326,0
1815114228,18,5,6,646,631,1
1815114228,18,5,6,646,631,1
1815114302,13,3,5,732,636,1
1815114302,13,3,5,732,636,1
1815114542,8,8,6,404,415,0
1815114542,8,8,6,404,415,0
1815114730,21,3,6,588,603,1
1815114730,21,3,6,588,603,1
1815114812,14,7,14,503,563,1
1815114812,14,7,14,503,563,1
1815115132,18,6,11,611,623,1
1815115132,18,6,11,611,623,1
1815115149,10,6,7,499,533,0
1815115149,10,6,7,499,533,0
1815116043,14,9,8,609,623,1
1815116043,14,9,8,609,623,1
1815117007,7,4,1,395,423,0
1815117007,7,4,1,395,423,0
1815117362,14,9,13,451,461,1
1815117362,14,9,13,451,461,1
1815117725,7,15,6,342,363,0
1815117725,7,15,6,342,363,0
1815117845,6,8,4,498,543,1
1815117845,6,8,4,498,543,1
1815117882,5,9,5,374,505,0
1815117882,5,9,5,374,505,0
1815118075,6,1,2,612,484,1
1815118075,6,1,2,612,484,1
1815118115,5,10,2,361,423,0
1815118115,5,10,2,361,423,0
1815118155,8,14,17,400,573,0
1815118155,8,14,17,400,573,0
1815118564,14,3,4,657,669,1
1815118564,14,3,4,657,669,1
1815118587,13,14,15,581,593,1
1815118587,13,14,15,581,593,1
1815118822,6,3,6,486,491,1
1815118822,6,3,6,486,491,1
1815118857,8,9,15,432,527,1
1815118857,8,9,15,432,527,1
1815119031,15,12,9,453,556,0
1815119031,15,12,9,453,556,0
1815119048,9,9,9,377,388,0
1815119048,9,9,9,377,388,0
1815119152,19,7,3,485,549,0
1815119152,19,7,3,485,549,0
1815120684,9,11,6,409,497,0
1815120684,9,11,6,409,497,0
1815120947,7,7,9,423,634,0
1815120947,7,7,9,423,634,0
1815121018,14,8,8,546,654,0
1815121018,14,8,8,546,654,0
1815121135,11,4,9,550,580,1
1815121135,11,4,9,550,580,1
1815121294,7,10,7,432,575,0
1815121294,7,10,7,432,575,0
1815121433,6,14,7,356,425,0
1815121433,6,14,7,356,425,0
1815121692,7,5,13,412,527,1
1815121692,7,5,13,412,527,1
1815121900,14,6,8,579,735,0
1815121900,14,6,8,579,735,0
1815121927,21,8,6,519,541,1
1815121927,21,8,6,519,541,1
1815122435,19,1,11,695,683,1
1815122435,19,1,11,695,683,1
1815122517,24,8,8,547,612,1
1815122517,24,8,8,547,612,1
1815122694,15,9,12,446,531,0
1815122694,15,9,12,446,531,0
1815122718,11,9,20,404,507,1
1815122718,11,9,20,404,507,1
1815122758,23,10,6,705,555,0
1815122758,23,10,6,705,555,0
1815123124,24,11,7,455,608,0
1815123124,24,11,7,455,608,0
1815123130,18,5,13,667,681,1
1815123130,18,5,13,667,681,1
1815098739,7,14,6,337,385,0
1815098739,7,14,6,337,385,0
1815098821,20,3,12,679,740,1
1815098821,20,3,12,679,740,1
1815098869,9,13,9,321,407,0
1815098869,9,13,9,321,407,0
1815098882,14,5,4,557,653,1
1815098882,14,5,4,557,653,1
1815098910,18,8,11,583,566,1
1815098910,18,8,11,583,566,1
1815098985,20,7,5,596,670,0
1815098985,20,7,5,596,670,0
1815099284,16,2,10,679,637,1
1815099284,16,2,10,679,637,1
1815099341,16,10,10,590,640,1
1815099341,16,10,10,590,640,1
1815099373,3,0,7,634,515,1
1815099373,3,0,7,634,515,1
1815099509,0,10,0,169,131,0
1815099509,0,10,0,169,131,0
1815099513,8,9,13,487,597,1
1815099513,8,9,13,487,597,1
1815099596,9,10,13,507,598,1
1815099596,9,10,13,507,598,1
1815099705,19,12,15,533,626,1
1815099705,19,12,15,533,626,1
1815099860,3,9,7,316,349,0
1815099860,3,9,7,316,349,0
1815099878,18,7,10,632,720,1
1815099878,18,7,10,632,720,1
1815099970,15,8,6,711,757,1
1815099970,15,8,6,711,757,1
1815100023,21,6,5,871,946,1
1815100023,21,6,5,871,946,1
1815100348,4,12,10,276,318,0
1815100348,4,12,10,276,318,0
1815100532,23,10,5,569,647,0
1815100532,23,10,5,569,647,0
1815100556,17,5,9,612,572,0
1815100556,17,5,9,612,572,0
1815100569,10,7,11,369,504,0
1815100569,10,7,11,369,504,0
1815100572,11,8,3,550,679,0
1815100572,11,8,3,550,679,0
1815100680,10,7,8,512,407,1
1815100680,10,7,8,512,407,1
1815100701,15,6,11,482,660,1
