id,k,d,a,gpm,xpm,win
1815098837,3,2,14,444,351,1
1815098837,3,2,14,444,351,1
1815100126,7,13,13,427,482,0
1815100126,7,13,13,427,482,0
1815100144,14,12,14,520,463,1
1815100144,14,12,14,520,463,1
1815100620,4,2,6,411,343,1
1815100620,4,2,6,411,343,1
1815100779,6,10,11,361,467,0
1815100779,6,10,11,361,467,0
1815105232,9,4,6,511,521,1
1815105232,9,4,6,511,521,1
1815105337,9,12,15,465,357,1
1815105337,9,12,15,465,357,1
1815105631,23,10,17,670,587,1
1815105631,23,10,17,670,587,1
1815105657,7,14,15,441,481,0
1815105657,7,14,15,441,481,0
1815105786,7,4,9,479,416,1
1815105786,7,4,9,479,416,1
1815105880,8,13,14,447,419,1
1815105880,8,13,14,447,419,1
1815106167,11,10,12,490,381,1
1815106167,11,10,12,490,381,1
1815106732,8,6,10,521,379,1
1815106732,8,6,10,521,379,1
1815107185,6,5,10,430,359,1
1815107185,6,5,10,430,359,1
1815107492,3,17,4,271,240,0
1815107492,3,17,4,271,240,0
1815107560,7,6,9,363,412,1
1815107560,7,6,9,363,412,1
1815107780,0,8,12,323,275,0
1815107780,0,8,12,323,275,0
1815108112,6,4,16,531,449,1
1815108112,6,4,16,531,449,1
1815108438,4,6,9,397,409,1
1815108438,4,6,9,397,409,1
1815108961,3,10,14,393,416,0
1815108961,3,10,14,393,416,0
1815109238,7,13,15,350,289,0
1815109238,7,13,15,350,289,0
1815109421,2,9,6,213,188,0
1815109421,2,9,6,213,188,0
1815109854,2,5,10,309,302,0
1815109854,2,5,10,309,302,0
1815110088,7,8,14,544,466,1
1815110088,7,8,14,544,466,1
1815110182,4,10,5,320,304,0
1815110182,4,10,5,320,304,0
1815110437,12,5,9,546,470,1
1815110437,12,5,9,546,470,1
1815110471,5,18,13,330,337,1
1815110471,5,18,13,330,337,1
1815110849,7,8,16,548,513,0
1815110849,7,8,16,548,513,0
1815110866,6,2,15,487,306,1
1815110866,6,2,15,487,306,1
1815111993,13,6,14,558,542,1
1815111993,13,6,14,558,542,1
1815112494,5,6,9,418,363,1
1815112494,5,6,9,418,363,1
1815112502,14,10,7,510,497,0
1815112502,14,10,7,510,497,0
1815113186,3,3,8,511,411,1
1815113186,3,3,8,511,411,1
1815113791,8,9,8,558,520,1
1815113791,8,9,8,558,520,1
1815114765,1,8,7,288,244,0
1815114765,1,8,7,288,244,0
1815114812,3,12,11,364,422,0
1815114812,3,12,11,364,422,0
1815114909,8,12,11,394,402,0
1815114909,8,12,11,394,402,0
1815115364,14,5,13,568,402,1
1815115364,14,5,13,568,402,1
1815115377,12,12,20,540,530,0
1815115377,12,12,20,540,530,0
1815115931,2,11,14,338,320,0
1815115931,2,11,14,338,320,0
1815116473,1,2,9,388,323,1
1815116473,1,2,9,388,323,1
1815117007,3,8,3,320,309,0
1815117007,3,8,3,320,309,0
1815118075,7,3,5,613,408,1
1815118075,7,3,5,613,408,1
1815118352,15,13,8,472,419,0
1815118352,15,13,8,472,419,0
1815118587,9,11,12,474,469,1
1815118587,9,11,12,474,469,1
1815120240,5,10,13,370,277,1
1815120240,5,10,13,370,277,1
1815120963,15,6,14,542,551,1
1815120963,15,6,14,542,551,1
1815121172,3,6,12,356,321,1
1815121172,3,6,12,356,321,1
1815121226,16,7,12,730,573,0
1815121226,16,7,12,730,573,0
1815121341,7,13,26,448,455,0
1815121341,7,13,26,448,455,0
1815121346,4,7,12,290,280,0
1815121346,4,7,12,290,280,0
1815122222,5,9,13,347,380,0
1815122222,5,9,13,347,380,0
1815122280,3,7,11,395,442,1
1815122280,3,7,11,395,442,1
1815122414,13,8,15,420,368,1
1815122414,13,8,15,420,368,1
1815122694,4,13,10,331,348,0
1815122694,4,13,10,331,348,0
1815099232,2,12,7,251,177,0
1815099232,2,12,7,251,177,0
1815099235,5,8,5,265,298,0
1815099235,5,8,5,265,298,0
1815099341,18,18,10,542,640,0
1815099341,18,18,10,542,640,0
1815099451,1,5,9,368,272,1
1815099451,1,5,9,368,272,1
1815100023,2,8,5,373,243,1
1815100023,2,8,5,373,243,1
1815100569,3,14,8,264,275,1
1815100569,3,14,8,264,275,1
1815100838,9,5,13,510,490,1
1815100838,9,5,13,510,490,1
1815105361,2,14,6,256,225,0
1815105361,2,14,6,256,225,0
1815106091,28,8,12,803,727,1
1815106091,28,8,12,803,727,1
1815106240,4,5,12,525,335,1
1815106240,4,5,12,525,335,1
1815106433,3,11,8,328,339,0
1815106433,3,11,8,328,339,0
1815106550,4,11,4,312,346,0
1815106550,4,11,4,312,346,0
1815106912,2,12,13,276,297,0
1815106912,2,12,13,276,297,0
1815107030,12,8,14,470,390,1
1815107030,12,8,14,470,390,1
1815107696,0,1,0,239,193,0
1815107696,0,1,0,239,193,0
1815107936,5,10,13,332,303,0
1815107936,5,10,13,332,303,0
1815107985,3,10,1,354,231,0
1815107985,3,10,1,354,231,0
1815108428,7,4,12,495,365,1
1815108428,7,4,12,495,365,1
1815109012,12,4,13,596,393,1
1815109012,12,4,13,596,393,1
1815109185,11,12,9,454,383,1
1815109185,11,12,9,454,383,1
1815109287,9,10,14,380,348,0
1815109287,9,10,14,380,348,0
1815109387,8,7,7,379,291,0
1815109387,8,7,7,379,291,0
1815109470,7,8,11,429,339,1
1815109470,7,8,11,429,339,1
1815109821,2,4,7,382,244,1
1815109821,2,4,7,382,244,1
1815109977,4,7,11,399,363,1
1815109977,4,7,11,399,363,1
1815110502,0,6,10,199,198,0
1815110502,0,6,10,199,198,0
1815110524,6,9,17,419,362,1
1815110524,6,9,17,419,362,1
1815111383,8,8,13,490,340,1
1815111383,8,8,13,490,340,1
1815111407,1,11,10,331,359,0
1815111407,1,11,10,331,359,0
1815111597,1,4,4,354,293,1
1815111597,1,4,4,354,293,1
1815111998,11,4,15,486,385,1
1815111998,11,4,15,486,385,1
1815112654,5,16,20,386,384,1
1815112654,5,16,20,386,384,1
1815113200,14,4,15,678,668,1
1815113200,14,4,15,678,668,1
1815113455,4,4,5,527,407,1
1815113455,4,4,5,527,407,1
1815113529,3,15,12,334,357,0
1815113529,3,15,12,334,357,0
1815113619,12,9,3,436,471,0
1815113619,12,9,3,436,471,0
1815114101,19,7,9,477,510,0
1815114101,19,7,9,477,510,0
1815114224,2,11,9,237,176,0
1815114224,2,11,9,237,176,0
1815115815,4,1,7,554,294,1
1815115815,4,1,7,554,294,1
1815116562,10,9,5,442,289,1
1815116562,10,9,5,442,289,1
1815116678,7,5,13,413,358,0
1815116678,7,5,13,413,358,0
1815116775,6,10,5,332,349,0
1815116775,6,10,5,332,349,0
1815117269,1,4,3,204,142,0
1815117269,1,4,3,204,142,0
1815117328,0,9,4,162,178,0
1815117328,0,9,4,162,178,0
1815117933,4,10,9,312,344,0
1815117933,4,10,9,312,344,0
1815118167,8,16,27,468,512,1
1815118167,8,16,27,468,512,1
1815118168,2,12,8,250,204,0
1815118168,2,12,8,250,204,0
1815118236,5,11,25,426,453,1
1815118236,5,11,25,426,453,1
1815118350,10,8,3,448,454,0
1815118350,10,8,3,448,454,0
1815118679,10,15,13,494,499,0
1815118679,10,15,13,494,499,0
1815120524,8,7,3,332,309,0
1815120524,8,7,3,332,309,0
1815120643,18,16,13,570,552,0
1815120643,18,16,13,570,552,0
1815120646,7,3,18,557,493,1
1815120646,7,3,18,557,493,1
1815122131,4,7,17,410,426,0
1815122131,4,7,17,410,426,0
1815122468,3,4,16,499,359,1
1815122468,3,4,16,499,359,1
1815122489,1,10,7,330,403,0
1815122489,1,10,7,330,403,0
1815122578,8,5,17,565,482,1
1815122578,8,5,17,565,482,1
1815122835,4,21,5,285,257,0
1815122835,4,21,5,285,257,0
1815122845,1,11,9,319,319,0
1815122845,1,11,9,319,319,0
1815122931,9,9,10,413,433,1
1815122931,9,9,10,413,433,1
1815122984,12,6,1,471,682,0
1815122984,12,6,1,471,682,0
1815123307,3,9,9,252,220,0
1815123307,3,9,9,252,220,0
1815098663,8,3,8,568,378,1
1815098663,8,3,8,568,378,1
1815098693,6,3,14,466,571,1
1815098693,6,3,14,466,571,1
1815098710,13,9,10,556,610,1
1815098710,13,9,10,556,610,1
1815098728,2,2,2,216,154,0
1815098728,2,2,2,216,154,0
1815098809,13,10,7,501,457,1
1815098809,13,10,7,501,457,1
1815098822,5,5,11,530,469,1
1815098822,5,5,11,530,469,1
1815099061,5,9,11,322,348,1
1815099061,5,9,11,322,348,1
1815099074,11,3,11,510,405,1
1815099074,11,3,11,510,405,1
1815099122,1,13,8,275,286,0
1815099122,1,13,8,275,286,0
1815099144,6,8,3,395,475,0
1815099144,6,8,3,395,475,0
1815099231,6,11,9,365,394,1
1815099231,6,11,9,365,394,1
1815099270,8,8,9,387,435,1
1815099270,8,8,9,387,435,1
1815099328,8,4,9,418,344,1
1815099328,8,4,9,418,344,1
1815099352,5,4,12,434,243,1
1815099352,5,4,12,434,243,1
1815099372,5,3,14,551,466,1
1815099372,5,3,14,551,466,1
1815099397,10,1,13,528,541,1
1815099397,10,1,13,528,541,1
1815099437,9,10,28,424,537,1
1815099437,9,10,28,424,537,1
1815099580,13,9,11,484,553,1
1815099580,13,9,11,484,553,1
1815099651,14,10,7,384,502,1
1815099651,14,10,7,384,502,1
1815099732,1,12,5,304,219,1
1815099732,1,12,5,304,219,1
1815099815,10,7,25,557,472,1
1815099815,10,7,25,557,472,1
1815099862,25,5,11,741,600,1
1815099862,25,5,11,741,600,1
1815099922,15,12,7,415,550,1
1815099922,15,12,7,415,550,1
1815099947,14,3,15,592,607,1
1815099947,14,3,15,592,607,1
1815100026,13,6,10,563,558,1
1815100026,13,6,10,563,558,1
1815100120,7,10,7,411,491,0
1815100120,7,10,7,411,491,0
1815100125,8,8,1,414,339,0
1815100125,8,8,1,414,339,0
1815100160,11,13,18,624,538,1
1815100160,11,13,18,624,538,1
1815100179,1,8,5,321,327,1
1815100179,1,8,5,321,327,1
1815100207,12,2,13,676,603,1
1815100207,12,2,13,676,603,1
1815100287,7,6,6,362,385,0
1815100287,7,6,6,362,385,0
1815100314,0,9,10,276,341,0
1815100314,0,9,10,276,341,0
1815100354,11,14,26,535,598,1
1815100354,11,14,26,535,598,1
1815100363,20,12,23,586,560,1
1815100363,20,12,23,586,560,1
1815100541,5,6,4,323,372,0
1815100541,5,6,4,323,372,0
1815100593,6,11,11,422,517,1
1815100593,6,11,11,422,517,1
1815100652,3,6,1,222,222,0
1815100652,3,6,1,222,222,0
1815100723,25,16,14,579,513,1
1815100723,25,16,14,579,513,1
1815100821,3,10,11,457,454,1
1815100821,3,10,11,457,454,1
1815105247,2,4,7,336,420,1
1815105247,2,4,7,336,420,1
1815105280,4,12,4,285,303,0
1815105280,4,12,4,285,303,0
1815105320,6,5,6,489,287,1
1815105320,6,5,6,489,287,1
1815105333,14,3,8,643,517,1
1815105333,14,3,8,643,517,1
1815105345,6,4,10,475,497,1
1815105345,6,4,10,475,497,1
1815105438,1,10,3,257,351,0
1815105438,1,10,3,257,351,0
1815105564,6,11,4,363,474,0
1815105564,6,11,4,363,474,0
1815105642,3,7,6,213,155,1
1815105642,3,7,6,213,155,1
1815105733,15,10,17,548,523,1
1815105733,15,10,17,548,523,1
1815105742,8,4,17,607,439,1
