id,k,d,a,gpm,xpm,win
1815105470,7,7,15,406,625,1
1815105470,7,7,15,406,625,1
1815113067,2,12,11,285,338,1
1815113067,2,12,11,285,338,1
1815116249,0,11,9,254,281,0
1815116249,0,11,9,254,281,0
1815120129,4,10,8,352,492,0
1815120129,4,10,8,352,492,0
1815120131,2,13,9,228,282,0
1815120131,2,13,9,228,282,0
1815120653,2,8,6,315,316,0
1815120653,2,8,6,315,316,0
1815121018,4,9,17,309,426,0
1815121018,4,9,17,309,426,0
1815099800,5,2,16,447,451,1
1815099800,5,2,16,447,451,1
1815105263,5,18,9,402,548,0
1815105263,5,18,9,402,548,0
1815106737,6,5,20,399,493,1
1815106737,6,5,20,399,493,1
1815108465,8,9,8,370,511,0
1815108465,8,9,8,370,511,0
1815112713,8,12,8,353,465,0
1815112713,8,12,8,353,465,0
1815120339,1,8,4,294,327,0
1815120339,1,8,4,294,327,0
1815098683,2,3,6,393,403,1
1815098683,2,3,6,393,403,1
1815098692,9,9,12,451,441,1
1815098692,9,9,12,451,441,1
1815100002,7,17,13,380,522,0
1815100002,7,17,13,380,522,0
1815100005,4,10,10,312,396,0
1815100005,4,10,10,312,396,0
1815100207,13,2,23,585,769,1
1815100207,13,2,23,585,769,1
1815100244,5,5,18,412,572,1
1815100244,5,5,18,412,572,1
1815100315,8,2,18,458,577,1
1815100315,8,2,18,458,577,1
1815100334,6,9,19,493,590,1
1815100334,6,9,19,493,590,1
1815105262,1,9,1,183,184,0
1815105262,1,9,1,183,184,0
1815105501,10,4,8,484,441,1
1815105501,10,4,8,484,441,1
1815105837,8,3,22,552,687,1
1815105837,8,3,22,552,687,1
1815105890,9,7,14,350,417,1
1815105890,9,7,14,350,417,1
1815106037,6,5,14,327,369,1
1815106037,6,5,14,327,369,1
1815106262,13,5,17,486,560,1
1815106262,13,5,17,486,560,1
1815106489,3,1,9,434,474,1
1815106489,3,1,9,434,474,1
1815107280,14,7,15,402,571,0
1815107280,14,7,15,402,571,0
1815107475,3,6,2,302,381,0
1815107475,3,6,2,302,381,0
1815107818,4,11,20,371,480,0
1815107818,4,11,20,371,480,0
1815107952,5,5,17,392,541,1
1815107952,5,5,17,392,541,1
1815107977,12,9,20,499,680,1
1815107977,12,9,20,499,680,1
1815108105,5,15,11,257,313,0
1815108105,5,15,11,257,313,0
1815108288,5,7,9,400,373,1
1815108288,5,7,9,400,373,1
1815108876,3,8,11,314,379,0
1815108876,3,8,11,314,379,0
1815108930,2,9,6,249,250,0
1815108930,2,9,6,249,250,0
1815109912,11,10,10,445,556,1
1815109912,11,10,10,445,556,1
1815111504,16,6,11,469,525,1
1815111504,16,6,11,469,525,1
1815111745,5,1,11,453,442,1
1815111745,5,1,11,453,442,1
1815112468,12,7,20,480,582,1
1815112468,12,7,20,480,582,1
1815113094,5,11,14,357,431,0
1815113094,5,11,14,357,431,0
1815113680,5,6,12,358,447,1
1815113680,5,6,12,358,447,1
1815114287,4,17,8,242,238,0
1815114287,4,17,8,242,238,0
1815114716,3,9,10,257,320,0
1815114716,3,9,10,257,320,0
1815115251,5,11,18,362,490,0
1815115251,5,11,18,362,490,0
1815115342,2,8,2,250,305,0
1815115342,2,8,2,250,305,0
1815115757,1,9,3,250,299,0
1815115757,1,9,3,250,299,0
1815115794,8,4,13,472,587,1
1815115794,8,4,13,472,587,1
1815116364,4,7,9,257,304,0
1815116364,4,7,9,257,304,0
1815116452,9,6,19,347,500,1
1815116452,9,6,19,347,500,1
1815116664,8,10,12,386,488,1
1815116664,8,10,12,386,488,1
1815116973,4,10,13,298,361,0
1815116973,4,10,13,298,361,0
1815117517,7,3,12,484,654,1
1815117517,7,3,12,484,654,1
1815117567,10,8,18,329,460,0
1815117567,10,8,18,329,460,0
1815117624,3,7,2,261,326,0
1815117624,3,7,2,261,326,0
1815117636,7,10,6,289,330,0
1815117636,7,10,6,289,330,0
1815118410,3,5,14,390,467,1
1815118410,3,5,14,390,467,1
1815118415,6,13,8,323,413,0
1815118415,6,13,8,323,413,0
1815118487,4,12,16,343,407,1
1815118487,4,12,16,343,407,1
1815118922,3,6,14,429,508,1
1815118922,3,6,14,429,508,1
1815119174,14,6,21,599,699,1
1815119174,14,6,21,599,699,1
1815119845,12,7,21,445,515,1
1815119845,12,7,21,445,515,1
1815120032,1,8,0,199,153,0
1815120032,1,8,0,199,153,0
1815120340,8,8,16,336,496,0
1815120340,8,8,16,336,496,0
1815120849,4,4,9,334,301,1
1815120849,4,4,9,334,301,1
1815121191,1,10,1,183,223,0
1815121191,1,10,1,183,223,0
1815121596,10,5,19,347,420,1
1815121596,10,5,19,347,420,1
1815122084,13,3,18,669,923,1
1815122084,13,3,18,669,923,1
1815122391,5,11,6,263,266,0
1815122391,5,11,6,263,266,0
