id,k,d,a,gpm,xpm,win
1815098851,3,15,4,265,237,0
1815098851,3,15,4,265,237,0
1815107097,6,11,5,321,446,0
1815107097,6,11,5,321,446,0
1815109621,8,12,5,477,487,1
1815109621,8,12,5,477,487,1
1815109717,6,15,3,364,488,0
1815109717,6,15,3,364,488,0
1815110203,11,4,19,527,755,1
1815110203,11,4,19,527,755,1
1815114035,2,11,4,336,339,0
1815114035,2,11,4,336,339,0
1815114091,10,9,4,435,604,0
1815114091,10,9,4,435,604,0
1815114614,3,12,9,376,447,0
1815114614,3,12,9,376,447,0
1815114848,6,6,3,378,395,0
1815114848,6,6,3,378,395,0
1815115378,6,8,12,316,346,0
1815115378,6,8,12,316,346,0
1815116043,8,9,4,469,663,0
1815116043,8,9,4,469,663,0
1815120653,2,10,5,248,256,0
1815120653,2,10,5,248,256,0
1815109768,5,10,2,328,357,0
1815109768,5,10,2,328,357,0
1815109977,4,10,4,410,450,1
1815109977,4,10,4,410,450,1
1815111673,5,5,3,427,448,0
1815111673,5,5,3,427,448,0
1815114159,19,13,5,482,635,0
1815114159,19,13,5,482,635,0
1815116365,3,5,0,270,237,0
1815116365,3,5,0,270,237,0
1815117328,3,8,0,272,311,0
1815117328,3,8,0,272,311,0
1815118050,4,12,4,338,298,0
1815118050,4,12,4,338,298,0
1815118204,0,0,0,105,0,0
1815118204,0,0,0,105,0,0
1815118562,12,11,8,473,598,0
1815118562,12,11,8,473,598,0
1815119300,10,12,7,457,531,0
1815119300,10,12,7,457,531,0
1815119679,5,8,1,428,455,0
1815119679,5,8,1,428,455,0
1815122113,6,10,12,347,499,0
1815122113,6,10,12,347,499,0
1815123195,6,3,0,421,416,0
1815123195,6,3,0,421,416,0
1815098716,4,10,5,259,308,0
1815098716,4,10,5,259,308,0
1815099321,10,15,10,392,515,0
1815099321,10,15,10,392,515,0
1815099369,3,8,2,293,363,0
1815099369,3,8,2,293,363,0
1815099958,3,6,9,372,345,1
1815099958,3,6,9,372,345,1
1815099987,6,5,1,394,437,0
1815099987,6,5,1,394,437,0
1815100005,1,12,7,285,340,1
1815100005,1,12,7,285,340,1
1815100281,3,12,6,381,414,1
1815100281,3,12,6,381,414,1
1815100444,5,6,11,435,489,1
1815100444,5,6,11,435,489,1
1815100839,18,11,15,454,483,1
1815100839,18,11,15,454,483,1
1815100841,13,6,6,467,688,0
1815100841,13,6,6,467,688,0
1815105261,6,11,8,275,317,0
1815105261,6,11,8,275,317,0
1815105333,3,13,4,220,206,0
1815105333,3,13,4,220,206,0
1815105781,13,7,14,446,593,0
1815105781,13,7,14,446,593,0
1815105937,14,5,14,586,834,1
1815105937,14,5,14,586,834,1
1815106300,8,6,4,477,500,1
1815106300,8,6,4,477,500,1
1815106630,11,6,14,586,465,1
1815106630,11,6,14,586,465,1
1815106944,4,8,5,481,569,1
1815106944,4,8,5,481,569,1
1815107313,2,8,7,339,394,1
1815107313,2,8,7,339,394,1
1815107343,7,2,18,385,573,1
1815107343,7,2,18,385,573,1
1815107473,3,14,9,316,343,0
1815107473,3,14,9,316,343,0
1815107498,15,4,6,615,537,1
1815107498,15,4,6,615,537,1
1815107644,2,8,5,336,395,0
1815107644,2,8,5,336,395,0
1815107918,6,4,13,344,406,1
1815107918,6,4,13,344,406,1
1815108030,2,10,2,283,375,0
1815108030,2,10,2,283,375,0
1815108055,4,6,3,423,517,0
1815108055,4,6,3,423,517,0
1815108176,22,8,11,533,819,1
1815108176,22,8,11,533,819,1
1815108417,27,3,19,706,643,1
1815108417,27,3,19,706,643,1
1815108608,5,7,9,442,704,0
1815108608,5,7,9,442,704,0
1815108687,2,5,5,297,460,0
1815108687,2,5,5,297,460,0
1815108730,8,5,3,487,485,1
1815108730,8,5,3,487,485,1
1815108776,3,13,7,289,430,0
1815108776,3,13,7,289,430,0
1815108908,2,9,3,200,246,0
1815108908,2,9,3,200,246,0
1815108962,19,5,11,519,640,1
1815108962,19,5,11,519,640,1
1815109410,6,4,11,526,647,1
1815109410,6,4,11,526,647,1
1815109554,12,20,18,268,337,0
1815109554,12,20,18,268,337,0
1815109606,4,8,7,428,592,1
1815109606,4,8,7,428,592,1
1815109862,2,12,6,269,345,0
1815109862,2,12,6,269,345,0
1815109980,8,1,7,443,435,1
1815109980,8,1,7,443,435,1
1815110198,9,21,12,382,437,0
1815110198,9,21,12,382,437,0
1815110274,14,8,10,478,656,1
1815110274,14,8,10,478,656,1
1815110299,3,5,1,313,449,0
1815110299,3,5,1,313,449,0
1815110376,4,8,3,281,303,0
1815110376,4,8,3,281,303,0
1815110527,4,9,4,376,504,0
1815110527,4,9,4,376,504,0
1815110607,6,15,14,377,529,0
1815110607,6,15,14,377,529,0
1815110722,2,10,5,355,431,0
1815110722,2,10,5,355,431,0
1815110743,5,10,3,267,345,0
1815110743,5,10,3,267,345,0
1815111057,15,11,9,346,509,0
1815111057,15,11,9,346,509,0
1815111125,7,1,5,540,574,1
1815111125,7,1,5,540,574,1
1815112434,0,13,3,190,208,0
1815112434,0,13,3,190,208,0
