id,k,d,a,gpm,xpm,win
1815100620,1,5,6,330,369,0
1815100620,1,5,6,330,369,0
1815106805,5,9,8,304,329,0
1815106805,5,9,8,304,329,0
1815109442,3,5,6,240,313,0
1815109442,3,5,6,240,313,0
1815109957,14,3,17,486,606,1
1815109957,14,3,17,486,606,1
1815113151,15,9,17,535,575,1
1815113151,15,9,17,535,575,1
1815116006,6,9,6,329,333,0
1815116006,6,9,6,329,333,0
1815121496,2,4,5,320,369,0
1815121496,2,4,5,320,369,0
1815122694,7,10,13,372,394,1
1815122694,7,10,13,372,394,1
1815122961,4,14,17,284,379,0
1815122961,4,14,17,284,379,0
1815100043,7,7,8,499,431,1
1815100043,7,7,8,499,431,1
1815105424,6,9,11,362,447,0
1815105424,6,9,11,362,447,0
1815107392,3,9,16,416,523,1
1815107392,3,9,16,416,523,1
1815108085,2,1,12,384,316,1
1815108085,2,1,12,384,316,1
1815110478,17,10,15,494,561,1
1815110478,17,10,15,494,561,1
1815112713,10,8,13,417,425,1
1815112713,10,8,13,417,425,1
1815113399,2,8,4,251,296,0
1815113399,2,8,4,251,296,0
1815114043,3,10,22,408,531,1
1815114043,3,10,22,408,531,1
1815114387,10,9,9,284,332,0
1815114387,10,9,9,284,332,0
1815117217,3,7,4,332,414,0
1815117217,3,7,4,332,414,0
1815117580,1,2,4,232,206,0
1815117580,1,2,4,232,206,0
1815118251,4,0,9,504,510,1
1815118251,4,0,9,504,510,1
1815119165,15,8,17,452,497,0
1815119165,15,8,17,452,497,0
1815121539,2,7,17,274,292,0
1815121539,2,7,17,274,292,0
1815122113,6,4,9,514,633,1
1815122113,6,4,9,514,633,1
1815123195,4,4,8,478,467,1
1815123195,4,4,8,478,467,1
1815123205,10,13,19,386,473,0
1815123205,10,13,19,386,473,0
1815098717,3,9,13,330,426,0
1815098717,3,9,13,330,426,0
1815098744,19,13,17,412,471,1
1815098744,19,13,17,412,471,1
1815099330,4,8,11,378,438,0
1815099330,4,8,11,378,438,0
1815099618,13,6,13,527,615,1
1815099618,13,6,13,527,615,1
1815099882,9,6,16,405,396,1
