id,k,d,a,gpm,xpm,win
1815105360,2,4,7,367,408,1
1815105360,2,4,7,367,408,1
1815105470,3,15,18,280,264,1
1815105470,3,15,18,280,264,1
1815111940,4,4,6,339,295,1
1815111940,4,4,6,339,295,1
1815106240,3,2,5,342,253,1
1815106240,3,2,5,342,253,1
1815120771,1,10,23,279,380,0
1815120771,1,10,23,279,380,0
1815099512,6,15,28,367,523,1
1815099512,6,15,28,367,523,1
1815105538,3,5,6,267,294,0
1815105538,3,5,6,267,294,0
1815105743,0,5,1,347,338,0
1815105743,0,5,1,347,338,0
1815106007,0,4,8,261,297,0
1815106007,0,4,8,261,297,0
1815106300,1,2,2,356,317,1
1815106300,1,2,2,356,317,1
1815106618,4,9,14,316,362,0
1815106618,4,9,14,316,362,0
1815106760,1,9,7,231,213,0
1815106760,1,9,7,231,213,0
1815106790,6,7,10,439,406,1
1815106790,6,7,10,439,406,1
1815108398,0,11,5,272,263,0
1815108398,0,11,5,272,263,0
1815108962,2,4,0,351,351,1
1815108962,2,4,0,351,351,1
1815109541,1,0,3,351,323,1
1815109541,1,0,3,351,323,1
1815109767,3,3,1,384,353,1
1815109767,3,3,1,384,353,1
1815110445,3,10,6,371,448,0
1815110445,3,10,6,371,448,0
1815110634,1,1,5,411,235,1
1815110634,1,1,5,411,235,1
1815111118,4,5,9,271,406,0
1815111118,4,5,9,271,406,0
1815111157,5,5,9,331,457,0
1815111157,5,5,9,331,457,0
1815112322,2,7,5,281,353,0
1815112322,2,7,5,281,353,0
1815112413,3,2,14,431,402,1
1815112413,3,2,14,431,402,1
1815114324,1,9,1,212,247,0
1815114324,1,9,1,212,247,0
1815115141,0,8,6,257,259,0
1815115141,0,8,6,257,259,0
1815115374,0,8,4,233,353,0
1815115374,0,8,4,233,353,0
1815115657,2,3,8,299,248,1
1815115657,2,3,8,299,248,1
1815116351,5,5,20,422,459,1
1815116351,5,5,20,422,459,1
1815116620,2,8,10,331,342,1
1815116620,2,8,10,331,342,1
1815116889,9,12,2,259,257,0
1815116889,9,12,2,259,257,0
1815117542,1,2,1,337,235,1
1815117542,1,2,1,337,235,1
1815117752,3,11,11,236,298,0
1815117752,3,11,11,236,298,0
1815118279,2,3,6,383,358,1
1815118279,2,3,6,383,358,1
1815118291,2,8,9,340,350,1
1815118291,2,8,9,340,350,1
1815119584,2,1,7,259,253,0
1815119584,2,1,7,259,253,0
1815123243,3,14,4,264,171,1
1815123243,3,14,4,264,171,1
1815098884,4,10,12,246,263,0
1815098884,4,10,12,246,263,0
1815100163,1,8,23,327,467,1
1815100163,1,8,23,327,467,1
1815100813,3,11,13,263,313,0
1815100813,3,11,13,263,313,0
1815106424,1,4,13,347,318,1
1815106424,1,4,13,347,318,1
1815107526,2,10,14,261,186,1
1815107526,2,10,14,261,186,1
1815108473,1,5,6,189,190,0
1815108473,1,5,6,189,190,0
1815108658,3,14,13,247,319,0
1815108658,3,14,13,247,319,0
1815108742,3,8,3,203,181,0
1815108742,3,8,3,203,181,0
1815108837,4,2,1,590,536,1
1815108837,4,2,1,590,536,1
1815110027,5,11,18,353,419,1
1815110027,5,11,18,353,419,1
1815112093,0,0,0,207,0,1
1815112093,0,0,0,207,0,1
1815113761,4,16,12,270,315,0
1815113761,4,16,12,270,315,0
1815114493,3,6,8,244,248,0
1815114493,3,6,8,244,248,0
1815114697,0,8,3,171,143,0
1815114697,0,8,3,171,143,0
1815115022,1,5,4,214,184,0
1815115022,1,5,4,214,184,0
1815115731,1,1,4,403,352,1
1815115731,1,1,4,403,352,1
1815116398,5,8,6,270,281,0
1815116398,5,8,6,270,281,0
1815118452,6,8,8,274,324,0
1815118452,6,8,8,274,324,0
1815118999,1,5,3,189,193,0
1815118999,1,5,3,189,193,0
1815120967,3,6,16,279,389,1
1815120967,3,6,16,279,389,1
1815108762,2,5,9,425,457,1
1815108762,2,5,9,425,457,1
1815113729,9,4,5,460,507,1
1815113729,9,4,5,460,507,1
1815106371,3,12,4,211,171,0
1815106371,3,12,4,211,171,0
1815106686,1,2,5,436,410,1
1815106686,1,2,5,436,410,1
1815113093,3,9,15,342,295,1
1815113093,3,9,15,342,295,1
1815115802,6,5,19,356,365,1
1815115802,6,5,19,356,365,1
1815121286,2,8,1,322,325,0
1815121286,2,8,1,322,325,0
1815122580,6,9,17,360,433,1
1815122580,6,9,17,360,433,1
