id,k,d,a,gpm,xpm,win
1815099847,10,3,8,492,487,1
1815099847,10,3,8,492,487,1
1815100126,14,9,9,494,606,1
1815100126,14,9,9,494,606,1
1815100620,3,2,3,307,338,0
1815100620,3,2,3,307,338,0
1815105547,8,13,6,331,442,0
1815105547,8,13,6,331,442,0
1815106195,5,8,7,487,554,1
1815106195,5,8,7,487,554,1
1815106528,23,9,6,476,595,0
1815106528,23,9,6,476,595,0
1815107493,12,11,4,551,498,1
1815107493,12,11,4,551,498,1
1815107537,4,8,7,323,354,0
1815107537,4,8,7,323,354,0
1815107560,10,9,8,332,485,0
1815107560,10,9,8,332,485,0
1815108520,6,4,0,458,520,0
1815108520,6,4,0,458,520,0
1815109133,9,8,6,471,448,1
1815109133,9,8,6,471,448,1
1815109300,3,21,11,261,321,0
1815109300,3,21,11,261,321,0
1815111993,5,6,2,291,315,0
1815111993,5,6,2,291,315,0
1815112587,9,6,2,498,604,0
1815112587,9,6,2,498,604,0
1815113151,6,7,6,397,382,0
1815113151,6,7,6,397,382,0
1815114035,7,4,8,478,631,0
1815114035,7,4,8,478,631,0
1815114091,11,10,10,373,502,0
1815114091,11,10,10,373,502,0
1815114531,21,2,1,775,779,1
1815114531,21,2,1,775,779,1
1815114848,4,7,5,228,181,0
1815114848,4,7,5,228,181,0
1815115320,3,10,3,305,455,0
1815115320,3,10,3,305,455,0
1815116460,4,10,4,285,269,0
1815116460,4,10,4,285,269,0
1815117120,6,5,9,535,489,1
1815117120,6,5,9,535,489,1
1815118126,14,5,4,383,413,0
1815118126,14,5,4,383,413,0
1815118138,1,16,4,275,334,0
1815118138,1,16,4,275,334,0
1815121481,15,0,7,794,985,1
1815121481,15,0,7,794,985,1
1815123211,6,12,10,308,358,0
1815123211,6,12,10,308,358,0
1815099861,9,4,5,499,677,1
1815099861,9,4,5,499,677,1
1815100247,10,3,16,544,553,1
1815100247,10,3,16,544,553,1
1815106010,2,12,3,235,248,0
1815106010,2,12,3,235,248,0
1815108254,16,12,9,424,565,0
1815108254,16,12,9,424,565,0
1815111257,12,9,5,409,556,0
1815111257,12,9,5,409,556,0
1815111407,5,12,2,350,353,0
1815111407,5,12,2,350,353,0
1815112265,5,10,9,324,382,0
1815112265,5,10,9,324,382,0
1815113808,13,5,8,549,613,1
1815113808,13,5,8,549,613,1
1815115795,10,2,6,624,526,1
1815115795,10,2,6,624,526,1
1815116446,15,7,8,545,630,1
1815116446,15,7,8,545,630,1
1815116884,0,9,2,329,392,0
1815116884,0,9,2,329,392,0
1815116894,13,6,2,492,510,0
1815116894,13,6,2,492,510,0
1815118350,7,9,4,443,482,0
1815118350,7,9,4,443,482,0
1815119300,11,10,10,512,564,1
1815119300,11,10,10,512,564,1
1815098761,9,6,4,319,376,0
1815098761,9,6,4,319,376,0
1815098828,6,3,0,370,367,0
1815098828,6,3,0,370,367,0
1815099097,11,2,14,511,700,1
1815099097,11,2,14,511,700,1
1815099137,3,7,2,229,230,0
1815099137,3,7,2,229,230,0
1815099245,5,10,2,232,266,0
1815099245,5,10,2,232,266,0
1815099352,2,7,3,168,125,0
1815099352,2,7,3,168,125,0
1815099427,10,12,4,417,507,0
1815099427,10,12,4,417,507,0
1815099830,8,18,17,339,452,0
1815099830,8,18,17,339,452,0
1815099862,5,17,13,279,303,0
1815099862,5,17,13,279,303,0
1815099987,0,5,1,146,101,0
1815099987,0,5,1,146,101,0
1815100027,3,14,4,221,274,0
1815100027,3,14,4,221,274,0
1815100178,18,5,3,372,504,0
1815100178,18,5,3,372,504,0
1815100179,3,13,10,301,387,1
1815100179,3,13,10,301,387,1
1815100314,18,16,4,391,487,0
1815100314,18,16,4,391,487,0
1815100524,14,15,8,459,435,1
1815100524,14,15,8,459,435,1
1815100619,10,9,2,433,545,0
1815100619,10,9,2,433,545,0
1815105369,5,11,6,329,302,0
1815105369,5,11,6,329,302,0
1815105682,8,9,6,312,439,0
1815105682,8,9,6,312,439,0
1815105711,6,12,4,289,347,0
1815105711,6,12,4,289,347,0
1815105800,2,6,7,274,422,0
1815105800,2,6,7,274,422,0
1815106177,9,5,2,373,604,0
1815106177,9,5,2,373,604,0
1815106218,2,12,12,330,313,1
1815106218,2,12,12,330,313,1
1815106231,12,12,17,468,558,1
1815106231,12,12,17,468,558,1
1815106325,16,9,10,460,583,0
1815106325,16,9,10,460,583,0
1815106355,25,1,9,619,696,1
1815106355,25,1,9,619,696,1
1815106474,5,2,5,385,328,1
1815106474,5,2,5,385,328,1
1815106666,3,13,5,304,308,0
1815106666,3,13,5,304,308,0
1815107047,20,4,13,583,768,1
1815107047,20,4,13,583,768,1
1815107086,2,10,2,283,308,0
1815107086,2,10,2,283,308,0
1815107141,3,7,2,291,389,0
1815107141,3,7,2,291,389,0
1815107189,9,3,10,481,564,1
1815107189,9,3,10,481,564,1
1815107434,5,8,9,418,542,1
1815107434,5,8,9,418,542,1
1815107456,2,14,4,225,250,0
1815107456,2,14,4,225,250,0
1815107695,26,3,14,803,831,1
1815107695,26,3,14,803,831,1
1815107704,4,9,5,289,351,0
1815107704,4,9,5,289,351,0
1815107857,17,4,8,532,706,1
1815107857,17,4,8,532,706,1
1815107949,1,5,4,259,315,0
1815107949,1,5,4,259,315,0
1815108032,11,9,7,424,489,0
1815108032,11,9,7,424,489,0
1815108055,0,5,7,261,380,0
1815108055,0,5,7,261,380,0
1815108175,14,10,19,467,481,1
1815108175,14,10,19,467,481,1
1815108192,23,19,14,541,478,1
1815108192,23,19,14,541,478,1
1815108278,18,5,10,475,607,1
1815108278,18,5,10,475,607,1
1815108463,14,12,9,353,380,0
1815108463,14,12,9,353,380,0
1815108556,5,8,3,347,439,0
1815108556,5,8,3,347,439,0
1815108687,16,8,13,482,430,1
1815108687,16,8,13,482,430,1
1815108732,10,11,8,320,403,0
1815108732,10,11,8,320,403,0
1815108739,11,11,2,353,391,0
1815108739,11,11,2,353,391,0
1815109267,6,12,7,325,367,0
1815109267,6,12,7,325,367,0
1815109269,2,0,1,142,121,0
1815109269,2,0,1,142,121,0
1815109410,5,10,8,437,482,1
1815109410,5,10,8,437,482,1
1815109500,13,12,7,325,394,0
1815109500,13,12,7,325,394,0
1815109637,10,10,11,452,634,0
1815109637,10,10,11,452,634,0
1815109658,7,15,9,334,497,0
1815109658,7,15,9,334,497,0
1815109666,13,6,4,396,549,0
1815109666,13,6,4,396,549,0
1815109689,3,7,2,214,242,0
1815109689,3,7,2,214,242,0
1815109824,10,13,7,323,402,0
1815109824,10,13,7,323,402,0
1815109883,14,11,5,431,526,0
1815109883,14,11,5,431,526,0
1815110324,13,1,6,527,572,1
1815110324,13,1,6,527,572,1
1815110481,16,6,2,472,584,0
1815110481,16,6,2,472,584,0
1815110634,0,1,0,153,90,0
1815110634,0,1,0,153,90,0
1815110660,8,13,6,341,408,0
1815110660,8,13,6,341,408,0
1815110711,8,5,7,355,431,0
1815110711,8,5,7,355,431,0
1815110722,11,3,5,472,402,1
1815110722,11,3,5,472,402,1
1815110745,13,12,11,463,589,0
1815110745,13,12,11,463,589,0
1815110791,26,4,15,694,780,1
1815110791,26,4,15,694,780,1
1815110940,3,10,6,261,299,0
1815110940,3,10,6,261,299,0
1815110953,8,16,2,273,343,0
1815110953,8,16,2,273,343,0
1815110960,2,10,2,236,314,0
1815110960,2,10,2,236,314,0
1815110979,2,12,11,258,419,0
1815110979,2,12,11,258,419,0
1815111474,19,15,14,643,568,0
1815111474,19,15,14,643,568,0
1815111504,9,8,10,496,523,1
1815111504,9,8,10,496,523,1
1815111545,19,9,11,494,539,1
1815111545,19,9,11,494,539,1
1815111771,5,14,11,321,449,0
1815111771,5,14,11,321,449,0
1815111814,5,9,5,248,309,0
1815111814,5,9,5,248,309,0
1815111901,13,4,8,551,612,1
1815111901,13,4,8,551,612,1
1815111941,9,9,9,455,528,1
1815111941,9,9,9,455,528,1
1815111997,9,11,8,345,452,0
1815111997,9,11,8,345,452,0
1815112035,7,2,7,464,375,1
1815112035,7,2,7,464,375,1
1815112383,6,14,7,285,355,0
1815112383,6,14,7,285,355,0
1815112395,9,13,3,391,447,0
1815112395,9,13,3,391,447,0
1815112546,14,6,7,393,501,1
1815112546,14,6,7,393,501,1
1815112837,7,16,5,354,471,0
1815112837,7,16,5,354,471,0
1815112865,18,3,4,495,586,1
1815112865,18,3,4,495,586,1
1815112866,24,10,27,436,536,1
1815112866,24,10,27,436,536,1
1815112946,3,8,3,268,272,0
1815112946,3,8,3,268,272,0
1815112995,7,8,3,285,289,0
1815112995,7,8,3,285,289,0
1815113297,15,8,24,453,547,1
1815113297,15,8,24,453,547,1
1815113401,6,7,13,379,522,0
1815113401,6,7,13,379,522,0
1815113549,12,8,17,367,530,1
1815113549,12,8,17,367,530,1
1815113881,7,10,11,323,359,0
1815113881,7,10,11,323,359,0
1815114015,18,9,15,499,561,0
1815114015,18,9,15,499,561,0
1815114041,2,4,4,403,325,1
1815114041,2,4,4,403,325,1
1815114158,8,11,3,315,378,0
1815114158,8,11,3,315,378,0
1815114211,3,5,3,252,312,0
1815114211,3,5,3,252,312,0
1815114311,5,8,14,401,490,1
1815114311,5,8,14,401,490,1
1815114415,4,5,1,251,299,0
1815114415,4,5,1,251,299,0
1815114469,7,7,4,317,340,0
1815114469,7,7,4,317,340,0
1815114479,8,9,8,343,434,0
1815114479,8,9,8,343,434,0
1815114537,4,7,4,285,309,0
1815114537,4,7,4,285,309,0
1815114560,2,6,3,261,329,0
1815114560,2,6,3,261,329,0
1815114889,5,6,6,345,338,1
1815114889,5,6,6,345,338,1
1815114930,17,10,5,430,582,0
1815114930,17,10,5,430,582,0
1815114931,13,15,15,449,567,1
1815114931,13,15,15,449,567,1
1815114972,5,16,13,334,355,1
1815114972,5,16,13,334,355,1
1815115163,7,7,6,318,350,0
1815115163,7,7,6,318,350,0
1815115353,19,7,10,600,823,1
1815115353,19,7,10,600,823,1
1815115634,17,4,9,553,544,1
1815115634,17,4,9,553,544,1
1815115743,8,7,3,404,553,0
1815115743,8,7,3,404,553,0
1815116179,10,5,12,504,596,1
1815116179,10,5,12,504,596,1
1815116236,22,4,18,662,785,1
1815116236,22,4,18,662,785,1
1815116248,0,6,4,249,192,0
1815116248,0,6,4,249,192,0
1815116313,14,1,1,542,555,1
1815116313,14,1,1,542,555,1
1815116395,12,13,5,460,573,0
1815116395,12,13,5,460,573,0
1815116418,10,8,11,381,583,0
1815116418,10,8,11,381,583,0
1815116499,1,10,2,254,173,0
1815116499,1,10,2,254,173,0
1815116522,20,5,12,670,702,1
1815116522,20,5,12,670,702,1
1815116572,10,19,10,339,468,0
1815116572,10,19,10,339,468,0
1815116664,8,14,10,480,546,1
1815116664,8,14,10,480,546,1
1815116766,18,5,10,674,839,1
1815116766,18,5,10,674,839,1
1815116785,1,19,10,223,231,0
1815116785,1,19,10,223,231,0
1815116819,7,8,4,381,472,0
1815116819,7,8,4,381,472,0
1815116867,16,13,10,413,537,0
1815116867,16,13,10,413,537,0
1815117074,5,11,5,334,392,0
1815117074,5,11,5,334,392,0
1815117304,13,14,11,367,478,0
1815117304,13,14,11,367,478,0
1815117471,10,9,19,354,409,1
1815117471,10,9,19,354,409,1
1815117475,15,11,11,451,533,0
1815117475,15,11,11,451,533,0
1815117540,13,4,9,422,368,1
1815117540,13,4,9,422,368,1
1815117592,19,5,9,526,649,1
1815117592,19,5,9,526,649,1
1815117740,18,11,7,387,564,0
1815117740,18,11,7,387,564,0
1815117756,5,6,5,308,358,0
1815117756,5,6,5,308,358,0
1815117919,16,8,9,455,556,1
1815117919,16,8,9,455,556,1
1815118021,2,9,7,291,361,0
1815118021,2,9,7,291,361,0
1815118328,15,8,15,495,555,1
1815118328,15,8,15,495,555,1
1815118511,7,4,1,394,423,0
1815118511,7,4,1,394,423,0
1815118546,29,12,8,598,498,1
1815118546,29,12,8,598,498,1
1815118592,7,5,9,399,356,1
1815118592,7,5,9,399,356,1
1815118677,10,4,8,505,516,1
1815118677,10,4,8,505,516,1
1815118757,8,14,10,349,364,0
1815118757,8,14,10,349,364,0
1815118821,19,7,10,554,636,1
1815118821,19,7,10,554,636,1
1815118843,12,8,10,494,588,0
1815118843,12,8,10,494,588,0
1815119268,5,10,5,304,239,1
1815119268,5,10,5,304,239,1
1815119316,21,4,5,696,696,1
1815119316,21,4,5,696,696,1
1815119593,11,15,6,373,394,1
1815119593,11,15,6,373,394,1
1815119819,7,10,6,330,458,0
1815119819,7,10,6,330,458,0
1815119845,13,11,11,414,488,1
1815119845,13,11,11,414,488,1
1815119865,5,15,10,282,353,0
1815119865,5,15,10,282,353,0
1815120063,5,10,14,422,523,1
1815120063,5,10,14,422,523,1
1815120105,47,5,6,754,637,1
1815120105,47,5,6,754,637,1
1815120175,10,2,9,428,571,1
1815120175,10,2,9,428,571,1
1815120578,26,12,10,574,511,0
1815120578,26,12,10,574,511,0
1815120968,10,10,1,398,390,0
1815120968,10,10,1,398,390,0
1815120998,3,12,3,291,319,0
1815120998,3,12,3,291,319,0
1815121001,17,12,7,526,659,1
1815121001,17,12,7,526,659,1
1815121014,5,9,9,295,374,0
1815121014,5,9,9,295,374,0
1815121513,26,7,8,686,466,1
1815121513,26,7,8,686,466,1
1815121543,5,8,5,253,297,0
1815121543,5,8,5,253,297,0
1815121544,9,16,11,371,324,1
1815121544,9,16,11,371,324,1
1815121627,1,10,7,223,259,0
1815121627,1,10,7,223,259,0
1815121676,3,5,7,284,374,0
1815121676,3,5,7,284,374,0
1815121829,7,12,4,370,516,0
1815121829,7,12,4,370,516,0
1815121833,7,7,6,404,500,0
1815121833,7,7,6,404,500,0
1815121885,2,8,9,219,171,0
1815121885,2,8,9,219,171,0
1815122346,0,12,3,223,309,0
1815122346,0,12,3,223,309,0
1815122390,6,16,4,297,276,0
1815122390,6,16,4,297,276,0
1815122430,4,20,3,321,270,0
1815122430,4,20,3,321,270,0
1815122493,12,1,11,589,771,1
1815122493,12,1,11,589,771,1
1815122743,6,12,12,343,501,0
1815122743,6,12,12,343,501,0
1815122756,5,1,12,369,403,1
1815122756,5,1,12,369,403,1
1815122821,14,2,7,591,707,1
1815122821,14,2,7,591,707,1
1815122865,2,10,6,226,283,0
1815122865,2,10,6,226,283,0
1815122895,12,6,8,539,585,1
1815122895,12,6,8,539,585,1
1815123027,12,5,8,412,515,1
1815123027,12,5,8,412,515,1
1815123096,18,10,14,449,513,1
1815123096,18,10,14,449,513,1
1815123125,9,3,1,508,579,1
1815123125,9,3,1,508,579,1
1815123243,13,10,4,444,459,1
1815123243,13,10,4,444,459,1
1815098801,9,12,8,411,396,0
1815098801,9,12,8,411,396,0
1815098836,16,3,10,574,704,1
1815098836,16,3,10,574,704,1
1815099036,12,10,12,511,588,0
1815099036,12,10,12,511,588,0
1815099178,20,9,17,442,499,1
1815099178,20,9,17,442,499,1
1815099381,8,10,6,261,245,0
1815099381,8,10,6,261,245,0
1815099722,11,9,19,492,658,1
1815099722,11,9,19,492,658,1
1815099985,4,8,3,230,256,0
1815099985,4,8,3,230,256,0
1815099989,30,13,6,632,632,0
1815099989,30,13,6,632,632,0
1815100157,3,13,6,259,277,0
1815100157,3,13,6,259,277,0
1815100368,7,9,9,371,493,0
1815100368,7,9,9,371,493,0
1815100483,8,9,5,304,350,0
1815100483,8,9,5,304,350,0
1815100670,9,8,6,416,432,0
1815100670,9,8,6,416,432,0
1815100728,25,9,8,620,680,1
1815100728,25,9,8,620,680,1
1815105196,8,10,15,416,510,0
1815105196,8,10,15,416,510,0
1815105618,9,8,5,408,494,1
1815105618,9,8,5,408,494,1
1815105802,8,6,15,440,526,1
1815105802,8,6,15,440,526,1
1815105936,13,13,9,374,502,0
1815105936,13,13,9,374,502,0
1815106273,9,5,12,552,482,1
1815106273,9,5,12,552,482,1
1815106304,1,1,1,435,449,1
1815106304,1,1,1,435,449,1
1815106313,7,13,16,320,391,0
1815106313,7,13,16,320,391,0
1815106316,11,3,8,488,532,1
1815106316,11,3,8,488,532,1
1815106329,9,8,18,418,529,1
1815106329,9,8,18,418,529,1
1815106414,9,9,8,312,439,0
1815106414,9,9,8,312,439,0
1815106569,22,5,16,506,536,0
1815106569,22,5,16,506,536,0
1815106738,11,12,13,369,493,1
1815106738,11,12,13,369,493,1
1815106837,4,15,5,229,314,0
1815106837,4,15,5,229,314,0
1815106958,1,13,7,237,260,0
1815106958,1,13,7,237,260,0
1815107014,9,6,9,305,437,0
1815107014,9,6,9,305,437,0
1815107076,8,15,7,297,290,0
1815107076,8,15,7,297,290,0
1815107243,12,6,11,465,519,1
1815107243,12,6,11,465,519,1
1815107839,9,4,11,465,494,1
1815107839,9,4,11,465,494,1
1815108308,8,9,16,449,575,1
1815108308,8,9,16,449,575,1
1815108766,13,4,7,567,589,1
1815108766,13,4,7,567,589,1
1815109006,5,10,9,418,486,0
1815109006,5,10,9,418,486,0
1815109405,8,8,11,448,466,1
1815109405,8,8,11,448,466,1
1815110027,8,10,10,385,517,0
1815110027,8,10,10,385,517,0
1815110180,20,8,11,614,640,1
1815110180,20,8,11,614,640,1
1815110356,16,4,3,627,631,1
1815110356,16,4,3,627,631,1
1815110457,5,5,10,429,455,1
1815110457,5,5,10,429,455,1
1815110719,4,10,2,343,339,0
1815110719,4,10,2,343,339,0
1815111117,6,7,1,314,341,0
1815111117,6,7,1,314,341,0
1815111324,14,9,6,403,568,0
1815111324,14,9,6,403,568,0
1815111386,7,7,8,338,426,0
1815111386,7,7,8,338,426,0
1815111417,6,8,8,369,447,0
1815111417,6,8,8,369,447,0
1815111419,14,4,5,485,648,0
1815111419,14,4,5,485,648,0
1815111505,12,7,8,529,575,1
1815111505,12,7,8,529,575,1
1815111706,8,3,5,501,475,1
1815111706,8,3,5,501,475,1
1815111938,5,9,7,321,375,0
1815111938,5,9,7,321,375,0
1815112080,23,6,9,538,726,1
1815112080,23,6,9,538,726,1
1815112334,11,1,8,541,547,1
1815112334,11,1,8,541,547,1
1815112484,14,8,20,475,523,0
1815112484,14,8,20,475,523,0
1815112677,16,2,5,660,751,1
1815112677,16,2,5,660,751,1
1815112816,6,13,9,308,359,0
1815112816,6,13,9,308,359,0
1815112906,9,8,12,422,453,1
1815112906,9,8,12,422,453,1
1815113004,8,9,7,317,371,0
1815113004,8,9,7,317,371,0
1815114002,10,9,10,381,537,0
1815114002,10,9,10,381,537,0
1815114288,13,9,3,387,519,0
1815114288,13,9,3,387,519,0
1815114335,3,13,9,294,368,0
1815114335,3,13,9,294,368,0
1815114401,8,11,7,297,332,0
1815114401,8,11,7,297,332,0
1815114466,12,7,8,460,459,1
1815114466,12,7,8,460,459,1
1815114468,9,5,17,457,493,1
1815114468,9,5,17,457,493,1
1815114633,0,11,2,218,261,0
1815114633,0,11,2,218,261,0
1815114697,3,7,11,284,351,0
1815114697,3,7,11,284,351,0
1815114781,3,10,2,325,421,1
1815114781,3,10,2,325,421,1
1815114969,0,7,1,149,168,0
1815114969,0,7,1,149,168,0
1815115741,19,7,8,376,450,0
1815115741,19,7,8,376,450,0
1815115895,17,7,9,536,596,1
1815115895,17,7,9,536,596,1
1815115910,2,10,5,264,277,0
1815115910,2,10,5,264,277,0
1815116204,14,9,6,563,616,1
1815116204,14,9,6,563,616,1
1815116223,9,13,8,437,479,1
1815116223,9,13,8,437,479,1
1815116397,18,3,11,581,564,1
1815116397,18,3,11,581,564,1
1815116507,13,8,14,502,642,1
1815116507,13,8,14,502,642,1
1815116772,6,2,11,530,606,1
1815116772,6,2,11,530,606,1
1815116960,0,16,9,246,363,0
1815116960,0,16,9,246,363,0
1815117087,9,8,6,487,737,0
1815117087,9,8,6,487,737,0
1815117380,17,7,16,492,631,1
1815117380,17,7,16,492,631,1
1815117743,14,11,8,455,616,0
1815117743,14,11,8,455,616,0
1815117833,19,14,9,400,505,0
1815117833,19,14,9,400,505,0
1815117992,5,14,9,293,316,0
1815117992,5,14,9,293,316,0
1815118064,9,4,6,459,456,1
1815118064,9,4,6,459,456,1
1815118194,8,6,5,442,489,0
1815118194,8,6,5,442,489,0
1815118211,4,8,7,407,529,1
1815118211,4,8,7,407,529,1
1815118293,6,12,11,267,300,0
1815118293,6,12,11,267,300,0
1815118305,5,6,2,366,401,0
1815118305,5,6,2,366,401,0
1815118580,11,9,6,436,562,0
1815118580,11,9,6,436,562,0
