@relation 'crystal maiden'

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1,0}

@data
1,8,15,298,345,1
1,8,15,298,345,1
3,15,13,267,296,1
3,15,13,267,296,1
3,11,19,224,326,0
3,11,19,224,326,0
3,8,8,273,270,1
3,8,8,273,270,1
5,2,9,345,296,1
5,2,9,345,296,1
4,11,22,243,334,0
4,11,22,243,334,0
10,7,21,403,435,1
10,7,21,403,435,1
3,12,23,325,354,1
3,12,23,325,354,1
14,5,15,464,507,1
14,5,15,464,507,1
5,10,10,258,233,0
5,10,10,258,233,0
1,6,12,333,382,1
1,6,12,333,382,1
2,11,3,187,165,0
2,11,3,187,165,0
0,16,5,232,181,0
0,16,5,232,181,0
5,5,9,365,375,1
5,5,9,365,375,1
3,9,5,195,180,0
3,9,5,195,180,0
7,9,16,365,397,1
7,9,16,365,397,1
11,5,18,417,600,1
11,5,18,417,600,1
3,5,6,254,276,0
3,5,6,254,276,0
1,11,19,181,262,0
1,11,19,181,262,0
8,8,4,302,269,0
8,8,4,302,269,0
7,6,4,430,476,0
7,6,4,430,476,0
2,9,6,147,169,0
2,9,6,147,169,0
1,11,7,165,106,0
1,11,7,165,106,0
1,13,7,315,248,0
1,13,7,315,248,0
12,2,25,456,554,1
12,2,25,456,554,1
5,15,10,314,368,0
5,15,10,314,368,0
25,3,9,655,711,1
25,3,9,655,711,1
10,5,20,422,524,1
10,5,20,422,524,1
8,6,19,441,560,1
8,6,19,441,560,1
1,8,10,320,232,1
1,8,10,320,232,1
1,6,6,208,339,0
1,6,6,208,339,0
1,7,3,232,286,0
1,7,3,232,286,0
1,10,10,209,215,0
1,10,10,209,215,0
5,6,12,322,325,0
5,6,12,322,325,0
4,7,24,342,339,1
4,7,24,342,339,1
5,12,21,309,363,1
5,12,21,309,363,1
4,10,16,337,341,1
4,10,16,337,341,1
1,15,10,231,251,0
1,15,10,231,251,0
2,4,9,328,246,1
2,4,9,328,246,1
5,4,14,349,316,1
5,4,14,349,316,1
6,2,31,403,475,1
6,2,31,403,475,1
4,9,10,335,416,0
4,9,10,335,416,0
9,7,9,361,312,1
9,7,9,361,312,1
2,7,10,415,448,1
2,7,10,415,448,1
1,8,3,171,161,0
1,8,3,171,161,0
4,9,12,286,349,0
4,9,12,286,349,0
3,10,5,229,238,0
3,10,5,229,238,0
4,2,18,333,323,1
4,2,18,333,323,1
2,4,12,287,361,1
2,4,12,287,361,1
7,7,11,449,521,1
7,7,11,449,521,1
3,11,19,372,461,0
3,11,19,372,461,0
12,11,16,419,571,1
12,11,16,419,571,1
2,8,21,285,329,0
2,8,21,285,329,0
3,14,8,232,226,0
3,14,8,232,226,0
4,8,5,220,144,0
4,8,5,220,144,0
2,11,9,222,306,0
2,11,9,222,306,0
3,6,12,355,342,1
3,6,12,355,342,1
8,4,16,534,432,1
8,4,16,534,432,1
5,9,20,338,397,1
5,9,20,338,397,1
7,1,12,452,364,1
7,1,12,452,364,1
5,7,12,339,477,1
5,7,12,339,477,1
3,6,17,334,301,1
3,6,17,334,301,1
3,5,21,398,397,1
3,5,21,398,397,1
3,1,9,372,302,1
3,1,9,372,302,1
2,13,16,362,435,1
2,13,16,362,435,1
8,9,10,339,363,1
8,9,10,339,363,1
12,13,31,399,539,1
12,13,31,399,539,1
1,2,1,397,324,0
1,2,1,397,324,0
4,6,7,446,373,1
4,6,7,446,373,1
1,5,7,408,444,1
1,5,7,408,444,1
5,6,13,351,306,1
5,6,13,351,306,1
1,1,11,291,297,1
1,1,11,291,297,1
5,17,17,319,368,1
5,17,17,319,368,1
2,17,13,221,240,0
2,17,13,221,240,0
6,7,13,335,376,1
6,7,13,335,376,1
1,16,11,192,185,0
1,16,11,192,185,0
4,11,8,272,303,0
4,11,8,272,303,0
4,8,22,342,335,1
4,8,22,342,335,1
5,5,16,402,486,1
5,5,16,402,486,1
11,8,14,503,555,1
11,8,14,503,555,1
3,11,8,277,278,1
3,11,8,277,278,1
3,11,12,266,349,0
3,11,12,266,349,0
3,13,17,345,408,1
3,13,17,345,408,1
4,15,12,230,246,0
4,15,12,230,246,0
2,15,10,216,317,0
2,15,10,216,317,0
9,3,14,446,563,1
9,3,14,446,563,1
4,8,5,208,239,0
4,8,5,208,239,0
15,13,18,414,548,0
15,13,18,414,548,0
3,13,11,287,308,0
3,13,11,287,308,0
7,13,13,291,379,1
7,13,13,291,379,1
3,9,20,407,437,0
3,9,20,407,437,0
2,8,23,368,391,1
2,8,23,368,391,1
5,12,17,398,436,1
5,12,17,398,436,1
0,3,1,218,106,0
0,3,1,218,106,0
4,14,21,287,367,1
4,14,21,287,367,1
8,10,18,346,430,0
8,10,18,346,430,0
2,10,19,296,303,1
2,10,19,296,303,1
2,4,10,339,291,1
2,4,10,339,291,1
2,9,9,222,252,0
2,9,9,222,252,0
1,3,8,357,267,1
1,3,8,357,267,1
2,7,11,240,331,0
2,7,11,240,331,0
8,5,16,402,480,1
8,5,16,402,480,1
9,8,22,400,491,1
9,8,22,400,491,1
3,5,9,351,354,1
3,5,9,351,354,1
4,5,17,405,412,1
4,5,17,405,412,1
1,13,24,321,485,1
1,13,24,321,485,1
2,16,12,184,177,0
2,16,12,184,177,0
6,18,31,298,349,1
6,18,31,298,349,1
2,11,20,268,370,0
2,11,20,268,370,0
0,13,10,226,246,0
0,13,10,226,246,0
5,9,25,345,347,1
5,9,25,345,347,1
3,2,7,385,261,1
3,2,7,385,261,1
8,12,17,362,408,0
8,12,17,362,408,0
9,5,11,472,520,1
9,5,11,472,520,1
5,11,18,272,341,0
5,11,18,272,341,0
8,10,8,386,566,0
8,10,8,386,566,0
7,11,20,419,574,1
7,11,20,419,574,1
2,10,12,270,266,1
2,10,12,270,266,1
9,5,11,433,467,1
9,5,11,433,467,1
8,2,22,433,596,1
8,2,22,433,596,1
4,13,12,267,263,1
4,13,12,267,263,1
3,12,19,276,326,0
3,12,19,276,326,0
4,7,21,343,451,1
4,7,21,343,451,1
2,9,13,270,352,0
2,9,13,270,352,0
10,8,29,405,503,1
10,8,29,405,503,1
6,9,9,227,269,0
6,9,9,227,269,0
9,7,18,382,473,1
9,7,18,382,473,1
3,17,11,263,270,0
3,17,11,263,270,0
5,9,8,314,343,0
5,9,8,314,343,0
6,10,15,389,525,0
6,10,15,389,525,0
13,8,22,411,494,1
13,8,22,411,494,1
5,2,12,358,348,1
5,2,12,358,348,1
12,5,21,497,503,1
12,5,21,497,503,1
1,11,7,256,234,0
1,11,7,256,234,0
3,13,9,225,291,0
3,13,9,225,291,0
17,15,19,352,431,0
17,15,19,352,431,0
4,8,15,231,294,0
4,8,15,231,294,0
7,13,9,315,345,1
7,13,9,315,345,1
5,11,15,410,566,1
5,11,15,410,566,1
6,10,14,309,361,1
6,10,14,309,361,1
8,11,12,291,329,0
8,11,12,291,329,0
9,18,17,265,318,0
9,18,17,265,318,0
4,8,18,354,405,1
4,8,18,354,405,1
7,7,19,372,422,1
7,7,19,372,422,1
11,8,17,350,500,0
11,8,17,350,500,0
7,7,20,345,347,1
7,7,20,345,347,1
10,9,21,355,567,1
10,9,21,355,567,1
3,8,12,335,439,0
3,8,12,335,439,0
6,10,13,345,435,1
6,10,13,345,435,1
12,11,23,413,514,1
12,11,23,413,514,1
7,15,12,310,333,1
7,15,12,310,333,1
1,11,15,298,388,1
1,11,15,298,388,1
7,4,19,501,458,1
7,4,19,501,458,1
8,5,12,378,330,1
8,5,12,378,330,1
4,7,25,290,488,0
4,7,25,290,488,0
8,3,20,408,465,1
8,3,20,408,465,1
6,17,23,310,402,0
6,17,23,310,402,0
3,4,5,290,326,1
3,4,5,290,326,1
7,4,23,387,435,1
7,4,23,387,435,1
2,12,8,218,252,0
2,12,8,218,252,0
6,8,12,279,301,0
6,8,12,279,301,0
3,4,13,354,296,1
3,4,13,354,296,1
6,16,18,374,487,1
6,16,18,374,487,1
12,8,27,429,578,1
12,8,27,429,578,1
4,14,18,263,294,0
4,14,18,263,294,0
7,12,11,300,400,0
7,12,11,300,400,0
6,6,7,338,299,1
6,6,7,338,299,1
4,8,12,361,489,1
4,8,12,361,489,1
5,14,18,292,422,0
5,14,18,292,422,0
3,7,17,380,365,1
3,7,17,380,365,1
1,7,5,168,135,0
1,7,5,168,135,0
7,14,25,497,525,1
7,14,25,497,525,1
2,8,7,238,274,0
2,8,7,238,274,0
0,11,18,284,414,0
0,11,18,284,414,0
6,16,11,242,256,0
6,16,11,242,256,0
6,11,20,330,503,1
6,11,20,330,503,1
12,15,20,336,454,0
12,15,20,336,454,0
3,10,7,287,343,0
3,10,7,287,343,0
14,5,18,448,582,1
14,5,18,448,582,1
4,12,14,227,320,0
4,12,14,227,320,0
9,11,21,358,476,0
9,11,21,358,476,0
1,9,27,276,347,0
1,9,27,276,347,0
9,11,16,378,534,0
9,11,16,378,534,0
6,13,19,256,347,0
6,13,19,256,347,0
10,14,23,385,585,1
10,14,23,385,585,1
4,11,9,262,358,0
4,11,9,262,358,0
2,11,16,232,321,1
2,11,16,232,321,1
1,3,9,334,356,1
1,3,9,334,356,1
13,4,12,405,502,1
13,4,12,405,502,1
2,13,14,250,327,0
2,13,14,250,327,0
1,5,6,297,160,0
1,5,6,297,160,0
9,13,7,281,341,0
9,13,7,281,341,0
8,13,17,277,368,0
8,13,17,277,368,0
8,4,12,377,317,1
8,4,12,377,317,1
10,8,8,288,320,0
10,8,8,288,320,0
25,5,26,431,509,1
25,5,26,431,509,1
8,12,14,378,416,1
8,12,14,378,416,1
1,6,17,332,404,1
1,6,17,332,404,1
3,10,15,363,420,1
3,10,15,363,420,1
12,10,23,400,497,1
12,10,23,400,497,1
2,8,15,357,311,1
2,8,15,357,311,1
1,6,8,282,362,1
1,6,8,282,362,1
11,10,23,373,604,1
11,10,23,373,604,1
9,5,19,417,433,1
9,5,19,417,433,1
7,7,18,350,533,1
7,7,18,350,533,1
9,3,19,466,597,1
9,3,19,466,597,1
9,10,17,379,521,1
9,10,17,379,521,1
1,7,15,290,314,1
1,7,15,290,314,1
4,20,18,360,414,0
4,20,18,360,414,0
11,9,2,285,343,0
11,9,2,285,343,0
3,12,18,246,351,0
3,12,18,246,351,0
7,11,20,362,428,1
7,11,20,362,428,1
2,14,13,222,298,0
2,14,13,222,298,0
3,11,16,233,249,0
3,11,16,233,249,0
1,11,4,207,266,1
1,11,4,207,266,1
3,14,7,224,257,0
3,14,7,224,257,0
8,4,13,333,389,1
8,4,13,333,389,1
5,10,14,315,353,0
5,10,14,315,353,0
2,10,3,338,426,0
2,10,3,338,426,0
7,1,10,446,447,1
7,1,10,446,447,1
5,11,6,267,377,0
5,11,6,267,377,0
7,16,24,304,500,1
7,16,24,304,500,1
4,10,20,319,448,0
4,10,20,319,448,0
1,7,13,280,335,1
1,7,13,280,335,1
10,17,10,395,429,1
10,17,10,395,429,1
4,6,19,347,376,1
4,6,19,347,376,1
9,9,18,433,440,1
9,9,18,433,440,1
4,5,12,371,426,1
4,5,12,371,426,1
4,14,26,285,375,1
4,14,26,285,375,1
19,2,17,574,607,1
19,2,17,574,607,1
3,12,8,194,218,0
3,12,8,194,218,0
2,8,16,238,283,1
2,8,16,238,283,1
1,12,7,237,197,1
1,12,7,237,197,1
3,14,11,244,188,1
3,14,11,244,188,1
1,11,4,170,180,0
1,11,4,170,180,0
2,8,4,304,239,0
2,8,4,304,239,0
9,7,22,394,467,1
9,7,22,394,467,1
9,3,18,377,463,1
9,3,18,377,463,1
14,4,15,427,590,1
14,4,15,427,590,1
5,6,8,306,383,0
5,6,8,306,383,0
4,6,20,274,287,1
4,6,20,274,287,1
5,3,18,409,465,1
5,3,18,409,465,1
5,7,13,306,379,1
5,7,13,306,379,1
2,13,14,234,314,0
2,13,14,234,314,0
3,7,12,341,328,1
3,7,12,341,328,1
7,5,16,456,375,1
7,5,16,456,375,1
3,4,8,379,318,1
3,4,8,379,318,1
7,18,10,287,330,0
7,18,10,287,330,0
4,10,15,281,377,0
4,10,15,281,377,0
2,10,6,224,267,0
2,10,6,224,267,0
2,9,8,207,225,0
2,9,8,207,225,0
0,5,1,132,122,0
0,5,1,132,122,0
2,3,17,332,352,1
2,3,17,332,352,1
1,8,10,191,194,0
1,8,10,191,194,0
1,11,9,190,219,0
1,11,9,190,219,0
6,4,21,387,441,1
6,4,21,387,441,1
4,5,20,427,536,1
4,5,20,427,536,1
2,4,14,328,352,1
2,4,14,328,352,1
2,19,15,238,275,1
2,19,15,238,275,1
3,19,15,245,299,0
3,19,15,245,299,0
3,12,7,265,274,0
3,12,7,265,274,0
4,10,13,276,395,0
4,10,13,276,395,0
1,9,15,220,217,1
1,9,15,220,217,1
2,9,16,298,371,1
2,9,16,298,371,1
4,8,14,344,419,1
4,8,14,344,419,1
6,5,11,417,478,1
6,5,11,417,478,1
3,7,14,180,198,0
3,7,14,180,198,0
16,7,27,392,411,1
16,7,27,392,411,1
10,7,11,381,438,1
10,7,11,381,438,1
4,15,16,258,353,0
4,15,16,258,353,0
7,8,23,367,525,1
7,8,23,367,525,1
10,5,23,409,562,1
10,5,23,409,562,1
9,11,16,290,304,0
9,11,16,290,304,0
4,5,15,389,344,1
4,5,15,389,344,1
4,12,22,302,415,1
4,12,22,302,415,1
0,4,0,272,313,1
0,4,0,272,313,1
6,7,15,343,351,1
6,7,15,343,351,1
12,9,28,393,644,1
12,9,28,393,644,1
0,16,11,219,285,0
0,16,11,219,285,0
10,9,5,380,483,0
10,9,5,380,483,0
1,8,5,237,167,1
1,8,5,237,167,1
1,0,5,395,269,1
1,0,5,395,269,1
4,13,14,267,317,0
4,13,14,267,317,0
5,18,9,233,276,0
5,18,9,233,276,0
4,16,21,270,324,0
4,16,21,270,324,0
7,13,27,335,439,1
7,13,27,335,439,1
3,12,3,282,265,0
3,12,3,282,265,0
9,13,13,359,437,0
9,13,13,359,437,0
1,6,7,296,294,1
1,6,7,296,294,1
17,4,20,479,595,1
17,4,20,479,595,1
7,4,7,382,433,1
7,4,7,382,433,1
4,8,12,330,389,1
4,8,12,330,389,1
9,7,12,403,541,1
9,7,12,403,541,1
7,14,24,365,598,0
7,14,24,365,598,0
7,8,35,363,521,1
7,8,35,363,521,1
8,7,26,469,588,1
8,7,26,469,588,1
11,10,26,429,570,1
11,10,26,429,570,1
3,13,11,228,288,0
3,13,11,228,288,0
9,1,14,391,336,1
9,1,14,391,336,1
8,14,12,300,357,1
8,14,12,300,357,1
9,8,13,375,340,1
9,8,13,375,340,1
12,15,29,400,494,0
12,15,29,400,494,0
2,19,13,278,327,1
2,19,13,278,327,1
9,2,19,429,618,1
9,2,19,429,618,1
15,6,20,506,737,1
15,6,20,506,737,1
5,10,13,288,344,0
5,10,13,288,344,0
2,12,20,280,297,0
2,12,20,280,297,0
7,14,19,412,513,1
7,14,19,412,513,1
5,13,13,279,275,1
5,13,13,279,275,1
3,12,18,296,367,0
3,12,18,296,367,0
8,9,21,375,443,1
8,9,21,375,443,1
19,15,23,423,502,0
19,15,23,423,502,0
8,15,18,324,449,1
8,15,18,324,449,1
4,5,15,320,401,1
4,5,15,320,401,1
2,10,14,335,369,1
2,10,14,335,369,1
7,7,16,344,452,1
7,7,16,344,452,1
2,4,10,296,357,1
2,4,10,296,357,1
8,8,18,361,468,1
8,8,18,361,468,1
3,15,20,297,413,0
3,15,20,297,413,0
2,26,13,252,301,0
2,26,13,252,301,0
8,15,17,330,384,0
8,15,17,330,384,0
12,9,19,406,484,1
12,9,19,406,484,1
2,11,7,254,247,0
2,11,7,254,247,0
14,6,31,472,624,1
14,6,31,472,624,1
7,14,14,339,403,1
7,14,14,339,403,1
0,22,5,152,210,0
0,22,5,152,210,0
6,7,22,308,438,0
6,7,22,308,438,0
8,8,11,394,417,1
8,8,11,394,417,1
13,6,27,442,549,1
13,6,27,442,549,1
9,20,21,306,429,1
9,20,21,306,429,1
1,5,2,191,221,0
1,5,2,191,221,0
4,7,12,262,266,1
4,7,12,262,266,1
1,6,9,257,302,0
1,6,9,257,302,0
9,9,20,352,448,1
9,9,20,352,448,1
4,9,12,236,311,0
4,9,12,236,311,0
4,8,11,289,282,0
4,8,11,289,282,0
1,11,9,227,222,0
1,11,9,227,222,0
6,6,20,369,400,1
6,6,20,369,400,1
7,7,13,308,411,0
7,7,13,308,411,0
11,7,21,462,667,1
11,7,21,462,667,1
7,1,10,536,467,1
7,1,10,536,467,1
4,11,5,288,266,0
4,11,5,288,266,0
3,7,20,341,457,1
3,7,20,341,457,1
6,14,11,265,295,0
6,14,11,265,295,0
1,6,20,328,368,1
1,6,20,328,368,1
4,14,20,279,384,0
4,14,20,279,384,0
3,13,6,276,326,0
3,13,6,276,326,0
1,17,2,215,231,0
1,17,2,215,231,0
5,4,18,372,447,1
5,4,18,372,447,1
17,3,24,529,596,1
17,3,24,529,596,1
5,11,14,295,360,0
5,11,14,295,360,0
11,10,22,418,512,1
11,10,22,418,512,1
5,4,21,370,422,1
5,4,21,370,422,1
5,5,14,350,381,1
5,5,14,350,381,1
6,10,17,332,374,1
6,10,17,332,374,1
3,21,16,240,219,1
3,21,16,240,219,1
2,4,17,296,468,1
2,4,17,296,468,1
4,4,18,390,341,1
4,4,18,390,341,1
8,3,9,333,295,1
8,3,9,333,295,1
3,8,3,272,408,0
3,8,3,272,408,0
4,15,11,407,458,0
4,15,11,407,458,0
0,11,14,215,266,0
0,11,14,215,266,0
2,6,10,237,280,0
2,6,10,237,280,0
12,8,12,446,600,1
12,8,12,446,600,1
6,13,26,331,534,1
6,13,26,331,534,1
8,3,16,407,458,1
8,3,16,407,458,1
1,9,3,173,195,0
