id,k,d,a,gpm,xpm,win
1815098851,1,8,15,298,345,1
1815098851,1,8,15,298,345,1
1815099196,3,15,13,267,296,1
1815099196,3,15,13,267,296,1
1815099663,3,11,19,224,326,0
1815099663,3,11,19,224,326,0
1815100592,3,8,8,273,270,1
1815100592,3,8,8,273,270,1
1815100823,5,2,9,345,296,1
1815100823,5,2,9,345,296,1
1815105232,4,11,22,243,334,0
1815105232,4,11,22,243,334,0
1815105631,10,7,21,403,435,1
1815105631,10,7,21,403,435,1
1815105657,3,12,23,325,354,1
1815105657,3,12,23,325,354,1
1815105820,14,5,15,464,507,1
1815105820,14,5,15,464,507,1
1815106167,5,10,10,258,233,0
1815106167,5,10,10,258,233,0
1815106491,1,6,12,333,382,1
1815106491,1,6,12,333,382,1
1815107780,2,11,3,187,165,0
1815107780,2,11,3,187,165,0
1815108112,0,16,5,232,181,0
1815108112,0,16,5,232,181,0
1815108520,5,5,9,365,375,1
1815108520,5,5,9,365,375,1
1815108872,3,9,5,195,180,0
1815108872,3,9,5,195,180,0
1815108927,7,9,16,365,397,1
1815108927,7,9,16,365,397,1
1815109218,11,5,18,417,600,1
1815109218,11,5,18,417,600,1
1815109255,3,5,6,254,276,0
1815109255,3,5,6,254,276,0
1815109718,1,11,19,181,262,0
1815109718,1,11,19,181,262,0
1815109872,8,8,4,302,269,0
1815109872,8,8,4,302,269,0
1815110072,7,6,4,430,476,0
1815110072,7,6,4,430,476,0
1815111286,2,9,6,147,169,0
1815111286,2,9,6,147,169,0
1815111850,1,11,7,165,106,0
1815111850,1,11,7,165,106,0
1815111993,1,13,7,315,248,0
1815111993,1,13,7,315,248,0
1815112037,12,2,25,456,554,1
1815112037,12,2,25,456,554,1
1815112400,5,15,10,314,368,0
1815112400,5,15,10,314,368,0
1815112669,25,3,9,655,711,1
1815112669,25,3,9,655,711,1
1815113007,10,5,20,422,524,1
1815113007,10,5,20,422,524,1
1815114197,8,6,19,441,560,1
1815114197,8,6,19,441,560,1
1815114228,1,8,10,320,232,1
1815114228,1,8,10,320,232,1
1815114542,1,6,6,208,339,0
1815114542,1,6,6,208,339,0
1815114640,1,7,3,232,286,0
1815114640,1,7,3,232,286,0
1815114730,1,10,10,209,215,0
1815114730,1,10,10,209,215,0
1815114732,5,6,12,322,325,0
1815114732,5,6,12,322,325,0
1815114765,4,7,24,342,339,1
1815114765,4,7,24,342,339,1
1815114960,5,12,21,309,363,1
1815114960,5,12,21,309,363,1
1815116249,4,10,16,337,341,1
1815116249,4,10,16,337,341,1
1815116460,1,15,10,231,251,0
1815116460,1,15,10,231,251,0
1815117007,2,4,9,328,246,1
1815117007,2,4,9,328,246,1
1815117152,5,4,14,349,316,1
1815117152,5,4,14,349,316,1
1815117725,6,2,31,403,475,1
1815117725,6,2,31,403,475,1
1815117845,4,9,10,335,416,0
1815117845,4,9,10,335,416,0
1815118466,9,7,9,361,312,1
1815118466,9,7,9,361,312,1
1815118469,2,7,10,415,448,1
1815118469,2,7,10,415,448,1
1815118564,1,8,3,171,161,0
1815118564,1,8,3,171,161,0
1815118587,4,9,12,286,349,0
1815118587,4,9,12,286,349,0
1815119362,3,10,5,229,238,0
1815119362,3,10,5,229,238,0
1815119466,4,2,18,333,323,1
1815119466,4,2,18,333,323,1
1815120132,2,4,12,287,361,1
1815120132,2,4,12,287,361,1
1815121481,7,7,11,449,521,1
1815121481,7,7,11,449,521,1
1815122714,3,11,19,372,461,0
1815122714,3,11,19,372,461,0
1815122961,12,11,16,419,571,1
1815122961,12,11,16,419,571,1
1815098985,2,8,21,285,329,0
1815098985,2,8,21,285,329,0
1815099163,3,14,8,232,226,0
1815099163,3,14,8,232,226,0
1815099373,4,8,5,220,144,0
1815099373,4,8,5,220,144,0
1815099731,2,11,9,222,306,0
1815099731,2,11,9,222,306,0
1815099860,3,6,12,355,342,1
1815099860,3,6,12,355,342,1
1815100043,8,4,16,534,432,1
1815100043,8,4,16,534,432,1
1815100570,5,9,20,338,397,1
1815100570,5,9,20,338,397,1
1815100822,7,1,12,452,364,1
1815100822,7,1,12,452,364,1
1815105263,5,7,12,339,477,1
1815105263,5,7,12,339,477,1
1815105267,3,6,17,334,301,1
1815105267,3,6,17,334,301,1
1815105492,3,5,21,398,397,1
1815105492,3,5,21,398,397,1
1815105993,3,1,9,372,302,1
1815105993,3,1,9,372,302,1
1815106161,2,13,16,362,435,1
1815106161,2,13,16,362,435,1
1815106854,8,9,10,339,363,1
1815106854,8,9,10,339,363,1
1815107318,12,13,31,399,539,1
1815107318,12,13,31,399,539,1
1815107696,1,2,1,397,324,0
1815107696,1,2,1,397,324,0
1815107985,4,6,7,446,373,1
1815107985,4,6,7,446,373,1
1815108573,1,5,7,408,444,1
1815108573,1,5,7,408,444,1
1815108574,5,6,13,351,306,1
1815108574,5,6,13,351,306,1
1815108799,1,1,11,291,297,1
1815108799,1,1,11,291,297,1
