id,k,d,a,gpm,xpm,win
1815098851,1,12,5,271,222,0
1815098851,1,12,5,271,222,0
1815105721,3,6,13,370,487,1
1815105721,3,6,13,370,487,1
1815105880,5,16,19,437,418,1
1815105880,5,16,19,437,418,1
1815108053,2,6,11,340,403,0
1815108053,2,6,11,340,403,0
1815110182,3,9,6,250,261,0
1815110182,3,9,6,250,261,0
1815110849,10,10,23,430,506,1
1815110849,10,10,23,430,506,1
1815111494,2,9,13,281,330,1
1815111494,2,9,13,281,330,1
1815113474,3,8,8,301,276,0
1815113474,3,8,8,301,276,0
1815114640,3,4,9,441,392,1
1815114640,3,4,9,441,392,1
1815116249,4,12,14,307,310,0
1815116249,4,12,14,307,310,0
1815118857,1,9,16,388,531,0
1815118857,1,9,16,388,531,0
1815118893,1,9,11,296,349,0
1815118893,1,9,11,296,349,0
1815120653,13,5,17,543,478,1
1815120653,13,5,17,543,478,1
1815121797,4,13,15,428,426,1
1815121797,4,13,15,428,426,1
1815122517,2,12,23,399,449,1
1815122517,2,12,23,399,449,1
1815099190,6,1,18,521,501,1
1815099190,6,1,18,521,501,1
1815099451,7,2,12,559,566,1
1815099451,7,2,12,559,566,1
1815099650,2,10,5,383,405,0
1815099650,2,10,5,383,405,0
1815099731,10,6,18,494,641,1
1815099731,10,6,18,494,641,1
1815099860,5,6,12,362,403,0
1815099860,5,6,12,362,403,0
1815099878,5,12,12,330,320,0
1815099878,5,12,12,330,320,0
1815106240,1,11,6,292,249,0
1815106240,1,11,6,292,249,0
1815106975,3,7,3,319,335,0
1815106975,3,7,3,319,335,0
1815108256,8,9,22,383,413,0
1815108256,8,9,22,383,413,0
1815108465,10,8,18,489,503,1
1815108465,10,8,18,489,503,1
1815109287,5,12,18,298,342,0
1815109287,5,12,18,298,342,0
1815110720,1,9,22,352,349,1
1815110720,1,9,22,352,349,1
1815113531,8,10,24,387,485,0
1815113531,8,10,24,387,485,0
1815113976,4,9,15,303,360,0
1815113976,4,9,15,303,360,0
1815114596,8,13,19,436,530,0
1815114596,8,13,19,436,530,0
1815115433,2,10,14,330,339,0
1815115433,2,10,14,330,339,0
1815117101,2,7,13,403,502,1
1815117101,2,7,13,403,502,1
1815117214,7,7,13,351,495,0
1815117214,7,7,13,351,495,0
1815117933,7,4,19,488,531,1
1815117933,7,4,19,488,531,1
1815118588,5,5,23,451,451,1
1815118588,5,5,23,451,451,1
1815119676,4,8,26,358,420,1
1815119676,4,8,26,358,420,1
1815121288,13,7,20,497,532,1
1815121288,13,7,20,497,532,1
1815121552,5,13,12,326,282,0
1815121552,5,13,12,326,282,0
1815098864,14,9,30,445,504,1
1815098864,14,9,30,445,504,1
1815098917,6,4,29,480,677,1
1815098917,6,4,29,480,677,1
1815098941,3,4,22,318,423,1
1815098941,3,4,22,318,423,1
1815099084,3,11,5,298,265,0
1815099084,3,11,5,298,265,0
1815099321,8,14,19,376,384,1
1815099321,8,14,19,376,384,1
1815099328,1,14,6,240,239,0
1815099328,1,14,6,240,239,0
1815099774,3,8,22,434,450,1
1815099774,3,8,22,434,450,1
1815100244,4,8,23,369,450,1
1815100244,4,8,23,369,450,1
1815100266,2,5,12,413,528,0
1815100266,2,5,12,413,528,0
1815100364,4,5,15,324,350,1
1815100364,4,5,15,324,350,1
1815100543,7,7,10,398,606,0
1815100543,7,7,10,398,606,0
1815100714,5,6,26,407,532,1
1815100714,5,6,26,407,532,1
1815100796,1,9,8,288,306,0
1815100796,1,9,8,288,306,0
1815100821,2,13,12,259,229,0
1815100821,2,13,12,259,229,0
1815105320,4,9,9,306,292,0
1815105320,4,9,9,306,292,0
1815105330,5,11,15,361,460,0
1815105330,5,11,15,361,460,0
1815105491,0,11,11,323,417,0
1815105491,0,11,11,323,417,0
1815105493,4,5,18,393,491,1
