id,k,d,a,gpm,xpm,win
1815098851,1,13,2,169,140,0
1815098851,1,13,2,169,140,0
1815098931,3,10,15,290,450,0
1815098931,3,10,15,290,450,0
1815106214,4,4,7,353,428,1
1815106214,4,4,7,353,428,1
1815106528,0,15,7,262,222,1
1815106528,0,15,7,262,222,1
1815107537,1,5,12,371,382,1
1815107537,1,5,12,371,382,1
1815107780,4,4,9,400,342,1
1815107780,4,4,9,400,342,1
1815109596,5,4,11,414,335,1
1815109596,5,4,11,414,335,1
1815109621,1,6,11,241,373,0
1815109621,1,6,11,241,373,0
1815109632,3,1,13,326,393,1
1815109632,3,1,13,326,393,1
1815109702,6,12,27,303,441,1
1815109702,6,12,27,303,441,1
1815109957,4,8,17,300,363,1
1815109957,4,8,17,300,363,1
1815110242,3,8,10,322,402,0
1815110242,3,8,10,322,402,0
1815110721,0,9,3,155,150,0
1815110721,0,9,3,155,150,0
1815110866,4,0,8,391,393,1
1815110866,4,0,8,391,393,1
1815111331,1,17,9,239,229,0
1815111331,1,17,9,239,229,0
1815111397,1,8,11,259,259,0
1815111397,1,8,11,259,259,0
1815112241,2,14,16,261,241,1
1815112241,2,14,16,261,241,1
1815112250,9,7,11,430,471,1
1815112250,9,7,11,430,471,1
1815112349,6,2,7,304,393,1
1815112349,6,2,7,304,393,1
1815112587,0,10,2,243,177,0
1815112587,0,10,2,243,177,0
1815114035,3,10,1,247,261,0
1815114035,3,10,1,247,261,0
1815114091,2,7,16,335,473,1
1815114091,2,7,16,335,473,1
1815114302,0,7,11,318,411,1
1815114302,0,7,11,318,411,1
1815114531,4,1,11,387,435,1
1815114531,4,1,11,387,435,1
1815114730,3,7,19,354,435,1
1815114730,3,7,19,354,435,1
1815114784,6,7,10,285,341,0
1815114784,6,7,10,285,341,0
1815115229,12,6,24,461,578,1
1815115229,12,6,24,461,578,1
1815115412,2,7,9,350,376,1
1815115412,2,7,9,350,376,1
1815116043,3,10,15,325,358,1
1815116043,3,10,15,325,358,1
1815116786,2,7,20,371,345,1
1815116786,2,7,20,371,345,1
1815117894,3,5,11,241,340,0
1815117894,3,5,11,241,340,0
1815117916,2,10,2,169,192,0
1815117916,2,10,2,169,192,0
1815118893,3,8,7,292,295,1
1815118893,3,8,7,292,295,1
1815121376,1,16,15,231,273,1
1815121376,1,16,15,231,273,1
1815121797,2,7,12,221,316,0
1815121797,2,7,12,221,316,0
1815122435,1,11,9,219,276,0
1815122435,1,11,9,219,276,0
1815122714,1,14,11,252,301,0
1815122714,1,14,11,252,301,0
1815122758,0,11,11,237,247,0
1815122758,0,11,11,237,247,0
1815123046,2,14,11,256,235,0
1815123046,2,14,11,256,235,0
1815123130,2,9,9,275,327,1
1815123130,2,9,9,275,327,1
1815099284,8,6,13,445,399,1
1815099284,8,6,13,445,399,1
1815099451,1,5,1,210,232,0
1815099451,1,5,1,210,232,0
1815099878,2,7,22,318,385,1
1815099878,2,7,22,318,385,1
1815100532,1,9,7,279,332,1
1815100532,1,9,7,279,332,1
1815100572,2,6,12,349,374,1
1815100572,2,6,12,349,374,1
1815105643,1,15,13,258,249,0
1815105643,1,15,13,258,249,0
1815105708,0,6,4,212,244,0
1815105708,0,6,4,212,244,0
1815106010,5,4,7,331,332,1
1815106010,5,4,7,331,332,1
1815106737,2,9,16,266,265,1
1815106737,2,9,16,266,265,1
1815106780,3,1,19,428,384,1
1815106780,3,1,19,428,384,1
1815107377,1,4,12,348,366,1
1815107377,1,4,12,348,366,1
1815107956,6,7,6,318,391,0
1815107956,6,7,6,318,391,0
1815108085,1,1,5,421,333,1
1815108085,1,1,5,421,333,1
1815108129,5,5,11,370,373,1
1815108129,5,5,11,370,373,1
1815109288,2,2,13,374,363,1
1815109288,2,2,13,374,363,1
1815109768,2,12,7,202,253,0
1815109768,2,12,7,202,253,0
1815109887,2,9,10,241,263,0
1815109887,2,9,10,241,263,0
1815110115,1,2,13,388,359,1
1815110115,1,2,13,388,359,1
1815110216,0,7,2,226,202,0
1815110216,0,7,2,226,202,0
1815110502,1,4,11,306,442,1
1815110502,1,4,11,306,442,1
1815111625,1,8,14,317,410,0
1815111625,1,8,14,317,410,0
1815111673,4,1,12,355,366,1
1815111673,4,1,12,355,366,1
1815111881,2,11,6,188,176,0
1815111881,2,11,6,188,176,0
1815112217,4,14,6,288,273,0
1815112217,4,14,6,288,273,0
1815112529,6,14,17,340,342,1
1815112529,6,14,17,340,342,1
1815113200,5,5,12,383,371,1
1815113200,5,5,12,383,371,1
1815113278,3,14,17,259,319,1
1815113278,3,14,17,259,319,1
1815113719,9,12,19,426,474,1
1815113719,9,12,19,426,474,1
1815113787,0,6,12,227,267,0
1815113787,0,6,12,227,267,0
1815113844,0,4,7,277,313,1
1815113844,0,4,7,277,313,1
1815113893,5,6,13,348,437,1
1815113893,5,6,13,348,437,1
1815113976,4,9,19,308,356,1
1815113976,4,9,19,308,356,1
1815114688,1,7,18,302,300,1
1815114688,1,7,18,302,300,1
1815114947,1,5,0,130,128,0
1815114947,1,5,0,130,128,0
1815115049,1,4,9,292,359,1
1815115049,1,4,9,292,359,1
1815116446,2,12,11,222,276,0
1815116446,2,12,11,222,276,0
1815116894,4,17,7,232,244,0
1815116894,4,17,7,232,244,0
1815117702,5,9,20,338,307,1
1815117702,5,9,20,338,307,1
1815118167,2,14,16,280,365,1
1815118167,2,14,16,280,365,1
1815118620,4,9,12,308,358,1
1815118620,4,9,12,308,358,1
1815118788,4,14,12,297,364,1
1815118788,4,14,12,297,364,1
1815120473,1,4,13,314,327,1
1815120473,1,4,13,314,327,1
1815120537,5,6,7,268,323,0
1815120537,5,6,7,268,323,0
1815120646,7,3,14,409,427,1
1815120646,7,3,14,409,427,1
1815121314,4,7,4,419,263,1
1815121314,4,7,4,419,263,1
