id,k,d,a,gpm,xpm,win
1815105232,14,8,9,416,510,0
1815105232,14,8,9,416,510,0
1815108036,9,5,11,514,537,1
1815108036,9,5,11,514,537,1
1815108927,8,6,21,584,673,1
1815108927,8,6,21,584,673,1
1815110721,6,9,5,389,437,0
1815110721,6,9,5,389,437,0
1815111286,3,8,12,470,425,1
1815111286,3,8,12,470,425,1
1815113859,7,8,3,373,404,0
1815113859,7,8,3,373,404,0
1815114732,3,1,5,541,516,1
1815114732,3,1,5,541,516,1
1815116043,11,9,10,428,566,0
1815116043,11,9,10,428,566,0
1815117139,3,12,8,409,517,1
1815117139,3,12,8,409,517,1
1815118352,8,9,11,430,405,1
1815118352,8,9,11,430,405,1
1815119343,9,2,3,596,576,1
1815119343,9,2,3,596,576,1
1815120417,15,10,11,520,613,0
1815120417,15,10,11,520,613,0
1815120684,5,8,3,420,538,0
1815120684,5,8,3,420,538,0
1815121225,9,4,12,512,505,1
1815121225,9,4,12,512,505,1
1815122976,7,9,22,477,517,1
1815122976,7,9,22,477,517,1
1815098869,8,3,18,462,531,1
1815098869,8,3,18,462,531,1
1815100680,6,5,9,459,450,1
1815100680,6,5,9,459,450,1
1815107318,14,11,19,446,560,1
1815107318,14,11,19,446,560,1
1815108591,5,2,11,622,663,1
1815108591,5,2,11,622,663,1
1815108741,12,4,11,547,621,1
1815108741,12,4,11,547,621,1
1815109555,10,7,8,558,620,1
1815109555,10,7,8,558,620,1
1815111195,8,7,5,491,561,1
1815111195,8,7,5,491,561,1
1815111500,15,7,17,571,682,1
1815111500,15,7,17,571,682,1
1815117052,4,10,7,326,380,0
1815117052,4,10,7,326,380,0
1815120120,3,7,14,361,502,0
1815120120,3,7,14,361,502,0
1815121617,17,8,19,516,568,1
1815121617,17,8,19,516,568,1
1815122575,11,12,16,510,646,1
1815122575,11,12,16,510,646,1
1815122931,8,15,17,379,493,0
1815122931,8,15,17,379,493,0
1815099037,10,5,24,471,734,1
1815099037,10,5,24,471,734,1
1815099148,11,8,7,374,496,1
1815099148,11,8,7,374,496,1
1815099243,4,13,7,334,387,0
1815099243,4,13,7,334,387,0
1815099370,3,11,9,240,238,0
1815099370,3,11,9,240,238,0
1815099882,9,4,13,554,667,1
1815099882,9,4,13,554,667,1
1815099971,1,15,5,264,296,0
1815099971,1,15,5,264,296,0
1815100158,2,8,5,353,268,0
1815100158,2,8,5,353,268,0
1815100196,6,11,11,364,459,1
1815100196,6,11,11,364,459,1
1815100266,4,6,17,501,606,1
1815100266,4,6,17,501,606,1
1815100282,5,7,4,477,293,0
1815100282,5,7,4,477,293,0
1815100433,2,11,6,203,189,0
1815100433,2,11,6,203,189,0
1815100761,15,5,16,462,560,1
1815100761,15,5,16,462,560,1
1815105215,8,8,16,400,536,1
1815105215,8,8,16,400,536,1
1815105501,0,8,2,207,200,0
1815105501,0,8,2,207,200,0
1815105537,1,5,12,390,412,1
1815105537,1,5,12,390,412,1
1815105994,6,15,20,436,664,1
1815105994,6,15,20,436,664,1
1815106037,10,11,7,409,440,1
1815106037,10,11,7,409,440,1
1815106986,1,1,8,363,321,1
1815106986,1,1,8,363,321,1
1815107017,6,7,14,479,557,1
1815107017,6,7,14,479,557,1
1815107139,11,5,16,480,592,1
1815107139,11,5,16,480,592,1
1815107244,5,5,11,346,350,1
1815107244,5,5,11,346,350,1
1815107955,0,3,0,103,26,0
1815107955,0,3,0,103,26,0
1815108176,4,10,9,295,329,0
1815108176,4,10,9,295,329,0
1815108550,11,15,4,350,423,0
1815108550,11,15,4,350,423,0
1815108659,6,12,11,322,379,0
1815108659,6,12,11,322,379,0
1815108925,7,6,14,367,398,1
1815108925,7,6,14,367,398,1
1815108962,11,8,20,460,642,1
1815108962,11,8,20,460,642,1
1815109114,25,5,26,584,508,1
1815109114,25,5,26,584,508,1
1815109158,3,1,8,442,440,1
1815109158,3,1,8,442,440,1
1815109871,2,18,18,283,308,0
1815109871,2,18,18,283,308,0
1815109980,1,5,4,375,278,1
1815109980,1,5,4,375,278,1
1815110374,0,4,0,124,58,0
1815110374,0,4,0,124,58,0
1815110538,6,8,14,387,412,1
1815110538,6,8,14,387,412,1
1815110726,6,10,10,417,464,1
1815110726,6,10,10,417,464,1
1815110795,2,7,1,254,329,0
1815110795,2,7,1,254,329,0
1815110827,17,11,12,468,524,0
1815110827,17,11,12,468,524,0
1815110943,2,3,12,281,334,0
1815110943,2,3,12,281,334,0
1815111389,0,6,0,113,6,0
1815111389,0,6,0,113,6,0
1815111514,6,14,12,267,344,0
1815111514,6,14,12,267,344,0
1815111571,11,1,16,528,659,1
1815111571,11,1,16,528,659,1
1815111683,6,3,3,423,451,1
1815111683,6,3,3,423,451,1
1815111951,7,15,13,298,317,0
1815111951,7,15,13,298,317,0
1815112291,21,4,18,543,691,1
1815112291,21,4,18,543,691,1
1815112430,8,12,6,436,514,0
1815112430,8,12,6,436,514,0
1815113198,10,9,12,444,513,1
1815113198,10,9,12,444,513,1
1815113599,0,2,2,126,57,0
1815113599,0,2,2,126,57,0
1815113927,3,7,5,252,207,0
1815113927,3,7,5,252,207,0
1815114053,9,14,12,351,534,0
1815114053,9,14,12,351,534,0
1815114146,3,8,7,281,434,0
1815114146,3,8,7,281,434,0
1815114423,0,3,0,157,28,1
1815114423,0,3,0,157,28,1
1815114560,14,3,16,544,526,1
1815114560,14,3,16,544,526,1
1815114643,7,6,12,449,560,1
1815114643,7,6,12,449,560,1
1815115102,3,11,15,408,532,1
1815115102,3,11,15,408,532,1
1815115295,6,5,9,435,448,1
1815115295,6,5,9,435,448,1
1815115533,4,8,18,520,611,1
1815115533,4,8,18,520,611,1
1815115757,10,1,15,533,533,1
1815115757,10,1,15,533,533,1
1815115763,9,19,14,358,496,0
1815115763,9,19,14,358,496,0
1815115978,1,7,6,314,343,0
1815115978,1,7,6,314,343,0
1815116157,9,9,7,328,447,0
1815116157,9,9,7,328,447,0
1815116286,6,15,7,314,410,0
1815116286,6,15,7,314,410,0
1815116351,5,13,14,373,385,1
1815116351,5,13,14,373,385,1
1815116522,2,10,8,275,276,0
1815116522,2,10,8,275,276,0
1815116818,4,6,7,333,388,1
1815116818,4,6,7,333,388,1
1815117054,3,4,7,347,388,1
1815117054,3,4,7,347,388,1
1815117104,8,5,10,479,600,0
1815117104,8,5,10,479,600,0
1815117227,10,9,17,477,564,1
1815117227,10,9,17,477,564,1
1815117462,11,16,12,421,540,0
1815117462,11,16,12,421,540,0
1815117655,11,4,10,618,459,1
1815117655,11,4,10,618,459,1
1815117742,7,1,6,380,455,1
1815117742,7,1,6,380,455,1
1815117901,10,7,3,419,464,0
1815117901,10,7,3,419,464,0
1815118183,12,11,1,515,705,0
1815118183,12,11,1,515,705,0
1815118324,6,11,19,396,614,1
1815118324,6,11,19,396,614,1
1815118373,5,4,9,361,440,0
1815118373,5,4,9,361,440,0
1815119065,9,17,12,412,627,1
1815119065,9,17,12,412,627,1
1815119101,2,12,4,246,302,0
1815119101,2,12,4,246,302,0
1815119260,7,5,8,481,625,0
1815119260,7,5,8,481,625,0
1815119302,2,5,8,314,316,1
1815119302,2,5,8,314,316,1
1815119417,14,6,21,546,670,1
1815119417,14,6,21,546,670,1
1815119484,8,3,10,445,499,1
1815119484,8,3,10,445,499,1
1815119775,20,13,22,421,547,0
1815119775,20,13,22,421,547,0
1815119918,9,13,17,371,475,0
1815119918,9,13,17,371,475,0
1815119968,3,14,14,272,329,0
1815119968,3,14,14,272,329,0
1815120040,7,9,18,437,542,0
1815120040,7,9,18,437,542,0
1815120551,10,4,8,419,516,1
1815120551,10,4,8,419,516,1
1815120564,17,7,9,471,581,1
1815120564,17,7,9,471,581,1
1815120766,15,13,16,425,547,0
1815120766,15,13,16,425,547,0
1815120818,8,12,8,284,388,0
1815120818,8,12,8,284,388,0
1815120867,15,12,9,387,493,0
1815120867,15,12,9,387,493,0
1815121173,17,5,21,538,589,1
1815121173,17,5,21,538,589,1
1815121329,2,11,7,215,261,0
1815121329,2,11,7,215,261,0
1815121417,3,10,11,313,381,1
1815121417,3,10,11,313,381,1
1815121431,6,4,12,428,458,1
1815121431,6,4,12,428,458,1
1815121561,7,12,32,424,569,0
1815121561,7,12,32,424,569,0
1815121570,3,2,6,526,523,1
1815121570,3,2,6,526,523,1
1815121627,1,4,1,223,222,0
1815121627,1,4,1,223,222,0
1815121748,3,5,5,283,325,0
1815121748,3,5,5,283,325,0
1815122275,2,12,6,234,295,0
1815122275,2,12,6,234,295,0
1815122886,8,2,11,524,500,1
1815122886,8,2,11,524,500,1
1815122924,5,12,5,233,216,0
1815122924,5,12,5,233,216,0
1815123079,8,10,3,505,376,0
1815123079,8,10,3,505,376,0
1815123208,7,3,17,549,604,1
1815123208,7,3,17,549,604,1
1815099385,2,9,12,264,357,0
1815099385,2,9,12,264,357,0
1815099989,3,18,12,268,290,0
1815099989,3,18,12,268,290,0
1815100286,4,8,6,285,343,0
1815100286,4,8,6,285,343,0
1815100489,7,13,3,346,444,0
1815100489,7,13,3,346,444,0
1815100555,4,9,0,257,313,0
1815100555,4,9,0,257,313,0
1815105217,10,3,13,539,635,1
1815105217,10,3,13,539,635,1
1815105288,10,4,12,515,565,1
1815105288,10,4,12,515,565,1
1815105317,28,12,22,476,499,0
1815105317,28,12,22,476,499,0
1815105387,14,8,12,560,698,1
1815105387,14,8,12,560,698,1
1815105513,5,12,15,445,598,0
1815105513,5,12,15,445,598,0
1815106143,12,17,25,415,466,1
1815106143,12,17,25,415,466,1
1815106299,9,12,17,329,453,0
1815106299,9,12,17,329,453,0
1815106736,9,11,16,375,450,0
1815106736,9,11,16,375,450,0
1815106738,14,12,14,444,488,0
1815106738,14,12,14,444,488,0
1815106777,18,13,20,467,585,0
1815106777,18,13,20,467,585,0
1815106837,8,6,13,455,619,1
1815106837,8,6,13,455,619,1
1815106999,2,7,10,341,365,1
1815106999,2,7,10,341,365,1
1815107182,8,17,22,382,491,0
1815107182,8,17,22,382,491,0
1815107356,7,13,13,278,360,0
1815107356,7,13,13,278,360,0
1815107596,24,10,25,489,519,0
1815107596,24,10,25,489,519,0
1815107643,6,9,5,372,346,0
1815107643,6,9,5,372,346,0
1815108006,2,8,10,436,650,1
1815108006,2,8,10,436,650,1
1815108113,14,10,14,583,668,1
1815108113,14,10,14,583,668,1
1815108244,12,13,18,503,690,0
1815108244,12,13,18,503,690,0
1815109100,9,10,15,460,468,1
1815109100,9,10,15,460,468,1
1815109237,11,13,11,339,418,0
1815109237,11,13,11,339,418,0
1815109646,7,12,13,340,443,0
1815109646,7,12,13,340,443,0
1815109653,8,11,15,395,548,0
1815109653,8,11,15,395,548,0
1815110082,10,16,24,367,561,0
1815110082,10,16,24,367,561,0
1815110761,2,15,7,228,190,1
1815110761,2,15,7,228,190,1
1815110941,6,13,11,359,467,0
1815110941,6,13,11,359,467,0
1815110962,6,3,6,523,474,1
1815110962,6,3,6,523,474,1
1815111025,12,4,14,667,755,1
1815111025,12,4,14,667,755,1
1815111268,8,3,17,499,635,1
1815111268,8,3,17,499,635,1
1815111519,12,9,12,419,523,0
1815111519,12,9,12,419,523,0
1815111567,3,16,10,337,370,0
1815111567,3,16,10,337,370,0
1815111650,5,9,8,393,368,1
1815111650,5,9,8,393,368,1
1815112108,19,5,19,593,754,1
1815112108,19,5,19,593,754,1
1815112191,15,12,7,531,624,0
1815112191,15,12,7,531,624,0
1815112205,7,15,19,352,487,0
1815112205,7,15,19,352,487,0
1815112484,10,15,18,377,522,0
1815112484,10,15,18,377,522,0
1815112683,5,3,8,413,420,1
1815112683,5,3,8,413,420,1
1815112838,9,1,9,505,603,1
1815112838,9,1,9,505,603,1
1815113068,12,9,10,354,481,0
1815113068,12,9,10,354,481,0
1815113116,2,10,12,388,440,1
1815113116,2,10,12,388,440,1
1815113315,19,6,14,587,766,1
1815113315,19,6,14,587,766,1
1815113716,3,6,7,281,314,0
1815113716,3,6,7,281,314,0
1815113864,3,9,8,376,449,0
1815113864,3,9,8,376,449,0
1815114194,5,5,2,423,495,0
1815114194,5,5,2,423,495,0
1815114467,9,6,10,417,484,0
1815114467,9,6,10,417,484,0
1815114528,13,11,13,475,628,0
1815114528,13,11,13,475,628,0
1815114687,6,6,16,421,444,1
1815114687,6,6,16,421,444,1
1815115011,8,11,15,370,605,0
1815115011,8,11,15,370,605,0
1815115114,9,11,16,409,541,1
1815115114,9,11,16,409,541,1
1815115363,4,15,14,374,542,0
1815115363,4,15,14,374,542,0
1815115476,3,4,10,452,387,1
1815115476,3,4,10,452,387,1
1815115715,10,11,13,367,521,0
1815115715,10,11,13,367,521,0
1815115731,5,11,13,361,499,0
1815115731,5,11,13,361,499,0
1815115911,5,12,18,295,369,0
1815115911,5,12,18,295,369,0
1815116425,9,6,20,472,655,1
1815116425,9,6,20,472,655,1
1815116498,11,7,23,406,479,0
1815116498,11,7,23,406,479,0
1815116507,7,9,16,408,641,0
1815116507,7,9,16,408,641,0
1815116771,3,11,9,369,505,0
1815116771,3,11,9,369,505,0
1815116975,10,5,17,428,583,1
1815116975,10,5,17,428,583,1
1815117100,19,3,18,594,745,1
1815117100,19,3,18,594,745,1
1815117321,6,10,14,389,373,1
1815117321,6,10,14,389,373,1
