id,k,d,a,gpm,xpm,win
1815100126,6,11,11,471,442,1
1815100126,6,11,11,471,442,1
1815100727,8,7,27,498,581,1
1815100727,8,7,27,498,581,1
1815105820,6,11,19,561,514,1
1815105820,6,11,19,561,514,1
1815106491,4,6,5,483,461,0
1815106491,4,6,5,483,461,0
1815108520,1,8,2,390,377,0
1815108520,1,8,2,390,377,0
1815109702,5,11,24,530,440,1
1815109702,5,11,24,530,440,1
1815109854,6,2,16,525,533,1
1815109854,6,2,16,525,533,1
1815110450,7,3,25,417,557,1
1815110450,7,3,25,417,557,1
1815111010,1,12,6,361,361,0
1815111010,1,12,6,361,361,0
1815115364,10,5,21,567,515,1
1815115364,10,5,21,567,515,1
1815116993,9,6,11,623,593,1
1815116993,9,6,11,623,593,1
1815117916,0,3,13,470,415,1
1815117916,0,3,13,470,415,1
1815118138,12,13,9,479,484,0
1815118138,12,13,9,479,484,0
1815119031,5,11,15,406,501,0
1815119031,5,11,15,406,501,0
1815119152,4,5,11,517,537,1
1815119152,4,5,11,517,537,1
1815119958,5,7,12,421,447,0
1815119958,5,7,12,421,447,0
1815120337,5,7,5,412,332,0
1815120337,5,7,5,412,332,0
1815122373,7,9,11,400,381,0
1815122373,7,9,11,400,381,0
1815122758,9,12,8,524,503,1
1815122758,9,12,8,524,503,1
1815099596,9,16,17,559,587,1
1815099596,9,16,17,559,587,1
1815100572,10,2,12,638,762,1
1815100572,10,2,12,638,762,1
1815106161,11,8,20,494,570,1
1815106161,11,8,20,494,570,1
1815107389,6,11,21,469,526,0
1815107389,6,11,21,469,526,0
1815108465,3,4,16,426,484,0
1815108465,3,4,16,426,484,0
1815108741,5,3,12,592,553,1
1815108741,5,3,12,592,553,1
1815109387,5,4,6,370,455,0
1815109387,5,4,6,370,455,0
1815109555,0,12,5,349,320,0
1815109555,0,12,5,349,320,0
1815110271,9,5,8,462,504,0
1815110271,9,5,8,462,504,0
1815117062,0,5,1,242,176,0
1815117062,0,5,1,242,176,0
1815117791,13,11,14,490,494,1
1815117791,13,11,14,490,494,1
1815118050,6,2,11,698,566,1
1815118050,6,2,11,698,566,1
1815118486,12,4,16,567,571,1
1815118486,12,4,16,567,571,1
1815118549,8,13,21,474,598,0
1815118549,8,13,21,474,598,0
1815120339,6,4,7,532,460,1
1815120339,6,4,7,532,460,1
1815121460,10,6,15,651,633,1
1815121460,10,6,15,651,633,1
1815098761,5,7,7,400,446,1
1815098761,5,7,7,400,446,1
1815099007,16,8,22,571,487,1
1815099007,16,8,22,571,487,1
1815099150,5,13,21,318,444,0
1815099150,5,13,21,318,444,0
1815099321,3,8,18,481,513,1
1815099321,3,8,18,481,513,1
1815099328,12,2,7,600,664,1
1815099328,12,2,7,600,664,1
1815099616,3,2,5,460,425,1
1815099616,3,2,5,460,425,1
1815100159,0,4,4,316,285,0
1815100159,0,4,4,316,285,0
1815100177,7,11,9,479,425,0
1815100177,7,11,9,479,425,0
1815100541,3,2,6,631,589,1
1815100541,3,2,6,631,589,1
1815105538,5,6,2,332,277,0
1815105538,5,6,2,332,277,0
1815106411,7,5,9,419,458,0
1815106411,7,5,9,419,458,0
1815106473,1,8,5,352,368,0
1815106473,1,8,5,352,368,0
1815106618,16,10,18,416,538,0
1815106618,16,10,18,416,538,0
1815106704,3,8,6,321,372,0
1815106704,3,8,6,321,372,0
1815106792,10,13,10,531,753,0
1815106792,10,13,10,531,753,0
1815106843,3,12,17,369,512,0
1815106843,3,12,17,369,512,0
1815106911,7,8,13,503,599,1
1815106911,7,8,13,503,599,1
1815107046,4,6,11,349,394,0
1815107046,4,6,11,349,394,0
1815107102,11,5,19,617,684,1
1815107102,11,5,19,617,684,1
1815107372,10,7,20,504,563,1
1815107372,10,7,20,504,563,1
1815108031,6,4,16,556,559,1
1815108031,6,4,16,556,559,1
1815108065,10,8,15,579,617,1
1815108065,10,8,15,579,617,1
1815108116,9,10,13,460,431,1
1815108116,9,10,13,460,431,1
1815108310,15,10,9,550,604,1
1815108310,15,10,9,550,604,1
1815108818,8,5,10,678,679,1
1815108818,8,5,10,678,679,1
1815109172,11,3,2,512,558,0
1815109172,11,3,2,512,558,0
1815109224,2,14,9,298,338,0
1815109224,2,14,9,298,338,0
1815109331,5,7,12,548,531,1
1815109331,5,7,12,548,531,1
1815109500,4,10,18,330,346,1
1815109500,4,10,18,330,346,1
1815109539,7,2,5,504,579,0
1815109539,7,2,5,504,579,0
1815109541,1,4,9,253,326,0
1815109541,1,4,9,253,326,0
1815110012,4,12,4,313,274,0
1815110012,4,12,4,313,274,0
1815110087,5,10,8,344,361,0
1815110087,5,10,8,344,361,0
1815110171,7,12,10,470,528,0
1815110171,7,12,10,470,528,0
1815110323,8,13,14,332,443,0
1815110323,8,13,14,332,443,0
1815110743,7,3,13,584,626,1
1815110743,7,3,13,584,626,1
1815110795,2,10,2,303,253,0
1815110795,2,10,2,303,253,0
1815110953,10,2,11,498,620,1
1815110953,10,2,11,498,620,1
1815110958,20,4,17,643,705,1
1815110958,20,4,17,643,705,1
1815111434,10,6,10,561,627,1
1815111434,10,6,10,561,627,1
1815111854,8,9,15,639,608,1
1815111854,8,9,15,639,608,1
1815112149,0,5,15,405,360,1
1815112149,0,5,15,405,360,1
1815112604,4,8,7,370,312,0
1815112604,4,8,7,370,312,0
1815112865,5,4,9,466,520,0
1815112865,5,4,9,466,520,0
1815112937,1,3,21,434,573,1
1815112937,1,3,21,434,573,1
1815113020,3,7,2,338,313,0
1815113020,3,7,2,338,313,0
1815114051,2,12,12,316,432,0
1815114051,2,12,12,316,432,0
1815114136,14,6,21,462,584,1
1815114136,14,6,21,462,584,1
1815114160,14,8,13,492,567,1
1815114160,14,8,13,492,567,1
1815114642,0,7,0,130,106,0
1815114642,0,7,0,130,106,0
1815115128,8,11,36,473,591,1
1815115128,8,11,36,473,591,1
1815115163,2,1,2,393,393,1
1815115163,2,1,2,393,393,1
1815115227,13,4,14,541,688,1
1815115227,13,4,14,541,688,1
1815115478,4,13,7,310,304,0
1815115478,4,13,7,310,304,0
1815115498,4,19,8,304,332,0
1815115498,4,19,8,304,332,0
1815115672,2,7,1,309,226,0
1815115672,2,7,1,309,226,0
1815115676,7,8,14,527,512,1
1815115676,7,8,14,527,512,1
1815115686,5,10,11,307,377,0
1815115686,5,10,11,307,377,0
1815115781,3,5,11,392,444,1
1815115781,3,5,11,392,444,1
1815115783,2,18,12,341,411,1
1815115783,2,18,12,341,411,1
1815116418,12,9,10,441,467,0
1815116418,12,9,10,441,467,0
1815116443,3,12,5,370,369,0
1815116443,3,12,5,370,369,0
1815117319,7,7,12,368,415,0
1815117319,7,7,12,368,415,0
1815117781,5,13,7,235,225,0
1815117781,5,13,7,235,225,0
1815118328,8,6,16,559,649,1
1815118328,8,6,16,559,649,1
1815118453,14,12,11,446,415,0
1815118453,14,12,11,446,415,0
1815118503,11,5,19,557,565,1
1815118503,11,5,19,557,565,1
1815118613,5,12,10,466,447,0
1815118613,5,12,10,466,447,0
1815118623,1,9,1,219,229,0
1815118623,1,9,1,219,229,0
1815118902,1,7,5,325,334,0
1815118902,1,7,5,325,334,0
1815118952,0,7,1,251,166,0
1815118952,0,7,1,251,166,0
1815119204,19,20,11,451,582,0
1815119204,19,20,11,451,582,0
1815119226,21,5,14,537,531,0
1815119226,21,5,14,537,531,0
1815119978,6,9,13,453,447,0
1815119978,6,9,13,453,447,0
1815120720,4,3,6,569,495,1
1815120720,4,3,6,569,495,1
1815121052,6,14,20,405,460,1
1815121052,6,14,20,405,460,1
1815121278,5,8,9,409,470,1
1815121278,5,8,9,409,470,1
1815121658,10,7,12,616,640,1
1815121658,10,7,12,616,640,1
1815121783,10,1,13,664,684,1
1815121783,10,1,13,664,684,1
1815121945,5,11,10,403,437,1
1815121945,5,11,10,403,437,1
1815122886,9,8,11,497,407,1
1815122886,9,8,11,497,407,1
1815122959,4,8,16,538,567,1
1815122959,4,8,16,538,567,1
1815122974,3,8,4,398,366,0
1815122974,3,8,4,398,366,0
1815098803,2,9,9,426,442,0
1815098803,2,9,9,426,442,0
1815099109,3,8,20,411,483,1
1815099109,3,8,20,411,483,1
1815099770,11,12,29,501,525,0
1815099770,11,12,29,501,525,0
1815099921,2,8,9,316,352,1
1815099921,2,8,9,316,352,1
1815100183,6,12,13,420,438,1
1815100183,6,12,13,420,438,1
1815100491,6,9,13,390,407,0
1815100491,6,9,13,390,407,0
1815105697,13,17,9,470,557,0
1815105697,13,17,9,470,557,0
1815105830,3,5,12,527,477,1
1815105830,3,5,12,527,477,1
1815106537,3,4,15,562,691,1
1815106537,3,4,15,562,691,1
1815106806,12,9,8,414,501,0
1815106806,12,9,8,414,501,0
1815106815,8,5,18,539,608,1
1815106815,8,5,18,539,608,1
1815107014,5,6,14,416,398,1
1815107014,5,6,14,416,398,1
1815107564,2,7,3,479,334,0
1815107564,2,7,3,479,334,0
1815107803,5,9,2,407,391,0
1815107803,5,9,2,407,391,0
1815108091,4,11,12,392,424,0
1815108091,4,11,12,392,424,0
1815108158,6,9,4,457,487,0
1815108158,6,9,4,457,487,0
1815108449,7,4,19,518,591,1
1815108449,7,4,19,518,591,1
1815108747,5,5,14,443,422,1
1815108747,5,5,14,443,422,1
1815109099,2,7,5,358,356,0
1815109099,2,7,5,358,356,0
1815109258,6,7,16,437,442,1
1815109258,6,7,16,437,442,1
1815109552,13,7,18,580,573,1
1815109552,13,7,18,580,573,1
1815109873,7,8,3,501,383,0
1815109873,7,8,3,501,383,0
1815109959,7,8,15,546,714,0
1815109959,7,8,15,546,714,0
1815110149,3,14,14,466,456,0
1815110149,3,14,14,466,456,0
1815110183,9,21,15,473,541,1
1815110183,9,21,15,473,541,1
1815110444,3,10,5,469,424,1
1815110444,3,10,5,469,424,1
1815110473,9,7,3,484,484,0
1815110473,9,7,3,484,484,0
1815110562,3,5,20,370,498,1
1815110562,3,5,20,370,498,1
1815110610,2,3,7,398,382,0
1815110610,2,3,7,398,382,0
1815110620,2,6,2,464,437,0
1815110620,2,6,2,464,437,0
1815111354,7,7,3,375,439,0
1815111354,7,7,3,375,439,0
1815111644,6,8,20,513,530,1
1815111644,6,8,20,513,530,1
1815111913,8,7,6,441,528,0
1815111913,8,7,6,441,528,0
1815112026,14,9,13,563,523,1
1815112026,14,9,13,563,523,1
1815112050,4,1,12,521,424,1
1815112050,4,1,12,521,424,1
1815112477,6,4,12,595,605,1
1815112477,6,4,12,595,605,1
1815112527,4,10,11,333,287,0
1815112527,4,10,11,333,287,0
1815112556,11,6,7,615,670,1
1815112556,11,6,7,615,670,1
1815113132,0,8,1,249,198,0
1815113132,0,8,1,249,198,0
1815113215,7,14,13,473,470,0
1815113215,7,14,13,473,470,0
1815113230,8,6,25,542,651,1
1815113230,8,6,25,542,651,1
1815113513,9,9,19,511,574,1
1815113513,9,9,19,511,574,1
1815113716,1,3,16,368,314,1
1815113716,1,3,16,368,314,1
1815113746,7,2,7,717,664,1
1815113746,7,2,7,717,664,1
1815113758,2,11,6,405,437,0
1815113758,2,11,6,405,437,0
1815113801,5,4,8,520,485,1
1815113801,5,4,8,520,485,1
1815113963,10,6,13,539,593,1
1815113963,10,6,13,539,593,1
1815114194,4,1,2,607,429,1
1815114194,4,1,2,607,429,1
1815114238,8,5,5,532,527,0
1815114238,8,5,5,532,527,0
1815114466,2,9,6,268,286,0
1815114466,2,9,6,268,286,0
1815114910,7,14,17,507,490,1
1815114910,7,14,17,507,490,1
1815114974,9,14,18,467,634,0
1815114974,9,14,18,467,634,0
1815116498,5,16,30,396,424,1
1815116498,5,16,30,396,424,1
1815116611,8,5,15,456,513,1
1815116611,8,5,15,456,513,1
1815116630,5,9,6,491,503,0
1815116630,5,9,6,491,503,0
1815116771,2,9,7,514,440,1
1815116771,2,9,7,514,440,1
1815117268,17,6,8,579,650,0
1815117268,17,6,8,579,650,0
1815117321,7,7,8,404,361,1
1815117321,7,7,8,404,361,1
1815117692,6,11,5,401,395,0
1815117692,6,11,5,401,395,0
1815118380,4,4,11,521,554,1
1815118380,4,4,11,521,554,1
1815118480,2,2,11,452,377,1
1815118480,2,2,11,452,377,1
1815118499,7,1,13,531,521,1
1815118499,7,1,13,531,521,1
1815118580,1,13,9,285,317,0
1815118580,1,13,9,285,317,0
1815118632,5,6,14,401,376,1
1815118632,5,6,14,401,376,1
1815119453,3,5,14,368,382,1
