id,k,d,a,gpm,xpm,win
1815099145,0,13,5,313,351,0
1815099145,0,13,5,313,351,0
1815099515,2,10,2,316,359,0
1815099515,2,10,2,316,359,0
1815105368,7,5,18,393,472,1
1815105368,7,5,18,393,472,1
1815105821,1,6,8,393,380,1
1815105821,1,6,8,393,380,1
1815105880,8,16,17,429,506,1
1815105880,8,16,17,429,506,1
1815106472,6,6,10,504,553,1
1815106472,6,6,10,504,553,1
1815107493,5,12,13,369,424,1
1815107493,5,12,13,369,424,1
1815108454,15,2,14,533,546,1
1815108454,15,2,14,533,546,1
1815110721,11,4,14,520,573,1
1815110721,11,4,14,520,573,1
1815112587,11,3,15,504,475,1
1815112587,11,3,15,504,475,1
1815113993,8,3,13,474,473,1
1815113993,8,3,13,474,473,1
1815115364,3,12,8,327,343,0
1815115364,3,12,8,327,343,0
1815120132,8,3,6,500,456,1
1815120132,8,3,6,500,456,1
1815122718,7,14,17,437,559,1
1815122718,7,14,17,437,559,1
1815122976,11,5,18,520,672,1
1815122976,11,5,18,520,672,1
1815098882,8,8,11,468,569,1
1815098882,8,8,11,468,569,1
1815100043,10,3,18,705,694,1
1815100043,10,3,18,705,694,1
1815100365,12,8,24,481,614,1
1815100365,12,8,24,481,614,1
1815109592,5,11,6,390,497,0
1815109592,5,11,6,390,497,0
1815111642,1,10,13,327,415,0
1815111642,1,10,13,327,415,0
1815112563,13,9,16,511,554,1
1815112563,13,9,16,511,554,1
1815113060,11,8,17,481,571,1
1815113060,11,8,17,481,571,1
1815114011,2,14,11,320,328,0
1815114011,2,14,11,320,328,0
1815116789,14,15,24,407,469,1
1815116789,14,15,24,407,469,1
1815116894,10,5,14,521,620,1
1815116894,10,5,14,521,620,1
1815117497,3,8,6,384,449,0
1815117497,3,8,6,384,449,0
1815117993,8,3,12,617,780,1
1815117993,8,3,12,617,780,1
1815118620,8,2,11,490,518,1
1815118620,8,2,11,490,518,1
1815119203,4,6,13,452,409,1
1815119203,4,6,13,452,409,1
1815119676,16,3,15,526,644,0
1815119676,16,3,15,526,644,0
1815122131,12,5,11,616,704,1
1815122131,12,5,11,616,704,1
1815122468,13,2,23,636,607,1
1815122468,13,2,23,636,607,1
1815098960,4,9,7,337,399,0
1815098960,4,9,7,337,399,0
1815099213,11,9,12,404,547,1
1815099213,11,9,12,404,547,1
1815099388,5,9,8,356,422,0
1815099388,5,9,8,356,422,0
1815099558,3,7,20,390,449,1
1815099558,3,7,20,390,449,1
1815099720,3,6,5,304,363,0
1815099720,3,6,5,304,363,0
1815099833,10,9,8,420,579,0
1815099833,10,9,8,420,579,0
1815099993,12,7,11,344,366,0
