id,k,d,a,gpm,xpm,win
1815099196,8,17,9,532,481,1
1815099196,8,17,9,532,481,1
1815100620,5,2,6,531,507,1
1815100620,5,2,6,531,507,1
1815105337,4,12,12,414,454,0
1815105337,4,12,12,414,454,0
1815105631,3,15,11,332,368,0
1815105631,3,15,11,332,368,0
1815105721,11,7,9,502,623,0
1815105721,11,7,9,502,623,0
1815106287,8,9,3,358,395,0
1815106287,8,9,3,358,395,0
1815106595,11,2,6,763,735,1
1815106595,11,2,6,763,735,1
1815108036,13,6,6,527,552,1
1815108036,13,6,6,527,552,1
1815108454,2,9,3,249,235,0
1815108454,2,9,3,249,235,0
1815108927,5,11,7,504,537,1
1815108927,5,11,7,504,537,1
1815109133,6,6,6,535,515,1
1815109133,6,6,6,535,515,1
1815109238,10,12,18,470,571,1
1815109238,10,12,18,470,571,1
1815110242,4,8,12,401,348,1
1815110242,4,8,12,401,348,1
1815110849,12,17,12,449,503,0
1815110849,12,17,12,449,503,0
1815113007,4,8,5,443,439,1
1815113007,4,8,5,443,439,1
1815113759,3,10,2,281,305,0
1815113759,3,10,2,281,305,0
1815114765,7,5,12,548,650,1
1815114765,7,5,12,548,650,1
1815116006,11,7,13,474,558,1
1815116006,11,7,13,474,558,1
1815116051,3,4,5,617,628,1
1815116051,3,4,5,617,628,1
1815117969,6,1,3,635,481,1
1815117969,6,1,3,635,481,1
1815118469,6,8,8,507,607,0
1815118469,6,8,8,507,607,0
1815118564,2,9,2,246,203,0
1815118564,2,9,2,246,203,0
1815120043,4,10,3,332,342,0
1815120043,4,10,3,332,342,0
1815121433,0,14,9,204,192,0
1815121433,0,14,9,204,192,0
1815122414,4,11,9,373,379,1
1815122414,4,11,9,373,379,1
1815099650,4,9,11,460,476,0
1815099650,4,9,11,460,476,0
1815099800,4,1,10,529,379,1
1815099800,4,1,10,529,379,1
1815099948,13,13,8,511,566,0
1815099948,13,13,8,511,566,0
1815100348,9,12,7,499,515,1
1815100348,9,12,7,499,515,1
1815100701,8,7,5,488,576,0
1815100701,8,7,5,488,576,0
1815100822,0,15,0,239,241,0
1815100822,0,15,0,239,241,0
1815106283,4,5,2,363,357,0
1815106283,4,5,2,363,357,0
1815106433,5,16,3,330,337,0
1815106433,5,16,3,330,337,0
1815106854,14,9,13,505,547,0
1815106854,14,9,13,505,547,0
1815106975,12,4,9,683,802,1
1815106975,12,4,9,683,802,1
1815107061,7,8,8,533,589,1
1815107061,7,8,8,533,589,1
1815108335,11,8,7,496,582,0
1815108335,11,8,7,496,582,0
1815110478,5,14,6,327,354,0
1815110478,5,14,6,327,354,0
