id,k,d,a,gpm,xpm,win
1815100758,7,9,2,320,392,0
1815100758,7,9,2,320,392,0
1815106242,6,13,24,317,425,0
1815106242,6,13,24,317,425,0
1815106616,1,10,7,182,192,0
1815106616,1,10,7,182,192,0
1815108036,2,9,6,181,141,0
1815108036,2,9,6,181,141,0
1815108500,3,4,23,353,369,1
1815108500,3,4,23,353,369,1
1815110182,2,7,13,256,329,0
1815110182,2,7,13,256,329,0
1815113029,10,7,32,426,525,1
1815113029,10,7,32,426,525,1
1815116224,41,6,21,753,586,1
1815116224,41,6,21,753,586,1
1815117316,3,13,20,291,346,0
1815117316,3,13,20,291,346,0
1815117969,6,4,13,452,447,1
1815117969,6,4,13,452,447,1
1815121135,0,2,10,293,354,1
1815121135,0,2,10,293,354,1
1815123077,6,9,13,320,437,0
1815123077,6,9,13,320,437,0
1815099513,5,5,8,269,336,0
1815099513,5,5,8,269,336,0
1815105267,4,15,11,378,425,0
1815105267,4,15,11,378,425,0
1815106550,5,11,7,368,453,0
1815106550,5,11,7,368,453,0
1815106575,5,10,25,337,311,1
1815106575,5,10,25,337,311,1
1815108812,1,9,6,201,192,0
1815108812,1,9,6,201,192,0
1815108977,17,4,11,662,861,1
1815108977,17,4,11,662,861,1
1815109977,6,6,14,313,429,0
1815109977,6,6,14,313,429,0
1815110478,0,14,20,248,244,1
1815110478,0,14,20,248,244,1
1815111531,4,15,13,277,310,0
1815111531,4,15,13,277,310,0
1815112529,11,15,29,403,544,0
1815112529,11,15,29,403,544,0
1815114043,2,15,10,231,257,0
1815114043,2,15,10,231,257,0
1815115054,9,7,22,342,440,1
1815115054,9,7,22,342,440,1
1815116164,9,6,12,373,442,1
1815116164,9,6,12,373,442,1
1815116201,9,9,18,388,551,0
1815116201,9,9,18,388,551,0
1815117327,1,5,9,222,236,0
1815117327,1,5,9,222,236,0
1815119744,1,8,15,339,357,1
1815119744,1,8,15,339,357,1
1815120118,4,2,15,244,296,0
1815120118,4,2,15,244,296,0
1815121149,10,6,29,519,513,1
1815121149,10,6,29,519,513,1
1815098710,4,10,17,338,442,1
1815098710,4,10,17,338,442,1
1815099097,17,6,21,443,469,1
1815099097,17,6,21,443,469,1
1815099234,4,3,20,305,387,1
1815099234,4,3,20,305,387,1
1815099243,3,3,14,278,394,0
1815099243,3,3,14,278,394,0
1815100376,3,15,12,231,234,0
1815100376,3,15,12,231,234,0
1815100589,2,17,8,267,342,0
1815100589,2,17,8,267,342,0
1815105167,10,13,19,318,432,1
1815105167,10,13,19,318,432,1
1815105682,10,3,22,403,562,1
1815105682,10,3,22,403,562,1
1815105744,0,8,16,287,346,1
1815105744,0,8,16,287,346,1
1815105790,0,8,2,174,221,0
1815105790,0,8,2,174,221,0
1815106052,4,11,11,303,299,1
1815106052,4,11,11,303,299,1
1815106126,7,15,11,332,381,1
1815106126,7,15,11,332,381,1
1815106249,2,12,9,272,295,0
1815106249,2,12,9,272,295,0
1815106317,4,9,12,372,488,0
1815106317,4,9,12,372,488,0
1815106630,2,9,4,270,296,0
1815106630,2,9,4,270,296,0
1815106977,3,18,3,227,245,0
1815106977,3,18,3,227,245,0
1815108263,0,10,4,154,177,0
1815108263,0,10,4,154,177,0
1815108926,3,12,3,264,311,0
1815108926,3,12,3,264,311,0
1815109326,8,6,6,463,423,1
1815109326,8,6,6,463,423,1
1815109430,2,9,22,343,486,1
1815109430,2,9,22,343,486,1
1815109834,3,13,8,204,237,0
1815109834,3,13,8,204,237,0
1815109993,0,12,5,144,151,0
1815109993,0,12,5,144,151,0
1815110147,5,8,19,281,367,0
1815110147,5,8,19,281,367,0
1815110458,11,12,22,317,431,0
1815110458,11,12,22,317,431,0
1815110548,2,17,6,216,265,0
1815110548,2,17,6,216,265,0
1815110940,2,8,4,230,301,0
1815110940,2,8,4,230,301,0
1815111320,19,2,15,497,632,1
1815111320,19,2,15,497,632,1
1815111517,10,14,14,319,339,0
1815111517,10,14,14,319,339,0
1815111640,0,25,9,174,215,0
1815111640,0,25,9,174,215,0
1815111926,2,12,3,345,223,0
1815111926,2,12,3,345,223,0
1815112413,21,6,26,532,714,1
1815112413,21,6,26,532,714,1
1815112418,3,19,29,299,489,1
1815112418,3,19,29,299,489,1
1815113330,0,10,5,135,83,0
1815113330,0,10,5,135,83,0
1815113842,6,11,15,295,367,0
1815113842,6,11,15,295,367,0
1815113947,0,15,4,185,168,0
1815113947,0,15,4,185,168,0
1815114272,2,14,11,244,367,0
1815114272,2,14,11,244,367,0
1815114764,1,9,15,279,349,1
1815114764,1,9,15,279,349,1
1815114944,0,14,3,135,111,0
1815114944,0,14,3,135,111,0
1815115116,1,13,2,215,201,0
1815115116,1,13,2,215,201,0
1815115783,4,12,19,330,436,1
1815115783,4,12,19,330,436,1
1815115793,13,5,18,519,689,1
1815115793,13,5,18,519,689,1
1815115881,11,8,18,428,543,1
1815115881,11,8,18,428,543,1
1815116131,13,13,14,397,551,0
1815116131,13,13,14,397,551,0
1815116203,0,11,16,249,230,1
1815116203,0,11,16,249,230,1
1815116236,5,6,28,466,618,1
1815116236,5,6,28,466,618,1
1815116272,8,6,18,504,545,1
1815116272,8,6,18,504,545,1
1815116293,4,15,30,288,401,1
1815116293,4,15,30,288,401,1
1815116495,3,6,27,316,500,1
1815116495,3,6,27,316,500,1
1815116619,3,4,19,340,357,1
1815116619,3,4,19,340,357,1
1815116889,6,4,29,366,469,1
1815116889,6,4,29,366,469,1
1815117270,5,9,5,309,344,0
1815117270,5,9,5,309,344,0
1815117542,12,0,8,519,529,1
1815117542,12,0,8,519,529,1
1815117752,1,13,4,243,306,0
1815117752,1,13,4,243,306,0
1815117795,0,10,3,201,141,0
1815117795,0,10,3,201,141,0
1815118187,5,7,13,279,354,0
1815118187,5,7,13,279,354,0
1815118330,10,6,21,413,487,1
1815118330,10,6,21,413,487,1
1815118612,23,11,23,453,540,1
1815118612,23,11,23,453,540,1
1815118881,0,16,12,217,276,0
1815118881,0,16,12,217,276,0
1815119003,6,9,18,347,346,1
1815119003,6,9,18,347,346,1
1815119089,3,13,5,220,256,0
1815119089,3,13,5,220,256,0
1815119174,7,6,20,401,543,0
1815119174,7,6,20,401,543,0
1815120053,1,14,11,205,259,0
1815120053,1,14,11,205,259,0
1815120475,6,3,25,406,616,1
1815120475,6,3,25,406,616,1
1815120882,8,8,22,336,524,0
1815120882,8,8,22,336,524,0
1815120885,3,14,8,342,443,1
1815120885,3,14,8,342,443,1
1815121619,8,5,27,366,498,1
1815121619,8,5,27,366,498,1
1815121748,2,3,13,374,394,1
1815121748,2,3,13,374,394,1
1815122017,3,12,6,206,253,0
1815122017,3,12,6,206,253,0
1815122712,3,8,12,303,285,0
1815122712,3,8,12,303,285,0
1815123057,1,6,17,212,381,0
1815123057,1,6,17,212,381,0
1815123164,5,10,25,391,546,1
1815123164,5,10,25,391,546,1
1815123222,4,2,29,388,532,1
1815123222,4,2,29,388,532,1
1815099610,2,9,12,268,342,0
1815099610,2,9,12,268,342,0
1815100353,6,10,6,327,398,0
1815100353,6,10,6,327,398,0
1815100408,4,9,13,375,457,1
1815100408,4,9,13,375,457,1
1815105724,8,12,15,350,395,1
1815105724,8,12,15,350,395,1
1815107602,7,14,10,364,452,1
1815107602,7,14,10,364,452,1
1815108634,6,15,3,169,137,0
1815108634,6,15,3,169,137,0
1815108688,7,1,20,439,549,1
1815108688,7,1,20,439,549,1
1815108742,7,8,11,362,382,0
1815108742,7,8,11,362,382,0
1815108932,4,9,10,339,329,1
1815108932,4,9,10,339,329,1
1815109186,7,8,8,350,518,0
1815109186,7,8,8,350,518,0
1815110448,4,6,10,357,407,1
1815110448,4,6,10,357,407,1
