id,k,d,a,gpm,xpm,win
1815099098,5,5,10,403,360,1
1815099098,5,5,10,403,360,1
1815099214,2,12,8,247,279,0
1815099214,2,12,8,247,279,0
1815099663,19,8,17,470,502,0
1815099663,19,8,17,470,502,0
1815100126,3,14,17,323,384,0
1815100126,3,14,17,323,384,0
1815100144,7,8,16,448,536,0
1815100144,7,8,16,448,536,0
1815100763,4,8,15,331,402,0
1815100763,4,8,15,331,402,0
1815100781,10,7,20,488,586,1
1815100781,10,7,20,488,586,1
1815105232,12,9,20,396,461,1
1815105232,12,9,20,396,461,1
1815105337,4,7,11,326,277,1
1815105337,4,7,11,326,277,1
1815105470,6,16,9,313,346,0
1815105470,6,16,9,313,346,0
1815105958,5,3,14,465,500,1
1815105958,5,3,14,465,500,1
1815105974,0,5,0,111,103,0
1815105974,0,5,0,111,103,0
1815106242,3,12,32,345,433,1
1815106242,3,12,32,345,433,1
1815106287,4,7,17,314,305,1
1815106287,4,7,17,314,305,1
1815106616,5,4,10,372,382,1
1815106616,5,4,10,372,382,1
1815106976,4,9,17,311,360,0
1815106976,4,9,17,311,360,0
1815107439,5,15,5,336,355,0
1815107439,5,15,5,336,355,0
1815107492,4,12,21,303,270,1
1815107492,4,12,21,303,270,1
1815107537,9,17,10,370,424,0
1815107537,9,17,10,370,424,0
1815108112,2,12,5,263,238,0
1815108112,2,12,5,263,238,0
1815108190,4,2,10,426,467,1
1815108190,4,2,10,426,467,1
1815108232,3,14,18,288,367,0
1815108232,3,14,18,288,367,0
1815108505,6,9,25,413,418,1
1815108505,6,9,25,413,418,1
1815108520,2,5,14,344,275,1
1815108520,2,5,14,344,275,1
1815108872,17,4,11,525,557,1
1815108872,17,4,11,525,557,1
1815108996,3,13,34,345,518,1
1815108996,3,13,34,345,518,1
1815109047,9,12,22,392,501,1
1815109047,9,12,22,392,501,1
1815109435,5,12,14,312,399,0
1815109435,5,12,14,312,399,0
1815109702,7,17,26,382,440,0
1815109702,7,17,26,382,440,0
1815109717,8,9,23,424,552,1
1815109717,8,9,23,424,552,1
1815109752,1,11,13,319,411,0
1815109752,1,11,13,319,411,0
1815109885,6,5,19,468,499,1
1815109885,6,5,19,468,499,1
1815110182,3,9,20,314,345,1
1815110182,3,9,20,314,345,1
1815110437,2,17,6,300,271,0
1815110437,2,17,6,300,271,0
1815111198,2,5,9,277,317,0
1815111198,2,5,9,277,317,0
1815111331,9,12,8,395,466,0
1815111331,9,12,8,395,466,0
1815111594,3,6,19,428,320,1
1815111594,3,6,19,428,320,1
1815111850,12,3,13,553,473,1
1815111850,12,3,13,553,473,1
1815111923,12,8,34,446,512,1
1815111923,12,8,34,446,512,1
1815111993,5,2,26,389,374,1
1815111993,5,2,26,389,374,1
1815112037,8,3,27,460,535,1
1815112037,8,3,27,460,535,1
1815112494,4,15,7,279,332,0
1815112494,4,15,7,279,332,0
1815112669,3,6,12,349,443,0
1815112669,3,6,12,349,443,0
1815112715,18,8,13,498,585,1
1815112715,18,8,13,498,585,1
1815113063,6,7,18,391,560,0
1815113063,6,7,18,391,560,0
1815113471,4,11,15,240,290,0
1815113471,4,11,15,240,290,0
1815113474,4,6,20,367,399,1
1815113474,4,6,20,367,399,1
1815113859,2,8,8,239,246,0
1815113859,2,8,8,239,246,0
1815114228,10,8,11,513,632,0
1815114228,10,8,11,513,632,0
1815114960,8,8,33,472,701,1
1815114960,8,8,33,472,701,1
1815114978,11,1,13,513,503,1
1815114978,11,1,13,513,503,1
1815115828,2,7,8,283,328,0
1815115828,2,7,8,283,328,0
1815116052,5,9,28,327,503,1
1815116052,5,9,28,327,503,1
1815116088,5,4,9,238,251,0
1815116088,5,4,9,238,251,0
1815117139,9,5,28,428,572,1
1815117139,9,5,28,428,572,1
1815117237,2,6,14,294,315,1
1815117237,2,6,14,294,315,1
1815117725,10,3,25,492,529,1
1815117725,10,3,25,492,529,1
1815117894,1,11,20,254,269,1
1815117894,1,11,20,254,269,1
1815117969,2,1,5,379,249,1
1815117969,2,1,5,379,249,1
1815118126,4,7,18,332,381,1
1815118126,4,7,18,332,381,1
1815118138,11,5,25,421,602,1
1815118138,11,5,25,421,602,1
1815118309,13,10,13,449,564,1
1815118309,13,10,13,449,564,1
1815118963,1,6,3,161,149,0
1815118963,1,6,3,161,149,0
1815119376,9,10,13,370,434,0
1815119376,9,10,13,370,434,0
1815120132,9,2,9,409,457,1
1815120132,9,2,9,409,457,1
1815120385,10,11,13,418,559,0
1815120385,10,11,13,418,559,0
1815120963,8,3,26,420,469,1
1815120963,8,3,26,420,469,1
1815121172,3,10,10,216,248,0
1815121172,3,10,10,216,248,0
1815121225,3,10,10,235,207,0
1815121225,3,10,10,235,207,0
1815121226,5,12,24,312,399,0
1815121226,5,12,24,312,399,0
1815121376,13,10,23,414,486,0
1815121376,13,10,23,414,486,0
1815121604,22,11,18,471,564,0
1815121604,22,11,18,471,564,0
1815121797,3,10,8,215,234,0
1815121797,3,10,8,215,234,0
1815122758,2,9,21,302,346,0
1815122758,2,9,21,302,346,0
1815122976,11,5,21,440,491,1
1815122976,11,5,21,440,491,1
1815123009,5,6,25,377,453,1
1815123009,5,6,25,377,453,1
1815123211,4,11,21,316,413,1
1815123211,4,11,21,316,413,1
1815098869,14,6,16,465,540,1
1815098869,14,6,16,465,540,1
1815098985,4,7,30,344,478,1
1815098985,4,7,30,344,478,1
1815099190,3,9,11,370,302,1
1815099190,3,9,11,370,302,1
1815099232,5,4,27,414,480,1
1815099232,5,4,27,414,480,1
1815099451,4,9,6,306,320,0
1815099451,4,9,6,306,320,0
1815099650,7,9,27,376,444,1
1815099650,7,9,27,376,444,1
1815099705,16,13,12,432,575,0
1815099705,16,13,12,432,575,0
1815099730,9,5,12,443,430,1
1815099730,9,5,12,443,430,1
1815099775,5,3,7,336,422,0
1815099775,5,3,7,336,422,0
1815100532,2,9,13,246,262,0
1815100532,2,9,13,246,262,0
1815100570,4,9,11,258,277,0
1815100570,4,9,11,258,277,0
1815100572,2,11,6,258,254,0
1815100572,2,11,6,258,254,0
1815100590,13,7,19,497,591,1
1815100590,13,7,19,497,591,1
1815100775,1,8,3,237,226,0
1815100775,1,8,3,237,226,0
1815100822,8,1,20,498,425,1
1815100822,8,1,20,498,425,1
1815105356,6,14,11,321,424,0
1815105356,6,14,11,321,424,0
1815105448,1,7,20,409,433,1
1815105448,1,7,20,409,433,1
1815105664,11,7,15,348,310,1
1815105664,11,7,15,348,310,1
1815105863,6,9,17,290,357,0
1815105863,6,9,17,290,357,0
1815106010,1,7,6,189,195,0
1815106010,1,7,6,189,195,0
1815106091,8,8,15,524,637,1
1815106091,8,8,15,524,637,1
1815106213,7,12,14,331,413,1
1815106213,7,12,14,331,413,1
1815106383,6,7,9,401,443,0
1815106383,6,7,9,401,443,0
1815106433,6,12,11,270,268,0
1815106433,6,12,11,270,268,0
1815106602,10,8,22,428,547,1
1815106602,10,8,22,428,547,1
1815106675,4,11,16,348,360,1
1815106675,4,11,16,348,360,1
1815106828,8,10,18,321,449,0
1815106828,8,10,18,321,449,0
1815107030,3,12,13,275,281,0
1815107030,3,12,13,275,281,0
1815107480,9,12,15,261,299,0
1815107480,9,12,15,261,299,0
1815107936,5,4,15,366,460,1
1815107936,5,4,15,366,460,1
1815107956,3,11,11,293,301,0
1815107956,3,11,11,293,301,0
1815108129,11,4,17,522,564,1
1815108129,11,4,17,522,564,1
1815108335,6,18,10,305,279,0
1815108335,6,18,10,305,279,0
1815108506,17,14,18,474,627,0
1815108506,17,14,18,474,627,0
1815108591,4,3,17,377,340,1
1815108591,4,3,17,377,340,1
1815109079,3,11,31,283,358,1
1815109079,3,11,31,283,358,1
1815109123,18,7,13,514,603,1
1815109123,18,7,13,514,603,1
1815109185,3,8,18,277,335,0
