id,k,d,a,gpm,xpm,win
1815098837,7,4,14,435,395,1
1815098837,7,4,14,435,395,1
1815106472,9,5,24,454,587,1
1815106472,9,5,24,454,587,1
1815108703,2,10,23,269,402,0
1815108703,2,10,23,269,402,0
1815110242,3,5,18,316,341,1
1815110242,3,5,18,316,341,1
1815117362,1,13,7,185,210,0
1815117362,1,13,7,185,210,0
1815118745,2,13,10,250,319,0
1815118745,2,13,10,250,319,0
1815120516,2,1,16,395,378,1
1815120516,2,1,16,395,378,1
1815121481,3,12,4,302,346,0
1815121481,3,12,4,302,346,0
1815106161,3,7,16,391,367,1
1815106161,3,7,16,391,367,1
1815113331,1,14,22,201,252,0
1815113331,1,14,22,201,252,0
1815114295,4,2,10,446,545,1
1815114295,4,2,10,446,545,1
1815116164,7,11,5,317,415,0
1815116164,7,11,5,317,415,0
1815120643,4,12,26,334,485,0
1815120643,4,12,26,334,485,0
1815121042,4,6,18,375,362,1
1815121042,4,6,18,375,362,1
1815098663,0,11,3,158,176,0
1815098663,0,11,3,158,176,0
1815100444,5,2,24,437,629,1
1815100444,5,2,24,437,629,1
1815105537,2,7,11,244,307,0
1815105537,2,7,11,244,307,0
1815105630,4,5,17,320,517,0
1815105630,4,5,17,320,517,0
1815106504,1,9,16,287,346,0
1815106504,1,9,16,287,346,0
1815107139,7,9,26,323,421,1
1815107139,7,9,26,323,421,1
1815107152,3,9,21,350,399,1
1815107152,3,9,21,350,399,1
1815108288,2,6,12,324,462,0
1815108288,2,6,12,324,462,0
1815108659,7,7,15,318,393,0
1815108659,7,7,15,318,393,0
1815108713,3,10,15,323,362,1
1815108713,3,10,15,323,362,1
1815109534,5,5,19,318,357,1
1815109534,5,5,19,318,357,1
1815109778,4,5,16,307,394,1
1815109778,4,5,16,307,394,1
1815110196,0,4,18,352,326,1
1815110196,0,4,18,352,326,1
1815110393,7,14,22,316,468,0
1815110393,7,14,22,316,468,0
1815110619,8,10,17,368,327,1
1815110619,8,10,17,368,327,1
1815110896,6,6,25,479,457,1
1815110896,6,6,25,479,457,1
1815111814,9,3,15,499,474,1
1815111814,9,3,15,499,474,1
1815112559,1,8,21,269,285,0
1815112559,1,8,21,269,285,0
1815112773,4,15,30,311,518,0
1815112773,4,15,30,311,518,0
1815112863,5,9,10,320,389,0
1815112863,5,9,10,320,389,0
1815113163,2,7,4,328,304,1
1815113163,2,7,4,328,304,1
1815113279,8,15,24,318,485,0
1815113279,8,15,24,318,485,0
1815114167,5,15,24,269,397,0
1815114167,5,15,24,269,397,0
1815114435,5,10,19,304,235,1
1815114435,5,10,19,304,235,1
1815114875,1,12,6,248,220,0
1815114875,1,12,6,248,220,0
1815115519,1,5,10,273,323,1
1815115519,1,5,10,273,323,1
1815115770,0,7,1,149,47,1
1815115770,0,7,1,149,47,1
1815116748,3,7,30,327,469,1
1815116748,3,7,30,327,469,1
1815116977,1,16,16,249,342,0
1815116977,1,16,16,249,342,0
1815117236,6,2,17,414,483,1
1815117236,6,2,17,414,483,1
1815117270,8,6,20,459,424,1
1815117270,8,6,20,459,424,1
1815117623,9,12,30,379,442,0
1815117623,9,12,30,379,442,0
1815117913,11,3,24,399,536,1
1815117913,11,3,24,399,536,1
1815118952,1,9,1,245,110,0
1815118952,1,9,1,245,110,0
1815118978,2,3,7,296,315,0
1815118978,2,3,7,296,315,0
1815119044,4,6,18,321,436,1
1815119044,4,6,18,321,436,1
1815119204,3,14,24,337,469,1
1815119204,3,14,24,337,469,1
1815119409,3,9,9,330,416,0
1815119409,3,9,9,330,416,0
1815119417,2,13,13,243,250,0
1815119417,2,13,13,243,250,0
1815119584,2,11,14,227,265,0
1815119584,2,11,14,227,265,0
1815119675,2,12,3,234,285,0
1815119675,2,12,3,234,285,0
1815121800,2,17,10,308,362,1
1815121800,2,17,10,308,362,1
1815121996,2,4,8,285,285,1
1815121996,2,4,8,285,285,1
1815122674,1,6,10,335,311,1
1815122674,1,6,10,335,311,1
1815122879,8,9,29,412,545,1
1815122879,8,9,29,412,545,1
1815123025,3,6,14,316,372,1
1815123025,3,6,14,316,372,1
1815100119,6,9,29,371,429,1
1815100119,6,9,29,371,429,1
1815100636,2,7,12,257,344,0
1815100636,2,7,12,257,344,0
1815100808,10,8,29,446,680,1
1815100808,10,8,29,446,680,1
1815107045,8,10,20,375,463,0
1815107045,8,10,20,375,463,0
1815107186,6,11,15,352,446,0
1815107186,6,11,15,352,446,0
1815107198,7,5,21,336,435,1
1815107198,7,5,21,336,435,1
1815107596,7,20,26,381,522,1
1815107596,7,20,26,381,522,1
1815107662,7,15,27,367,484,1
1815107662,7,15,27,367,484,1
1815109650,0,6,14,333,462,1
1815109650,0,6,14,333,462,1
1815109744,5,14,29,276,390,0
1815109744,5,14,29,276,390,0
1815110244,5,7,29,384,613,1
1815110244,5,7,29,384,613,1
1815111000,12,8,22,486,620,1
1815111000,12,8,22,486,620,1
1815111709,4,11,17,291,380,0
1815111709,4,11,17,291,380,0
1815111974,7,4,24,425,577,0
1815111974,7,4,24,425,577,0
1815113746,2,5,15,491,614,1
1815113746,2,5,15,491,614,1
1815114178,7,8,11,268,316,0
1815114178,7,8,11,268,316,0
1815114225,5,4,17,356,492,1
1815114225,5,4,17,356,492,1
1815114352,4,11,2,445,365,0
1815114352,4,11,2,445,365,0
1815114401,5,5,25,405,491,1
1815114401,5,5,25,405,491,1
1815115087,1,11,6,241,304,0
1815115087,1,11,6,241,304,0
1815115268,6,9,23,400,464,1
1815115268,6,9,23,400,464,1
1815115831,3,14,4,209,143,0
1815115831,3,14,4,209,143,0
1815116496,7,8,20,420,589,0
1815116496,7,8,20,420,589,0
1815116660,4,4,11,358,371,1
1815116660,4,4,11,358,371,1
1815116739,3,10,24,325,323,1
1815116739,3,10,24,325,323,1
1815117349,1,11,4,191,179,0
1815117349,1,11,4,191,179,0
1815117704,5,8,9,290,324,0
1815117704,5,8,9,290,324,0
1815118602,1,8,8,262,271,1
1815118602,1,8,8,262,271,1
1815119213,2,4,11,369,430,1
1815119213,2,4,11,369,430,1
1815119590,10,7,14,321,443,0
1815119590,10,7,14,321,443,0
1815120376,12,13,23,441,545,1
1815120376,12,13,23,441,545,1
1815120423,3,8,13,229,305,0
1815120423,3,8,13,229,305,0
1815121515,7,6,22,449,553,1
1815121515,7,6,22,449,553,1
1815122064,7,6,18,412,485,1
1815122064,7,6,18,412,485,1
1815123185,1,15,15,260,299,0
1815123185,1,15,15,260,299,0
1815099883,3,12,7,260,244,0
1815099883,3,12,7,260,244,0
1815110373,6,8,30,377,454,1
1815110373,6,8,30,377,454,1
1815118169,1,12,7,248,272,0
1815118169,1,12,7,248,272,0
1815119620,1,8,6,230,304,0
1815119620,1,8,6,230,304,0
1815108063,4,7,5,216,212,0
1815108063,4,7,5,216,212,0
1815111192,6,14,13,332,387,0
1815111192,6,14,13,332,387,0
1815112145,10,9,26,435,575,0
1815112145,10,9,26,435,575,0
1815113197,6,7,28,410,584,1
1815113197,6,7,28,410,584,1
1815116321,2,5,17,350,481,1
1815116321,2,5,17,350,481,1
1815118205,4,7,21,342,388,1
1815118205,4,7,21,342,388,1
1815118316,0,6,5,259,251,0
1815118316,0,6,5,259,251,0
1815120575,5,6,15,372,403,1
1815120575,5,6,15,372,403,1
