id,k,d,a,gpm,xpm,win
1815098804,4,11,10,373,443,0
1815098804,4,11,10,373,443,0
1815098931,16,5,12,576,681,1
1815098931,16,5,12,576,681,1
1815098954,2,14,9,260,303,0
1815098954,2,14,9,260,303,0
1815100053,1,9,2,254,223,0
1815100053,1,9,2,254,223,0
1815105337,24,7,8,550,629,0
1815105337,24,7,8,550,629,0
1815105368,7,11,11,343,468,0
1815105368,7,11,11,343,468,0
1815105470,13,7,22,581,654,1
1815105470,13,7,22,581,654,1
1815106242,17,10,22,485,431,0
1815106242,17,10,22,485,431,0
1815107904,8,13,7,435,535,0
1815107904,8,13,7,435,535,0
1815108112,2,15,4,258,247,0
1815108112,2,15,4,258,247,0
1815108232,19,6,25,536,628,1
1815108232,19,6,25,536,628,1
1815109300,9,17,19,470,566,0
1815109300,9,17,19,470,566,0
1815109621,8,6,12,505,490,1
1815109621,8,6,12,505,490,1
1815110088,6,5,8,562,596,1
1815110088,6,5,8,562,596,1
1815110202,1,15,14,266,306,0
1815110202,1,15,14,266,306,0
1815110450,18,10,13,490,570,0
1815110450,18,10,13,490,570,0
1815110471,21,7,20,626,589,1
1815110471,21,7,20,626,589,1
1815112715,3,17,10,372,542,0
1815112715,3,17,10,372,542,0
1815114228,5,13,14,374,366,0
1815114228,5,13,14,374,366,0
1815115378,7,6,8,593,595,1
1815115378,7,6,8,593,595,1
1815116052,15,11,23,549,571,1
1815116052,15,11,23,549,571,1
1815116993,6,5,15,538,599,1
1815116993,6,5,15,538,599,1
1815117120,17,3,15,685,811,1
1815117120,17,3,15,685,811,1
1815117362,11,5,13,528,687,0
1815117362,11,5,13,528,687,0
1815118309,13,7,14,468,613,1
1815118309,13,7,14,468,613,1
1815118963,2,3,3,287,396,0
1815118963,2,3,3,287,396,0
1815119466,11,2,11,573,631,1
1815119466,11,2,11,573,631,1
1815120132,4,6,7,409,480,0
1815120132,4,6,7,409,480,0
1815120653,5,7,5,347,415,0
1815120653,5,7,5,347,415,0
1815121225,7,1,23,524,622,1
1815121225,7,1,23,524,622,1
1815121294,4,12,4,341,399,0
1815121294,4,12,4,341,399,0
1815121900,4,10,15,307,406,0
1815121900,4,10,15,307,406,0
1815122373,10,7,7,548,628,1
1815122373,10,7,7,548,628,1
1815099190,14,2,14,582,569,1
1815099190,14,2,14,582,569,1
1815099284,9,4,18,573,537,1
1815099284,9,4,18,573,537,1
1815099341,9,14,22,490,640,0
1815099341,9,14,22,490,640,0
1815100572,3,8,15,406,438,1
1815100572,3,8,15,406,438,1
1815100838,14,5,12,516,645,1
1815100838,14,5,12,516,645,1
1815105863,2,10,15,350,412,0
1815105863,2,10,15,350,412,0
1815106108,8,1,18,469,551,1
1815106108,8,1,18,469,551,1
1815106854,9,7,19,424,536,1
1815106854,9,7,19,424,536,1
1815106975,4,15,4,354,390,0
1815106975,4,15,4,354,390,0
1815107389,9,9,16,434,533,0
1815107389,9,9,16,434,533,0
1815109153,14,3,14,587,701,1
1815109153,14,3,14,587,701,1
1815109288,15,3,10,619,591,1
1815109288,15,3,10,619,591,1
1815109592,8,6,8,457,669,0
1815109592,8,6,8,457,669,0
1815110832,5,3,7,474,483,1
1815110832,5,3,7,474,483,1
1815111176,2,8,7,326,376,0
1815111176,2,8,7,326,376,0
1815111586,8,8,26,575,684,1
1815111586,8,8,26,575,684,1
1815111625,3,9,6,399,474,0
1815111625,3,9,6,399,474,0
1815112654,10,7,28,598,541,1
1815112654,10,7,28,598,541,1
1815114221,0,2,1,107,14,0
1815114221,0,2,1,107,14,0
1815114387,4,5,17,432,486,1
1815114387,4,5,17,432,486,1
1815115433,15,10,16,526,646,0
1815115433,15,10,16,526,646,0
1815116153,10,7,11,650,711,1
1815116153,10,7,11,650,711,1
1815117258,17,6,4,540,677,0
1815117258,17,6,4,540,677,0
1815117485,3,9,23,442,503,1
1815117485,3,9,23,442,503,1
1815117580,1,2,5,284,315,0
1815117580,1,2,5,284,315,0
1815117791,3,7,9,446,599,0
1815117791,3,7,9,446,599,0
1815118204,2,2,6,543,495,1
1815118204,2,2,6,543,495,1
1815118350,7,3,20,540,512,1
1815118350,7,3,20,540,512,1
1815118549,12,12,14,483,598,0
1815118549,12,12,14,483,598,0
1815119300,4,7,12,501,670,0
1815119300,4,7,12,501,670,0
1815119696,5,13,7,266,325,0
1815119696,5,13,7,266,325,0
1815120303,0,7,3,272,268,0
1815120303,0,7,3,272,268,0
1815120646,14,2,12,580,586,1
1815120646,14,2,12,580,586,1
1815121626,8,8,9,445,660,0
1815121626,8,8,9,445,660,0
1815122402,12,2,14,563,696,1
1815122402,12,2,14,563,696,1
1815098710,7,9,16,332,412,0
