id,k,d,a,gpm,xpm,win
1815105547,6,14,7,325,345,0
1815105547,6,14,7,325,345,0
1815107097,9,6,10,412,595,0
1815107097,9,6,10,412,595,0
1815114909,6,8,14,398,516,0
1815114909,6,8,14,398,516,0
1815120865,2,10,5,340,331,0
1815120865,2,10,5,340,331,0
1815121692,0,4,5,228,233,0
1815121692,0,4,5,228,233,0
1815122517,11,12,15,390,549,0
1815122517,11,12,15,390,549,0
1815100556,7,7,11,528,579,1
1815100556,7,7,11,528,579,1
1815100572,1,11,7,250,317,0
1815100572,1,11,7,250,317,0
1815111116,1,10,24,323,415,1
1815111116,1,10,24,323,415,1
1815113619,5,12,8,394,446,0
1815113619,5,12,8,394,446,0
1815116678,8,5,11,508,611,1
1815116678,8,5,11,508,611,1
1815098711,6,4,10,417,493,1
1815098711,6,4,10,417,493,1
1815098864,8,9,7,355,417,0
1815098864,8,9,7,355,417,0
1815099020,3,13,12,284,313,0
1815099020,3,13,12,284,313,0
1815099231,3,11,8,234,302,0
1815099231,3,11,8,234,302,0
1815099372,7,0,8,531,577,1
1815099372,7,0,8,531,577,1
1815099398,14,8,10,522,620,1
1815099398,14,8,10,522,620,1
1815099400,5,8,13,265,311,0
1815099400,5,8,13,265,311,0
1815099613,7,9,17,387,464,1
1815099613,7,9,17,387,464,1
1815099891,11,4,19,510,651,1
1815099891,11,4,19,510,651,1
1815099958,5,5,6,307,284,1
1815099958,5,5,6,307,284,1
1815100067,5,13,12,307,373,0
1815100067,5,13,12,307,373,0
1815100305,24,8,19,606,576,1
1815100305,24,8,19,606,576,1
1815100345,0,2,3,236,331,0
1815100345,0,2,3,236,331,0
1815100652,0,9,2,188,256,0
1815100652,0,9,2,188,256,0
1815100723,15,8,8,302,457,0
1815100723,15,8,8,302,457,0
1815100751,6,8,3,515,575,0
1815100751,6,8,3,515,575,0
1815100839,7,5,5,361,555,0
1815100839,7,5,5,361,555,0
1815105630,6,11,14,329,465,1
1815105630,6,11,14,329,465,1
1815105669,22,7,14,507,508,1
1815105669,22,7,14,507,508,1
1815105736,5,3,10,285,366,1
1815105736,5,3,10,285,366,1
1815106694,0,6,0,131,68,0
1815106694,0,6,0,131,68,0
1815107047,10,12,6,377,457,1
1815107047,10,12,6,377,457,1
1815107089,7,4,6,287,351,0
1815107089,7,4,6,287,351,0
1815107206,8,4,12,420,546,1
1815107206,8,4,12,420,546,1
1815107603,7,8,9,295,411,0
1815107603,7,8,9,295,411,0
1815107665,4,7,5,326,395,0
1815107665,4,7,5,326,395,0
1815107797,3,14,7,206,189,0
1815107797,3,14,7,206,189,0
1815107849,6,4,10,511,442,1
1815107849,6,4,10,511,442,1
1815107918,9,4,11,419,414,1
1815107918,9,4,11,419,414,1
1815107919,4,13,15,313,484,1
1815107919,4,13,15,313,484,1
1815108503,5,11,6,338,355,0
1815108503,5,11,6,338,355,0
1815108528,8,12,10,396,589,0
1815108528,8,12,10,396,589,0
1815108551,8,5,12,402,384,1
1815108551,8,5,12,402,384,1
1815108649,0,2,5,186,112,0
1815108649,0,2,5,186,112,0
1815108898,10,1,23,453,455,1
1815108898,10,1,23,453,455,1
1815108899,9,6,2,280,379,0
1815108899,9,6,2,280,379,0
1815109314,1,7,1,227,221,0
1815109314,1,7,1,227,221,0
1815109326,1,6,3,225,320,0
1815109326,1,6,3,225,320,0
1815110061,6,3,17,355,392,1
1815110061,6,3,17,355,392,1
1815110732,1,6,2,329,351,0
1815110732,1,6,2,329,351,0
1815110845,5,13,12,312,384,0
1815110845,5,13,12,312,384,0
1815111043,0,5,2,206,254,0
1815111043,0,5,2,206,254,0
1815111121,3,10,9,228,259,0
1815111121,3,10,9,228,259,0
1815111230,5,9,10,335,391,1
1815111230,5,9,10,335,391,1
1815111320,8,10,4,254,283,0
1815111320,8,10,4,254,283,0
1815111677,15,10,13,406,450,1
1815111677,15,10,13,406,450,1
1815111683,2,4,3,221,237,0
1815111683,2,4,3,221,237,0
1815111770,2,11,5,223,306,0
1815111770,2,11,5,223,306,0
1815112837,9,10,20,369,471,1
1815112837,9,10,20,369,471,1
1815112930,11,8,7,441,596,0
1815112930,11,8,7,441,596,0
1815112946,11,4,6,519,499,1
1815112946,11,4,6,519,499,1
1815113264,3,9,4,247,286,0
1815113264,3,9,4,247,286,0
1815114055,14,10,9,404,579,1
1815114055,14,10,9,404,579,1
1815114355,5,3,5,266,302,0
1815114355,5,3,5,266,302,0
1815114613,12,10,11,338,605,0
1815114613,12,10,11,338,605,0
1815114717,13,26,16,362,529,0
1815114717,13,26,16,362,529,0
1815114889,4,15,6,267,303,0
1815114889,4,15,6,267,303,0
1815115051,1,12,1,249,189,0
1815115051,1,12,1,249,189,0
1815116237,9,5,6,309,373,0
1815116237,9,5,6,309,373,0
