id,k,d,a,gpm,xpm,win
1815106122,4,7,11,377,457,0
1815106122,4,7,11,377,457,0
1815107493,9,6,23,337,438,0
1815107493,9,6,23,337,438,0
1815107582,5,4,8,442,249,1
1815107582,5,4,8,442,249,1
1815111010,4,12,5,376,396,0
1815111010,4,12,5,376,396,0
1815111838,8,9,29,398,551,1
1815111838,8,9,29,398,551,1
1815112669,0,5,25,386,366,1
1815112669,0,5,25,386,366,1
1815113029,7,9,22,439,429,1
1815113029,7,9,22,439,429,1
1815114784,15,1,28,446,513,1
1815114784,15,1,28,446,513,1
1815114960,5,16,18,342,316,0
1815114960,5,16,18,342,316,0
1815115229,6,4,16,520,584,1
1815115229,6,4,16,520,584,1
1815115320,3,10,5,298,310,0
1815115320,3,10,5,298,310,0
1815115828,1,4,4,229,247,0
1815115828,1,4,4,229,247,0
1815116460,6,10,6,280,285,0
1815116460,6,10,6,280,285,0
1815117979,2,4,6,282,284,0
1815117979,2,4,6,282,284,0
1815119304,3,10,23,285,328,0
1815119304,3,10,23,285,328,0
1815120240,5,12,13,332,325,0
1815120240,5,12,13,332,325,0
1815120684,3,6,11,394,362,1
1815120684,3,6,11,394,362,1
1815120963,2,9,9,335,370,0
1815120963,2,9,9,335,370,0
1815121341,7,17,41,378,442,1
1815121341,7,17,41,378,442,1
1815121927,2,11,11,372,503,0
1815121927,2,11,11,372,503,0
1815122694,5,10,25,351,418,0
1815122694,5,10,25,351,418,0
1815122976,6,10,20,409,545,0
1815122976,6,10,20,409,545,0
1815099163,3,2,20,437,441,1
1815099163,3,2,20,437,441,1
1815100775,2,8,0,280,257,0
1815100775,2,8,0,280,257,0
1815106010,2,9,9,284,281,0
1815106010,2,9,9,284,281,0
1815106494,4,12,15,372,400,0
1815106494,4,12,15,372,400,0
1815108799,4,10,6,383,366,0
1815108799,4,10,6,383,366,0
1815109279,3,9,19,312,338,0
1815109279,3,9,19,312,338,0
1815109387,2,4,12,395,333,1
1815109387,2,4,12,395,333,1
1815109992,3,11,14,302,348,0
1815109992,3,11,14,302,348,0
1815110720,4,6,19,412,474,1
1815110720,4,6,19,412,474,1
1815111823,5,13,21,311,387,0
1815111823,5,13,21,311,387,0
1815112366,8,7,23,442,501,1
1815112366,8,7,23,442,501,1
1815114295,2,1,10,426,426,1
1815114295,2,1,10,426,426,1
1815115047,6,4,17,522,463,1
1815115047,6,4,17,522,463,1
1815115183,3,10,6,395,386,0
1815115183,3,10,6,395,386,0
1815115632,1,10,12,307,356,0
1815115632,1,10,12,307,356,0
1815118168,0,5,20,362,416,1
1815118168,0,5,20,362,416,1
1815118350,3,11,11,349,317,0
1815118350,3,11,11,349,317,0
1815118588,2,2,2,320,350,0
1815118588,2,2,2,320,350,0
1815118882,7,6,22,424,477,1
1815118882,7,6,22,424,477,1
1815119449,6,7,13,354,350,0
1815119449,6,7,13,354,350,0
1815121042,1,3,10,400,386,1
1815121042,1,3,10,400,386,1
1815098895,12,2,17,555,683,1
1815098895,12,2,17,555,683,1
1815098899,7,1,12,566,622,1
1815098899,7,1,12,566,622,1
1815099074,8,5,18,494,380,1
1815099074,8,5,18,494,380,1
1815099194,2,7,7,296,317,0
1815099194,2,7,7,296,317,0
1815099512,15,20,15,394,446,0
1815099512,15,20,15,394,446,0
1815099580,10,9,30,388,425,1
1815099580,10,9,30,388,425,1
1815100109,4,10,25,449,568,1
1815100109,4,10,25,449,568,1
1815100177,1,10,10,332,363,0
1815100177,1,10,10,332,363,0
1815100603,7,8,8,369,442,0
1815100603,7,8,8,369,442,0
1815100722,0,4,17,416,438,1
1815100722,0,4,17,416,438,1
1815105244,4,0,8,543,518,1
1815105244,4,0,8,543,518,1
1815105736,2,12,11,358,453,0
1815105736,2,12,11,358,453,0
1815105862,8,7,32,373,477,1
1815105862,8,7,32,373,477,1
1815106052,2,10,11,250,274,0
1815106052,2,10,11,250,274,0
1815106411,2,7,11,311,344,0
1815106411,2,7,11,311,344,0
1815106551,4,15,16,287,273,0
1815106551,4,15,16,287,273,0
1815106665,4,4,13,486,553,1
1815106665,4,4,13,486,553,1
1815106986,1,15,10,236,247,0
1815106986,1,15,10,236,247,0
1815107049,9,4,23,465,664,0
1815107049,9,4,23,465,664,0
1815107086,5,3,19,480,458,1
1815107086,5,3,19,480,458,1
1815107372,9,6,32,445,561,1
1815107372,9,6,32,445,561,1
1815107451,4,12,15,307,354,0
1815107451,4,12,15,307,354,0
1815107679,2,10,26,360,551,0
1815107679,2,10,26,360,551,0
1815107740,7,7,16,447,466,1
1815107740,7,7,16,447,466,1
1815107795,2,1,16,412,512,1
1815107795,2,1,16,412,512,1
1815108013,0,2,18,437,452,1
1815108013,0,2,18,437,452,1
1815108553,5,3,6,591,467,1
1815108553,5,3,6,591,467,1
1815108557,3,14,5,374,361,0
1815108557,3,14,5,374,361,0
1815108949,5,11,11,431,617,0
1815108949,5,11,11,431,617,0
1815109046,3,3,17,455,402,1
1815109046,3,3,17,455,402,1
1815109397,2,4,7,425,382,1
1815109397,2,4,7,425,382,1
1815109617,0,0,0,770,128,1
1815109617,0,0,0,770,128,1
1815109883,4,13,15,379,343,1
1815109883,4,13,15,379,343,1
1815110044,7,10,19,429,491,1
1815110044,7,10,19,429,491,1
1815110274,3,12,17,377,476,0
1815110274,3,12,17,377,476,0
1815110335,2,14,6,247,246,0
1815110335,2,14,6,247,246,0
1815110343,5,8,17,402,413,1
1815110343,5,8,17,402,413,1
1815110743,1,7,7,345,412,0
1815110743,1,7,7,345,412,0
1815110791,1,2,14,446,442,1
1815110791,1,2,14,446,442,1
1815110960,6,16,8,333,336,0
1815110960,6,16,8,333,336,0
1815111114,4,6,13,372,461,1
1815111114,4,6,13,372,461,1
1815111118,10,11,20,378,451,1
1815111118,10,11,20,378,451,1
1815111249,2,6,21,468,488,1
1815111249,2,6,21,468,488,1
1815111287,4,12,26,380,529,1
1815111287,4,12,26,380,529,1
1815111356,0,6,8,288,307,0
1815111356,0,6,8,288,307,0
1815111364,7,19,16,382,464,0
1815111364,7,19,16,382,464,0
1815111596,0,0,0,889,103,1
1815111596,0,0,0,889,103,1
1815111710,5,17,13,297,394,0
1815111710,5,17,13,297,394,0
1815111742,7,12,11,315,285,0
1815111742,7,12,11,315,285,0
1815111854,10,6,14,485,610,0
1815111854,10,6,14,485,610,0
1815111865,1,9,23,311,438,0
1815111865,1,9,23,311,438,0
1815111924,1,5,8,368,293,1
1815111924,1,5,8,368,293,1
1815112788,5,6,13,453,435,1
1815112788,5,6,13,453,435,1
1815112996,2,13,2,233,228,0
1815112996,2,13,2,233,228,0
1815113006,9,15,15,348,338,0
1815113006,9,15,15,348,338,0
1815113653,3,15,6,398,448,0
1815113653,3,15,6,398,448,0
1815113675,10,3,27,488,675,1
1815113675,10,3,27,488,675,1
1815113793,0,14,12,260,309,0
1815113793,0,14,12,260,309,0
1815114041,1,12,3,351,302,0
1815114041,1,12,3,351,302,0
1815114076,3,2,26,408,395,1
1815114076,3,2,26,408,395,1
1815114272,3,7,19,367,427,0
1815114272,3,7,19,367,427,0
1815114356,8,17,7,374,472,1
1815114356,8,17,7,374,472,1
1815114527,2,6,11,318,395,0
1815114527,2,6,11,318,395,0
1815114718,10,3,20,362,410,1
1815114718,10,3,20,362,410,1
1815114800,2,6,5,307,302,0
1815114800,2,6,5,307,302,0
1815114803,6,4,17,483,476,1
1815114803,6,4,17,483,476,1
1815114891,9,2,18,325,437,0
1815114891,9,2,18,325,437,0
1815114908,5,5,16,434,520,1
1815114908,5,5,16,434,520,1
1815114961,1,6,22,464,562,1
1815114961,1,6,22,464,562,1
1815115116,5,1,13,481,437,1
1815115116,5,1,13,481,437,1
1815115128,4,3,14,338,430,0
1815115128,4,3,14,338,430,0
1815115468,1,1,11,440,439,1
1815115468,1,1,11,440,439,1
1815115676,2,4,16,492,503,0
1815115676,2,4,16,492,503,0
1815115797,8,5,32,422,487,1
1815115797,8,5,32,422,487,1
1815115882,4,9,14,388,393,1
1815115882,4,9,14,388,393,1
1815115982,9,5,10,399,508,0
1815115982,9,5,10,399,508,0
1815116451,5,15,16,290,419,0
1815116451,5,15,16,290,419,0
1815116472,5,7,21,494,557,1
1815116472,5,7,21,494,557,1
1815117191,3,7,3,306,338,0
1815117191,3,7,3,306,338,0
1815117304,4,16,33,363,476,0
1815117304,4,16,33,363,476,0
1815117427,6,14,29,381,499,0
1815117427,6,14,29,381,499,0
1815117487,7,2,25,508,593,1
1815117487,7,2,25,508,593,1
1815117523,3,3,10,380,395,1
1815117523,3,3,10,380,395,1
1815117531,15,12,22,437,526,1
1815117531,15,12,22,437,526,1
1815117654,5,5,26,400,493,1
1815117654,5,5,26,400,493,1
1815118334,4,13,23,365,457,1
1815118334,4,13,23,365,457,1
1815118351,6,9,24,328,412,0
1815118351,6,9,24,328,412,0
1815118501,2,6,15,428,524,1
1815118501,2,6,15,428,524,1
1815118843,7,13,15,416,394,1
1815118843,7,13,15,416,394,1
1815118881,2,8,16,343,333,1
1815118881,2,8,16,343,333,1
1815118930,8,5,31,479,531,1
1815118930,8,5,31,479,531,1
1815118952,0,2,2,326,351,1
1815118952,0,2,2,326,351,1
1815119527,4,13,19,297,302,0
1815119527,4,13,19,297,302,0
1815119528,7,8,16,489,552,1
1815119528,7,8,16,489,552,1
1815120029,21,5,14,576,672,0
1815120029,21,5,14,576,672,0
1815120133,4,7,5,389,427,0
1815120133,4,7,5,389,427,0
1815120553,2,9,12,352,470,0
1815120553,2,9,12,352,470,0
1815120576,3,5,14,348,372,1
1815120576,3,5,14,348,372,1
1815121356,2,1,15,411,348,1
1815121356,2,1,15,411,348,1
1815121583,3,5,12,341,390,1
1815121583,3,5,12,341,390,1
1815121690,8,6,29,375,546,0
1815121690,8,6,29,375,546,0
1815121898,0,5,12,368,298,1
1815121898,0,5,12,368,298,1
1815121998,0,0,0,745,120,1
1815121998,0,0,0,745,120,1
1815122077,8,8,22,408,444,1
1815122077,8,8,22,408,444,1
1815122390,4,13,17,344,311,1
1815122390,4,13,17,344,311,1
1815122391,11,6,24,470,516,1
1815122391,11,6,24,470,516,1
1815122674,3,5,6,432,343,1
1815122674,3,5,6,432,343,1
1815122818,1,9,17,416,396,1
1815122818,1,9,17,416,396,1
1815122822,0,5,18,378,413,1
1815122822,0,5,18,378,413,1
1815122834,8,5,21,438,409,1
1815122834,8,5,21,438,409,1
1815122848,2,5,22,339,451,0
1815122848,2,5,22,339,451,0
1815122886,1,4,12,319,347,0
1815122886,1,4,12,319,347,0
1815122918,4,11,14,346,399,0
1815122918,4,11,14,346,399,0
