id,k,d,a,gpm,xpm,win
1815099098,6,7,2,397,368,0
1815099098,6,7,2,397,368,0
1815100126,7,9,6,496,522,1
1815100126,7,9,6,496,522,1
1815100494,13,7,14,575,718,1
1815100494,13,7,14,575,718,1
1815106065,11,12,13,504,577,0
1815106065,11,12,13,504,577,0
1815106214,10,0,4,611,673,1
1815106214,10,0,4,611,673,1
1815106242,22,4,9,573,434,1
1815106242,22,4,9,573,434,1
1815107813,0,1,8,501,473,1
1815107813,0,1,8,501,473,1
1815107904,19,4,22,604,694,1
1815107904,19,4,22,604,694,1
1815108112,18,4,10,667,679,1
1815108112,18,4,10,667,679,1
1815108438,20,7,8,658,558,1
1815108438,20,7,8,658,558,1
1815108703,11,13,21,483,611,1
1815108703,11,13,21,483,611,1
1815108996,22,11,12,612,652,1
1815108996,22,11,12,612,652,1
1815109133,2,4,4,330,349,0
1815109133,2,4,4,330,349,0
1815109718,15,9,16,436,506,0
1815109718,15,9,16,436,506,0
1815109957,3,16,4,278,304,0
1815109957,3,16,4,278,304,0
1815110072,17,6,6,586,476,1
1815110072,17,6,6,586,476,1
1815111609,12,7,10,595,674,1
1815111609,12,7,10,595,674,1
1815111838,6,10,13,451,537,1
1815111838,6,10,13,451,537,1
1815111940,4,6,9,372,451,0
1815111940,4,6,9,372,451,0
1815111993,4,10,2,473,453,0
1815111993,4,10,2,473,453,0
1815112037,3,12,3,346,433,0
1815112037,3,12,3,346,433,0
1815113067,9,7,3,466,581,0
1815113067,9,7,3,466,581,0
1815113892,14,9,14,608,664,1
1815113892,14,9,14,608,664,1
1815116224,17,15,12,519,589,0
1815116224,17,15,12,519,589,0
1815116508,10,9,12,533,495,1
1815116508,10,9,12,533,495,1
1815117139,3,14,11,381,449,0
1815117139,3,14,11,381,449,0
1815118745,14,7,8,535,692,0
1815118745,14,7,8,535,692,0
1815119152,8,6,5,563,604,1
1815119152,8,6,5,563,604,1
1815120130,2,0,0,568,571,1
1815120130,2,0,0,568,571,1
1815121376,7,9,13,406,438,0
1815121376,7,9,13,406,438,0
1815123009,8,10,8,477,543,1
1815123009,8,10,8,477,543,1
1815099235,14,1,12,600,658,1
1815099235,14,1,12,600,658,1
1815100569,9,9,6,488,509,0
1815100569,9,9,6,488,509,0
1815100680,7,5,4,541,625,0
1815100680,7,5,4,541,625,0
1815100838,8,5,9,574,611,1
1815100838,8,5,9,574,611,1
1815106494,15,7,17,664,710,1
1815106494,15,7,17,664,710,1
1815107936,5,5,6,377,484,0
1815107936,5,5,6,377,484,0
1815108465,10,5,12,542,539,1
1815108465,10,5,12,542,539,1
1815108728,0,14,2,268,300,0
1815108728,0,14,2,268,300,0
