id,k,d,a,gpm,xpm,win
1815098804,6,8,11,281,222,0
1815098804,6,8,11,281,222,0
1815099196,2,17,18,410,348,1
1815099196,2,17,18,410,348,1
1815105786,10,2,15,692,626,1
1815105786,10,2,15,692,626,1
1815105820,6,12,7,526,445,0
1815105820,6,12,7,526,445,0
1815106528,15,13,19,607,645,1
1815106528,15,13,19,607,645,1
1815108190,3,9,3,535,497,0
1815108190,3,9,3,535,497,0
1815109717,6,16,10,407,465,0
1815109717,6,16,10,407,465,0
1815110088,1,26,6,207,108,0
1815110088,1,26,6,207,108,0
1815110182,3,4,14,513,430,1
1815110182,3,4,14,513,430,1
1815110849,3,9,22,388,462,1
1815110849,3,9,22,388,462,1
1815112755,2,16,12,472,365,0
1815112755,2,16,12,472,365,0
1815113474,5,9,10,417,409,1
1815113474,5,9,10,417,409,1
1815114531,1,12,5,338,266,0
1815114531,1,12,5,338,266,0
1815115117,1,11,1,340,335,0
1815115117,1,11,1,340,335,0
1815115149,6,4,8,492,424,1
1815115149,6,4,8,492,424,1
1815115828,3,3,13,496,390,1
1815115828,3,3,13,496,390,1
1815117007,3,5,9,525,433,1
1815117007,3,5,9,525,433,1
1815117882,14,4,12,731,812,1
1815117882,14,4,12,731,812,1
1815118124,7,12,16,400,392,0
1815118124,7,12,16,400,392,0
1815119031,5,9,10,525,474,1
1815119031,5,9,10,525,474,1
1815120132,3,5,8,385,341,0
1815120132,3,5,8,385,341,0
1815121172,14,5,11,668,642,1
1815121172,14,5,11,668,642,1
1815121346,11,9,14,616,639,1
1815121346,11,9,14,616,639,1
1815099163,2,12,8,328,303,0
1815099163,2,12,8,328,303,0
1815099650,8,7,27,529,562,1
1815099650,8,7,27,529,562,1
1815099970,3,13,13,326,289,0
1815099970,3,13,13,326,289,0
1815100043,3,3,7,481,319,1
1815100043,3,3,7,481,319,1
1815105263,15,10,9,587,549,0
1815105263,15,10,9,587,549,0
1815106383,5,6,18,572,446,1
1815106383,5,6,18,572,446,1
1815106756,15,3,20,723,803,1
1815106756,15,3,20,723,803,1
1815106997,20,7,21,725,638,1
1815106997,20,7,21,725,638,1
1815109110,3,2,1,264,200,0
1815109110,3,2,1,264,200,0
1815111446,4,10,11,521,466,0
1815111446,4,10,11,521,466,0
1815112230,7,7,11,585,613,1
1815112230,7,7,11,585,613,1
1815112398,3,7,18,419,409,1
1815112398,3,7,18,419,409,1
1815112654,10,16,25,561,546,1
1815112654,10,16,25,561,546,1
1815113200,0,12,10,278,249,0
1815113200,0,12,10,278,249,0
1815113844,0,5,2,217,133,0
1815113844,0,5,2,217,133,0
1815115815,2,2,8,554,356,1
1815115815,2,2,8,554,356,1
1815116842,8,9,20,521,465,0
1815116842,8,9,20,521,465,0
1815118407,4,10,17,650,562,1
1815118407,4,10,17,650,562,1
1815120120,4,7,13,564,589,1
1815120120,4,7,13,564,589,1
1815121187,3,14,8,391,396,0
1815121187,3,14,8,391,396,0
1815122131,2,9,12,372,329,1
1815122131,2,9,12,372,329,1
1815122931,6,10,21,547,455,0
1815122931,6,10,21,547,455,0
1815123184,0,11,11,341,294,1
1815123184,0,11,11,341,294,1
1815098693,10,6,6,663,713,0
1815098693,10,6,6,663,713,0
1815098701,7,13,9,382,456,0
1815098701,7,13,9,382,456,0
1815099005,10,12,6,412,414,0
1815099005,10,12,6,412,414,0
1815099126,2,9,5,378,467,0
1815099126,2,9,5,378,467,0
1815099194,3,7,15,409,389,1
1815099194,3,7,15,409,389,1
1815099328,1,12,3,260,210,0
1815099328,1,12,3,260,210,0
1815099397,1,9,1,212,174,0
1815099397,1,9,1,212,174,0
1815099477,0,6,7,248,261,0
1815099477,0,6,7,248,261,0
1815099720,5,8,7,340,369,0
1815099720,5,8,7,340,369,0
1815099867,11,13,15,540,607,1
1815099867,11,13,15,540,607,1
1815099880,2,12,8,270,255,0
1815099880,2,12,8,270,255,0
1815099953,1,6,2,327,312,0
1815099953,1,6,2,327,312,0
1815100103,3,13,6,255,262,0
1815100103,3,13,6,255,262,0
1815100120,13,8,17,553,561,1
1815100120,13,8,17,553,561,1
1815100122,6,5,7,556,469,0
1815100122,6,5,7,556,469,0
1815100185,0,12,8,379,383,1
1815100185,0,12,8,379,383,1
1815100334,8,6,25,485,536,1
1815100334,8,6,25,485,536,1
1815100354,22,13,22,594,601,1
1815100354,22,13,22,594,601,1
1815100470,1,14,4,381,341,0
1815100470,1,14,4,381,341,0
1815100508,3,13,10,518,452,1
1815100508,3,13,10,518,452,1
1815100709,4,11,9,336,346,0
1815100709,4,11,9,336,346,0
1815100736,10,18,21,508,504,1
1815100736,10,18,21,508,504,1
1815105306,6,5,5,486,589,0
1815105306,6,5,5,486,589,0
1815105345,10,3,14,660,671,1
1815105345,10,3,14,660,671,1
1815105688,11,10,6,549,554,0
1815105688,11,10,6,549,554,0
1815106464,3,5,16,411,376,1
1815106464,3,5,16,411,376,1
1815106621,7,3,9,502,581,0
1815106621,7,3,9,502,581,0
1815106694,2,10,4,391,264,0
1815106694,2,10,4,391,264,0
1815106827,10,6,10,594,641,1
1815106827,10,6,10,594,641,1
1815106843,3,12,10,399,388,0
1815106843,3,12,10,399,388,0
1815106923,0,8,5,326,211,0
1815106923,0,8,5,326,211,0
1815107328,6,10,6,521,536,0
1815107328,6,10,6,521,536,0
1815107434,2,12,7,261,255,0
1815107434,2,12,7,261,255,0
1815107506,8,11,15,343,370,0
1815107506,8,11,15,343,370,0
1815107705,5,8,12,629,552,1
1815107705,5,8,12,629,552,1
1815107797,1,9,8,339,258,0
1815107797,1,9,8,339,258,0
1815107845,2,6,3,231,214,0
1815107845,2,6,3,231,214,0
1815108004,3,6,18,495,468,1
1815108004,3,6,18,495,468,1
1815108192,4,9,15,522,387,1
1815108192,4,9,15,522,387,1
1815108861,2,9,5,374,364,0
1815108861,2,9,5,374,364,0
1815108874,2,12,10,405,368,1
1815108874,2,12,10,405,368,1
1815109046,0,5,3,215,133,0
1815109046,0,5,3,215,133,0
1815109086,2,11,10,371,469,0
1815109086,2,11,10,371,469,0
1815109150,7,15,10,493,613,0
1815109150,7,15,10,493,613,0
1815109360,13,9,16,614,605,1
1815109360,13,9,16,614,605,1
1815109397,2,8,4,409,410,0
1815109397,2,8,4,409,410,0
1815109500,3,11,11,422,391,0
1815109500,3,11,11,422,391,0
1815109539,6,5,8,527,403,1
1815109539,6,5,8,527,403,1
1815109617,23,0,0,2359,732,1
1815109617,23,0,0,2359,732,1
1815109823,10,8,13,501,654,0
1815109823,10,8,13,501,654,0
1815109980,0,6,8,386,372,1
1815109980,0,6,8,386,372,1
1815109993,1,10,6,358,338,0
1815109993,1,10,6,358,338,0
1815110043,4,7,16,469,416,1
1815110043,4,7,16,469,416,1
1815110127,5,14,16,414,455,1
1815110127,5,14,16,414,455,1
1815110299,4,5,7,373,344,0
1815110299,4,5,7,373,344,0
1815110335,1,14,14,395,413,0
1815110335,1,14,14,395,413,0
1815110343,5,11,12,412,377,0
1815110343,5,11,12,412,377,0
1815110470,10,8,6,586,577,0
1815110470,10,8,6,586,577,0
1815110678,16,10,11,567,643,0
1815110678,16,10,11,567,643,0
1815110791,2,9,4,382,386,0
1815110791,2,9,4,382,386,0
1815111140,1,10,6,312,323,0
1815111140,1,10,6,312,323,0
1815111173,10,12,20,453,529,0
1815111173,10,12,20,453,529,0
1815111389,3,21,3,345,293,0
1815111389,3,21,3,345,293,0
1815111504,6,9,14,472,325,1
1815111504,6,9,14,472,325,1
1815111596,18,0,0,2500,718,1
1815111596,18,0,0,2500,718,1
1815111672,12,13,16,586,510,0
1815111672,12,13,16,586,510,0
1815111996,4,9,11,386,323,0
1815111996,4,9,11,386,323,0
1815112036,0,5,3,126,108,0
1815112036,0,5,3,126,108,0
1815112434,4,8,4,338,365,0
1815112434,4,8,4,338,365,0
1815112470,2,7,17,471,367,0
1815112470,2,7,17,471,367,0
1815112650,5,12,21,336,395,0
1815112650,5,12,21,336,395,0
1815112788,7,5,8,521,606,0
1815112788,7,5,8,521,606,0
1815112995,7,4,13,548,539,1
1815112995,7,4,13,548,539,1
1815113082,5,9,16,523,458,1
1815113082,5,9,16,523,458,1
1815113262,4,21,11,278,241,0
1815113262,4,21,11,278,241,0
1815113562,6,9,11,596,639,0
1815113562,6,9,11,596,639,0
1815113843,5,12,12,505,477,1
1815113843,5,12,12,505,477,1
1815113894,2,6,7,519,410,1
1815113894,2,6,7,519,410,1
1815113927,1,4,5,283,291,0
1815113927,1,4,5,283,291,0
1815114191,4,10,8,519,522,0
1815114191,4,10,8,519,522,0
1815114208,1,6,14,364,306,1
1815114208,1,6,14,364,306,1
1815114632,4,11,0,290,235,0
1815114632,4,11,0,290,235,0
1815114790,5,9,12,456,409,1
1815114790,5,9,12,456,409,1
1815114800,6,2,10,610,488,1
1815114800,6,2,10,610,488,1
1815114857,10,14,6,325,251,0
1815114857,10,14,6,325,251,0
1815114985,6,5,13,628,564,1
1815114985,6,5,13,628,564,1
1815115017,0,10,2,284,234,0
1815115017,0,10,2,284,234,0
1815115116,9,1,20,588,534,1
1815115116,9,1,20,588,534,1
1815115144,3,10,11,372,398,0
1815115144,3,10,11,372,398,0
1815115176,4,12,17,410,486,0
1815115176,4,12,17,410,486,0
1815115283,3,0,6,657,511,1
1815115283,3,0,6,657,511,1
1815115684,6,8,7,432,386,0
1815115684,6,8,7,432,386,0
1815115772,6,12,20,342,381,1
1815115772,6,12,20,342,381,1
1815115794,5,7,11,498,533,1
1815115794,5,7,11,498,533,1
1815115873,16,7,18,641,551,1
1815115873,16,7,18,641,551,1
1815115958,2,14,9,370,336,0
1815115958,2,14,9,370,336,0
1815116237,1,8,9,339,400,0
1815116237,1,8,9,339,400,0
1815116421,16,0,0,2500,614,1
1815116421,16,0,0,2500,614,1
1815116447,5,11,14,300,293,0
1815116447,5,11,14,300,293,0
1815116584,6,10,9,437,552,0
1815116584,6,10,9,437,552,0
1815116610,8,7,10,502,477,1
1815116610,8,7,10,502,477,1
1815116992,8,14,10,563,611,0
1815116992,8,14,10,563,611,0
1815117015,5,11,9,473,397,0
1815117015,5,11,9,473,397,0
1815117118,2,11,5,365,303,0
1815117118,2,11,5,365,303,0
1815117304,3,11,17,447,476,1
1815117304,3,11,17,447,476,1
1815117439,2,2,5,338,214,0
1815117439,2,2,5,338,214,0
1815117542,1,2,0,316,189,0
1815117542,1,2,0,316,189,0
1815117544,15,19,25,442,514,1
1815117544,15,19,25,442,514,1
1815117567,7,14,11,536,506,0
1815117567,7,14,11,536,506,0
1815117579,6,11,13,493,452,1
1815117579,6,11,13,493,452,1
1815117742,0,4,6,217,231,0
1815117742,0,4,6,217,231,0
1815117940,2,11,17,492,483,1
1815117940,2,11,17,492,483,1
1815118005,9,3,13,725,693,1
