id,k,d,a,gpm,xpm,win
1815100053,1,5,6,399,394,1
1815100053,1,5,6,399,394,1
1815100576,0,2,0,479,207,1
1815100576,0,2,0,479,207,1
1815100763,16,6,7,619,616,1
1815100763,16,6,7,619,616,1
1815105494,8,9,10,559,662,0
1815105494,8,9,10,559,662,0
1815105721,11,11,17,518,577,1
1815105721,11,11,17,518,577,1
1815106211,22,6,14,625,604,0
1815106211,22,6,14,625,604,0
1815106214,3,2,13,538,589,1
1815106214,3,2,13,538,589,1
1815106491,5,6,8,396,419,0
1815106491,5,6,8,396,419,0
1815107062,0,12,5,133,57,0
1815107062,0,12,5,133,57,0
1815107493,11,12,17,423,478,0
1815107493,11,12,17,423,478,0
1815107537,7,7,18,504,496,1
1815107537,7,7,18,504,496,1
1815107582,2,4,5,284,254,0
1815107582,2,4,5,284,254,0
1815107585,17,5,16,595,634,1
1815107585,17,5,16,595,634,1
1815108232,8,12,16,436,593,0
1815108232,8,12,16,436,593,0
1815111286,2,10,9,224,267,0
1815111286,2,10,9,224,267,0
1815112349,1,8,10,292,325,0
1815112349,1,8,10,292,325,0
1815112505,5,12,26,359,367,1
1815112505,5,12,26,359,367,1
1815113186,13,3,12,698,546,1
1815113186,13,3,12,698,546,1
1815113759,12,5,13,523,669,1
1815113759,12,5,13,523,669,1
1815114057,4,13,7,333,367,0
1815114057,4,13,7,333,367,0
1815114960,17,7,20,587,731,1
1815114960,17,7,20,587,731,1
1815115377,11,11,22,504,562,0
1815115377,11,11,22,504,562,0
1815117362,6,8,12,512,585,1
1815117362,6,8,12,512,585,1
1815117725,11,5,19,510,519,1
1815117725,11,5,19,510,519,1
1815118123,4,2,1,323,377,0
1815118123,4,2,1,323,377,0
1815118352,3,10,11,324,351,0
1815118352,3,10,11,324,351,0
1815118893,17,2,20,679,680,1
1815118893,17,2,20,679,680,1
1815119958,10,9,11,400,452,0
1815119958,10,9,11,400,452,0
1815120385,16,13,13,450,547,0
1815120385,16,13,13,450,547,0
1815123077,7,10,11,568,489,1
1815123077,7,10,11,568,489,1
1815123130,14,5,20,568,537,1
1815123130,14,5,20,568,537,1
1815099775,15,3,14,665,698,1
1815099775,15,3,14,665,698,1
1815099829,4,11,9,383,411,0
1815099829,4,11,9,383,411,0
1815099948,11,11,10,498,584,0
1815099948,11,11,10,498,584,0
1815099970,12,9,7,350,344,0
1815099970,12,9,7,350,344,0
1815100348,8,5,8,542,627,1
1815100348,8,5,8,542,627,1
1815100570,13,6,18,535,640,1
1815100570,13,6,18,535,640,1
1815100590,2,10,8,371,487,0
1815100590,2,10,8,371,487,0
1815100822,8,0,8,659,599,1
1815100822,8,0,8,659,599,1
1815105643,15,8,29,544,643,1
1815105643,15,8,29,544,643,1
1815106091,6,15,10,358,359,0
1815106091,6,15,10,358,359,0
1815106108,17,2,6,766,693,1
1815106108,17,2,6,766,693,1
1815106759,2,11,4,289,289,0
1815106759,2,11,4,289,289,0
1815106780,3,10,8,230,256,0
1815106780,3,10,8,230,256,0
1815106975,13,5,4,537,623,0
1815106975,13,5,4,537,623,0
1815106983,27,6,9,713,518,0
1815106983,27,6,9,713,518,0
1815107061,2,9,9,379,442,0
1815107061,2,9,9,379,442,0
1815108428,8,1,14,657,701,1
1815108428,8,1,14,657,701,1
1815108831,11,1,2,585,480,1
1815108831,11,1,2,585,480,1
1815109279,14,11,16,420,466,0
1815109279,14,11,16,420,466,0
1815109470,10,6,13,540,590,1
1815109470,10,6,13,540,590,1
1815110763,20,7,24,687,730,1
1815110763,20,7,24,687,730,1
1815110935,7,13,8,420,401,0
1815110935,7,13,8,420,401,0
1815111383,4,8,4,379,362,0
1815111383,4,8,4,379,362,0
1815111500,6,11,18,410,477,0
1815111500,6,11,18,410,477,0
1815111570,8,8,15,512,581,1
1815111570,8,8,15,512,581,1
1815111597,10,5,8,629,527,1
1815111597,10,5,8,629,527,1
1815111642,13,2,17,727,774,1
1815111642,13,2,17,727,774,1
1815112265,9,11,15,459,562,0
1815112265,9,11,15,459,562,0
1815112516,5,6,9,456,473,0
1815112516,5,6,9,456,473,0
1815112563,10,15,7,537,567,1
1815112563,10,15,7,537,567,1
1815112992,4,10,10,419,452,0
1815112992,4,10,10,419,452,0
1815113200,13,2,20,668,694,1
