id,k,d,a,gpm,xpm,win
1815098837,17,5,3,570,541,1
1815098837,17,5,3,570,541,1
1815098851,31,2,4,706,760,1
1815098851,31,2,4,706,760,1
1815100779,13,10,10,441,582,0
1815100779,13,10,10,441,582,0
1815105321,2,11,4,298,348,0
1815105321,2,11,4,298,348,0
1815105385,25,2,4,706,727,1
1815105385,25,2,4,706,727,1
1815105494,24,8,9,558,559,1
1815105494,24,8,9,558,559,1
1815107185,4,11,2,273,330,0
1815107185,4,11,2,273,330,0
1815109133,6,8,7,290,325,0
1815109133,6,8,7,290,325,0
1815110182,11,3,11,410,483,1
1815110182,11,3,11,410,483,1
1815110248,21,10,10,490,581,0
1815110248,21,10,10,490,581,0
1815110311,14,11,10,377,492,0
1815110311,14,11,10,377,492,0
1815112400,11,13,8,413,431,0
1815112400,11,13,8,413,431,0
1815112502,11,15,12,521,498,1
1815112502,11,15,12,521,498,1
1815112715,24,12,5,544,591,1
1815112715,24,12,5,544,591,1
1815114012,7,5,1,530,400,1
1815114012,7,5,1,530,400,1
1815114180,2,13,4,268,289,0
1815114180,2,13,4,268,289,0
1815114302,10,4,8,547,638,1
1815114302,10,4,8,547,638,1
1815114784,10,16,9,370,402,0
1815114784,10,16,9,370,402,0
1815116473,20,6,9,717,656,1
1815116473,20,6,9,717,656,1
1815116993,14,14,7,432,548,0
1815116993,14,14,7,432,548,0
1815118822,20,4,10,641,637,1
1815118822,20,4,10,641,637,1
1815119031,9,10,11,498,607,1
1815119031,9,10,11,498,607,1
1815119712,2,9,3,254,263,0
1815119712,2,9,3,254,263,0
1815121341,19,20,17,490,452,0
1815121341,19,20,17,490,452,0
1815121797,22,9,4,500,592,0
1815121797,22,9,4,500,592,0
1815098821,6,11,9,364,356,1
1815098821,6,11,9,364,356,1
1815099373,5,6,10,434,263,1
1815099373,5,6,10,434,263,1
1815105708,9,11,3,380,363,0
1815105708,9,11,3,380,363,0
1815106091,14,8,8,573,614,1
1815106091,14,8,8,573,614,1
1815106213,2,13,15,287,319,1
1815106213,2,13,15,287,319,1
1815106494,14,6,18,625,706,1
1815106494,14,6,18,625,706,1
1815106737,14,11,3,435,438,0
1815106737,14,11,3,435,438,0
1815106759,3,10,4,222,194,0
1815106759,3,10,4,222,194,0
1815106997,11,12,8,415,494,0
1815106997,11,12,8,415,494,0
1815107061,11,7,7,453,512,1
1815107061,11,7,7,453,512,1
1815107936,15,8,10,559,660,1
1815107936,15,8,10,559,660,1
1815108256,11,18,18,423,543,1
1815108256,11,18,18,423,543,1
1815108799,5,11,3,349,337,0
1815108799,5,11,3,349,337,0
1815109345,8,2,6,566,583,1
1815109345,8,2,6,566,583,1
1815110405,23,10,10,533,601,0
1815110405,23,10,10,533,601,0
1815111446,9,15,7,387,500,0
1815111446,9,15,7,387,500,0
1815112366,29,10,9,571,502,1
1815112366,29,10,9,571,502,1
1815112563,10,15,10,348,325,0
1815112563,10,15,10,348,325,0
1815112992,12,7,7,463,435,1
1815112992,12,7,7,463,435,1
1815114101,16,11,12,435,557,0
1815114101,16,11,12,435,557,0
1815114102,13,14,15,471,518,1
1815114102,13,14,15,471,518,1
1815115054,6,14,11,346,439,0
1815115054,6,14,11,346,439,0
1815115961,6,9,7,430,607,0
1815115961,6,9,7,430,607,0
1815116126,15,13,12,451,603,1
1815116126,15,13,12,451,603,1
1815116201,9,10,16,461,584,1
1815116201,9,10,16,461,584,1
1815117062,4,8,1,262,230,0
1815117062,4,8,1,262,230,0
