id,k,d,a,gpm,xpm,win
1815098931,8,7,20,326,450,0
1815098931,8,7,20,326,450,0
1815099098,10,5,20,446,542,1
1815099098,10,5,20,446,542,1
1815100053,0,9,6,213,209,0
1815100053,0,9,6,213,209,0
1815100592,7,1,7,403,354,1
1815100592,7,1,7,403,354,1
1815100779,12,10,16,455,578,0
1815100779,12,10,16,455,578,0
1815105360,10,10,7,376,419,0
1815105360,10,10,7,376,419,0
1815105368,8,7,21,490,581,1
1815105368,8,7,21,490,581,1
1815105470,9,6,7,419,567,0
1815105470,9,6,7,419,567,0
1815105657,4,9,22,511,580,1
1815105657,4,9,22,511,580,1
1815105721,8,7,14,365,450,0
1815105721,8,7,14,365,450,0
1815105821,12,5,7,537,561,1
1815105821,12,5,7,537,561,1
1815106065,3,15,12,323,450,0
1815106065,3,15,12,323,450,0
1815106214,5,7,3,363,387,0
1815106214,5,7,3,363,387,0
1815106472,3,8,9,312,382,0
1815106472,3,8,9,312,382,0
1815106595,13,6,7,648,668,1
1815106595,13,6,7,648,668,1
1815107439,17,3,15,511,535,1
1815107439,17,3,15,511,535,1
1815107780,1,12,8,233,259,0
1815107780,1,12,8,233,259,0
1815107796,6,6,17,383,458,0
1815107796,6,6,17,383,458,0
1815107904,9,10,7,474,555,0
1815107904,9,10,7,474,555,0
1815108053,10,6,11,350,431,0
1815108053,10,6,11,350,431,0
1815108112,6,9,5,445,529,0
1815108112,6,9,5,445,529,0
1815109189,7,13,13,366,398,0
1815109189,7,13,13,366,398,0
1815109238,9,6,23,475,579,1
1815109238,9,6,23,475,579,1
1815109596,5,5,3,365,424,0
1815109596,5,5,3,365,424,0
1815109717,13,5,27,459,554,1
1815109717,13,5,27,459,554,1
1815109718,20,6,17,524,503,0
1815109718,20,6,17,524,503,0
1815109872,3,7,4,318,329,0
1815109872,3,7,4,318,329,0
1815110242,11,3,14,593,713,1
1815110242,11,3,14,593,713,1
1815110248,1,11,14,254,378,0
1815110248,1,11,14,254,378,0
1815110311,3,9,14,319,466,0
1815110311,3,9,14,319,466,0
1815110437,4,10,4,444,428,0
1815110437,4,10,4,444,428,0
1815110471,3,9,20,343,433,0
1815110471,3,9,20,343,433,0
1815111397,1,1,10,419,425,1
1815111397,1,1,10,419,425,1
1815111594,4,7,7,492,685,0
1815111594,4,7,7,492,685,0
1815111609,14,4,17,565,575,1
1815111609,14,4,17,565,575,1
1815112250,4,8,8,407,423,0
1815112250,4,8,8,407,423,0
1815112349,4,7,3,298,333,0
1815112349,4,7,3,298,333,0
1815113007,2,10,16,329,391,0
1815113007,2,10,16,329,391,0
1815113892,16,12,21,514,638,0
1815113892,16,12,21,514,638,0
1815113993,5,4,16,391,427,1
1815113993,5,4,16,391,427,1
1815114035,1,10,11,300,362,0
1815114035,1,10,11,300,362,0
1815114091,2,10,6,305,295,0
1815114091,2,10,6,305,295,0
1815114180,2,2,9,395,378,1
1815114180,2,2,9,395,378,1
1815114542,2,13,7,261,296,0
1815114542,2,13,7,261,296,0
1815114730,12,8,4,375,452,0
1815114730,12,8,4,375,452,0
1815114765,10,2,11,488,473,1
1815114765,10,2,11,488,473,1
1815114784,4,8,14,308,332,0
1815114784,4,8,14,308,332,0
1815115364,8,7,9,354,434,0
1815115364,8,7,9,354,434,0
1815116508,1,8,12,435,485,0
1815116508,1,8,12,435,485,0
1815116993,7,7,6,380,417,0
1815116993,7,7,6,380,417,0
1815117120,0,17,7,291,339,0
1815117120,0,17,7,291,339,0
1815117139,2,12,16,348,365,0
1815117139,2,12,16,348,365,0
1815118075,17,2,15,780,558,1
1815118075,17,2,15,780,558,1
1815118124,11,10,11,426,570,0
1815118124,11,10,11,426,570,0
1815118155,2,12,13,322,319,1
1815118155,2,12,13,322,319,1
1815118893,3,4,11,382,396,1
1815118893,3,4,11,382,396,1
1815120385,14,13,21,498,639,1
1815120385,14,13,21,498,639,1
1815120516,0,13,2,186,156,0
1815120516,0,13,2,186,156,0
1815120865,4,9,7,317,385,0
1815120865,4,9,7,317,385,0
1815120963,3,11,4,349,410,0
1815120963,3,11,4,349,410,0
1815121172,9,8,4,369,422,0
1815121172,9,8,4,369,422,0
1815121341,26,7,25,620,455,1
1815121341,26,7,25,620,455,1
1815121496,8,1,11,439,438,1
1815121496,8,1,11,439,438,1
1815121604,7,12,17,309,344,1
1815121604,7,12,17,309,344,1
1815121797,16,9,9,520,572,1
1815121797,16,9,9,520,572,1
1815122222,6,10,10,330,423,0
1815122222,6,10,10,330,423,0
1815122961,15,8,10,480,546,0
1815122961,15,8,10,480,546,0
1815123009,7,4,14,362,422,0
1815123009,7,4,14,362,422,0
1815123130,1,8,17,304,330,0
1815123130,1,8,17,304,330,0
1815123167,5,7,10,406,485,0
1815123167,5,7,10,406,485,0
1815099235,8,3,16,406,520,1
1815099235,8,3,16,406,520,1
1815099273,4,8,14,281,359,0
1815099273,4,8,14,281,359,0
1815099545,2,10,9,255,311,0
1815099545,2,10,9,255,311,0
1815099716,1,10,5,209,233,0
1815099716,1,10,5,209,233,0
1815099800,1,9,1,153,190,0
1815099800,1,9,1,153,190,0
1815100635,23,6,32,590,483,0
1815100635,23,6,32,590,483,0
1815105708,4,5,25,404,464,1
1815105708,4,5,25,404,464,1
1815105993,7,2,0,415,445,0
1815105993,7,2,0,415,445,0
1815106161,4,15,13,306,451,0
1815106161,4,15,13,306,451,0
1815106283,7,5,5,313,355,0
1815106283,7,5,5,313,355,0
1815106983,10,9,13,353,476,1
1815106983,10,9,13,353,476,1
1815107985,0,0,2,215,32,1
1815107985,0,0,2,215,32,1
1815108402,10,12,9,366,377,0
1815108402,10,12,9,366,377,0
1815108465,12,10,15,470,481,1
1815108465,12,10,15,470,481,1
1815108591,2,9,3,298,412,0
1815108591,2,9,3,298,412,0
1815109123,6,14,12,344,440,0
1815109123,6,14,12,344,440,0
1815109185,14,7,7,413,495,0
1815109185,14,7,7,413,495,0
1815109212,12,9,20,438,541,1
1815109212,12,9,20,438,541,1
1815109329,7,5,10,467,477,1
1815109329,7,5,10,467,477,1
1815109470,9,3,8,555,628,1
1815109470,9,3,8,555,628,1
1815110712,19,9,20,496,591,1
1815110712,19,9,20,496,591,1
1815111011,8,7,6,508,557,0
1815111011,8,7,6,508,557,0
1815111116,10,11,21,473,543,1
1815111116,10,11,21,473,543,1
1815111257,9,10,13,393,499,1
1815111257,9,10,13,393,499,1
1815111823,9,11,12,402,496,0
1815111823,9,11,12,402,496,0
1815112040,0,9,6,369,424,0
1815112040,0,9,6,369,424,0
1815112230,4,14,7,320,415,0
1815112230,4,14,7,320,415,0
1815113060,9,15,13,324,326,0
1815113060,9,15,13,324,326,0
1815113312,10,3,12,499,548,1
1815113312,10,3,12,499,548,1
1815113455,1,9,1,246,281,0
1815113455,1,9,1,246,281,0
1815113531,15,11,26,454,488,0
1815113531,15,11,26,454,488,0
1815113808,7,6,12,414,429,1
1815113808,7,6,12,414,429,1
1815113833,14,15,17,385,519,0
1815113833,14,15,17,385,519,0
1815114221,1,3,7,334,297,1
1815114221,1,3,7,334,297,1
1815114988,14,7,9,475,461,1
1815114988,14,7,9,475,461,1
1815115047,10,4,13,583,590,1
1815115047,10,4,13,583,590,1
1815115049,16,3,26,699,750,1
1815115049,16,3,26,699,750,1
1815115433,18,10,18,641,643,1
1815115433,18,10,18,641,643,1
1815115961,11,9,17,555,637,1
1815115961,11,9,17,555,637,1
1815117327,3,8,11,373,387,1
1815117327,3,8,11,373,387,1
1815117486,22,8,11,513,637,1
1815117486,22,8,11,513,637,1
1815117497,12,6,13,475,506,1
1815117497,12,6,13,475,506,1
1815118486,8,13,19,398,473,1
1815118486,8,13,19,398,473,1
1815118788,11,16,20,398,527,0
1815118788,11,16,20,398,527,0
1815119227,9,9,12,489,581,0
1815119227,9,9,12,489,581,0
1815119944,7,12,9,280,332,0
1815119944,7,12,9,280,332,0
1815120237,6,12,3,290,244,0
1815120237,6,12,3,290,244,0
1815120646,0,9,2,197,248,0
1815120646,0,9,2,197,248,0
1815120771,6,11,20,316,410,0
1815120771,6,11,20,316,410,0
1815121187,6,3,17,459,614,1
1815121187,6,3,17,459,614,1
1815121460,13,11,15,502,589,0
1815121460,13,11,15,502,589,0
1815122380,4,12,14,272,343,0
1815122380,4,12,14,272,343,0
1815122845,8,15,7,388,391,0
1815122845,8,15,7,388,391,0
1815123205,12,7,13,445,499,1
1815123205,12,7,13,445,499,1
1815098663,2,9,2,306,255,0
1815098663,2,9,2,306,255,0
1815098664,21,5,12,530,526,1
1815098664,21,5,12,530,526,1
1815098692,7,6,15,381,443,1
1815098692,7,6,15,381,443,1
1815098701,6,12,7,249,289,0
1815098701,6,12,7,249,289,0
1815098714,10,3,10,541,495,1
1815098714,10,3,10,541,495,1
1815098717,9,12,9,276,270,0
1815098717,9,12,9,276,270,0
1815098760,5,9,13,361,440,0
1815098760,5,9,13,361,440,0
1815098761,2,7,8,286,296,1
1815098761,2,7,8,286,296,1
1815098933,6,7,14,371,478,0
1815098933,6,7,14,371,478,0
1815098980,6,7,17,281,344,0
1815098980,6,7,17,281,344,0
1815098983,2,5,9,270,349,0
1815098983,2,5,9,270,349,0
1815099005,11,5,13,428,535,1
1815099005,11,5,13,428,535,1
1815099033,3,3,12,461,538,1
1815099033,3,3,12,461,538,1
1815099061,2,11,5,272,308,0
1815099061,2,11,5,272,308,0
1815099084,4,4,14,383,357,1
1815099084,4,4,14,383,357,1
1815099234,9,2,17,571,639,1
1815099234,9,2,17,571,639,1
1815099339,3,5,13,330,349,1
1815099339,3,5,13,330,349,1
1815099352,5,4,0,470,432,0
1815099352,5,4,0,470,432,0
1815099369,13,0,8,537,492,1
1815099369,13,0,8,537,492,1
1815099372,3,9,5,230,267,0
1815099372,3,9,5,230,267,0
1815099388,4,12,10,318,450,0
1815099388,4,12,10,318,450,0
1815099400,4,6,13,359,415,1
1815099400,4,6,13,359,415,1
1815099465,7,8,10,441,447,1
1815099465,7,8,10,441,447,1
1815099477,7,4,1,437,465,0
