id,k,d,a,gpm,xpm,win
1815100494,11,3,27,489,641,1
1815100494,11,3,27,489,641,1
1815107560,3,6,16,373,370,1
1815107560,3,6,16,373,370,1
1815107585,6,10,27,429,446,1
1815107585,6,10,27,429,446,1
1815107796,2,17,10,259,368,0
1815107796,2,17,10,259,368,0
1815108996,8,16,41,401,548,1
1815108996,8,16,41,401,548,1
1815109189,6,10,25,399,528,1
1815109189,6,10,25,399,528,1
1815109255,2,6,15,378,340,1
1815109255,2,6,15,378,340,1
1815110849,3,18,12,320,368,0
1815110849,3,18,12,320,368,0
1815110973,4,8,16,374,474,0
1815110973,4,8,16,374,474,0
1815111124,2,15,7,283,314,0
1815111124,2,15,7,283,314,0
1815111609,3,6,21,368,427,1
1815111609,3,6,21,368,427,1
1815114978,2,2,16,312,283,1
1815114978,2,2,16,312,283,1
1815118639,4,10,15,269,366,0
1815118639,4,10,15,269,366,0
1815118822,1,7,14,349,354,1
1815118822,1,7,14,349,354,1
1815121225,1,11,5,169,203,0
1815121225,1,11,5,169,203,0
1815121346,4,9,7,363,371,1
1815121346,4,9,7,363,371,1
1815123009,6,12,14,337,427,0
1815123009,6,12,14,337,427,0
1815099373,2,1,9,418,292,1
1815099373,2,1,9,418,292,1
1815099545,2,6,19,362,415,1
1815099545,2,6,19,362,415,1
1815100635,9,17,29,320,453,0
1815100635,9,17,29,320,453,0
1815106791,7,19,28,324,369,1
1815106791,7,19,28,324,369,1
1815106975,2,12,11,233,254,0
1815106975,2,12,11,233,254,0
1815108465,4,8,17,418,475,1
1815108465,4,8,17,418,475,1
1815109577,2,13,8,182,187,1
1815109577,2,13,8,182,187,1
1815109887,2,6,13,278,375,0
1815109887,2,6,13,278,375,0
1815110763,3,17,22,320,411,0
1815110763,3,17,22,320,411,0
1815112366,18,14,20,514,507,0
1815112366,18,14,20,514,507,0
1815112992,0,7,17,289,364,0
1815112992,0,7,17,289,364,0
1815114101,2,9,17,243,335,0
1815114101,2,9,17,243,335,0
1815114668,2,4,8,322,318,1
1815114668,2,4,8,322,318,1
1815115691,6,10,6,301,356,0
1815115691,6,10,6,301,356,0
1815116140,5,3,23,322,425,1
1815116140,5,3,23,322,425,1
1815117052,1,4,19,322,322,1
1815117052,1,4,19,322,322,1
1815117327,3,7,12,332,360,1
1815117327,3,7,12,332,360,1
1815117764,4,7,11,332,245,1
1815117764,4,7,11,332,245,1
1815118679,16,10,20,542,571,1
1815118679,16,10,20,542,571,1
1815118788,6,12,15,348,449,0
1815118788,6,12,15,348,449,0
1815120189,2,6,15,431,458,1
1815120189,2,6,15,431,458,1
1815120698,5,10,8,256,265,0
1815120698,5,10,8,256,265,0
1815098828,3,8,4,210,233,0
1815098828,3,8,4,210,233,0
1815099020,12,4,22,393,500,1
1815099020,12,4,22,393,500,1
1815099033,1,8,6,202,224,0
1815099033,1,8,6,202,224,0
1815099218,0,12,8,185,208,0
1815099218,0,12,8,185,208,0
1815099300,3,10,25,240,321,0
1815099300,3,10,25,240,321,0
1815099351,3,10,20,362,494,0
1815099351,3,10,20,362,494,0
1815099369,2,1,11,351,339,1
1815099369,2,1,11,351,339,1
1815099467,3,4,24,426,545,1
1815099467,3,4,24,426,545,1
1815099532,8,12,16,332,405,0
1815099532,8,12,16,332,405,0
1815099867,6,10,27,427,588,1
1815099867,6,10,27,427,588,1
1815099949,1,10,12,294,345,0
1815099949,1,10,12,294,345,0
1815100122,2,6,13,325,332,1
1815100122,2,6,13,325,332,1
1815100264,5,6,14,336,474,1
1815100264,5,6,14,336,474,1
1815100316,2,3,21,382,378,1
1815100316,2,3,21,382,378,1
1815100327,6,19,23,301,267,1
1815100327,6,19,23,301,267,1
1815100364,3,9,14,282,285,0
1815100364,3,9,14,282,285,0
1815100655,3,3,15,350,401,1
1815100655,3,3,15,350,401,1
1815100714,3,20,13,241,309,0
1815100714,3,20,13,241,309,0
1815105345,0,8,9,195,286,0
1815105345,0,8,9,195,286,0
1815105491,4,7,17,360,393,1
1815105491,4,7,17,360,393,1
1815106081,17,15,24,403,379,0
1815106081,17,15,24,403,379,0
1815106372,6,5,19,399,541,1
1815106372,6,5,19,399,541,1
1815106603,1,7,9,202,244,0
1815106603,1,7,9,202,244,0
1815106758,5,14,19,355,464,1
1815106758,5,14,19,355,464,1
1815106827,3,8,6,295,353,0
1815106827,3,8,6,295,353,0
1815106986,4,5,16,408,479,1
1815106986,4,5,16,408,479,1
1815107881,13,12,20,440,520,1
1815107881,13,12,20,440,520,1
1815107933,10,7,23,399,468,1
1815107933,10,7,23,399,468,1
1815107952,2,8,9,222,189,0
1815107952,2,8,9,222,189,0
1815108017,1,10,3,253,172,0
1815108017,1,10,3,253,172,0
1815108338,7,0,11,388,457,1
1815108338,7,0,11,388,457,1
1815108487,2,13,7,319,299,0
1815108487,2,13,7,319,299,0
1815108699,3,17,9,273,270,0
1815108699,3,17,9,273,270,0
1815108930,4,7,17,333,412,1
1815108930,4,7,17,333,412,1
1815109124,0,7,22,300,362,1
1815109124,0,7,22,300,362,1
1815109150,4,15,12,279,458,0
1815109150,4,15,12,279,458,0
1815109239,2,10,13,290,359,0
1815109239,2,10,13,290,359,0
1815110422,2,14,11,277,319,1
1815110422,2,14,11,277,319,1
1815110513,4,6,23,420,563,1
1815110513,4,6,23,420,563,1
1815110527,9,5,21,450,465,1
1815110527,9,5,21,450,465,1
1815110924,9,3,25,377,404,1
1815110924,9,3,25,377,404,1
1815111043,3,0,17,387,425,1
1815111043,3,0,17,387,425,1
1815111118,7,13,24,273,386,0
1815111118,7,13,24,273,386,0
1815111481,5,9,20,395,494,1
1815111481,5,9,20,395,494,1
1815111710,7,12,25,353,360,1
1815111710,7,12,25,353,360,1
1815111745,2,7,3,197,211,0
1815111745,2,7,3,197,211,0
1815111793,3,5,13,388,387,1
1815111793,3,5,13,388,387,1
1815112678,3,4,20,353,485,1
1815112678,3,4,20,353,485,1
1815112718,5,9,23,366,426,1
1815112718,5,9,23,366,426,1
1815112826,4,10,10,318,347,1
1815112826,4,10,10,318,347,1
1815113020,5,3,13,327,418,1
1815113020,5,3,13,327,418,1
1815113152,1,8,12,279,338,0
1815113152,1,8,12,279,338,0
1815113201,7,9,20,400,463,1
1815113201,7,9,20,400,463,1
1815113586,7,14,15,310,354,1
1815113586,7,14,15,310,354,1
1815113638,9,8,25,399,504,1
1815113638,9,8,25,399,504,1
1815114325,5,5,16,372,387,1
1815114325,5,5,16,372,387,1
1815114908,4,7,14,333,362,1
1815114908,4,7,14,333,362,1
1815114944,4,5,22,369,440,1
1815114944,4,5,22,369,440,1
1815115176,2,17,16,271,321,1
1815115176,2,17,16,271,321,1
1815115188,18,11,11,455,653,0
1815115188,18,11,11,455,653,0
1815115388,7,4,2,423,433,1
1815115388,7,4,2,423,433,1
1815115389,3,15,16,322,437,1
1815115389,3,15,16,322,437,1
1815115494,0,11,8,146,143,0
1815115494,0,11,8,146,143,0
1815115656,7,12,24,375,454,1
1815115656,7,12,24,375,454,1
1815115974,3,8,22,289,392,0
1815115974,3,8,22,289,392,0
1815116451,11,16,18,270,334,0
1815116451,11,16,18,270,334,0
1815116452,13,7,25,381,505,1
1815116452,13,7,25,381,505,1
1815116766,3,10,20,370,383,1
1815116766,3,10,20,370,383,1
1815116829,3,12,27,328,378,1
1815116829,3,12,27,328,378,1
1815117365,4,4,24,333,468,1
1815117365,4,4,24,333,468,1
1815117982,0,12,3,198,175,0
1815117982,0,12,3,198,175,0
1815119003,9,11,17,375,509,0
1815119003,9,11,17,375,509,0
1815119140,1,7,19,389,354,1
1815119140,1,7,19,389,354,1
1815119457,7,14,22,389,444,1
1815119457,7,14,22,389,444,1
1815119619,5,5,17,367,475,1
1815119619,5,5,17,367,475,1
1815119775,3,11,28,339,467,1
1815119775,3,11,28,339,467,1
