id,k,d,a,gpm,xpm,win
1815098851,12,1,14,587,702,1
1815098851,12,1,14,587,702,1
1815099145,7,7,10,485,565,1
1815099145,7,7,10,485,565,1
1815100081,6,12,23,398,572,1
1815100081,6,12,23,398,572,1
1815100781,12,6,21,543,759,1
1815100781,12,6,21,543,759,1
1815105368,6,12,4,317,401,0
1815105368,6,12,4,317,401,0
1815105821,6,7,5,393,340,1
1815105821,6,7,5,393,340,1
1815106976,4,10,9,360,434,0
1815106976,4,10,9,360,434,0
1815107062,15,11,15,520,472,1
1815107062,15,11,15,520,472,1
1815107185,14,3,4,679,734,1
1815107185,14,3,4,679,734,1
1815107813,6,4,3,257,253,0
1815107813,6,4,3,257,253,0
1815108190,4,8,3,333,304,0
1815108190,4,8,3,333,304,0
1815108454,7,8,4,351,377,0
1815108454,7,8,4,351,377,0
1815108520,9,4,11,518,469,1
1815108520,9,4,11,518,469,1
1815108996,17,12,12,435,599,0
1815108996,17,12,12,435,599,0
1815109238,13,6,11,430,457,1
1815109238,13,6,11,430,457,1
1815109255,7,2,7,529,437,1
1815109255,7,2,7,529,437,1
1815109435,8,8,10,452,540,0
1815109435,8,8,10,452,540,0
1815109596,3,6,10,481,342,1
1815109596,3,6,10,481,342,1
1815109854,6,10,7,381,398,0
1815109854,6,10,7,381,398,0
1815110203,11,5,4,460,554,0
1815110203,11,5,4,460,554,0
1815111853,2,8,5,297,328,0
1815111853,2,8,5,297,328,0
1815112037,14,5,11,590,730,1
1815112037,14,5,11,590,730,1
1815112715,14,15,5,478,587,0
1815112715,14,15,5,478,587,0
1815112755,10,9,6,488,539,0
1815112755,10,9,6,488,539,0
1815113363,15,5,7,640,695,1
1815113363,15,5,7,640,695,1
1815113759,6,10,5,342,497,0
1815113759,6,10,5,342,497,0
1815113892,15,10,15,571,664,1
1815113892,15,10,15,571,664,1
1815114180,3,5,1,343,382,0
1815114180,3,5,1,343,382,0
1815114531,0,11,5,263,301,0
1815114531,0,11,5,263,301,0
1815114542,12,4,5,501,580,1
1815114542,12,4,5,501,580,1
1815114732,8,5,2,537,644,0
1815114732,8,5,2,537,644,0
1815114812,11,14,11,577,563,0
1815114812,11,14,11,577,563,0
1815114960,11,12,7,477,764,0
1815114960,11,12,7,477,764,0
1815115132,6,3,2,581,563,1
1815115132,6,3,2,581,563,1
1815115149,10,1,8,575,629,1
1815115149,10,1,8,575,629,1
1815117845,6,7,8,493,587,0
1815117845,6,7,8,493,587,0
1815118123,4,6,1,513,439,1
1815118123,4,6,1,513,439,1
1815118126,10,7,9,449,578,0
1815118126,10,7,9,449,578,0
1815118352,8,5,8,373,389,0
1815118352,8,5,8,373,389,0
1815118745,7,5,7,423,527,0
1815118745,7,5,7,423,527,0
1815119304,8,8,15,516,566,1
1815119304,8,8,15,516,566,1
1815119362,7,7,15,464,480,1
1815119362,7,7,15,464,480,1
1815119466,6,5,16,477,388,1
1815119466,6,5,16,477,388,1
1815119793,24,7,17,579,531,1
1815119793,24,7,17,579,531,1
1815120043,14,1,4,698,710,1
1815120043,14,1,4,698,710,1
1815121018,10,11,6,445,494,1
1815121018,10,11,6,445,494,1
1815121433,15,3,7,689,667,1
1815121433,15,3,7,689,667,1
1815121481,1,5,2,267,300,0
1815121481,1,5,2,267,300,0
1815122222,6,9,14,542,580,1
1815122222,6,9,14,542,580,1
1815122414,4,12,13,384,401,0
1815122414,4,12,13,384,401,0
1815122758,11,11,11,487,547,1
1815122758,11,11,11,487,547,1
1815122846,2,5,2,445,349,1
1815122846,2,5,2,445,349,1
1815098985,12,6,15,545,656,1
1815098985,12,6,15,545,656,1
1815099163,6,2,5,631,728,1
1815099163,6,2,5,631,728,1
1815099190,2,7,1,341,315,0
1815099190,2,7,1,341,315,0
1815099273,10,10,8,471,653,0
1815099273,10,10,8,471,653,0
1815099451,4,1,3,584,558,1
1815099451,4,1,3,584,558,1
1815099513,22,7,10,819,835,1
1815099513,22,7,10,819,835,1
1815099970,7,10,7,388,447,0
1815099970,7,10,7,388,447,0
1815100460,10,10,5,411,532,0
1815100460,10,10,5,411,532,0
1815100556,14,4,13,558,574,1
1815100556,14,4,13,558,574,1
1815100572,18,1,14,705,772,1
1815100572,18,1,14,705,772,1
1815100838,4,9,6,457,512,0
1815100838,4,9,6,457,512,0
1815105267,15,1,23,628,666,1
1815105267,15,1,23,628,666,1
1815105531,15,4,12,533,561,1
1815105531,15,4,12,533,561,1
