id,k,d,a,gpm,xpm,win
1815099098,0,9,4,267,250,0
1815099098,0,9,4,267,250,0
1815106242,4,5,16,378,430,1
1815106242,4,5,16,378,430,1
1815107582,8,1,14,478,362,1
1815107582,8,1,14,478,362,1
1815108927,1,9,12,257,226,0
1815108927,1,9,12,257,226,0
1815109513,2,11,10,301,287,0
1815109513,2,11,10,301,287,0
1815109885,5,10,12,385,363,1
1815109885,5,10,12,385,363,1
1815110242,4,7,12,293,352,0
1815110242,4,7,12,293,352,0
1815110849,9,5,17,378,421,1
1815110849,9,5,17,378,421,1
1815111093,0,6,1,206,166,0
1815111093,0,6,1,206,166,0
1815113993,3,4,15,404,459,1
1815113993,3,4,15,404,459,1
1815114848,2,2,12,393,387,1
1815114848,2,2,12,393,387,1
1815117237,5,4,7,326,314,0
1815117237,5,4,7,326,314,0
1815117979,1,8,4,255,302,0
1815117979,1,8,4,255,302,0
1815118963,3,0,9,489,450,1
1815118963,3,0,9,489,450,1
1815119304,4,7,12,414,459,1
1815119304,4,7,12,414,459,1
1815120865,2,7,10,230,268,0
1815120865,2,7,10,230,268,0
1815121172,3,7,8,256,337,0
1815121172,3,7,8,256,337,0
1815121226,5,8,14,322,430,0
1815121226,5,8,14,322,430,0
1815123211,1,11,17,295,339,0
1815123211,1,11,17,295,339,0
1815105993,1,6,3,134,170,0
1815105993,1,6,3,134,170,0
1815106677,6,4,15,467,491,1
1815106677,6,4,15,467,491,1
1815106759,2,0,11,367,403,1
1815106759,2,0,11,367,403,1
1815107377,2,10,6,270,229,0
1815107377,2,10,6,270,229,0
1815108573,2,8,6,365,522,0
1815108573,2,8,6,365,522,0
1815109123,2,14,14,436,499,0
1815109123,2,14,14,436,499,0
1815109470,4,7,9,395,384,1
1815109470,4,7,9,395,384,1
1815109937,4,8,8,356,379,0
1815109937,4,8,8,356,379,0
1815111116,4,11,23,399,445,0
1815111116,4,11,23,399,445,0
1815111176,3,4,9,380,379,1
1815111176,3,4,9,380,379,1
1815111195,3,7,5,266,294,0
1815111195,3,7,5,266,294,0
1815111383,2,9,6,275,224,0
1815111383,2,9,6,275,224,0
1815112529,8,12,29,391,534,0
1815112529,8,12,29,391,534,0
1815115691,9,7,12,458,385,1
1815115691,9,7,12,458,385,1
1815115795,2,2,4,340,336,1
1815115795,2,2,4,340,336,1
1815116164,2,15,9,279,245,0
1815116164,2,15,9,279,245,0
1815117214,2,12,10,336,393,1
1815117214,2,12,10,336,393,1
1815119469,8,6,11,423,433,1
1815119469,8,6,11,423,433,1
1815120120,3,8,7,291,279,1
1815120120,3,8,7,291,279,1
1815120931,0,14,6,197,175,0
1815120931,0,14,6,197,175,0
1815121435,3,8,14,304,379,0
1815121435,3,8,14,304,379,0
1815122489,3,15,9,258,214,0
1815122489,3,15,9,258,214,0
1815122593,1,7,13,501,471,1
1815122593,1,7,13,501,471,1
1815098683,2,2,13,374,403,1
1815098683,2,2,13,374,403,1
1815098845,2,10,10,241,268,0
1815098845,2,10,10,241,268,0
1815099005,2,5,9,416,420,0
1815099005,2,5,9,416,420,0
1815099060,6,4,16,340,372,1
1815099060,6,4,16,340,372,1
1815099084,1,8,4,300,278,0
1815099084,1,8,4,300,278,0
1815099271,3,7,7,434,427,1
1815099271,3,7,7,434,427,1
1815099427,0,18,7,240,229,0
1815099427,0,18,7,240,229,0
1815099437,7,6,24,380,556,1
1815099437,7,6,24,380,556,1
1815099935,4,9,18,352,412,1
1815099935,4,9,18,352,412,1
1815099949,3,2,21,384,457,1
1815099949,3,2,21,384,457,1
1815100005,1,13,6,252,249,0
1815100005,1,13,6,252,249,0
1815100011,5,5,16,385,526,1
1815100011,5,5,16,385,526,1
1815100027,3,6,9,392,456,1
1815100027,3,6,9,392,456,1
1815100158,3,1,23,452,380,1
1815100158,3,1,23,452,380,1
1815100178,1,16,10,300,248,1
1815100178,1,16,10,300,248,1
1815100302,7,7,14,412,529,0
1815100302,7,7,14,412,529,0
1815100443,9,11,7,420,465,1
1815100443,9,11,7,420,465,1
1815100487,0,6,7,242,210,0
1815100487,0,6,7,242,210,0
1815100574,4,6,9,399,400,1
1815100574,4,6,9,399,400,1
1815100655,3,7,5,298,236,0
1815100655,3,7,5,298,236,0
1815100723,4,16,18,351,317,1
1815100723,4,16,18,351,317,1
1815105215,2,3,13,305,302,1
1815105215,2,3,13,305,302,1
1815105320,1,5,11,259,304,0
1815105320,1,5,11,259,304,0
1815105538,1,5,19,385,427,1
1815105538,1,5,19,385,427,1
1815105864,9,4,8,481,440,1
1815105864,9,4,8,481,440,1
1815106219,1,8,3,273,242,0
1815106219,1,8,3,273,242,0
1815106372,2,5,16,293,449,1
1815106372,2,5,16,293,449,1
1815106566,1,8,12,334,335,1
1815106566,1,8,12,334,335,1
1815106603,2,7,10,311,378,1
1815106603,2,7,10,311,378,1
1815106788,0,6,12,219,283,0
1815106788,0,6,12,219,283,0
1815107077,2,6,9,337,399,1
1815107077,2,6,9,337,399,1
1815107103,0,10,15,293,339,1
1815107103,0,10,15,293,339,1
1815107141,5,4,7,309,292,0
1815107141,5,4,7,309,292,0
1815107372,5,8,7,358,373,0
1815107372,5,8,7,358,373,0
1815107473,6,11,14,393,454,0
1815107473,6,11,14,393,454,0
1815107495,1,12,6,226,248,0
1815107495,1,12,6,226,248,0
1815107603,2,5,17,373,450,1
1815107603,2,5,17,373,450,1
1815107663,6,6,22,445,585,1
1815107663,6,6,22,445,585,1
1815108030,4,1,19,411,500,1
1815108030,4,1,19,411,500,1
1815108192,9,16,16,451,478,0
1815108192,9,16,16,451,478,0
1815108310,4,7,17,383,496,1
1815108310,4,7,17,383,496,1
1815108776,7,8,12,377,516,0
1815108776,7,8,12,377,516,0
1815109239,2,8,14,361,448,1
1815109239,2,8,14,361,448,1
1815109320,4,7,0,294,192,0
1815109320,4,7,0,294,192,0
1815109606,4,9,16,384,539,0
1815109606,4,9,16,384,539,0
1815109635,17,9,27,534,407,1
1815109635,17,9,27,534,407,1
1815109637,4,13,8,349,382,0
1815109637,4,13,8,349,382,0
1815110368,1,11,7,237,239,0
1815110368,1,11,7,237,239,0
1815110445,1,14,5,314,358,0
1815110445,1,14,5,314,358,0
1815110480,5,10,7,353,401,0
1815110480,5,10,7,353,401,0
1815110547,2,9,18,316,402,1
1815110547,2,9,18,316,402,1
1815110732,0,7,3,268,244,0
1815110732,0,7,3,268,244,0
1815110747,4,8,17,341,308,1
1815110747,4,8,17,341,308,1
1815110864,4,5,14,412,495,1
1815110864,4,5,14,412,495,1
1815110953,2,8,13,341,433,0
1815110953,2,8,13,341,433,0
1815110980,2,7,13,391,402,1
1815110980,2,7,13,391,402,1
1815111356,6,2,9,381,315,1
1815111356,6,2,9,381,315,1
1815111368,4,8,23,365,439,1
1815111368,4,8,23,365,439,1
1815111569,3,0,2,363,280,1
1815111569,3,0,2,363,280,1
1815111596,0,3,0,100,0,0
1815111596,0,3,0,100,0,0
1815111771,2,11,11,357,464,1
1815111771,2,11,11,357,464,1
1815112078,7,5,20,446,573,1
1815112078,7,5,20,446,573,1
1815112430,0,9,15,317,343,1
1815112430,0,9,15,317,343,1
1815112606,2,11,13,351,406,0
1815112606,2,11,13,351,406,0
1815113082,3,10,21,383,396,1
1815113082,3,10,21,383,396,1
1815113152,1,7,14,328,379,1
1815113152,1,7,14,328,379,1
1815113169,2,18,10,342,440,0
1815113169,2,18,10,342,440,0
1815113191,2,10,18,385,413,1
1815113191,2,10,18,385,413,1
1815113260,5,3,10,419,421,1
1815113260,5,3,10,419,421,1
1815113653,2,0,16,420,483,1
