id,k,d,a,gpm,xpm,win
1815099145,12,7,17,461,541,1
1815099145,12,7,17,461,541,1
1815099196,17,8,22,569,480,0
1815099196,17,8,22,569,480,0
1815100024,2,10,8,387,393,0
1815100024,2,10,8,387,393,0
1815105760,8,3,21,448,459,1
1815105760,8,3,21,448,459,1
1815106122,3,5,19,426,499,1
1815106122,3,5,19,426,499,1
1815106540,22,2,15,641,652,1
1815106540,22,2,15,641,652,1
1815107185,9,3,11,602,563,1
1815107185,9,3,11,602,563,1
1815107796,12,7,10,505,458,1
1815107796,12,7,10,505,458,1
1815108703,12,9,23,518,589,1
1815108703,12,9,23,518,589,1
1815109435,6,7,14,358,422,0
1815109435,6,7,14,358,422,0
1815111923,11,10,27,476,507,1
1815111923,11,10,27,476,507,1
1815112400,9,12,8,400,478,0
1815112400,9,12,8,400,478,0
1815113067,2,8,13,332,428,0
1815113067,2,8,13,332,428,0
1815114361,2,7,15,234,271,0
1815114361,2,7,15,234,271,0
1815115117,4,8,7,444,563,0
1815115117,4,8,7,444,563,0
1815118126,12,5,7,627,635,1
1815118126,12,5,7,627,635,1
1815118466,10,1,7,501,469,1
1815118466,10,1,7,501,469,1
1815119152,0,10,10,418,475,1
1815119152,0,10,10,418,475,1
1815119343,4,1,7,471,524,1
1815119343,4,1,7,471,524,1
1815119376,8,10,6,338,372,0
1815119376,8,10,6,338,372,0
1815120947,4,9,5,374,439,0
1815120947,4,9,5,374,439,0
1815121018,13,11,16,475,610,1
1815121018,13,11,16,475,610,1
1815122758,12,7,23,530,547,0
1815122758,12,7,23,530,547,0
1815123124,0,13,15,239,286,0
1815123124,0,13,15,239,286,0
1815098821,4,12,10,382,433,0
1815098821,4,12,10,382,433,0
1815099705,11,9,25,365,558,0
1815099705,11,9,25,365,558,0
1815100569,1,8,12,246,289,0
1815100569,1,8,12,246,289,0
1815105664,6,9,13,392,466,1
1815105664,6,9,13,392,466,1
1815106433,9,8,20,521,530,1
1815106433,9,8,20,521,530,1
1815106575,6,6,10,384,383,1
1815106575,6,6,10,384,383,1
1815106677,0,5,8,222,268,0
1815106677,0,5,8,222,268,0
1815106780,2,9,6,283,292,0
1815106780,2,9,6,283,292,0
1815107480,3,12,15,256,295,1
1815107480,3,12,15,256,295,1
1815108631,3,9,10,379,452,0
1815108631,3,9,10,379,452,0
1815109821,0,7,3,185,120,0
1815109821,0,7,3,185,120,0
1815111625,4,4,22,353,459,1
1815111625,4,4,22,353,459,1
1815111880,7,10,6,522,603,0
1815111880,7,10,6,522,603,0
1815111881,12,10,18,553,564,1
1815111881,12,10,18,553,564,1
1815112217,2,8,14,275,372,0
1815112217,2,8,14,275,372,0
1815112622,16,5,15,717,651,1
1815112622,16,5,15,717,651,1
1815113200,2,9,9,299,384,0
1815113200,2,9,9,299,384,0
1815115565,6,12,8,498,583,1
1815115565,6,12,8,498,583,1
1815116450,7,12,15,496,532,1
1815116450,7,12,15,496,532,1
1815117217,1,9,8,358,367,0
1815117217,1,9,8,358,367,0
1815117702,3,15,6,246,234,0
1815117702,3,15,6,246,234,0
1815118588,8,10,9,429,519,0
1815118588,8,10,9,429,519,0
1815119531,11,7,17,495,628,1
1815119531,11,7,17,495,628,1
1815119679,1,9,1,253,245,0
1815119679,1,9,1,253,245,0
1815120339,11,1,13,609,609,1
1815120339,11,1,13,609,609,1
1815121187,4,10,6,330,429,0
1815121187,4,10,6,330,429,0
1815121815,3,8,13,294,353,0
1815121815,3,8,13,294,353,0
1815122380,15,9,13,446,550,1
1815122380,15,9,13,446,550,1
1815122468,20,6,16,576,542,1
1815122468,20,6,16,576,542,1
1815122835,3,9,12,305,365,0
1815122835,3,9,12,305,365,0
1815098663,5,3,18,566,508,1
1815098663,5,3,18,566,508,1
1815098763,8,10,16,406,501,0
1815098763,8,10,16,406,501,0
1815098789,7,7,26,460,526,1
1815098789,7,7,26,460,526,1
1815099369,2,8,0,216,246,0
1815099369,2,8,0,216,246,0
1815099530,3,11,7,324,365,0
1815099530,3,11,7,324,365,0
1815099891,4,15,6,345,387,0
1815099891,4,15,6,345,387,0
1815100067,8,4,22,552,551,1
1815100067,8,4,22,552,551,1
1815100160,5,16,3,246,279,0
1815100160,5,16,3,246,279,0
1815100207,1,11,4,339,354,0
1815100207,1,11,4,339,354,0
1815100711,6,9,16,479,707,0
1815100711,6,9,16,479,707,0
1815100714,8,11,11,396,458,0
1815100714,8,11,11,396,458,0
1815105320,4,2,13,601,566,1
1815105320,4,2,13,601,566,1
1815105413,2,7,2,237,339,0
1815105413,2,7,2,237,339,0
1815105481,0,11,7,220,273,0
1815105481,0,11,7,220,273,0
1815105499,11,8,19,497,539,1
1815105499,11,8,19,497,539,1
1815105501,10,1,12,539,538,1
1815105501,10,1,12,539,538,1
1815105628,16,6,20,515,568,1
1815105628,16,6,20,515,568,1
1815105742,9,4,15,510,534,1
1815105742,9,4,15,510,534,1
1815105924,4,8,3,286,318,0
1815105924,4,8,3,286,318,0
1815106078,10,9,17,417,545,0
1815106078,10,9,17,417,545,0
1815106266,19,10,22,504,497,1
1815106266,19,10,22,504,497,1
1815106694,6,9,2,321,318,0
1815106694,6,9,2,321,318,0
1815106744,22,3,19,534,733,1
1815106744,22,3,19,534,733,1
1815106804,10,6,8,474,608,1
1815106804,10,6,8,474,608,1
1815107072,16,5,10,624,553,1
1815107072,16,5,10,624,553,1
1815107122,8,7,12,550,654,1
1815107122,8,7,12,550,654,1
1815107498,18,3,13,690,638,1
1815107498,18,3,13,690,638,1
1815107723,15,1,17,653,635,1
1815107723,15,1,17,653,635,1
1815107821,3,17,4,260,239,0
1815107821,3,17,4,260,239,0
1815107857,19,4,20,634,712,1
1815107857,19,4,20,634,712,1
1815107860,1,9,10,373,419,1
1815107860,1,9,10,373,419,1
1815107893,7,11,12,363,468,0
1815107893,7,11,12,363,468,0
1815107989,9,8,10,368,491,0
1815107989,9,8,10,368,491,0
1815108030,2,2,12,420,434,1
1815108030,2,2,12,420,434,1
1815108487,0,5,7,202,150,0
1815108487,0,5,7,202,150,0
1815108557,2,7,16,379,480,1
1815108557,2,7,16,379,480,1
1815109023,6,6,14,426,416,1
1815109023,6,6,14,426,416,1
1815109502,14,9,9,438,443,1
1815109502,14,9,9,438,443,1
1815109514,0,16,10,286,338,0
1815109514,0,16,10,286,338,0
1815109542,18,10,20,507,544,1
1815109542,18,10,20,507,544,1
1815109606,6,12,20,347,462,0
1815109606,6,12,20,347,462,0
1815109666,11,6,12,418,516,1
1815109666,11,6,12,418,516,1
1815109778,1,12,7,262,313,0
1815109778,1,12,7,262,313,0
1815109899,7,10,15,502,615,1
1815109899,7,10,15,502,615,1
1815109912,14,6,11,460,579,0
1815109912,14,6,11,460,579,0
1815110009,3,10,8,311,415,0
1815110009,3,10,8,311,415,0
1815110160,3,14,15,364,484,1
1815110160,3,14,15,364,484,1
1815110274,7,9,29,503,552,1
1815110274,7,9,29,503,552,1
1815110283,7,10,10,420,566,1
1815110283,7,10,10,420,566,1
1815110323,5,10,14,370,395,1
1815110323,5,10,14,370,395,1
1815110481,3,9,7,422,348,1
1815110481,3,9,7,422,348,1
1815110698,3,7,11,484,617,1
1815110698,3,7,11,484,617,1
1815110743,6,5,10,604,686,1
1815110743,6,5,10,604,686,1
1815110922,3,11,5,290,256,0
1815110922,3,11,5,290,256,0
1815111043,2,9,1,254,238,0
1815111043,2,9,1,254,238,0
1815111287,10,17,16,409,539,0
1815111287,10,17,16,409,539,0
1815111299,6,12,12,448,498,0
1815111299,6,12,12,448,498,0
1815111353,0,2,0,105,0,0
1815111353,0,2,0,105,0,0
1815111598,3,3,11,460,423,1
1815111598,3,3,11,460,423,1
1815111610,17,9,15,819,610,1
1815111610,17,9,15,819,610,1
1815111613,6,6,14,312,383,0
1815111613,6,6,14,312,383,0
1815111630,11,9,21,435,519,1
1815111630,11,9,21,435,519,1
1815111770,6,9,13,392,550,0
1815111770,6,9,13,392,550,0
1815111957,17,9,19,477,542,1
1815111957,17,9,19,477,542,1
1815112244,3,10,19,388,556,0
1815112244,3,10,19,388,556,0
1815112773,9,9,13,505,623,1
1815112773,9,9,13,505,623,1
1815112863,9,7,23,476,475,1
1815112863,9,7,23,476,475,1
1815112937,7,13,10,359,464,0
1815112937,7,13,10,359,464,0
1815112968,7,10,26,433,520,1
1815112968,7,10,26,433,520,1
1815112998,4,15,6,296,309,0
1815112998,4,15,6,296,309,0
1815113585,6,7,12,435,492,1
1815113585,6,7,12,435,492,1
1815113638,7,7,20,460,625,0
1815113638,7,7,20,460,625,0
1815113896,6,16,18,348,423,0
1815113896,6,16,18,348,423,0
1815113945,4,12,2,361,408,0
1815113945,4,12,2,361,408,0
1815113960,3,7,7,338,434,0
1815113960,3,7,7,338,434,0
1815114077,9,9,16,385,480,0
1815114077,9,9,16,385,480,0
1815114241,10,14,10,440,472,0
1815114241,10,14,10,440,472,0
1815114376,23,3,15,651,702,1
1815114376,23,3,15,651,702,1
1815114485,6,1,7,542,461,1
1815114485,6,1,7,542,461,1
1815114541,8,1,12,513,509,1
1815114541,8,1,12,513,509,1
1815114701,1,4,13,347,287,1
1815114701,1,4,13,347,287,1
1815115089,18,10,25,512,562,1
1815115089,18,10,25,512,562,1
1815115158,12,1,11,518,565,1
1815115158,12,1,11,518,565,1
1815115251,13,5,19,432,501,1
1815115251,13,5,19,432,501,1
1815115389,5,7,7,457,590,1
1815115389,5,7,7,457,590,1
1815115391,9,5,16,463,523,1
1815115391,9,5,16,463,523,1
1815115606,8,11,5,355,392,0
1815115606,8,11,5,355,392,0
1815115743,9,8,24,517,553,0
1815115743,9,8,24,517,553,0
1815115797,8,17,26,403,490,0
1815115797,8,17,26,403,490,0
1815115873,3,9,12,318,294,1
1815115873,3,9,12,318,294,1
1815116157,4,7,14,330,333,1
1815116157,4,7,14,330,333,1
1815116166,9,4,6,429,502,0
1815116166,9,4,6,429,502,0
1815116313,0,4,2,187,173,0
1815116313,0,4,2,187,173,0
1815116578,7,13,20,434,560,0
1815116578,7,13,20,434,560,0
1815116612,2,15,17,430,513,0
1815116612,2,15,17,430,513,0
1815116843,6,18,12,391,440,1
1815116843,6,18,12,391,440,1
1815117053,9,13,11,475,489,1
1815117053,9,13,11,475,489,1
1815117373,5,11,8,366,410,0
