id,k,d,a,gpm,xpm,win
1815100024,10,1,5,632,623,1
1815100024,10,1,5,632,623,1
1815100823,5,2,14,469,511,1
1815100823,5,2,14,469,511,1
1815105232,6,7,13,442,504,1
1815105232,6,7,13,442,504,1
1815105821,13,7,9,603,650,0
1815105821,13,7,9,603,650,0
1815106195,9,6,14,518,616,1
1815106195,9,6,14,518,616,1
1815106211,2,13,17,339,434,0
1815106211,2,13,17,339,434,0
1815106616,4,2,8,460,454,1
1815106616,4,2,8,460,454,1
1815108520,5,3,11,436,425,1
1815108520,5,3,11,436,425,1
1815109702,13,15,22,432,440,0
1815109702,13,15,22,432,440,0
1815109752,12,10,9,515,584,1
1815109752,12,10,9,515,584,1
1815109957,10,10,4,429,567,0
1815109957,10,10,4,429,567,0
1815110072,10,10,12,482,476,0
1815110072,10,10,12,482,476,0
1815110182,3,11,11,363,391,0
1815110182,3,11,11,363,391,0
1815110202,0,12,6,229,251,0
1815110202,0,12,6,229,251,0
1815110866,16,2,21,559,524,1
1815110866,16,2,21,559,524,1
1815110973,7,9,15,488,510,1
1815110973,7,9,15,488,510,1
1815111286,2,9,2,246,231,0
1815111286,2,9,2,246,231,0
1815111494,2,13,20,348,455,0
1815111494,2,13,20,348,455,0
1815111853,6,2,13,595,468,1
1815111853,6,2,13,595,468,1
1815111923,17,7,19,558,507,1
1815111923,17,7,19,558,507,1
1815111993,5,8,4,453,412,0
1815111993,5,8,4,453,412,0
1815112037,7,8,6,457,535,0
1815112037,7,8,6,457,535,0
1815112250,0,6,5,290,317,0
1815112250,0,6,5,290,317,0
1815113859,6,4,7,453,517,1
1815113859,6,4,7,453,517,1
1815113993,1,13,4,302,293,0
1815113993,1,13,4,302,293,0
1815114012,5,6,1,346,358,0
1815114012,5,6,1,346,358,0
1815114057,10,14,6,372,421,0
1815114057,10,14,6,372,421,0
1815114180,9,4,9,510,475,1
1815114180,9,4,9,510,475,1
1815114197,18,2,7,597,703,1
1815114197,18,2,7,597,703,1
1815114730,8,11,6,456,558,0
1815114730,8,11,6,456,558,0
1815114960,11,9,21,503,560,1
1815114960,11,9,21,503,560,1
1815115378,9,7,11,440,615,0
1815115378,9,7,11,440,615,0
1815115412,8,7,17,478,528,1
1815115412,8,7,17,478,528,1
1815117007,9,1,6,538,460,1
1815117007,9,1,6,538,460,1
1815117152,15,4,12,651,659,1
1815117152,15,4,12,651,659,1
1815117237,9,2,10,624,667,1
1815117237,9,2,10,624,667,1
1815117316,17,13,13,513,584,1
1815117316,17,13,13,513,584,1
1815117882,1,9,6,291,321,0
1815117882,1,9,6,291,321,0
1815118123,2,0,2,503,445,1
1815118123,2,0,2,503,445,1
1815118124,19,10,9,543,625,1
1815118124,19,10,9,543,625,1
1815118441,1,7,8,425,396,1
1815118441,1,7,8,425,396,1
1815118469,6,4,7,531,590,1
1815118469,6,4,7,531,590,1
1815118745,3,6,8,327,402,1
1815118745,3,6,8,327,402,1
1815119304,8,12,13,520,626,1
1815119304,8,12,13,520,626,1
1815119343,1,9,3,302,318,0
1815119343,1,9,3,302,318,0
1815119712,9,3,4,511,507,1
1815119712,9,3,4,511,507,1
1815120130,0,10,1,226,215,0
1815120130,0,10,1,226,215,0
1815120947,10,6,8,592,652,1
1815120947,10,6,8,592,652,1
1815120963,0,11,3,320,356,0
1815120963,0,11,3,320,356,0
1815121341,13,14,18,499,449,0
1815121341,13,14,18,499,449,0
1815121496,2,4,9,471,485,1
1815121496,2,4,9,471,485,1
1815121692,9,7,8,491,537,1
1815121692,9,7,8,491,537,1
1815122714,6,11,11,387,431,0
1815122714,6,11,11,387,431,0
1815122961,9,15,8,489,569,1
1815122961,9,15,8,489,569,1
1815123009,19,9,7,618,652,0
1815123009,19,9,7,618,652,0
1815123167,6,6,4,442,480,0
1815123167,6,6,4,442,480,0
1815099235,4,8,11,395,387,1
1815099235,4,8,11,395,387,1
1815099545,6,8,10,416,504,0
1815099545,6,8,10,416,504,0
1815100365,12,10,15,437,520,0
1815100365,12,10,15,437,520,0
1815100701,9,10,6,440,639,0
1815100701,9,10,6,440,639,0
1815105356,1,13,13,324,437,0
1815105356,1,13,13,324,437,0
1815105531,8,6,8,589,664,1
1815105531,8,6,8,589,664,1
1815106091,16,10,8,530,708,0
1815106091,16,10,8,530,708,0
1815106433,6,10,7,287,285,0
1815106433,6,10,7,287,285,0
1815106494,5,16,14,357,401,0
1815106494,5,16,14,357,401,0
1815106759,16,2,8,695,714,1
1815106759,16,2,8,695,714,1
1815107377,15,5,12,538,638,1
1815107377,15,5,12,538,638,1
1815107389,21,11,17,557,680,1
1815107389,21,11,17,557,680,1
1815108402,15,8,12,534,562,1
1815108402,15,8,12,534,562,1
1815108428,0,12,5,266,263,0
1815108428,0,12,5,266,263,0
1815108591,1,8,2,309,308,0
1815108591,1,8,2,309,308,0
1815108741,8,7,9,437,536,0
1815108741,8,7,9,437,536,0
1815109012,8,4,21,541,524,1
1815109012,8,4,21,541,524,1
1815109048,12,9,17,485,621,1
1815109048,12,9,17,485,621,1
1815109577,12,11,17,442,547,1
1815109577,12,11,17,442,547,1
1815109592,7,5,7,463,511,1
1815109592,7,5,7,463,511,1
1815109768,4,7,6,361,347,0
1815109768,4,7,6,361,347,0
1815109887,5,4,10,500,544,1
1815109887,5,4,10,500,544,1
1815110502,4,5,16,393,459,1
1815110502,4,5,16,393,459,1
1815110832,5,8,10,402,491,1
1815110832,5,8,10,402,491,1
1815111011,5,8,4,364,423,1
1815111011,5,8,4,364,423,1
1815111176,5,7,4,502,495,1
1815111176,5,7,4,502,495,1
1815111257,9,8,10,425,551,0
1815111257,9,8,10,425,551,0
1815111500,3,12,16,323,412,0
1815111500,3,12,16,323,412,0
1815112529,26,13,12,671,676,1
1815112529,26,13,12,671,676,1
1815112785,17,3,9,661,711,1
1815112785,17,3,9,661,711,1
1815113060,8,11,12,396,501,0
1815113060,8,11,12,396,501,0
1815113278,12,14,20,490,552,0
1815113278,12,14,20,490,552,0
1815113312,2,7,9,327,423,0
1815113312,2,7,9,327,423,0
1815113399,12,0,10,642,587,1
1815113399,12,0,10,642,587,1
1815113976,3,8,15,274,326,0
1815113976,3,8,15,274,326,0
1815114159,15,10,5,446,610,0
1815114159,15,10,5,446,610,0
1815114559,16,12,9,483,596,1
1815114559,16,12,9,483,596,1
1815115585,6,1,7,427,482,1
1815115585,6,1,7,427,482,1
1815115798,5,11,11,397,542,0
1815115798,5,11,11,397,542,0
1815115961,15,9,11,596,642,1
1815115961,15,9,11,596,642,1
1815116050,10,8,10,494,640,0
1815116050,10,8,10,494,640,0
1815116153,14,5,9,673,752,1
1815116153,14,5,9,673,752,1
1815116365,0,4,1,147,53,0
1815116365,0,4,1,147,53,0
1815116775,2,10,11,310,392,0
1815116775,2,10,11,310,392,0
1815117328,8,0,9,537,637,1
1815117328,8,0,9,537,637,1
1815117689,3,11,12,322,380,0
1815117689,3,11,12,322,380,0
1815117993,1,6,4,278,312,0
1815117993,1,6,4,278,312,0
1815118486,6,10,17,415,498,1
1815118486,6,10,17,415,498,1
1815118588,1,13,8,273,265,0
1815118588,1,13,8,273,265,0
1815118620,5,11,12,348,363,0
1815118620,5,11,12,348,363,0
1815118679,5,17,12,333,355,0
1815118679,5,17,12,333,355,0
1815119636,7,9,19,534,549,1
1815119636,7,9,19,534,549,1
1815119681,12,9,11,537,569,1
1815119681,12,9,11,537,569,1
1815120646,2,5,3,364,476,0
1815120646,2,5,3,364,476,0
1815121187,15,7,10,679,752,1
1815121187,15,7,10,679,752,1
1815121552,13,10,6,436,487,0
1815121552,13,10,6,436,487,0
1815121591,9,12,15,510,561,0
1815121591,9,12,15,510,561,0
1815121779,2,10,8,279,349,0
1815121779,2,10,8,279,349,0
1815122113,16,11,17,663,755,1
1815122113,16,11,17,663,755,1
1815122402,4,10,7,400,476,0
1815122402,4,10,7,400,476,0
1815122575,11,10,12,466,576,0
1815122575,11,10,12,466,576,0
1815123205,12,10,7,441,598,0
1815123205,12,10,7,441,598,0
1815123307,13,12,12,586,481,0
1815123307,13,12,12,586,481,0
1815098663,20,1,8,692,564,1
1815098663,20,1,8,692,564,1
1815098692,24,3,5,713,763,1
1815098692,24,3,5,713,763,1
1815098719,4,15,11,271,282,0
