id,k,d,a,gpm,xpm,win
1815099663,17,12,31,572,502,1
1815099663,17,12,31,572,502,1
1815100779,12,10,19,443,557,1
1815100779,12,10,19,443,557,1
1815100781,14,10,15,494,573,1
1815100781,14,10,15,494,573,1
1815105821,0,5,3,153,49,0
1815105821,0,5,3,153,49,0
1815106065,9,17,21,576,581,0
1815106065,9,17,21,576,581,0
1815106167,5,13,15,330,326,1
1815106167,5,13,15,330,326,1
1815106732,47,3,11,1081,1109,1
1815106732,47,3,11,1081,1109,1
1815107293,7,13,17,517,661,0
1815107293,7,13,17,517,661,0
1815108505,14,8,19,525,569,1
1815108505,14,8,19,525,569,1
1815108520,18,2,6,717,639,1
1815108520,18,2,6,717,639,1
1815108961,15,8,22,504,569,1
1815108961,15,8,22,504,569,1
1815109238,11,10,21,485,573,1
1815109238,11,10,21,485,573,1
1815109255,2,4,14,424,375,1
1815109255,2,4,14,424,375,1
1815109702,8,14,23,374,439,0
1815109702,8,14,23,374,439,0
1815110202,22,7,19,689,898,1
1815110202,22,7,19,689,898,1
1815110311,3,12,18,399,444,1
1815110311,3,12,18,399,444,1
1815111010,13,6,26,510,633,1
1815111010,13,6,26,510,633,1
1815111594,6,2,14,633,735,1
1815111594,6,2,14,633,735,1
1815111923,8,12,21,408,507,0
1815111923,8,12,21,408,507,0
1815112400,6,18,14,353,415,0
1815112400,6,18,14,353,415,0
1815113029,9,16,29,469,511,1
1815113029,9,16,29,469,511,1
1815113471,16,15,19,489,557,0
1815113471,16,15,19,489,557,0
1815113993,24,6,19,686,781,1
1815113993,24,6,19,686,781,1
1815114197,6,13,9,389,413,1
1815114197,6,13,9,389,413,1
1815114302,3,6,8,359,439,0
1815114302,3,6,8,359,439,0
1815115378,5,9,16,316,359,0
1815115378,5,9,16,316,359,0
1815117139,16,6,15,474,559,1
1815117139,16,6,15,474,559,1
1815117894,10,8,10,521,515,1
1815117894,10,8,10,521,515,1
1815117979,4,3,13,461,499,1
1815117979,4,3,13,461,499,1
1815118587,18,10,18,718,630,1
1815118587,18,10,18,718,630,1
1815119362,17,7,20,639,762,1
1815119362,17,7,20,639,762,1
1815120516,1,13,1,262,218,0
1815120516,1,13,1,262,218,0
1815121294,6,10,19,454,628,1
1815121294,6,10,19,454,628,1
1815122694,6,8,15,542,607,1
1815122694,6,8,15,542,607,1
1815122846,7,0,16,577,586,1
1815122846,7,0,16,577,586,1
1815098739,5,15,19,417,503,1
1815098739,5,15,19,417,503,1
1815098869,4,7,24,442,534,1
1815098869,4,7,24,442,534,1
1815099232,13,6,17,632,694,1
1815099232,13,6,17,632,694,1
1815099730,5,10,6,295,326,0
1815099730,5,10,6,295,326,0
1815099775,4,7,10,354,528,0
1815099775,4,7,10,354,528,0
1815099800,14,1,11,651,531,1
1815099800,14,1,11,651,531,1
1815099861,11,8,10,510,546,1
1815099861,11,8,10,510,546,1
1815100460,2,11,23,336,480,1
1815100460,2,11,23,336,480,1
1815100590,14,11,9,451,564,0
1815100590,14,11,9,451,564,0
1815105361,4,11,5,367,467,0
1815105361,4,11,5,367,467,0
1815105448,7,8,13,498,479,1
1815105448,7,8,13,498,479,1
1815105643,10,12,33,422,544,1
1815105643,10,12,33,422,544,1
1815105993,1,2,10,521,414,1
1815105993,1,2,10,521,414,1
1815106283,5,9,11,405,482,0
1815106283,5,9,11,405,482,0
1815106997,6,5,26,522,583,1
1815106997,6,5,26,522,583,1
1815107030,11,5,14,538,616,1
1815107030,11,5,14,538,616,1
1815108256,20,9,20,653,707,1
1815108256,20,9,20,653,707,1
1815108506,12,10,14,461,670,0
1815108506,12,10,14,461,670,0
