id,k,d,a,gpm,xpm,win
1815100758,5,9,9,332,344,1
1815100758,5,9,9,332,344,1
1815105494,2,3,17,303,358,1
1815105494,2,3,17,303,358,1
1815106122,14,5,21,402,469,1
1815106122,14,5,21,402,469,1
1815106242,4,17,22,253,308,0
1815106242,4,17,22,253,308,0
1815107904,10,5,24,422,635,1
1815107904,10,5,24,422,635,1
1815108927,7,6,22,373,404,1
1815108927,7,6,22,373,404,1
1815109632,6,10,2,257,306,0
1815109632,6,10,2,257,306,0
1815111010,12,5,23,388,535,1
1815111010,12,5,23,388,535,1
1815112562,7,2,13,380,459,1
1815112562,7,2,13,380,459,1
1815116224,8,18,22,452,585,0
1815116224,8,18,22,452,585,0
1815119048,2,13,20,324,302,1
1815119048,2,13,20,324,302,1
1815120653,3,3,17,339,343,1
1815120653,3,3,17,339,343,1
1815121196,7,9,11,315,435,1
1815121196,7,9,11,315,435,1
1815122414,4,7,15,289,347,0
1815122414,4,7,15,289,347,0
1815122846,3,8,5,287,323,0
1815122846,3,8,5,287,323,0
1815123044,6,10,18,302,273,0
1815123044,6,10,18,302,273,0
1815099235,13,7,10,414,461,1
1815099235,13,7,10,414,461,1
1815100635,5,19,19,286,404,1
1815100635,5,19,19,286,404,1
1815107030,9,9,17,362,323,1
1815107030,9,9,17,362,323,1
1815107061,2,9,15,296,346,1
1815107061,2,9,15,296,346,1
1815107936,4,8,12,313,420,0
1815107936,4,8,12,313,420,0
1815108402,4,8,7,236,297,0
1815108402,4,8,7,236,297,0
1815109110,4,12,6,214,185,0
1815109110,4,12,6,214,185,0
1815111446,6,4,23,412,593,1
1815111446,6,4,23,412,593,1
1815113278,6,8,18,283,418,0
1815113278,6,8,18,283,418,0
1815113719,2,16,8,309,337,1
1815113719,2,16,8,309,337,1
1815115632,8,7,11,278,380,0
1815115632,8,7,11,278,380,0
1815117486,8,6,23,360,539,1
1815117486,8,6,23,360,539,1
1815118050,7,1,13,451,522,1
1815118050,7,1,13,451,522,1
1815118167,3,19,16,253,306,0
1815118167,3,19,16,253,306,0
1815118317,4,6,13,326,412,1
1815118317,4,6,13,326,412,1
1815121288,3,10,16,287,461,1
1815121288,3,10,16,287,461,1
1815099008,10,6,16,436,631,1
1815099008,10,6,16,436,631,1
1815099059,16,11,16,329,471,0
1815099059,16,11,16,329,471,0
1815099271,6,9,13,330,353,1
1815099271,6,9,13,330,353,1
1815099330,2,11,18,243,272,0
1815099330,2,11,18,243,272,0
1815099415,8,15,22,285,420,0
1815099415,8,15,22,285,420,0
1815099732,7,9,12,376,496,1
1815099732,7,9,12,376,496,1
1815099862,7,18,16,317,428,0
1815099862,7,18,16,317,428,0
1815099987,3,6,4,364,437,0
1815099987,3,6,4,364,437,0
1815100122,8,9,9,424,459,0
1815100122,8,9,9,424,459,0
1815100196,5,10,13,253,355,1
1815100196,5,10,13,253,355,1
1815100302,5,6,14,352,387,1
1815100302,5,6,14,352,387,1
1815100444,8,7,14,375,436,1
1815100444,8,7,14,375,436,1
1815100589,4,10,14,334,462,1
1815100589,4,10,14,334,462,1
1815100797,14,14,14,369,382,0
1815100797,14,14,14,369,382,0
1815105479,8,14,21,313,387,1
1815105479,8,14,21,313,387,1
1815105496,2,6,15,273,375,1
1815105496,2,6,15,273,375,1
1815105941,14,10,11,296,302,0
1815105941,14,10,11,296,302,0
1815106145,2,11,5,179,156,0
1815106145,2,11,5,179,156,0
1815106177,13,5,15,394,554,1
1815106177,13,5,15,394,554,1
1815106754,1,12,7,324,287,0
1815106754,1,12,7,324,287,0
1815106794,10,10,8,319,385,0
1815106794,10,10,8,319,385,0
1815106911,4,11,6,228,267,0
1815106911,4,11,6,228,267,0
1815107028,9,9,19,361,577,1
1815107028,9,9,19,361,577,1
1815107280,7,13,9,253,374,0
1815107280,7,13,9,253,374,0
1815107434,13,2,17,510,757,1
1815107434,13,2,17,510,757,1
1815107496,10,14,21,339,408,1
1815107496,10,14,21,339,408,1
1815107723,7,6,8,280,382,0
1815107723,7,6,8,280,382,0
1815107933,10,10,14,266,308,0
1815107933,10,10,14,266,308,0
1815108425,6,11,17,353,527,0
1815108425,6,11,17,353,527,0
1815108490,10,2,11,434,552,1
1815108490,10,2,11,434,552,1
1815108550,13,9,20,447,620,1
1815108550,13,9,20,447,620,1
1815108928,5,10,7,227,282,0
1815108928,5,10,7,227,282,0
1815109062,4,9,6,323,397,0
1815109062,4,9,6,323,397,0
1815109499,9,5,20,383,607,1
1815109499,9,5,20,383,607,1
1815109534,12,10,4,338,479,0
1815109534,12,10,4,338,479,0
1815109624,15,17,20,396,554,1
1815109624,15,17,20,396,554,1
1815109834,5,6,12,269,346,1
1815109834,5,6,12,269,346,1
1815110044,11,7,9,257,298,0
1815110044,11,7,9,257,298,0
1815110127,9,6,17,309,458,0
1815110127,9,6,17,309,458,0
1815110160,10,13,18,350,467,0
1815110160,10,13,18,350,467,0
1815110272,3,7,13,212,235,0
1815110272,3,7,13,212,235,0
1815110607,6,14,15,290,414,0
1815110607,6,14,15,290,414,0
1815110619,7,3,21,404,668,1
1815110619,7,3,21,404,668,1
1815110829,13,3,14,400,594,1
1815110829,13,3,14,400,594,1
1815110848,8,12,7,362,477,0
1815110848,8,12,7,362,477,0
1815111517,6,10,13,303,420,1
1815111517,6,10,13,303,420,1
1815111781,10,9,13,380,551,0
1815111781,10,9,13,380,551,0
1815111839,11,0,12,500,509,1
1815111839,11,0,12,500,509,1
1815112381,6,15,23,293,407,1
1815112381,6,15,23,293,407,1
1815112401,12,7,17,421,579,1
1815112401,12,7,17,421,579,1
1815112789,6,5,10,364,478,1
1815112789,6,5,10,364,478,1
1815112800,7,8,15,337,401,1
1815112800,7,8,15,337,401,1
1815113187,5,14,19,339,443,1
1815113187,5,14,19,339,443,1
1815113618,4,13,10,199,226,0
1815113618,4,13,10,199,226,0
1815113760,10,10,17,307,432,0
1815113760,10,10,17,307,432,0
1815113843,7,5,21,409,599,1
1815113843,7,5,21,409,599,1
1815113894,1,9,10,283,410,0
1815113894,1,9,10,283,410,0
1815114042,5,3,13,404,443,1
1815114042,5,3,13,404,443,1
1815114053,14,7,25,380,482,1
1815114053,14,7,25,380,482,1
1815114092,6,1,21,434,486,1
1815114092,6,1,21,434,486,1
1815114146,19,9,14,432,601,1
1815114146,19,9,14,432,601,1
1815114212,5,14,19,270,443,0
1815114212,5,14,19,270,443,0
1815114272,1,4,6,261,301,1
1815114272,1,4,6,261,301,1
1815114845,4,12,8,316,379,0
1815114845,4,12,8,316,379,0
1815114850,7,11,6,388,556,0
1815114850,7,11,6,388,556,0
1815115227,6,10,17,235,279,0
1815115227,6,10,17,235,279,0
1815115445,7,9,12,309,345,0
1815115445,7,9,12,309,345,0
1815115634,5,14,20,312,419,0
1815115634,5,14,20,312,419,0
1815115728,7,10,17,317,461,0
1815115728,7,10,17,317,461,0
1815115794,7,9,13,340,418,1
1815115794,7,9,13,340,418,1
1815115873,14,5,20,437,579,1
1815115873,14,5,20,437,579,1
1815116418,8,10,9,309,370,0
1815116418,8,10,9,309,370,0
1815116471,8,6,25,429,663,1
1815116471,8,6,25,429,663,1
1815116664,16,11,13,368,452,1
1815116664,16,11,13,368,452,1
1815116819,4,11,9,288,316,0
1815116819,4,11,9,288,316,0
1815116829,8,16,18,275,356,0
1815116829,8,16,18,275,356,0
1815117350,10,3,13,437,496,1
1815117350,10,3,13,437,496,1
1815117351,11,5,17,405,565,1
1815117351,11,5,17,405,565,1
1815117540,2,4,6,273,251,1
1815117540,2,4,6,273,251,1
1815117766,0,10,4,184,209,0
1815117766,0,10,4,184,209,0
1815118049,13,11,19,285,343,0
1815118049,13,11,19,285,343,0
1815118373,12,8,13,454,471,1
