id,k,d,a,gpm,xpm,win
1815098931,6,8,11,357,463,0
1815098931,6,8,11,357,463,0
1815100126,6,9,18,471,609,0
1815100126,6,9,18,471,609,0
1815100494,10,7,5,456,581,0
1815100494,10,7,5,456,581,0
1815100758,12,1,6,649,696,1
1815100758,12,1,6,649,696,1
1815107537,7,5,3,577,765,0
1815107537,7,5,3,577,765,0
1815107585,14,8,11,454,568,0
1815107585,14,8,11,454,568,0
1815108520,2,8,3,258,265,0
1815108520,2,8,3,258,265,0
1815109218,9,4,6,468,668,0
1815109218,9,4,6,468,668,0
1815109752,25,7,11,685,734,1
1815109752,25,7,11,685,734,1
1815110088,19,10,7,502,548,1
1815110088,19,10,7,502,548,1
1815110866,1,10,2,254,236,0
1815110866,1,10,2,254,236,0
1815111594,9,2,3,590,554,1
1815111594,9,2,3,590,554,1
1815112241,9,8,19,467,608,1
1815112241,9,8,19,467,608,1
1815114180,0,6,2,385,470,0
1815114180,0,6,2,385,470,0
1815114978,10,3,11,564,511,1
1815114978,10,3,11,564,511,1
1815115412,6,7,12,421,428,1
1815115412,6,7,12,421,428,1
1815117882,7,2,14,616,633,1
1815117882,7,2,14,616,633,1
1815120516,10,1,15,594,626,1
1815120516,10,1,15,594,626,1
1815120865,9,5,5,429,537,0
1815120865,9,5,5,429,537,0
1815120947,7,6,8,444,523,1
1815120947,7,6,8,444,523,1
1815121376,16,6,25,639,498,0
1815121376,16,6,25,639,498,0
1815121604,19,12,12,495,541,1
1815121604,19,12,12,495,541,1
1815121927,15,3,10,608,622,1
1815121927,15,3,10,608,622,1
1815123130,6,9,13,452,579,1
1815123130,6,9,13,452,579,1
1815098821,6,2,9,579,690,1
1815098821,6,2,9,579,690,1
1815098910,11,6,18,591,559,1
1815098910,11,6,18,591,559,1
1815099860,8,7,8,329,416,0
1815099860,8,7,8,329,416,0
1815100247,1,10,6,198,203,0
1815100247,1,10,6,198,203,0
1815100569,11,5,8,503,544,1
1815100569,11,5,8,503,544,1
