id,k,d,a,gpm,xpm,win
1815098837,8,5,5,345,345,0
1815098837,8,5,5,345,345,0
1815098851,8,9,2,415,553,0
1815098851,8,9,2,415,553,0
1815099515,12,3,14,403,324,1
1815099515,12,3,14,403,324,1
1815099776,13,10,16,464,492,1
1815099776,13,10,16,464,492,1
1815099847,14,7,9,496,617,0
1815099847,14,7,9,496,617,0
1815100126,11,9,14,438,508,0
1815100126,11,9,14,438,508,0
1815100144,11,16,14,407,477,0
1815100144,11,16,14,407,477,0
1815100576,3,2,0,528,310,1
1815100576,3,2,0,528,310,1
1815100763,14,12,11,435,541,0
1815100763,14,12,11,435,541,0
1815105232,11,13,16,518,565,1
1815105232,11,13,16,518,565,1
1815105360,7,7,12,403,392,1
1815105360,7,7,12,403,392,1
1815105368,5,13,5,258,286,0
1815105368,5,13,5,258,286,0
1815105547,17,6,17,518,649,1
1815105547,17,6,17,518,649,1
1815105721,10,9,10,378,485,0
1815105721,10,9,10,378,485,0
1815105786,16,8,13,569,590,1
1815105786,16,8,13,569,590,1
1815105820,8,8,10,434,511,0
1815105820,8,8,10,434,511,0
1815105958,4,9,2,266,278,0
1815105958,4,9,2,266,278,0
1815106065,16,13,14,470,577,1
1815106065,16,13,14,470,577,1
1815106195,16,9,7,427,481,0
1815106195,16,9,7,427,481,0
1815106214,4,12,4,275,313,0
1815106214,4,12,4,275,313,0
1815106540,1,14,7,268,342,0
1815106540,1,14,7,268,342,0
1815106595,1,11,7,288,238,0
1815106595,1,11,7,288,238,0
1815107062,14,14,13,408,419,1
1815107062,14,14,13,408,419,1
1815107439,4,12,7,337,392,0
1815107439,4,12,7,337,392,0
1815107492,11,8,19,438,557,0
1815107492,11,8,19,438,557,0
1815108500,2,12,11,225,194,0
1815108500,2,12,11,225,194,0
1815108961,7,11,17,322,327,1
1815108961,7,11,17,322,327,1
1815109047,10,11,13,392,411,1
1815109047,10,11,13,392,411,1
1815109442,13,5,3,450,510,0
1815109442,13,5,3,450,510,0
1815109513,2,5,7,293,337,0
1815109513,2,5,7,293,337,0
1815109596,3,5,5,249,221,0
1815109596,3,5,5,249,221,0
1815109621,14,10,7,395,472,0
1815109621,14,10,7,395,472,0
1815109717,15,13,17,503,559,1
1815109717,15,13,17,503,559,1
1815109872,1,14,9,293,349,0
1815109872,1,14,9,293,349,0
1815110849,29,10,15,583,510,1
1815110849,29,10,15,583,510,1
1815111286,10,8,7,436,544,0
1815111286,10,8,7,436,544,0
1815111397,5,7,2,321,290,0
1815111397,5,7,2,321,290,0
1815111443,18,4,17,557,576,1
1815111443,18,4,17,557,576,1
1815111494,9,11,9,288,363,0
1815111494,9,11,9,288,363,0
1815111940,2,9,6,283,301,0
1815111940,2,9,6,283,301,0
1815112400,9,11,19,515,533,1
1815112400,9,11,19,515,533,1
1815112715,4,18,17,292,377,0
1815112715,4,18,17,292,377,0
1815112755,5,8,15,427,536,1
1815112755,5,8,15,427,536,1
1815113773,25,6,12,486,566,1
1815113773,25,6,12,486,566,1
1815114228,4,5,12,516,438,1
1815114228,4,5,12,516,438,1
1815114302,13,5,8,518,636,0
1815114302,13,5,8,518,636,0
1815114361,16,14,2,386,458,0
1815114361,16,14,2,386,458,0
1815114614,20,6,14,542,644,1
1815114614,20,6,14,542,644,1
1815114640,12,2,3,527,460,1
1815114640,12,2,3,527,460,1
1815115117,1,12,1,131,112,0
1815115117,1,12,1,131,112,0
1815115149,3,10,1,296,347,0
1815115149,3,10,1,296,347,0
1815115828,7,4,10,362,359,1
1815115828,7,4,10,362,359,1
1815116052,18,13,6,466,530,1
1815116052,18,13,6,466,530,1
1815116993,7,13,19,394,457,1
