id,k,d,a,gpm,xpm,win
1815099515,5,13,3,221,252,0
1815099515,5,13,3,221,252,0
1815100081,9,17,13,372,473,1
1815100081,9,17,13,372,473,1
1815100144,5,9,17,375,564,0
1815100144,5,9,17,375,564,0
1815105958,7,4,10,408,392,1
1815105958,7,4,10,408,392,1
1815106287,6,7,10,323,350,1
1815106287,6,7,10,323,350,1
1815108961,3,9,23,304,388,1
1815108961,3,9,23,304,388,1
1815109255,3,5,3,261,285,0
1815109255,3,5,3,261,285,0
1815109513,14,2,5,632,621,1
1815109513,14,2,5,632,621,1
1815109854,6,6,8,306,331,1
1815109854,6,6,8,306,331,1
1815110088,7,12,5,307,364,0
1815110088,7,12,5,307,364,0
1815110450,7,12,20,263,364,0
1815110450,7,12,20,263,364,0
1815111331,6,9,21,334,387,1
1815111331,6,9,21,334,387,1
1815111397,2,6,12,328,295,1
1815111397,2,6,12,328,295,1
1815112669,3,12,10,282,305,0
1815112669,3,12,10,282,305,0
1815112755,6,7,7,315,421,1
1815112755,6,7,7,315,421,1
1815113067,4,10,11,309,441,0
1815113067,4,10,11,309,441,0
1815114614,1,10,10,252,292,0
1815114614,1,10,10,252,292,0
1815114765,9,11,4,311,359,0
1815114765,9,11,4,311,359,0
1815115229,3,20,0,160,152,0
1815115229,3,20,0,160,152,0
1815115320,7,6,12,379,467,1
1815115320,7,6,12,379,467,1
1815118745,7,5,11,300,355,1
1815118745,7,5,11,300,355,1
1815119712,7,2,13,424,486,1
1815119712,7,2,13,424,486,1
1815120516,1,11,4,217,173,0
1815120516,1,11,4,217,173,0
1815121135,4,10,4,304,287,0
1815121135,4,10,4,304,287,0
1815121226,4,14,16,230,260,0
1815121226,4,14,16,230,260,0
1815121294,12,5,17,402,490,1
1815121294,12,5,17,402,490,1
1815121346,4,8,5,220,232,0
1815121346,4,8,5,220,232,0
1815121433,5,0,9,302,370,1
1815121433,5,0,9,302,370,1
1815121604,9,15,14,330,447,1
1815121604,9,15,14,330,447,1
1815121797,3,6,16,279,336,1
1815121797,3,6,16,279,336,1
1815121900,3,8,9,188,265,0
1815121900,3,8,9,188,265,0
1815121927,4,16,11,337,333,0
1815121927,4,16,11,337,333,0
1815122280,3,17,5,264,238,1
1815122280,3,17,5,264,238,1
1815122694,5,13,11,293,321,1
1815122694,5,13,11,293,321,1
1815122917,8,11,18,336,454,0
1815122917,8,11,18,336,454,0
1815098739,7,12,13,362,482,0
1815098739,7,12,13,362,482,0
1815099509,4,4,12,382,253,1
1815099509,4,4,12,382,253,1
1815099513,4,5,19,321,394,1
1815099513,4,5,19,321,394,1
1815099705,6,12,27,355,525,1
1815099705,6,12,27,355,525,1
1815099800,0,11,4,192,179,0
1815099800,0,11,4,192,179,0
1815099861,6,7,7,278,358,0
1815099861,6,7,7,278,358,0
1815100105,1,10,5,205,243,0
1815100105,1,10,5,205,243,0
1815100365,5,14,14,290,329,1
1815100365,5,14,14,290,329,1
1815100570,6,7,12,336,442,0
1815100570,6,7,12,336,442,0
1815100590,5,4,11,303,352,1
1815100590,5,4,11,303,352,1
1815105308,9,8,15,414,524,1
1815105308,9,8,15,414,524,1
1815105361,16,7,17,490,592,1
1815105361,16,7,17,490,592,1
1815105849,12,9,18,360,496,0
1815105849,12,9,18,360,496,0
1815105863,3,10,16,288,364,1
1815105863,3,10,16,288,364,1
1815106575,10,15,16,408,515,0
1815106575,10,15,16,408,515,0
1815106739,8,3,25,347,426,1
1815106739,8,3,25,347,426,1
1815106912,5,8,16,342,441,1
1815106912,5,8,16,342,441,1
1815107389,13,8,13,440,557,1
