id,k,d,a,gpm,xpm,win
1815100494,7,8,10,385,504,0
1815100494,7,8,10,385,504,0
1815107813,2,6,7,407,370,1
1815107813,2,6,7,407,370,1
1815113186,2,8,3,304,313,0
1815113186,2,8,3,304,313,0
1815113859,4,4,6,436,467,1
1815113859,4,4,6,436,467,1
1815116473,1,7,12,369,379,0
1815116473,1,7,12,369,379,0
1815116508,4,5,11,600,486,1
1815116508,4,5,11,600,486,1
1815117120,4,2,8,642,535,1
1815117120,4,2,8,642,535,1
1815121496,2,2,4,547,600,1
1815121496,2,2,4,547,600,1
1815099373,1,4,1,219,234,0
1815099373,1,4,1,219,234,0
1815113386,5,2,10,545,466,1
1815113386,5,2,10,545,466,1
1815117993,4,2,11,535,475,1
1815117993,4,2,11,535,475,1
1815120269,2,6,5,382,365,0
1815120269,2,6,5,382,365,0
1815121149,2,8,5,379,437,0
1815121149,2,8,5,379,437,0
1815122801,3,4,5,503,301,1
1815122801,3,4,5,503,301,1
1815099780,2,11,7,249,272,0
1815099780,2,11,7,249,272,0
1815105244,5,8,1,354,324,0
1815105244,5,8,1,354,324,0
1815105681,3,3,12,387,349,1
1815105681,3,3,12,387,349,1
1815106272,5,6,10,508,552,1
1815106272,5,6,10,508,552,1
1815106779,6,11,4,278,265,0
1815106779,6,11,4,278,265,0
1815106959,9,6,8,419,425,1
1815106959,9,6,8,419,425,1
1815107496,4,16,19,410,495,0
1815107496,4,16,19,410,495,0
1815107603,4,10,10,295,358,0
1815107603,4,10,10,295,358,0
1815108055,6,4,12,477,459,1
1815108055,6,4,12,477,459,1
1815108160,9,7,24,517,586,1
1815108160,9,7,24,517,586,1
1815108247,1,10,4,229,209,0
1815108247,1,10,4,229,209,0
1815108338,2,5,4,457,340,1
1815108338,2,5,4,457,340,1
1815108571,2,4,6,482,488,1
1815108571,2,4,6,482,488,1
1815108886,7,8,15,484,497,1
1815108886,7,8,15,484,497,1
1815109589,3,6,5,408,459,0
1815109589,3,6,5,408,459,0
1815109617,0,2,0,112,24,0
1815109617,0,2,0,112,24,0
1815109635,15,9,31,539,407,0
1815109635,15,9,31,539,407,0
1815109824,10,8,16,458,578,1
1815109824,10,8,16,458,578,1
1815110324,5,0,3,670,717,1
1815110324,5,0,3,670,717,1
1815110393,4,7,23,411,362,1
1815110393,4,7,23,411,362,1
1815110548,1,5,0,194,209,0
1815110548,1,5,0,194,209,0
1815110864,0,14,2,136,138,0
1815110864,0,14,2,136,138,0
1815111356,3,3,15,468,474,1
1815111356,3,3,15,468,474,1
1815111357,0,0,0,800,140,0
1815111357,0,0,0,800,140,0
1815111889,4,7,2,335,407,0
1815111889,4,7,2,335,407,0
1815112036,4,10,16,351,447,1
1815112036,4,10,16,351,447,1
1815112045,1,5,5,388,340,1
1815112045,1,5,5,388,340,1
1815112226,2,13,1,295,342,0
1815112226,2,13,1,295,342,0
1815112383,7,9,3,357,366,0
1815112383,7,9,3,357,366,0
1815112552,13,4,15,625,636,1
1815112552,13,4,15,625,636,1
1815112579,1,8,4,189,130,0
1815112579,1,8,4,189,130,0
1815112718,11,9,18,347,440,0
1815112718,11,9,18,347,440,0
1815113591,3,16,12,305,327,0
1815113591,3,16,12,305,327,0
1815113829,8,4,10,640,616,1
1815113829,8,4,10,640,616,1
1815113895,5,4,8,518,541,1
1815113895,5,4,8,518,541,1
1815114541,0,7,1,179,230,0
1815114541,0,7,1,179,230,0
1815114803,2,7,9,311,366,0
1815114803,2,7,9,311,366,0
1815116421,0,2,0,120,0,0
1815116421,0,2,0,120,0,0
1815116619,2,12,6,317,331,0
1815116619,2,12,6,317,331,0
1815116631,3,3,5,336,244,0
1815116631,3,3,5,336,244,0
1815116799,2,6,9,561,594,1
1815116799,2,6,9,561,594,1
1815116803,2,6,10,310,336,0
1815116803,2,6,10,310,336,0
1815117624,11,2,0,544,529,1
1815117624,11,2,0,544,529,1
1815118633,1,9,5,204,162,0
1815118633,1,9,5,204,162,0
1815118706,1,11,4,294,302,0
1815118706,1,11,4,294,302,0
1815119619,4,12,11,238,269,0
1815119619,4,12,11,238,269,0
1815119633,4,9,17,508,504,0
1815119633,4,9,17,508,504,0
1815120031,0,12,2,214,231,0
1815120031,0,12,2,214,231,0
1815120884,6,4,9,565,636,1
1815120884,6,4,9,565,636,1
1815120922,1,10,5,296,312,0
1815120922,1,10,5,296,312,0
1815121465,5,8,7,584,552,1
1815121465,5,8,7,584,552,1
1815122910,8,8,10,358,471,1
1815122910,8,8,10,358,471,1
1815098844,1,10,5,227,262,0
1815098844,1,10,5,227,262,0
1815100298,2,9,14,438,410,0
1815100298,2,9,14,438,410,0
1815100527,1,9,9,305,282,1
1815100527,1,9,9,305,282,1
1815100553,4,4,3,461,414,0
1815100553,4,4,3,461,414,0
1815100710,1,12,8,332,479,0
1815100710,1,12,8,332,479,0
1815100778,1,9,3,215,215,0
1815100778,1,9,3,215,215,0
1815106009,2,6,5,421,395,1
1815106009,2,6,5,421,395,1
1815106733,3,4,6,421,529,0
1815106733,3,4,6,421,529,0
1815107768,1,2,8,378,219,1
1815107768,1,2,8,378,219,1
1815107783,8,7,14,554,601,1
1815107783,8,7,14,554,601,1
1815108766,7,2,11,534,531,1
1815108766,7,2,11,534,531,1
1815109826,3,6,11,297,360,0
1815109826,3,6,11,297,360,0
1815110468,5,3,16,623,723,1
1815110468,5,3,16,623,723,1
1815110503,1,9,6,318,381,0
1815110503,1,9,6,318,381,0
1815110654,8,10,9,464,540,0
1815110654,8,10,9,464,540,0
1815111464,2,9,14,437,440,1
1815111464,2,9,14,437,440,1
1815111532,7,8,14,482,612,0
1815111532,7,8,14,482,612,0
1815112344,1,7,5,321,381,0
1815112344,1,7,5,321,381,0
1815112345,0,5,7,444,422,1
1815112345,0,5,7,444,422,1
1815112416,3,11,5,347,452,0
1815112416,3,11,5,347,452,0
1815112814,1,7,6,397,420,1
1815112814,1,7,6,397,420,1
1815113333,2,5,4,394,432,0
1815113333,2,5,4,394,432,0
1815114036,6,9,6,570,588,0
1815114036,6,9,6,570,588,0
1815115087,8,3,11,512,549,1
1815115087,8,3,11,512,549,1
1815115913,1,4,15,378,226,1
1815115913,1,4,15,378,226,1
1815116032,3,4,18,564,437,1
1815116032,3,4,18,564,437,1
1815116545,6,4,7,554,563,1
1815116545,6,4,7,554,563,1
1815117704,1,7,10,422,433,1
1815117704,1,7,10,422,433,1
1815117743,3,6,4,454,520,0
1815117743,3,6,4,454,520,0
1815117992,6,6,15,528,660,1
1815117992,6,6,15,528,660,1
1815120160,4,3,7,405,403,1
1815120160,4,3,7,405,403,1
