id,k,d,a,gpm,xpm,win
1815099663,13,13,19,422,505,0
1815099663,13,13,19,422,505,0
1815099776,4,12,9,398,446,0
1815099776,4,12,9,398,446,0
1815100779,4,8,15,433,580,0
1815100779,4,8,15,433,580,0
1815106065,17,7,22,574,586,1
1815106065,17,7,22,574,586,1
1815106616,2,7,8,244,307,0
1815106616,2,7,8,244,307,0
1815107097,12,5,13,632,799,1
1815107097,12,5,13,632,799,1
1815107293,17,6,25,655,659,1
1815107293,17,6,25,655,659,1
1815110248,5,12,9,396,536,0
1815110248,5,12,9,396,536,0
1815110973,5,10,15,501,503,1
1815110973,5,10,15,501,503,1
1815113859,9,4,12,599,745,1
1815113859,9,4,12,599,745,1
1815115931,18,8,16,610,612,1
1815115931,18,8,16,610,612,1
1815117894,7,11,16,446,499,1
1815117894,7,11,16,446,499,1
1815117916,6,1,14,662,696,1
1815117916,6,1,14,662,696,1
1815118309,7,8,11,460,537,1
1815118309,7,8,11,460,537,1
1815120129,5,11,5,513,604,0
1815120129,5,11,5,513,604,0
1815121797,7,4,11,618,638,0
1815121797,7,4,11,618,638,0
1815099860,6,8,11,669,738,1
1815099860,6,8,11,669,738,1
1815100105,5,9,8,367,483,0
1815100105,5,9,8,367,483,0
1815105308,4,11,15,499,562,1
1815105308,4,11,15,499,562,1
1815105424,11,6,15,714,677,1
1815105424,11,6,15,714,677,1
1815106161,12,10,14,450,556,0
1815106161,12,10,14,450,556,0
1815106675,10,7,11,445,603,0
1815106675,10,7,11,445,603,0
1815107318,8,13,15,483,561,1
1815107318,8,13,15,483,561,1
1815107696,0,1,2,599,312,1
1815107696,0,1,2,599,312,1
1815108631,4,3,11,389,448,1
1815108631,4,3,11,389,448,1
1815109387,9,3,7,795,770,1
1815109387,9,3,7,795,770,1
1815110502,15,3,9,747,846,1
1815110502,15,3,9,747,846,1
1815112040,8,10,6,392,371,0
1815112040,8,10,6,392,371,0
1815112398,8,6,15,606,624,1
1815112398,8,6,15,606,624,1
1815113893,5,8,7,436,636,0
1815113893,5,8,7,436,636,0
1815114040,1,6,2,222,244,0
1815114040,1,6,2,222,244,0
1815114221,0,4,2,273,220,0
1815114221,0,4,2,273,220,0
1815115047,2,10,7,349,386,0
1815115047,2,10,7,349,386,0
1815115795,3,6,2,342,359,0
1815115795,3,6,2,342,359,0
1815118562,14,12,10,593,610,1
1815118562,14,12,10,593,610,1
1815118679,13,11,31,611,646,1
1815118679,13,11,31,611,646,1
1815120118,6,10,4,573,506,1
1815120118,6,10,4,573,506,1
1815120325,8,5,4,521,633,0
1815120325,8,5,4,521,633,0
1815120632,6,14,16,535,585,1
1815120632,6,14,16,535,585,1
1815121288,8,9,11,472,528,0
1815121288,8,9,11,472,528,0
1815121314,2,4,1,328,316,0
1815121314,2,4,1,328,316,0
1815121606,10,13,24,440,494,0
1815121606,10,13,24,440,494,0
1815121753,12,6,14,514,608,0
1815121753,12,6,14,514,608,0
1815099033,3,5,4,342,453,0
1815099033,3,5,4,342,453,0
1815099034,12,12,5,474,599,0
1815099034,12,12,5,474,599,0
1815099059,6,16,23,412,487,1
1815099059,6,16,23,412,487,1
1815099194,13,5,7,612,588,1
1815099194,13,5,7,612,588,1
1815099272,5,5,6,641,504,0
1815099272,5,5,6,641,504,0
1815099370,2,10,2,302,335,0
1815099370,2,10,2,302,335,0
1815099452,16,9,15,468,615,0
1815099452,16,9,15,468,615,0
1815099477,6,6,6,381,393,0
1815099477,6,6,6,381,393,0
1815099541,12,8,4,436,430,1
1815099541,12,8,4,436,430,1
1815099755,4,9,20,418,453,1
1815099755,4,9,20,418,453,1
1815099880,0,8,8,331,338,1
1815099880,0,8,8,331,338,1
1815099897,15,11,12,489,603,0
1815099897,15,11,12,489,603,0
1815099949,1,16,4,307,343,0
1815099949,1,16,4,307,343,0
1815100011,9,9,16,444,524,0
1815100011,9,9,16,444,524,0
1815100026,12,15,10,413,465,0
1815100026,12,15,10,413,465,0
1815100109,2,10,16,499,552,1
1815100109,2,10,16,499,552,1
1815100178,9,7,14,550,501,1
1815100178,9,7,14,550,501,1
1815100281,7,7,17,665,673,1
1815100281,7,7,17,665,673,1
1815100287,7,6,11,547,539,1
1815100287,7,6,11,547,539,1
1815100328,10,7,15,455,489,1
1815100328,10,7,15,455,489,1
1815100598,9,8,16,561,684,1
1815100598,9,8,16,561,684,1
1815100685,8,9,10,517,579,1
1815100685,8,9,10,517,579,1
1815100711,10,3,9,628,708,1
1815100711,10,3,9,628,708,1
1815100736,11,12,22,490,501,1
1815100736,11,12,22,490,501,1
1815100751,10,4,10,641,559,1
1815100751,10,4,10,641,559,1
1815100821,4,12,9,438,516,0
1815100821,4,12,9,438,516,0
1815105186,6,5,9,425,494,1
1815105186,6,5,9,425,494,1
1815105345,19,2,15,654,737,1
1815105345,19,2,15,654,737,1
1815105707,22,3,17,855,750,1
1815105707,22,3,17,855,750,1
1815105895,6,9,10,326,353,0
1815105895,6,9,10,326,353,0
1815106025,9,13,10,395,417,0
1815106025,9,13,10,395,417,0
1815106177,14,11,14,459,461,1
1815106177,14,11,14,459,461,1
1815106243,11,3,6,669,735,1
1815106243,11,3,6,669,735,1
1815106250,7,12,3,389,424,0
1815106250,7,12,3,389,424,0
1815106266,8,12,13,381,485,1
1815106266,8,12,13,381,485,1
1815106288,6,10,11,386,484,0
1815106288,6,10,11,386,484,0
1815106508,8,15,9,384,470,0
1815106508,8,15,9,384,470,0
1815106760,16,3,3,560,455,1
1815106760,16,3,3,560,455,1
1815106802,3,5,8,480,443,1
1815106802,3,5,8,480,443,1
1815106904,16,17,6,493,653,0
1815106904,16,17,6,493,653,0
1815106914,5,17,19,298,304,1
1815106914,5,17,19,298,304,1
1815106944,12,8,9,628,682,1
1815106944,12,8,9,628,682,1
1815107139,2,12,17,277,346,0
1815107139,2,12,17,277,346,0
1815107405,11,3,3,546,544,1
1815107405,11,3,3,546,544,1
1815107473,8,9,17,537,679,1
1815107473,8,9,17,537,679,1
1815107495,9,3,18,571,688,1
1815107495,9,3,18,571,688,1
1815107498,0,15,0,209,216,0
1815107498,0,15,0,209,216,0
1815107952,5,12,8,444,560,0
1815107952,5,12,8,444,560,0
1815108005,10,9,14,540,513,0
1815108005,10,9,14,540,513,0
1815108027,6,4,15,513,532,1
1815108027,6,4,15,513,532,1
1815108082,4,8,8,321,376,0
1815108082,4,8,8,321,376,0
1815108557,6,16,11,393,420,0
1815108557,6,16,11,393,420,0
1815108577,4,8,21,331,401,1
1815108577,4,8,21,331,401,1
1815108697,9,6,14,567,466,1
1815108697,9,6,14,567,466,1
1815108732,10,12,10,447,528,1
1815108732,10,12,10,447,528,1
1815109269,5,2,3,428,365,1
1815109269,5,2,3,428,365,1
1815109326,8,0,12,631,609,1
1815109326,8,0,12,631,609,1
1815109331,3,8,3,426,630,0
1815109331,3,8,3,426,630,0
1815109378,2,18,12,306,350,0
1815109378,2,18,12,306,350,0
1815109389,9,7,10,585,798,1
1815109389,9,7,10,585,798,1
1815109511,13,9,8,682,734,1
1815109511,13,9,8,682,734,1
1815109514,3,18,14,323,314,0
1815109514,3,18,14,323,314,0
1815109570,5,6,8,293,380,0
1815109570,5,6,8,293,380,0
1815109617,0,0,0,734,153,1
1815109617,0,0,0,734,153,1
1815109635,14,9,28,490,413,0
1815109635,14,9,28,490,413,0
1815109820,3,8,14,250,314,0
1815109820,3,8,14,250,314,0
1815109827,8,11,13,269,290,0
1815109827,8,11,13,269,290,0
1815109927,8,11,14,509,513,0
1815109927,8,11,14,509,513,0
1815109946,4,5,11,598,550,1
1815109946,4,5,11,598,550,1
1815109980,8,3,7,448,405,1
1815109980,8,3,7,448,405,1
1815110272,2,12,11,306,346,0
1815110272,2,12,11,306,346,0
1815110347,13,12,11,523,645,1
1815110347,13,12,11,523,645,1
1815110376,4,3,8,634,704,1
1815110376,4,3,8,634,704,1
1815110513,10,11,8,429,565,0
1815110513,10,11,8,429,565,0
1815110656,4,5,8,453,409,1
1815110656,4,5,8,453,409,1
1815110732,3,11,1,431,436,0
1815110732,3,11,1,431,436,0
1815110733,5,7,13,452,586,0
1815110733,5,7,13,452,586,0
1815110847,6,8,14,301,436,0
1815110847,6,8,14,301,436,0
1815110964,12,5,8,730,760,1
1815110964,12,5,8,730,760,1
1815111312,14,6,13,629,660,1
1815111312,14,6,13,629,660,1
1815111368,3,7,14,412,468,1
1815111368,3,7,14,412,468,1
1815111596,0,0,0,698,133,1
1815111596,0,0,0,698,133,1
1815111683,1,3,5,339,234,1
1815111683,1,3,5,339,234,1
1815111770,5,13,9,260,277,0
1815111770,5,13,9,260,277,0
1815111836,16,2,13,756,825,1
1815111836,16,2,13,756,825,1
1815112033,3,13,12,420,495,0
1815112033,3,13,12,420,495,0
1815112069,6,5,11,576,511,1
1815112069,6,5,11,576,511,1
1815112078,3,10,10,362,446,0
1815112078,3,10,10,362,446,0
1815112415,5,5,7,413,501,0
1815112415,5,5,7,413,501,0
1815112468,15,6,25,620,581,1
1815112468,15,6,25,620,581,1
1815112554,5,10,9,463,608,1
1815112554,5,10,9,463,608,1
1815112652,6,8,9,429,583,0
1815112652,6,8,9,429,583,0
1815112842,6,11,9,396,532,0
1815112842,6,11,9,396,532,0
1815112952,5,10,11,327,421,1
1815112952,5,10,11,327,421,1
1815112996,0,4,9,363,422,1
1815112996,0,4,9,363,422,1
1815113009,8,3,5,588,645,1
1815113009,8,3,5,588,645,1
1815113065,5,9,18,477,558,1
1815113065,5,9,18,477,558,1
1815113249,5,14,9,314,352,0
1815113249,5,14,9,314,352,0
1815113260,14,6,20,522,628,1
1815113260,14,6,20,522,628,1
1815113708,0,4,1,199,170,0
1815113708,0,4,1,199,170,0
1815113760,13,8,16,524,544,1
1815113760,13,8,16,524,544,1
1815113793,6,12,5,326,340,0
1815113793,6,12,5,326,340,0
1815113805,5,12,7,420,505,0
1815113805,5,12,7,420,505,0
1815113897,2,11,11,315,359,0
1815113897,2,11,11,315,359,0
1815114136,3,9,13,338,422,0
1815114136,3,9,13,338,422,0
1815114272,8,9,11,568,590,1
1815114272,8,9,11,568,590,1
1815114376,7,16,7,323,455,0
1815114376,7,16,7,323,455,0
1815114416,3,4,9,579,585,1
1815114416,3,4,9,579,585,1
1815114513,7,3,9,544,654,1
1815114513,7,3,9,544,654,1
1815114599,7,13,8,382,519,0
1815114599,7,13,8,382,519,0
1815114779,15,3,6,650,777,1
1815114779,15,3,6,650,777,1
1815115159,10,10,9,427,347,1
1815115159,10,10,9,427,347,1
1815115202,6,16,17,357,351,0
1815115202,6,16,17,357,351,0
1815115416,2,16,18,319,373,0
1815115416,2,16,18,319,373,0
1815115449,11,3,12,625,555,1
1815115449,11,3,12,625,555,1
1815115794,18,8,11,562,650,1
1815115794,18,8,11,562,650,1
1815115818,2,6,7,232,199,0
1815115818,2,6,7,232,199,0
1815115901,2,13,11,278,302,0
1815115901,2,13,11,278,302,0
1815115978,13,14,5,482,629,0
1815115978,13,14,5,482,629,0
1815116016,14,4,7,590,735,1
1815116016,14,4,7,590,735,1
1815116131,5,14,21,411,522,0
1815116131,5,14,21,411,522,0
1815116179,10,6,19,639,827,1
1815116179,10,6,19,639,827,1
1815116395,1,11,1,157,95,0
1815116395,1,11,1,157,95,0
1815116418,7,14,13,334,375,0
1815116418,7,14,13,334,375,0
1815116421,0,1,0,628,114,1
1815116421,0,1,0,628,114,1
1815116447,7,11,19,385,471,1
1815116447,7,11,19,385,471,1
1815116452,9,12,18,432,516,0
1815116452,9,12,18,432,516,0
1815116524,10,9,7,467,482,0
1815116524,10,9,7,467,482,0
1815116731,20,2,9,748,889,1
1815116731,20,2,9,748,889,1
1815116829,12,11,13,531,550,0
1815116829,12,11,13,531,550,0
1815117102,6,4,18,573,598,1
1815117102,6,4,18,573,598,1
1815117104,0,5,4,214,54,1
1815117104,0,5,4,214,54,1
1815117119,3,14,6,301,341,0
1815117119,3,14,6,301,341,0
1815117487,15,3,12,556,577,1
