id,k,d,a,gpm,xpm,win
1815105321,12,6,4,534,485,1
1815105321,12,6,4,534,485,1
1815107537,13,6,8,634,655,1
1815107537,13,6,8,634,655,1
1815108703,9,13,12,371,416,0
1815108703,9,13,12,371,416,0
1815109596,15,2,13,728,587,1
1815109596,15,2,13,728,587,1
1815111124,4,7,3,388,460,0
1815111124,4,7,3,388,460,0
1815114614,3,8,8,416,469,0
1815114614,3,8,8,416,469,0
1815115931,5,10,5,355,396,0
1815115931,5,10,5,355,396,0
1815118466,1,6,4,279,238,0
1815118466,1,6,4,279,238,0
1815118639,5,5,9,475,438,1
1815118639,5,5,9,475,438,1
1815120129,3,13,3,264,234,0
1815120129,3,13,3,264,234,0
1815121018,4,10,10,335,373,0
1815121018,4,10,10,335,373,0
1815099509,5,3,6,637,552,1
1815099509,5,3,6,637,552,1
1815106283,1,5,8,354,382,0
1815106283,1,5,8,354,382,0
1815111597,4,2,8,502,488,1
1815111597,4,2,8,502,488,1
1815112516,7,5,3,447,567,0
1815112516,7,5,3,447,567,0
1815114668,8,8,6,492,521,1
1815114668,8,8,6,492,521,1
1815117702,9,6,10,565,634,1
1815117702,9,6,10,565,634,1
1815098864,5,7,14,417,499,1
1815098864,5,7,14,417,499,1
1815098895,7,10,8,445,547,0
1815098895,7,10,8,445,547,0
1815099073,7,10,9,352,352,0
1815099073,7,10,9,352,352,0
1815099243,3,4,9,558,558,1
1815099243,3,4,9,558,558,1
1815099257,2,4,5,335,400,0
1815099257,2,4,5,335,400,0
1815099283,10,7,9,460,521,1
1815099283,10,7,9,460,521,1
1815099351,4,8,20,391,499,1
1815099351,4,8,20,391,499,1
1815099867,2,5,7,242,279,0
1815099867,2,5,7,242,279,0
1815099880,14,6,7,570,637,1
1815099880,14,6,7,570,637,1
1815099896,3,9,3,300,389,0
1815099896,3,9,3,300,389,0
1815099922,4,5,6,388,450,1
1815099922,4,5,6,388,450,1
1815100751,0,11,4,292,294,0
1815100751,0,11,4,292,294,0
1815105208,7,11,10,485,601,1
1815105208,7,11,10,485,601,1
1815105215,6,8,5,407,405,1
1815105215,6,8,5,407,405,1
1815105306,6,2,4,539,666,1
1815105306,6,2,4,539,666,1
1815105333,5,2,7,496,486,1
1815105333,5,2,7,496,486,1
1815105564,5,9,14,369,369,1
1815105564,5,9,14,369,369,1
1815105711,7,9,9,364,421,0
1815105711,7,9,9,364,421,0
1815106030,6,5,10,507,509,1
1815106030,6,5,10,507,509,1
1815106463,5,14,14,307,393,1
1815106463,5,14,14,307,393,1
1815107072,2,5,7,425,469,0
1815107072,2,5,7,425,469,0
1815107138,15,4,11,436,569,1
1815107138,15,4,11,436,569,1
1815107139,2,16,1,323,346,0
1815107139,2,16,1,323,346,0
1815107313,9,5,10,509,622,1
1815107313,9,5,10,509,622,1
1815107393,5,5,11,538,682,1
1815107393,5,5,11,538,682,1
1815107451,3,9,4,399,401,1
1815107451,3,9,4,399,401,1
1815107559,5,3,2,455,435,1
1815107559,5,3,2,455,435,1
1815107916,7,7,6,390,444,1
1815107916,7,7,6,390,444,1
1815108037,8,22,26,383,435,1
1815108037,8,22,26,383,435,1
1815108175,20,14,27,518,489,1
1815108175,20,14,27,518,489,1
1815108384,10,4,14,558,629,1
1815108384,10,4,14,558,629,1
1815108945,18,8,6,429,572,0
1815108945,18,8,6,429,572,0
1815109530,12,1,6,617,712,1
1815109530,12,1,6,617,712,1
1815109617,0,1,0,556,90,1
1815109617,0,1,0,556,90,1
1815109633,2,6,0,287,332,0
1815109633,2,6,0,287,332,0
1815109980,3,5,6,281,257,0
1815109980,3,5,6,281,257,0
1815110129,1,5,0,175,81,0
1815110129,1,5,0,175,81,0
1815110159,6,13,5,278,310,0
1815110159,6,13,5,278,310,0
1815110299,15,2,6,773,958,1
1815110299,15,2,6,773,958,1
1815110324,3,9,2,255,243,0
1815110324,3,9,2,255,243,0
1815110789,6,7,14,336,406,0
1815110789,6,7,14,336,406,0
1815110829,6,12,4,415,582,0
1815110829,6,12,4,415,582,0
1815110896,5,10,3,311,346,0
1815110896,5,10,3,311,346,0
1815110922,2,12,1,287,304,0
1815110922,2,12,1,287,304,0
1815111289,11,9,11,430,545,1
1815111289,11,9,11,430,545,1
1815111824,9,24,16,345,422,1
1815111824,9,24,16,345,422,1
1815111852,7,7,9,538,631,1
1815111852,7,7,9,538,631,1
1815111926,0,3,0,109,3,0
