id,k,d,a,gpm,xpm,win
1815099847,8,5,13,468,520,1
1815099847,8,5,13,468,520,1
1815100494,4,12,20,427,559,1
1815100494,4,12,20,427,559,1
1815100781,12,3,7,578,669,1
1815100781,12,3,7,578,669,1
1815100823,3,6,4,248,312,0
1815100823,3,6,4,248,312,0
1815105880,8,12,18,412,538,1
1815105880,8,12,18,412,538,1
1815105974,0,2,0,222,251,0
1815105974,0,2,0,222,251,0
1815106976,7,6,11,413,473,1
1815106976,7,6,11,413,473,1
1815107813,2,6,9,319,338,0
1815107813,2,6,9,319,338,0
1815108438,3,5,15,407,552,1
1815108438,3,5,15,407,552,1
1815108996,6,7,24,361,489,1
1815108996,6,7,24,361,489,1
1815109133,6,6,9,296,396,0
1815109133,6,6,9,296,396,0
1815109218,2,10,21,371,440,1
1815109218,2,10,21,371,440,1
1815109421,6,4,23,503,572,1
1815109421,6,4,23,503,572,1
1815109957,3,9,11,356,506,0
1815109957,3,9,11,356,506,0
1815110866,10,3,19,475,440,1
1815110866,10,3,19,475,440,1
1815110973,9,7,18,385,449,1
1815110973,9,7,18,385,449,1
1815111331,15,6,19,461,569,1
1815111331,15,6,19,461,569,1
1815111397,1,5,8,290,256,0
1815111397,1,5,8,290,256,0
1815111850,7,1,16,506,430,1
1815111850,7,1,16,506,430,1
1815111993,5,4,11,449,452,1
1815111993,5,4,11,449,452,1
1815112241,5,9,16,393,575,0
1815112241,5,9,16,393,575,0
1815112502,16,6,9,549,696,1
1815112502,16,6,9,549,696,1
1815114197,4,9,10,309,470,0
1815114197,4,9,10,309,470,0
1815115377,5,8,25,415,559,0
1815115377,5,8,25,415,559,0
1815116473,3,9,19,406,463,1
1815116473,3,9,19,406,463,1
1815116786,7,2,23,540,566,1
1815116786,7,2,23,540,566,1
1815116993,6,11,16,379,455,1
1815116993,6,11,16,379,455,1
1815119466,4,7,8,249,218,0
1815119466,4,7,8,249,218,0
1815120129,2,5,27,437,584,1
1815120129,2,5,27,437,584,1
1815120240,10,3,5,392,390,0
1815120240,10,3,5,392,390,0
1815120963,9,3,15,468,580,1
1815120963,9,3,15,468,580,1
1815121797,4,8,8,281,358,0
1815121797,4,8,8,281,358,0
1815122517,8,9,10,349,439,0
1815122517,8,9,10,349,439,0
1815122976,2,12,15,302,404,0
1815122976,2,12,15,302,404,0
1815123046,10,4,18,491,505,1
1815123046,10,4,18,491,505,1
1815099235,4,6,11,352,503,0
1815099235,4,6,11,352,503,0
1815099284,7,1,24,507,593,1
1815099284,7,1,24,507,593,1
1815099800,2,7,4,306,300,0
1815099800,2,7,4,306,300,0
1815099829,14,10,15,485,624,1
1815099829,14,10,15,485,624,1
1815100570,7,10,15,322,464,0
1815100570,7,10,15,322,464,0
1815105492,4,6,12,437,465,1
1815105492,4,6,12,437,465,1
1815105849,8,14,20,374,505,1
1815105849,8,14,20,374,505,1
1815106737,7,3,22,363,496,1
1815106737,7,3,22,363,496,1
1815106983,1,10,20,253,387,0
1815106983,1,10,20,253,387,0
1815107696,1,1,1,577,354,1
1815107696,1,1,1,577,354,1
1815108591,1,5,4,334,432,0
1815108591,1,5,4,334,432,0
1815109212,5,9,10,394,438,0
1815109212,5,9,10,394,438,0
1815109279,6,10,10,390,505,0
1815109279,6,10,10,390,505,0
1815110405,4,4,20,326,509,0
1815110405,4,4,20,326,509,0
1815111011,7,5,13,549,623,1
1815111011,7,5,13,549,623,1
1815111407,0,11,11,365,482,0
1815111407,0,11,11,365,482,0
1815111531,10,8,12,588,609,1
1815111531,10,8,12,588,609,1
1815111642,9,8,19,343,574,0
1815111642,9,8,19,343,574,0
1815112217,8,7,12,329,365,0
1815112217,8,7,12,329,365,0
1815113127,0,12,9,213,226,0
1815113127,0,12,9,213,226,0
1815113386,0,8,5,274,336,0
1815113386,0,8,5,274,336,0
1815114101,4,10,15,295,367,0
1815114101,4,10,15,295,367,0
1815114221,0,5,3,399,500,0
1815114221,0,5,3,399,500,0
1815114631,9,8,7,396,476,0
1815114631,9,8,7,396,476,0
1815114988,0,9,17,232,319,0
1815114988,0,9,17,232,319,0
1815116050,6,8,25,433,405,1
1815116050,6,8,25,433,405,1
1815116153,0,0,0,213,31,1
1815116153,0,0,0,213,31,1
1815116678,6,9,17,434,560,1
1815116678,6,9,17,434,560,1
1815117052,5,9,12,343,354,1
1815117052,5,9,12,343,354,1
1815117486,1,9,9,251,288,0
1815117486,1,9,9,251,288,0
1815117993,2,10,2,333,386,0
1815117993,2,10,2,333,386,0
1815118236,10,5,33,415,454,1
1815118236,10,5,33,415,454,1
1815118317,9,3,11,450,621,1
1815118317,9,3,11,450,621,1
1815118620,6,6,11,270,353,0
1815118620,6,6,11,270,353,0
1815119165,3,10,25,306,426,1
1815119165,3,10,25,306,426,1
1815119227,5,6,15,360,480,1
1815119227,5,6,15,360,480,1
1815119449,4,11,18,345,516,0
1815119449,4,11,18,345,516,0
1815119531,6,17,19,342,441,0
1815119531,6,17,19,342,441,0
1815119696,1,10,6,286,327,0
1815119696,1,10,6,286,327,0
1815119740,2,6,0,195,160,0
1815119740,2,6,0,195,160,0
1815119944,5,9,4,319,385,0
1815119944,5,9,4,319,385,0
1815120269,8,5,5,518,525,1
1815120269,8,5,5,518,525,1
1815120942,15,2,25,506,700,1
1815120942,15,2,25,506,700,1
1815121288,12,11,21,494,629,1
1815121288,12,11,21,494,629,1
1815121460,2,11,15,362,506,1
1815121460,2,11,15,362,506,1
1815121539,5,6,25,422,592,0
1815121539,5,6,25,422,592,0
1815121626,9,13,10,317,356,0
1815121626,9,13,10,317,356,0
1815121779,2,13,8,363,473,0
1815121779,2,13,8,363,473,0
1815122593,2,13,10,302,382,1
1815122593,2,13,10,302,382,1
1815123307,3,12,9,271,347,0
1815123307,3,12,9,271,347,0
1815098714,5,0,11,529,483,1
1815098714,5,0,11,529,483,1
1815098761,0,7,7,250,280,1
1815098761,0,7,7,250,280,1
1815098762,0,4,10,382,446,1
1815098762,0,4,10,382,446,1
1815098841,5,16,19,325,419,0
1815098841,5,16,19,325,419,0
1815098843,4,11,17,304,380,0
1815098843,4,11,17,304,380,0
1815099034,10,9,14,411,518,1
1815099034,10,9,14,411,518,1
1815099149,0,13,26,371,474,1
1815099149,0,13,26,371,474,1
1815099437,9,8,23,411,550,1
1815099437,9,8,23,411,550,1
1815099530,4,10,12,306,420,0
1815099530,4,10,12,306,420,0
1815099746,2,9,3,204,186,0
1815099746,2,9,3,204,186,0
1815099799,8,8,14,367,401,0
1815099799,8,8,14,367,401,0
1815099830,7,9,17,387,465,1
1815099830,7,9,17,387,465,1
1815100200,7,5,16,400,444,1
1815100200,7,5,16,400,444,1
1815100287,2,7,7,280,339,0
1815100287,2,7,7,280,339,0
1815100327,13,8,30,483,599,1
1815100327,13,8,30,483,599,1
1815100543,2,11,7,291,372,0
1815100543,2,11,7,291,372,0
1815100722,3,7,2,308,387,0
1815100722,3,7,2,308,387,0
1815100736,10,12,20,449,511,1
1815100736,10,12,20,449,511,1
1815100745,27,9,12,683,569,1
1815100745,27,9,12,683,569,1
1815100821,4,4,22,458,624,1
1815100821,4,4,22,458,624,1
1815105199,14,7,14,463,607,1
1815105199,14,7,14,463,607,1
1815105400,5,11,14,339,445,0
1815105400,5,11,14,339,445,0
1815105483,11,4,28,453,616,1
1815105483,11,4,28,453,616,1
1815105688,4,10,8,402,484,1
1815105688,4,10,8,402,484,1
1815105707,5,5,12,435,410,1
1815105707,5,5,12,435,410,1
1815105733,10,18,17,384,521,0
1815105733,10,18,17,384,521,0
1815105743,3,10,2,271,249,0
1815105743,3,10,2,271,249,0
1815105852,8,2,14,411,482,1
1815105852,8,2,14,411,482,1
1815106622,5,16,12,277,320,0
1815106622,5,16,12,277,320,0
1815106802,5,3,10,413,472,1
1815106802,5,3,10,413,472,1
1815107102,12,13,19,400,461,0
1815107102,12,13,19,400,461,0
1815107136,11,2,23,639,725,1
1815107136,11,2,23,639,725,1
1815107280,6,12,14,295,353,0
1815107280,6,12,14,295,353,0
1815107495,8,13,12,372,413,1
1815107495,8,13,12,372,413,1
