id,k,d,a,gpm,xpm,win
1815100576,0,0,0,604,174,0
1815100576,0,0,0,604,174,0
1815105786,6,9,7,401,418,0
1815105786,6,9,7,401,418,0
1815105820,1,6,2,224,122,1
1815105820,1,6,2,224,122,1
1815107582,1,3,8,513,509,1
1815107582,1,3,8,513,509,1
1815108505,1,4,7,438,550,0
1815108505,1,4,7,438,550,0
1815109300,11,14,26,606,585,1
1815109300,11,14,26,606,585,1
1815109621,10,6,9,560,488,1
1815109621,10,6,9,560,488,1
1815111198,15,3,9,955,795,1
1815111198,15,3,9,955,795,1
1815111609,0,6,7,374,465,0
1815111609,0,6,7,374,465,0
1815113471,12,9,21,549,557,1
1815113471,12,9,21,549,557,1
1815115149,5,0,12,581,705,1
1815115149,5,0,12,581,705,1
1815115412,1,9,9,380,454,1
1815115412,1,9,9,380,454,1
1815116088,1,5,5,330,385,0
1815116088,1,5,5,330,385,0
1815117316,5,7,19,435,602,0
1815117316,5,7,19,435,602,0
1815117362,5,7,18,515,681,0
1815117362,5,7,18,515,681,0
1815118466,6,1,9,567,502,1
1815118466,6,1,9,567,502,1
1815118822,2,6,8,347,528,0
1815118822,2,6,8,347,528,0
1815120131,10,0,10,698,680,1
1815120131,10,0,10,698,680,1
1815120240,7,2,16,527,569,1
1815120240,7,2,16,527,569,1
1815122718,3,7,27,413,572,1
1815122718,3,7,27,413,572,1
1815122917,7,10,8,522,529,1
1815122917,7,10,8,522,529,1
1815123044,3,6,12,484,555,0
1815123044,3,6,12,484,555,0
1815098821,4,6,7,400,508,0
1815098821,4,6,7,400,508,0
1815107377,2,6,10,423,495,0
1815107377,2,6,10,423,495,0
1815109048,7,7,12,564,617,1
1815109048,7,7,12,564,617,1
1815110104,1,10,7,319,384,0
1815110104,1,10,7,319,384,0
1815110763,4,8,13,486,644,0
1815110763,4,8,13,486,644,0
1815111570,6,3,11,541,611,1
1815111570,6,3,11,541,611,1
1815112622,3,11,8,370,400,0
1815112622,3,11,8,370,400,0
1815117485,6,8,23,506,544,0
1815117485,6,8,23,506,544,0
1815117486,8,4,12,593,666,1
1815117486,8,4,12,593,666,1
1815117497,10,2,19,591,617,1
1815117497,10,2,19,591,617,1
1815117659,3,7,6,342,347,0
1815117659,3,7,6,342,347,0
1815117702,2,5,4,428,518,0
1815117702,2,5,4,428,518,0
1815118251,1,2,2,553,510,1
1815118251,1,2,2,553,510,1
1815118856,16,9,29,630,350,1
1815118856,16,9,29,630,350,1
1815121187,3,5,6,380,416,0
1815121187,3,5,6,380,416,0
1815098693,11,13,10,483,623,0
1815098693,11,13,10,483,623,0
1815098941,6,11,11,324,397,0
1815098941,6,11,11,324,397,0
1815098983,5,3,14,566,635,1
1815098983,5,3,14,566,635,1
1815099126,0,11,5,260,299,0
1815099126,0,11,5,260,299,0
1815099338,0,6,1,141,49,0
1815099338,0,6,1,141,49,0
1815099339,0,11,3,240,266,0
1815099339,0,11,3,240,266,0
1815099369,0,6,0,161,186,0
1815099369,0,6,0,161,186,0
1815099755,2,7,6,396,432,1
1815099755,2,7,6,396,432,1
1815100069,1,0,6,442,356,1
1815100069,1,0,6,442,356,1
1815100655,6,6,8,332,375,0
1815100655,6,6,8,332,375,0
1815100712,8,12,14,379,394,0
1815100712,8,12,14,379,394,0
1815105167,1,9,6,379,481,0
1815105167,1,9,6,379,481,0
1815105501,4,1,11,547,573,1
1815105501,4,1,11,547,573,1
1815105630,5,7,18,450,563,1
1815105630,5,7,18,450,563,1
1815105681,7,1,10,605,624,1
1815105681,7,1,10,605,624,1
1815105742,0,8,6,279,281,0
1815105742,0,8,6,279,281,0
1815105864,3,12,6,322,356,0
1815105864,3,12,6,322,356,0
1815106272,3,7,7,431,415,1
1815106272,3,7,7,431,415,1
1815106300,5,2,8,387,532,0
1815106300,5,2,8,387,532,0
1815106411,4,2,10,571,666,1
1815106411,4,2,10,571,666,1
1815106904,8,8,13,483,638,0
1815106904,8,8,13,483,638,0
1815106915,7,7,12,420,605,0
1815106915,7,7,12,420,605,0
1815107704,3,4,16,470,455,1
1815107704,3,4,16,470,455,1
1815107849,4,2,12,600,626,1
1815107849,4,2,12,600,626,1
1815107919,8,8,20,470,577,1
1815107919,8,8,20,470,577,1
1815108004,5,13,18,376,496,0
1815108004,5,13,18,376,496,0
1815108082,3,8,4,414,521,0
1815108082,3,8,4,414,521,0
1815108116,3,6,11,325,380,0
1815108116,3,6,11,325,380,0
1815108150,0,8,4,199,206,0
1815108150,0,8,4,199,206,0
1815108550,15,3,15,692,854,1
1815108550,15,3,15,692,854,1
1815108818,5,7,7,368,435,0
1815108818,5,7,7,368,435,0
1815109013,10,10,15,444,547,0
1815109013,10,10,15,444,547,0
1815109097,7,2,10,552,538,1
1815109097,7,2,10,552,538,1
1815109241,3,4,17,448,556,1
1815109241,3,4,17,448,556,1
1815109443,9,11,10,462,545,0
1815109443,9,11,10,462,545,0
1815109484,2,8,12,504,602,0
1815109484,2,8,12,504,602,0
1815109781,2,10,8,327,348,0
