id,k,d,a,gpm,xpm,win
1815099098,8,3,12,611,747,1
1815099098,8,3,12,611,747,1
1815099515,7,7,6,619,825,1
1815099515,7,7,6,619,825,1
1815100763,4,8,8,405,609,0
1815100763,4,8,8,405,609,0
1815100823,3,6,3,332,472,0
1815100823,3,6,3,332,472,0
1815105820,7,15,5,411,510,0
1815105820,7,15,5,411,510,0
1815106472,3,12,4,294,458,0
1815106472,3,12,4,294,458,0
1815107813,1,6,5,277,397,0
1815107813,1,6,5,277,397,0
1815108036,4,9,5,390,619,0
1815108036,4,9,5,390,619,0
1815109047,9,10,12,473,651,1
1815109047,9,10,12,473,651,1
1815109238,1,13,8,454,571,0
1815109238,1,13,8,454,571,0
1815109885,5,9,2,396,646,0
1815109885,5,9,2,396,646,0
1815111397,3,4,1,393,614,0
1815111397,3,4,1,393,614,0
1815111853,25,3,5,972,1320,1
1815111853,25,3,5,972,1320,1
1815113474,4,11,6,279,437,0
1815113474,4,11,6,279,437,0
1815114228,10,6,7,755,1000,1
1815114228,10,6,7,755,1000,1
1815114784,15,9,18,496,750,1
1815114784,15,9,18,496,750,1
1815115117,17,3,2,814,1164,1
1815115117,17,3,2,814,1164,1
1815116051,3,8,5,379,348,0
1815116051,3,8,5,379,348,0
1815117139,2,8,2,344,543,0
1815117139,2,8,2,344,543,0
1815117969,1,2,0,159,92,0
1815117969,1,2,0,159,92,0
1815118124,22,6,9,706,737,1
1815118124,22,6,9,706,737,1
1815118138,4,20,9,399,558,0
1815118138,4,20,9,399,558,0
1815118469,8,9,10,458,783,0
1815118469,8,9,10,458,783,0
1815119343,7,4,6,622,751,1
1815119343,7,4,6,622,751,1
1815121346,5,8,5,437,613,0
1815121346,5,8,5,437,613,0
1815123044,9,13,12,371,472,0
1815123044,9,13,12,371,472,0
1815099273,2,9,9,389,503,1
1815099273,2,9,9,389,503,1
1815108506,7,11,13,535,753,1
1815108506,7,11,13,535,753,1
1815108574,8,5,6,637,878,1
1815108574,8,5,6,637,878,1
1815109592,14,6,8,660,716,1
1815109592,14,6,8,660,716,1
1815114159,19,10,11,650,635,1
1815114159,19,10,11,650,635,1
1815116050,17,3,8,683,786,1
1815116050,17,3,8,683,786,1
1815098683,1,6,2,204,248,0
1815098683,1,6,2,204,248,0
1815098760,4,14,10,314,554,0
1815098760,4,14,10,314,554,0
1815098762,10,7,9,334,561,0
1815098762,10,7,9,334,561,0
1815098917,12,15,3,453,634,0
1815098917,12,15,3,453,634,0
1815099231,15,12,15,465,665,0
1815099231,15,12,15,465,665,0
1815099382,2,9,2,297,426,0
1815099382,2,9,2,297,426,0
1815099780,10,6,12,447,747,1
1815099780,10,6,12,447,747,1
1815099958,27,4,9,621,676,1
1815099958,27,4,9,621,676,1
1815100178,23,7,6,624,634,1
1815100178,23,7,6,624,634,1
1815100305,6,12,12,429,575,0
1815100305,6,12,12,429,575,0
1815100316,5,1,4,479,578,1
1815100316,5,1,4,479,578,1
1815105167,7,9,8,410,607,0
1815105167,7,9,8,410,607,0
1815105244,3,10,3,321,392,0
1815105244,3,10,3,321,392,0
1815105397,4,14,16,476,741,1
