id,k,d,a,gpm,xpm,win
1815099214,4,4,7,325,309,1
1815099214,4,4,7,325,309,1
1815100024,1,3,2,219,132,0
1815100024,1,3,2,219,132,0
1815100592,1,10,3,320,341,0
1815100592,1,10,3,320,341,0
1815100758,3,7,3,245,299,0
1815100758,3,7,3,245,299,0
1815105360,4,9,6,277,317,0
1815105360,4,9,6,277,317,0
1815105385,8,0,20,444,498,1
1815105385,8,0,20,444,498,1
1815105880,14,18,17,336,404,0
1815105880,14,18,17,336,404,0
1815106472,2,17,15,302,252,0
1815106472,2,17,15,302,252,0
1815106528,1,9,20,238,310,0
1815106528,1,9,20,238,310,0
1815106653,3,4,12,302,436,0
1815106653,3,4,12,302,436,0
1815106805,3,13,12,279,286,0
1815106805,3,13,12,279,286,0
1815106976,7,11,14,338,325,1
1815106976,7,11,14,338,325,1
1815107582,4,8,4,365,307,0
1815107582,4,8,4,365,307,0
1815108454,2,7,17,286,271,1
1815108454,2,7,17,286,271,1
1815108872,2,3,6,412,387,1
1815108872,2,3,6,412,387,1
1815109047,11,9,26,327,449,0
1815109047,11,9,26,327,449,0
1815109435,9,11,15,330,420,0
1815109435,9,11,15,330,420,0
1815109442,1,3,4,216,233,0
1815109442,1,3,4,216,233,0
1815109632,6,4,13,392,423,1
1815109632,6,4,13,392,423,1
1815109854,3,7,13,267,283,0
1815109854,3,7,13,267,283,0
1815110072,6,7,15,419,482,1
1815110072,6,7,15,419,482,1
1815110242,9,5,15,455,523,1
1815110242,9,5,15,455,523,1
1815110311,11,8,9,359,364,0
1815110311,11,8,9,359,364,0
1815110973,8,7,17,470,586,0
1815110973,8,7,17,470,586,0
1815111010,5,6,23,397,542,1
1815111010,5,6,23,397,542,1
1815111331,2,5,23,326,454,1
1815111331,2,5,23,326,454,1
1815111443,4,4,24,359,445,1
1815111443,4,4,24,359,445,1
1815111494,4,6,8,207,241,0
1815111494,4,6,8,207,241,0
1815111609,9,3,13,429,532,1
1815111609,9,3,13,429,532,1
1815111850,3,4,14,376,268,1
1815111850,3,4,14,376,268,1
1815112755,3,11,4,210,208,0
1815112755,3,11,4,210,208,0
1815113186,8,0,12,528,463,1
1815113186,8,0,12,528,463,1
1815113474,8,6,11,376,461,0
1815113474,8,6,11,376,461,0
1815113791,1,6,5,261,339,0
1815113791,1,6,5,261,339,0
1815114765,7,5,7,388,388,1
1815114765,7,5,7,388,388,1
