id,k,d,a,gpm,xpm,win
1815098804,8,6,27,550,604,1
1815098804,8,6,27,550,604,1
1815100576,0,2,1,335,98,1
1815100576,0,2,1,335,98,1
1815105547,3,9,26,332,377,1
1815105547,3,9,26,332,377,1
1815105760,10,5,25,389,379,1
1815105760,10,5,25,389,379,1
1815106122,14,8,18,460,522,1
1815106122,14,8,18,460,522,1
1815106540,8,8,20,428,469,1
1815106540,8,8,20,428,469,1
1815107293,7,12,15,352,399,0
1815107293,7,12,15,352,399,0
1815107492,11,8,25,443,565,0
1815107492,11,8,25,443,565,0
1815107813,14,4,8,555,530,1
1815107813,14,4,8,555,530,1
1815108703,10,12,27,376,389,1
1815108703,10,12,27,376,389,1
1815109238,7,11,19,305,346,0
1815109238,7,11,19,305,346,0
1815109255,6,3,17,371,390,1
1815109255,6,3,17,371,390,1
1815109300,17,16,31,516,590,1
1815109300,17,16,31,516,590,1
1815109513,11,6,14,522,376,1
1815109513,11,6,14,522,376,1
1815109596,5,3,18,437,413,1
1815109596,5,3,18,437,413,1
1815111124,4,15,9,313,310,0
1815111124,4,15,9,313,310,0
1815111594,7,12,6,401,385,0
1815111594,7,12,6,401,385,0
1815112349,5,5,5,300,379,0
1815112349,5,5,5,300,379,0
1815112715,12,15,14,318,435,0
1815112715,12,15,14,318,435,0
1815112755,8,14,16,473,597,0
1815112755,8,14,16,473,597,0
1815113029,25,17,11,453,589,0
1815113029,25,17,11,453,589,0
1815114542,7,7,13,455,458,1
1815114542,7,7,13,455,458,1
1815116088,6,5,9,368,333,1
1815116088,6,5,9,368,333,1
1815116224,9,14,47,413,598,1
1815116224,9,14,47,413,598,1
1815116473,6,9,7,346,361,0
1815116473,6,9,7,346,361,0
1815117362,4,9,21,280,287,1
1815117362,4,9,21,280,287,1
1815118115,5,12,11,259,310,0
1815118115,5,12,11,259,310,0
1815118123,0,0,0,103,7,0
1815118123,0,0,0,103,7,0
1815118441,6,6,21,467,571,1
1815118441,6,6,21,467,571,1
1815118469,9,7,14,390,420,0
1815118469,9,7,14,390,420,0
1815118822,1,15,6,206,238,0
1815118822,1,15,6,206,238,0
1815119712,5,7,3,306,300,0
1815119712,5,7,3,306,300,0
1815122718,11,10,23,406,501,0
1815122718,11,10,23,406,501,0
1815098882,10,9,4,391,455,0
1815098882,10,9,4,391,455,0
1815098910,18,12,19,446,559,0
1815098910,18,12,19,446,559,0
1815099509,6,2,14,485,424,1
1815099509,6,2,14,485,424,1
1815099716,7,4,22,416,419,1
1815099716,7,4,22,416,419,1
1815099730,3,10,6,241,211,0
1815099730,3,10,6,241,211,0
1815100043,1,9,5,207,235,0
1815100043,1,9,5,207,235,0
1815100247,11,7,20,437,441,1
1815100247,11,7,20,437,441,1
1815100590,6,5,24,372,439,1
1815100590,6,5,24,372,439,1
1815105263,5,18,14,330,459,0
1815105263,5,18,14,330,459,0
1815105267,6,9,10,352,325,0
1815105267,6,9,10,352,325,0
1815106602,18,6,25,511,550,1
1815106602,18,6,25,511,550,1
1815106780,1,5,8,246,238,0
1815106780,1,5,8,246,238,0
1815107030,7,7,17,337,283,1
1815107030,7,7,17,337,283,1
1815107985,6,3,12,477,448,1
1815107985,6,3,12,477,448,1
1815108428,5,9,8,275,287,0
1815108428,5,9,8,275,287,0
1815108573,8,6,5,476,676,0
1815108573,8,6,5,476,676,0
1815108631,7,6,26,429,440,1
1815108631,7,6,26,429,440,1
1815109153,8,6,12,482,502,1
1815109153,8,6,12,482,502,1
1815109279,6,7,20,354,369,1
1815109279,6,7,20,354,369,1
1815109387,3,9,21,311,299,1
1815109387,3,9,21,311,299,1
1815109555,6,6,18,429,448,1
1815109555,6,6,18,429,448,1
1815110271,4,10,9,290,374,0
1815110271,4,10,9,290,374,0
1815112787,5,11,9,296,314,0
1815112787,5,11,9,296,314,0
1815113787,3,4,22,399,324,1
1815113787,3,4,22,399,324,1
1815113808,6,6,15,303,351,0
1815113808,6,6,15,303,351,0
1815115545,0,8,3,256,137,0
1815115545,0,8,3,256,137,0
1815116450,12,13,22,378,402,1
1815116450,12,13,22,378,402,1
1815116918,5,14,9,401,526,0
1815116918,5,14,9,401,526,0
1815117217,5,15,7,281,230,0
1815117217,5,15,7,281,230,0
1815118251,10,1,11,479,445,1
1815118251,10,1,11,479,445,1
1815118486,18,13,13,570,560,1
1815118486,18,13,13,570,560,1
1815118588,12,1,18,515,580,1
1815118588,12,1,18,515,580,1
1815118620,5,3,17,331,389,1
1815118620,5,3,17,331,389,1
1815118946,14,6,10,412,528,0
1815118946,14,6,10,412,528,0
1815119696,9,6,9,622,627,1
1815119696,9,6,9,622,627,1
1815119927,8,9,24,383,507,0
1815119927,8,9,24,383,507,0
1815119944,11,2,23,474,612,1
1815119944,11,2,23,474,612,1
1815121435,15,13,14,435,528,0
1815121435,15,13,14,435,528,0
1815121606,12,8,22,380,462,0
1815121606,12,8,22,380,462,0
1815121798,7,11,16,396,397,1
1815121798,7,11,16,396,397,1
1815122392,2,7,8,310,262,1
1815122392,2,7,8,310,262,1
1815122402,7,6,18,385,487,1
1815122402,7,6,18,385,487,1
1815098711,6,10,11,337,381,0
1815098711,6,10,11,337,381,0
1815098716,9,4,23,397,456,1
1815098716,9,4,23,397,456,1
1815098744,17,6,10,494,549,0
1815098744,17,6,10,494,549,0
1815098761,0,9,3,281,305,0
1815098761,0,9,3,281,305,0
1815098852,12,5,22,579,618,1
1815098852,12,5,22,579,618,1
1815098899,6,5,6,305,418,0
1815098899,6,5,6,305,418,0
1815098983,5,8,16,328,377,1
1815098983,5,8,16,328,377,1
