id,k,d,a,gpm,xpm,win
1815105368,7,12,10,323,428,0
1815105368,7,12,10,323,428,0
1815105821,7,7,6,368,323,0
1815105821,7,7,6,368,323,0
1815108500,5,3,18,354,465,1
1815108500,5,3,18,354,465,1
1815109047,3,13,14,306,391,1
1815109047,3,13,14,306,391,1
1815109717,14,10,12,375,553,0
1815109717,14,10,12,375,553,0
1815110203,6,11,17,394,464,1
1815110203,6,11,17,394,464,1
1815110311,10,5,14,402,495,1
1815110311,10,5,14,402,495,1
1815112241,6,8,21,347,491,0
1815112241,6,8,21,347,491,0
1815112250,16,2,23,477,654,1
1815112250,16,2,23,477,654,1
1815113063,2,6,21,309,366,1
1815113063,2,6,21,309,366,1
1815113791,8,11,8,298,326,0
1815113791,8,11,8,298,326,0
1815114180,11,1,5,457,458,1
1815114180,11,1,5,457,458,1
1815116088,9,9,5,344,508,0
1815116088,9,9,5,344,508,0
1815117120,3,12,7,336,433,0
1815117120,3,12,7,336,433,0
1815117362,13,8,11,354,445,0
1815117362,13,8,11,354,445,0
1815117882,10,4,14,510,537,1
1815117882,10,4,14,510,537,1
1815118155,14,11,17,355,603,0
1815118155,14,11,17,355,603,0
1815118564,5,10,7,282,332,0
1815118564,5,10,7,282,332,0
1815118857,4,13,11,235,264,0
1815118857,4,13,11,235,264,0
1815119343,6,2,7,439,331,1
1815119343,6,2,7,439,331,1
1815119376,4,7,18,345,370,1
1815119376,4,7,18,345,370,1
1815120132,2,5,11,220,242,0
1815120132,2,5,11,220,242,0
1815120865,9,6,13,433,545,1
1815120865,9,6,13,433,545,1
1815122414,8,5,24,396,502,1
1815122414,8,5,24,396,502,1
1815122435,8,2,15,452,575,1
1815122435,8,2,15,452,575,1
1815098739,19,11,7,445,566,1
1815098739,19,11,7,445,566,1
1815098910,9,12,10,316,450,0
1815098910,9,12,10,316,450,0
1815099545,5,7,16,349,377,1
1815099545,5,7,16,349,377,1
1815100556,4,11,18,356,427,1
1815100556,4,11,18,356,427,1
1815105356,17,8,16,478,557,1
1815105356,17,8,16,478,557,1
1815105398,13,11,13,378,497,0
1815105398,13,11,13,378,497,0
1815107377,7,6,13,372,442,1
1815107377,7,6,13,372,442,1
1815108428,11,5,9,449,403,1
1815108428,11,5,9,449,403,1
1815109470,16,8,6,461,595,0
1815109470,16,8,6,461,595,0
1815110559,5,5,22,389,445,1
1815110559,5,5,22,389,445,1
1815111998,9,6,8,427,544,1
1815111998,9,6,8,427,544,1
1815112230,14,9,10,431,629,0
1815112230,14,9,10,431,629,0
1815112785,5,6,10,359,379,1
1815112785,5,6,10,359,379,1
1815113833,10,13,25,341,509,1
1815113833,10,13,25,341,509,1
1815114631,14,3,12,518,653,1
1815114631,14,3,12,518,653,1
1815115049,10,9,9,392,483,1
1815115049,10,9,9,392,483,1
1815115632,2,3,10,289,333,1
1815115632,2,3,10,289,333,1
1815117702,6,12,4,306,353,0
1815117702,6,12,4,306,353,0
1815118856,17,18,16,296,349,0
1815118856,17,18,16,296,349,0
1815118946,3,11,13,251,307,0
1815118946,3,11,13,251,307,0
1815122113,5,9,17,308,492,0
1815122113,5,9,17,308,492,0
1815122837,5,8,17,294,348,1
1815122837,5,8,17,294,348,1
1815098917,6,13,20,350,403,1
1815098917,6,13,20,350,403,1
1815099061,11,8,8,400,485,0
1815099061,11,8,8,400,485,0
1815099231,12,13,18,381,475,0
1815099231,12,13,18,381,475,0
1815099234,15,8,17,382,389,1
1815099234,15,8,17,382,389,1
1815099263,4,8,24,383,489,1
1815099263,4,8,24,383,489,1
1815099397,16,0,7,474,689,1
1815099397,16,0,7,474,689,1
1815099415,6,7,16,287,405,0
1815099415,6,7,16,287,405,0
1815099538,14,11,12,366,557,0
1815099538,14,11,12,366,557,0
1815099896,6,7,16,375,454,1
1815099896,6,7,16,375,454,1
1815099897,23,13,12,395,609,0
1815099897,23,13,12,395,609,0
1815099935,10,9,16,334,437,1
1815099935,10,9,16,334,437,1
1815099958,16,3,14,436,466,1
1815099958,16,3,14,436,466,1
1815100266,5,8,7,302,361,0
1815100266,5,8,7,302,361,0
1815100575,0,3,1,203,113,0
1815100575,0,3,1,203,113,0
1815105578,1,8,19,350,466,1
1815105578,1,8,19,350,466,1
1815105742,4,11,3,280,328,0
1815105742,4,11,3,280,328,0
1815105834,10,12,10,354,373,1
1815105834,10,12,10,354,373,1
1815105890,6,9,8,276,288,1
1815105890,6,9,8,276,288,1
1815106145,2,11,2,244,264,0
1815106145,2,11,2,244,264,0
1815106243,13,8,11,432,592,1
1815106243,13,8,11,432,592,1
1815106370,6,8,12,239,270,0
1815106370,6,8,12,239,270,0
1815106411,9,7,11,315,412,0
1815106411,9,7,11,315,412,0
1815106421,2,8,26,289,507,1
1815106421,2,8,26,289,507,1
1815106467,9,8,10,363,456,1
1815106467,9,8,10,363,456,1
1815106944,16,7,13,391,568,0
1815106944,16,7,13,391,568,0
1815107313,6,13,3,281,277,1
1815107313,6,13,3,281,277,1
1815107645,2,8,6,265,319,0
1815107645,2,8,6,265,319,0
1815107708,8,13,13,353,584,0
1815107708,8,13,13,353,584,0
1815107795,4,4,11,318,425,1
1815107795,4,4,11,318,425,1
1815107972,11,9,9,370,535,0
1815107972,11,9,9,370,535,0
1815107989,10,10,11,366,481,1
1815107989,10,10,11,366,481,1
1815108027,15,7,5,368,584,0
1815108027,15,7,5,368,584,0
1815108353,13,6,30,439,626,1
1815108353,13,6,30,439,626,1
1815108384,5,11,20,390,449,0
1815108384,5,11,20,390,449,0
1815109066,12,5,9,437,503,1
1815109066,12,5,9,437,503,1
1815109172,10,9,4,325,441,1
1815109172,10,9,4,325,441,1
1815109175,11,16,13,343,524,0
1815109175,11,16,13,343,524,0
1815109276,15,2,12,354,506,1
1815109276,15,2,12,354,506,1
1815109531,6,13,3,241,243,0
1815109531,6,13,3,241,243,0
1815109624,32,11,17,411,563,0
1815109624,32,11,17,411,563,0
1815109658,8,13,10,365,553,0
1815109658,8,13,10,365,553,0
1815109946,3,5,6,273,331,0
1815109946,3,5,6,273,331,0
1815110129,2,9,0,274,249,0
1815110129,2,9,0,274,249,0
1815110323,4,11,14,276,332,0
1815110323,4,11,14,276,332,0
1815110489,7,4,11,285,415,0
1815110489,7,4,11,285,415,0
1815110492,0,2,2,170,82,1
1815110492,0,2,2,170,82,1
1815110547,12,6,14,368,420,1
1815110547,12,6,14,368,420,1
1815110658,11,9,15,358,479,1
1815110658,11,9,15,358,479,1
1815110974,13,9,24,373,603,1
1815110974,13,9,24,373,603,1
1815111151,13,7,12,399,541,1
1815111151,13,7,12,399,541,1
1815111320,11,11,3,297,498,0
1815111320,11,11,3,297,498,0
1815111323,8,9,14,300,372,0
1815111323,8,9,14,300,372,0
1815111353,12,10,7,623,526,0
1815111353,12,10,7,623,526,0
1815111504,7,14,13,306,356,1
1815111504,7,14,13,306,356,1
1815111781,22,7,18,445,635,1
1815111781,22,7,18,445,635,1
1815111926,11,3,8,383,458,1
1815111926,11,3,8,383,458,1
1815111997,18,10,18,473,623,1
1815111997,18,10,18,473,623,1
1815112078,17,10,12,452,654,1
1815112078,17,10,12,452,654,1
1815112470,20,12,17,459,512,1
1815112470,20,12,17,459,512,1
1815112789,10,4,11,428,503,1
1815112789,10,4,11,428,503,1
1815112818,15,11,25,406,582,1
1815112818,15,11,25,406,582,1
1815113162,14,10,9,340,448,1
1815113162,14,10,9,340,448,1
1815113805,1,13,4,246,278,0
1815113805,1,13,4,246,278,0
1815113897,17,8,13,483,595,0
1815113897,17,8,13,483,595,0
1815114014,9,10,8,286,335,0
1815114014,9,10,8,286,335,0
1815114128,3,16,6,291,293,1
1815114128,3,16,6,291,293,1
1815114208,17,11,5,411,587,0
1815114208,17,11,5,411,587,0
1815114212,11,18,17,302,365,0
1815114212,11,18,17,302,365,0
1815114222,5,6,10,226,301,0
1815114222,5,6,10,226,301,0
1815114416,3,11,9,273,270,0
1815114416,3,11,9,273,270,0
1815114691,9,3,10,397,452,1
1815114691,9,3,10,397,452,1
1815114798,14,5,8,385,475,1
1815114798,14,5,8,385,475,1
1815114828,5,4,11,315,449,1
1815114828,5,4,11,315,449,1
1815114973,0,6,3,175,192,0
1815114973,0,6,3,175,192,0
1815115477,4,15,10,269,369,0
1815115477,4,15,10,269,369,0
1815115638,5,6,13,322,352,1
1815115638,5,6,13,322,352,1
1815115770,7,9,19,304,487,0
1815115770,7,9,19,304,487,0
1815116180,15,12,9,327,493,0
1815116180,15,12,9,327,493,0
1815116236,4,11,13,314,383,0
1815116236,4,11,13,314,383,0
1815116408,7,11,24,419,648,1
1815116408,7,11,24,419,648,1
1815116424,2,9,1,195,225,0
