id,k,d,a,gpm,xpm,win
1815105880,16,11,17,419,560,0
1815105880,16,11,17,419,560,0
1815106653,21,8,9,536,564,1
1815106653,21,8,9,536,564,1
1815106976,6,10,12,396,653,0
1815106976,6,10,12,396,653,0
1815107293,17,12,10,518,660,0
1815107293,17,12,10,518,660,0
1815107582,12,4,5,510,384,1
1815107582,12,4,5,510,384,1
1815108703,6,9,24,420,505,1
1815108703,6,9,24,420,505,1
1815114228,6,6,7,365,478,0
1815114228,6,6,7,365,478,0
1815116508,9,8,16,447,486,1
1815116508,9,8,16,447,486,1
1815119958,4,9,7,294,371,0
1815119958,4,9,7,294,371,0
1815122435,6,4,5,525,506,1
1815122435,6,4,5,525,506,1
1815122714,9,5,16,432,517,1
1815122714,9,5,16,432,517,1
1815098882,6,5,5,383,509,0
1815098882,6,5,5,383,509,0
1815106780,8,4,4,471,327,1
1815106780,8,4,4,471,327,1
1815107318,13,11,7,450,560,0
1815107318,13,11,7,450,560,0
1815114387,1,9,13,366,414,1
1815114387,1,9,13,366,414,1
1815117702,17,7,10,549,563,1
1815117702,17,7,10,549,563,1
1815119203,7,10,7,339,355,0
1815119203,7,10,7,339,355,0
1815119944,7,6,9,557,710,1
1815119944,7,6,9,557,710,1
1815122489,3,10,5,255,342,0
1815122489,3,10,5,255,342,0
1815099020,8,7,13,420,479,1
1815099020,8,7,13,420,479,1
1815099074,1,12,2,205,203,0
1815099074,1,12,2,205,203,0
1815099148,24,10,12,591,649,1
1815099148,24,10,12,591,649,1
1815099150,4,11,11,278,370,0
1815099150,4,11,11,278,370,0
1815099234,18,5,16,482,559,1
1815099234,18,5,16,482,559,1
1815099512,12,14,16,412,520,1
1815099512,12,14,16,412,520,1
1815099862,9,14,13,345,368,1
1815099862,9,14,13,345,368,1
1815099993,9,6,9,417,412,1
1815099993,9,6,9,417,412,1
1815100200,0,10,4,175,179,0
1815100200,0,10,4,175,179,0
1815100245,7,12,7,331,378,0
1815100245,7,12,7,331,378,0
1815100264,9,15,8,383,489,0
1815100264,9,15,8,383,489,0
1815100462,8,6,7,341,358,1
1815100462,8,6,7,341,358,1
1815100524,12,11,22,425,437,1
1815100524,12,11,22,425,437,1
1815100745,7,19,10,331,409,0
1815100745,7,19,10,331,409,0
1815105628,6,16,8,361,462,0
1815105628,6,16,8,361,462,0
1815105893,0,16,3,175,214,0
1815105893,0,16,3,175,214,0
1815106145,5,6,5,284,300,0
1815106145,5,6,5,284,300,0
1815106272,5,12,7,305,360,0
1815106272,5,12,7,305,360,0
1815106473,6,7,11,391,443,1
1815106473,6,7,11,391,443,1
1815106553,14,8,8,426,487,1
1815106553,14,8,8,426,487,1
1815106592,10,13,9,302,342,0
1815106592,10,13,9,302,342,0
1815106618,12,7,19,542,527,1
1815106618,12,7,19,542,527,1
1815106663,0,4,0,195,188,0
1815106663,0,4,0,195,188,0
1815106790,7,8,8,371,443,0
1815106790,7,8,8,371,443,0
1815106792,8,6,21,454,545,1
1815106792,8,6,21,454,545,1
1815107139,5,13,5,299,273,1
1815107139,5,13,5,299,273,1
1815107328,1,11,10,217,229,0
1815107328,1,11,10,217,229,0
1815107340,8,1,4,489,456,1
1815107340,8,1,4,489,456,1
1815107456,4,6,10,362,384,1
1815107456,4,6,10,362,384,1
1815107476,8,11,12,337,386,0
1815107476,8,11,12,337,386,0
1815107621,7,1,3,463,515,1
1815107621,7,1,3,463,515,1
1815107691,17,15,10,357,395,0
1815107691,17,15,10,357,395,0
1815107719,4,7,5,281,274,0
1815107719,4,7,5,281,274,0
1815107832,1,6,1,328,380,0
1815107832,1,6,1,328,380,0
1815108398,3,3,13,359,358,1
1815108398,3,3,13,359,358,1
1815108463,5,8,11,322,464,0
1815108463,5,8,11,322,464,0
1815108987,8,2,8,396,484,1
1815108987,8,2,8,396,484,1
1815109175,25,4,19,660,588,1
1815109175,25,4,19,660,588,1
1815109620,7,8,21,375,454,1
1815109620,7,8,21,375,454,1
1815109657,6,9,4,385,533,0
1815109657,6,9,4,385,533,0
1815109852,6,6,5,321,359,0
1815109852,6,6,5,321,359,0
1815109862,4,10,7,334,379,1
1815109862,4,10,7,334,379,1
1815110087,5,11,12,286,223,0
1815110087,5,11,12,286,223,0
1815110743,10,2,9,487,547,1
1815110743,10,2,9,487,547,1
1815110847,10,10,9,409,501,0
1815110847,10,10,9,409,501,0
1815110964,5,5,2,276,365,0
1815110964,5,5,2,276,365,0
1815111504,5,6,10,384,523,0
1815111504,5,6,10,384,523,0
1815111598,3,9,2,283,292,0
1815111598,3,9,2,283,292,0
1815111672,5,17,10,282,291,0
1815111672,5,17,10,282,291,0
1815111869,2,3,6,325,316,1
1815111869,2,3,6,325,316,1
1815111958,12,7,11,522,599,1
1815111958,12,7,11,522,599,1
1815112546,4,11,5,225,181,0
1815112546,4,11,5,225,181,0
1815112800,30,7,13,639,667,1
1815112800,30,7,13,639,667,1
1815113403,10,8,6,429,481,0
1815113403,10,8,6,429,481,0
1815114209,11,8,14,346,458,0
1815114209,11,8,14,346,458,0
1815114417,1,12,5,320,375,0
1815114417,1,12,5,320,375,0
1815114513,13,10,15,467,615,1
1815114513,13,10,15,467,615,1
1815114803,11,4,14,594,641,1
1815114803,11,4,14,594,641,1
1815114958,3,7,1,361,341,0
1815114958,3,7,1,361,341,0
1815114999,5,5,12,408,407,1
1815114999,5,5,12,408,407,1
1815115145,18,7,24,461,588,1
1815115145,18,7,24,461,588,1
1815115468,3,2,6,358,462,1
1815115468,3,2,6,358,462,1
1815115522,9,10,4,345,395,0
1815115522,9,10,4,345,395,0
1815115721,12,7,20,475,483,1
1815115721,12,7,20,475,483,1
1815115972,2,3,9,358,328,1
1815115972,2,3,9,358,328,1
1815116261,3,9,10,225,264,0
1815116261,3,9,10,225,264,0
1815116294,3,11,5,273,298,0
1815116294,3,11,5,273,298,0
1815116339,3,7,5,230,231,0
1815116339,3,7,5,230,231,0
1815116469,10,15,5,329,383,0
1815116469,10,15,5,329,383,0
1815116500,11,9,15,444,529,1
1815116500,11,9,15,444,529,1
1815116628,4,7,10,337,381,1
1815116628,4,7,10,337,381,1
1815119155,2,12,5,246,262,0
1815119155,2,12,5,246,262,0
1815119528,16,6,11,551,688,1
1815119528,16,6,11,551,688,1
1815120001,5,13,10,326,370,0
1815120001,5,13,10,326,370,0
1815120576,8,9,10,444,476,1
1815120576,8,9,10,444,476,1
1815121258,23,10,14,474,539,1
1815121258,23,10,14,474,539,1
1815121306,18,7,16,415,490,1
1815121306,18,7,16,415,490,1
1815121801,10,7,5,334,355,0
1815121801,10,7,5,334,355,0
1815121894,2,0,1,236,48,1
1815121894,2,0,1,236,48,1
1815121999,13,7,19,410,487,1
