id,k,d,a,gpm,xpm,win
1815098954,2,10,5,182,181,0
1815098954,2,10,5,182,181,0
1815099776,6,14,15,269,310,0
1815099776,6,14,15,269,310,0
1815105657,11,12,30,385,401,1
1815105657,11,12,30,385,401,1
1815106540,2,13,6,251,282,0
1815106540,2,13,6,251,282,0
1815107293,6,2,29,371,618,1
1815107293,6,2,29,371,618,1
1815108036,3,9,9,285,254,0
1815108036,3,9,9,285,254,0
1815108500,4,11,10,240,223,0
1815108500,4,11,10,240,223,0
1815109218,4,8,9,241,298,0
1815109218,4,8,9,241,298,0
1815109632,5,4,12,362,424,1
1815109632,5,4,12,362,424,1
1815109718,2,9,21,217,378,0
1815109718,2,9,21,217,378,0
1815109885,1,13,5,355,305,0
1815109885,1,13,5,355,305,0
1815110242,7,8,12,323,423,0
1815110242,7,8,12,323,423,0
1815110437,13,3,17,538,724,1
1815110437,13,3,17,538,724,1
1815111853,3,0,12,413,356,1
1815111853,3,0,12,413,356,1
1815112502,5,10,11,363,509,1
1815112502,5,10,11,363,509,1
1815112669,1,7,14,296,282,1
1815112669,1,7,14,296,282,1
1815112715,1,10,18,269,395,0
1815112715,1,10,18,269,395,0
1815113151,3,2,24,374,440,1
1815113151,3,2,24,374,440,1
1815113186,2,6,5,268,256,0
1815113186,2,6,5,268,256,0
1815114614,2,14,9,234,214,0
1815114614,2,14,9,234,214,0
1815115931,5,3,17,428,560,1
1815115931,5,3,17,428,560,1
1815116460,2,7,7,242,301,0
1815116460,2,7,7,242,301,0
1815117152,2,3,12,367,411,1
1815117152,2,3,12,367,411,1
1815117882,0,12,6,206,238,0
1815117882,0,12,6,206,238,0
1815117979,2,5,5,308,316,1
1815117979,2,5,5,308,316,1
1815118115,9,6,14,362,457,1
1815118115,9,6,14,362,457,1
1815118639,3,9,6,307,387,0
1815118639,3,9,6,307,387,0
1815119793,4,18,18,268,389,0
1815119793,4,18,18,268,389,0
1815120417,14,8,13,367,497,0
1815120417,14,8,13,367,497,0
1815123046,7,8,17,380,395,1
1815123046,7,8,17,380,395,1
1815099775,4,5,20,366,428,1
1815099775,4,5,20,366,428,1
1815099829,2,9,12,294,429,0
1815099829,2,9,12,294,429,0
1815100043,8,8,5,261,249,0
1815100043,8,8,5,261,249,0
1815100247,4,13,11,290,258,0
1815100247,4,13,11,290,258,0
1815105643,11,10,16,369,445,0
1815105643,11,10,16,369,445,0
1815106010,3,4,16,366,423,1
1815106010,3,4,16,366,423,1
1815106677,4,9,12,320,396,0
1815106677,4,9,12,320,396,0
1815106739,2,14,6,214,225,0
1815106739,2,14,6,214,225,0
1815107318,4,11,9,235,313,0
1815107318,4,11,9,235,313,0
1815107389,9,14,11,279,321,0
1815107389,9,14,11,279,321,0
1815108254,4,11,22,357,405,1
1815108254,4,11,22,357,405,1
1815108256,4,11,17,343,412,1
1815108256,4,11,17,343,412,1
1815108741,1,8,10,286,356,0
1815108741,1,8,10,286,356,0
1815109577,5,15,16,289,280,0
1815109577,5,15,16,289,280,0
1815109768,6,3,12,383,515,1
1815109768,6,3,12,383,515,1
1815110115,11,2,14,466,446,1
1815110115,11,2,14,466,446,1
1815111253,7,4,14,427,583,1
1815111253,7,4,14,427,583,1
1815111643,4,15,14,273,313,0
1815111643,4,15,14,273,313,0
1815111673,0,3,5,242,238,1
1815111673,0,3,5,242,238,1
1815112529,15,10,23,427,590,0
1815112529,15,10,23,427,590,0
1815112654,14,14,18,386,474,0
1815112654,14,14,18,386,474,0
1815114171,5,17,12,271,245,0
1815114171,5,17,12,271,245,0
1815115961,8,8,7,303,325,0
1815115961,8,8,7,303,325,0
1815116201,6,17,11,278,366,0
1815116201,6,17,11,278,366,0
1815116446,1,12,12,275,266,1
1815116446,1,12,12,275,266,1
1815116894,7,8,17,316,427,0
1815116894,7,8,17,316,427,0
1815117214,4,6,22,274,354,0
1815117214,4,6,22,274,354,0
1815118549,6,14,16,344,456,0
1815118549,6,14,16,344,456,0
1815118562,3,7,12,271,352,0
1815118562,3,7,12,271,352,0
1815118856,19,23,24,436,353,1
1815118856,19,23,24,436,353,1
1815118946,5,8,25,324,393,1
1815118946,5,8,25,324,393,1
1815119696,6,5,7,292,361,0
1815119696,6,5,7,292,361,0
1815119863,6,7,9,305,398,0
1815119863,6,7,9,305,398,0
1815122392,3,5,12,326,303,1
1815122392,3,5,12,326,303,1
1815122837,3,9,8,215,294,0
1815122837,3,9,8,215,294,0
1815122845,3,2,21,357,474,1
1815122845,3,2,21,357,474,1
1815123195,4,8,3,256,224,0
1815123195,4,8,3,256,224,0
1815098789,18,7,20,461,575,1
1815098789,18,7,20,461,575,1
1815098895,0,7,13,268,287,1
1815098895,0,7,13,268,287,1
1815099060,3,3,13,361,493,1
1815099060,3,3,13,361,493,1
1815099084,5,2,10,361,380,1
1815099084,5,2,10,361,380,1
1815099149,8,10,18,362,442,1
1815099149,8,10,18,362,442,1
1815099218,4,9,4,266,240,0
1815099218,4,9,4,266,240,0
1815099330,7,7,22,356,421,1
1815099330,7,7,22,356,421,1
1815099380,3,13,18,258,338,0
1815099380,3,13,18,258,338,0
1815099427,8,8,12,463,432,1
1815099427,8,8,12,463,432,1
1815099477,6,4,10,408,475,1
1815099477,6,4,10,408,475,1
1815099652,2,13,9,272,309,0
1815099652,2,13,9,272,309,0
1815099774,6,6,6,267,353,0
1815099774,6,6,6,267,353,0
1815099814,9,6,22,360,572,1
1815099814,9,6,22,360,572,1
1815099881,3,13,10,272,358,0
1815099881,3,13,10,272,358,0
1815100002,5,14,15,333,451,0
1815100002,5,14,15,333,451,0
1815100109,11,7,16,380,521,0
1815100109,11,7,16,380,521,0
1815100266,3,2,9,314,336,1
1815100266,3,2,9,314,336,1
1815100334,4,12,14,237,276,0
1815100334,4,12,14,237,276,0
1815100430,12,4,12,460,572,1
1815100430,12,4,12,460,572,1
1815100595,6,13,12,354,434,1
1815100595,6,13,12,354,434,1
1815100598,11,11,21,392,474,1
1815100598,11,11,21,392,474,1
1815100723,7,18,20,299,365,0
1815100723,7,18,20,299,365,0
1815100732,7,7,15,393,459,1
1815100732,7,7,15,393,459,1
1815100796,1,4,17,307,271,1
1815100796,1,4,17,307,271,1
1815100797,14,13,27,539,658,1
1815100797,14,13,27,539,658,1
1815105169,8,7,17,401,433,1
1815105169,8,7,17,401,433,1
1815105261,11,4,17,439,504,1
1815105261,11,4,17,439,504,1
1815106081,13,11,19,415,646,0
1815106081,13,11,19,415,646,0
1815106266,14,8,26,416,498,1
1815106266,14,8,26,416,498,1
1815106317,12,5,13,443,422,1
1815106317,12,5,13,443,422,1
1815106370,4,8,9,291,361,0
1815106370,4,8,9,291,361,0
1815106803,13,9,33,425,453,1
1815106803,13,9,33,425,453,1
1815106843,12,7,22,408,508,1
1815106843,12,7,22,408,508,1
1815106855,5,14,12,242,261,0
1815106855,5,14,12,242,261,0
1815106985,11,10,21,360,440,1
1815106985,11,10,21,360,440,1
1815107049,8,11,12,362,386,1
1815107049,8,11,12,362,386,1
1815107072,3,6,6,324,325,0
1815107072,3,6,6,324,325,0
1815107089,5,5,12,285,367,0
1815107089,5,5,12,285,367,0
1815107138,9,9,23,377,577,1
1815107138,9,9,23,377,577,1
1815107421,2,9,11,211,255,0
1815107421,2,9,11,211,255,0
1815107681,10,9,14,342,406,0
1815107681,10,9,14,342,406,0
1815107691,9,17,23,298,389,0
1815107691,9,17,23,298,389,0
1815107695,0,17,10,209,187,0
1815107695,0,17,10,209,187,0
1815107705,5,7,24,351,479,0
1815107705,5,7,24,351,479,0
1815107850,5,10,21,345,444,1
1815107850,5,10,21,345,444,1
1815107916,11,8,19,390,479,1
1815107916,11,8,19,390,479,1
1815107933,6,6,16,332,357,1
1815107933,6,6,16,332,357,1
1815108004,9,9,14,343,461,0
1815108004,9,9,14,343,461,0
1815108037,8,14,29,304,401,0
1815108037,8,14,29,304,401,0
1815108357,5,5,19,315,408,1
1815108357,5,5,19,315,408,1
1815108398,8,10,1,254,292,0
1815108398,8,10,1,254,292,0
1815108460,3,8,14,254,385,0
1815108460,3,8,14,254,385,0
1815108778,4,10,25,298,303,1
1815108778,4,10,25,298,303,1
1815108885,10,5,7,345,308,1
1815108885,10,5,7,345,308,1
1815108925,11,7,16,402,528,0
1815108925,11,7,16,402,528,0
1815108967,2,7,10,308,268,0
1815108967,2,7,10,308,268,0
1815109046,2,4,9,369,327,1
1815109046,2,4,9,369,327,1
1815109415,3,8,13,173,152,0
1815109415,3,8,13,173,152,0
1815109539,4,10,5,243,338,0
1815109539,4,10,5,243,338,0
1815109580,6,3,18,348,506,1
1815109580,6,3,18,348,506,1
1815109835,3,4,13,272,298,1
1815109835,3,4,13,272,298,1
1815109899,4,14,18,270,336,0
1815109899,4,14,18,270,336,0
1815110011,5,5,6,350,500,0
1815110011,5,5,6,350,500,0
1815110232,5,13,19,296,338,1
1815110232,5,13,19,296,338,1
1815110274,15,8,14,426,539,1
1815110274,15,8,14,426,539,1
1815110368,11,5,15,455,555,1
1815110368,11,5,15,455,555,1
1815110547,11,5,20,473,636,0
1815110547,11,5,20,473,636,0
1815110789,3,6,19,386,628,1
1815110789,3,6,19,386,628,1
1815110848,8,4,11,375,361,1
1815110848,8,4,11,375,361,1
1815110895,6,7,6,349,295,1
1815110895,6,7,6,349,295,1
1815110896,2,11,8,261,298,0
1815110896,2,11,8,261,298,0
1815110974,4,12,16,352,519,0
1815110974,4,12,16,352,519,0
1815111079,4,5,17,356,312,1
1815111079,4,5,17,356,312,1
1815111121,2,9,4,286,265,1
1815111121,2,9,4,286,265,1
1815111312,5,12,5,244,285,0
1815111312,5,12,5,244,285,0
1815111322,3,4,2,210,230,0
1815111322,3,4,2,210,230,0
1815111771,15,12,18,401,631,0
1815111771,15,12,18,401,631,0
1815111889,0,8,4,173,200,0
1815111889,0,8,4,173,200,0
1815112163,2,10,7,256,340,0
1815112163,2,10,7,256,340,0
1815112243,2,4,16,340,463,1
1815112243,2,4,16,340,463,1
1815112552,9,12,14,389,496,1
1815112552,9,12,14,389,496,1
1815112678,3,11,11,268,358,0
1815112678,3,11,11,268,358,0
1815112706,8,17,25,364,511,0
1815112706,8,17,25,364,511,0
1815112717,4,8,13,296,360,0
1815112717,4,8,13,296,360,0
1815112789,7,11,7,374,388,0
1815112789,7,11,7,374,388,0
1815113152,4,2,20,329,397,1
1815113152,4,2,20,329,397,1
1815113232,5,7,15,273,405,0
1815113232,5,7,15,273,405,0
1815113282,8,11,16,265,345,0
1815113282,8,11,16,265,345,0
1815113296,4,7,25,332,509,1
1815113296,4,7,25,332,509,1
1815113472,1,14,7,205,250,0
1815113472,1,14,7,205,250,0
1815113562,11,15,12,338,406,0
1815113562,11,15,12,338,406,0
1815113599,5,4,6,384,340,1
1815113599,5,4,6,384,340,1
1815113674,1,6,4,163,121,0
1815113674,1,6,4,163,121,0
1815113829,0,4,7,243,217,1
1815113829,0,4,7,243,217,1
