id,k,d,a,gpm,xpm,win
1815105494,1,15,8,213,225,0
1815105494,1,15,8,213,225,0
1815106616,6,8,3,263,216,0
1815106616,6,8,3,263,216,0
1815111850,4,10,2,246,257,0
1815111850,4,10,2,246,257,0
1815111923,5,12,21,326,467,1
1815111923,5,12,21,326,467,1
1815112037,2,17,7,306,375,0
1815112037,2,17,7,306,375,0
1815114848,6,12,4,345,301,0
1815114848,6,12,4,345,301,0
1815105398,4,16,9,227,247,0
1815105398,4,16,9,227,247,0
1815106737,1,11,6,229,280,0
1815106737,1,11,6,229,280,0
1815108574,4,8,4,293,309,0
1815108574,4,8,4,293,309,0
1815108741,8,7,3,308,329,0
1815108741,8,7,3,308,329,0
1815113278,7,11,10,232,350,0
1815113278,7,11,10,232,350,0
1815117062,0,5,1,150,86,0
1815117062,0,5,1,150,86,0
1815119676,7,8,10,304,341,1
1815119676,7,8,10,304,341,1
1815098852,2,3,13,327,333,1
1815098852,2,3,13,327,333,1
1815099218,14,3,10,447,471,1
1815099218,14,3,10,447,471,1
1815099272,0,5,1,165,108,0
1815099272,0,5,1,165,108,0
1815099609,10,4,18,486,590,1
1815099609,10,4,18,486,590,1
1815099868,4,5,3,209,205,0
1815099868,4,5,3,209,205,0
1815099898,5,12,3,288,236,1
1815099898,5,12,3,288,236,1
1815100012,0,3,4,336,272,1
1815100012,0,3,4,336,272,1
1815100178,1,10,10,210,259,0
1815100178,1,10,10,210,259,0
1815100621,13,5,6,373,538,1
1815100621,13,5,6,373,538,1
1815100716,7,6,24,288,495,1
1815100716,7,6,24,288,495,1
1815100841,3,6,6,239,289,0
1815100841,3,6,6,239,289,0
1815105578,13,6,5,294,309,0
1815105578,13,6,5,294,309,0
1815105681,4,8,2,277,329,0
1815105681,4,8,2,277,329,0
1815107476,3,6,16,305,340,1
1815107476,3,6,16,305,340,1
1815108571,1,10,2,210,220,0
1815108571,1,10,2,210,220,0
1815109224,3,3,13,341,444,1
1815109224,3,3,13,341,444,1
1815109241,7,6,15,332,396,1
1815109241,7,6,15,332,396,1
1815109276,2,10,15,255,397,0
1815109276,2,10,15,255,397,0
1815109568,3,3,12,362,395,1
1815109568,3,3,12,362,395,1
1815109780,5,13,6,299,327,1
1815109780,5,13,6,299,327,1
1815110774,3,5,2,269,327,0
1815110774,3,5,2,269,327,0
1815110943,5,6,5,264,329,0
1815110943,5,6,5,264,329,0
1815111353,3,8,14,327,272,1
1815111353,3,8,14,327,272,1
1815111569,5,7,4,503,234,0
1815111569,5,7,4,503,234,0
1815111957,4,10,5,239,263,0
1815111957,4,10,5,239,263,0
1815113094,5,15,5,273,279,0
