id,k,d,a,gpm,xpm,win
1815098804,16,2,18,591,730,1
1815098804,16,2,18,591,730,1
1815098954,6,6,11,535,545,1
1815098954,6,6,11,535,545,1
1815100024,2,9,1,323,309,0
1815100024,2,9,1,323,309,0
1815100053,3,2,13,521,518,1
1815100053,3,2,13,521,518,1
1815105631,12,8,12,490,620,0
1815105631,12,8,12,490,620,0
1815105760,7,5,4,514,553,1
1815105760,7,5,4,514,553,1
1815105821,8,6,8,598,654,0
1815105821,8,6,8,598,654,0
1815105958,2,9,3,283,361,0
1815105958,2,9,3,283,361,0
1815106122,10,8,4,457,635,0
1815106122,10,8,4,457,635,0
1815106167,5,9,6,428,507,0
1815106167,5,9,6,428,507,0
1815106195,6,12,11,341,406,0
1815106195,6,12,11,341,406,0
1815106287,13,1,15,518,634,1
1815106287,13,1,15,518,634,1
1815106595,4,6,6,538,509,1
1815106595,4,6,6,538,509,1
1815106653,21,8,12,641,559,0
1815106653,21,8,12,641,559,0
1815107185,5,8,5,326,493,0
1815107185,5,8,5,326,493,0
1815107813,2,8,5,282,318,0
1815107813,2,8,5,282,318,0
1815108190,11,2,3,597,606,1
1815108190,11,2,3,597,606,1
1815108195,17,4,11,652,685,1
1815108195,17,4,11,652,685,1
1815108438,12,9,7,539,557,1
1815108438,12,9,7,539,557,1
1815108927,1,3,1,120,29,0
1815108927,1,3,1,120,29,0
1815109872,3,8,7,366,433,0
1815109872,3,8,7,366,433,0
1815110248,17,3,12,653,603,1
1815110248,17,3,12,653,603,1
1815110437,3,7,4,335,398,0
1815110437,3,7,4,335,398,0
1815110849,6,8,12,484,503,0
1815110849,6,8,12,484,503,0
1815111850,1,4,8,339,405,0
1815111850,1,4,8,339,405,0
1815111993,19,5,17,533,573,1
1815111993,19,5,17,533,573,1
1815112400,15,5,17,612,796,1
1815112400,15,5,17,612,796,1
1815112587,4,4,14,393,394,1
1815112587,4,4,14,393,394,1
1815112669,3,10,6,290,319,0
1815112669,3,10,6,290,319,0
1815113067,13,6,10,523,652,1
1815113067,13,6,10,523,652,1
1815113471,12,12,7,462,567,0
1815113471,12,12,7,462,567,0
1815114531,9,3,14,661,696,1
1815114531,9,3,14,661,696,1
1815114542,6,6,4,409,541,0
1815114542,6,6,4,409,541,0
1815114614,14,1,12,691,823,1
1815114614,14,1,12,691,823,1
1815114765,3,7,7,440,567,0
1815114765,3,7,7,440,567,0
1815114812,16,11,14,544,571,0
1815114812,16,11,14,544,571,0
1815114909,7,11,15,446,566,0
1815114909,7,11,15,446,566,0
1815115378,12,6,12,468,495,1
1815115378,12,6,12,468,495,1
1815116473,9,9,4,423,489,0
1815116473,9,9,4,423,489,0
1815117120,1,7,4,319,372,0
1815117120,1,7,4,319,372,0
1815118441,21,3,4,774,808,1
1815118441,21,3,4,774,808,1
1815118893,7,7,3,330,392,0
1815118893,7,7,3,330,392,0
1815119048,9,14,5,382,422,0
1815119048,9,14,5,382,422,0
1815119362,13,4,12,433,512,1
1815119362,13,4,12,433,512,1
1815119376,10,7,6,633,690,1
1815119376,10,7,6,633,690,1
1815120684,4,9,7,406,494,0
1815120684,4,9,7,406,494,0
1815121341,22,16,16,610,451,1
1815121341,22,16,16,610,451,1
1815121346,16,4,10,696,782,1
1815121346,16,4,10,696,782,1
1815121692,10,5,5,538,612,0
1815121692,10,5,5,538,612,0
1815121900,4,13,16,375,445,1
1815121900,4,13,16,375,445,1
1815123167,13,4,12,664,822,1
1815123167,13,4,12,664,822,1
1815099163,10,9,3,400,451,0
1815099163,10,9,3,400,451,0
1815099190,13,3,12,620,542,1
1815099190,13,3,12,620,542,1
1815099235,6,8,8,375,390,0
1815099235,6,8,8,375,390,0
1815099596,18,9,17,529,640,0
1815099596,18,9,17,529,640,0
1815099730,7,2,17,495,523,1
1815099730,7,2,17,495,523,1
1815099731,15,4,20,681,756,1
1815099731,15,4,20,681,756,1
1815100105,16,5,5,599,624,1
1815100105,16,5,5,599,624,1
1815100460,19,12,9,492,642,0
1815100460,19,12,9,492,642,0
1815100635,17,17,14,501,482,1
1815100635,17,17,14,501,482,1
1815100775,1,4,1,215,213,0
1815100775,1,4,1,215,213,0
1815105398,10,9,10,512,766,0
1815105398,10,9,10,512,766,0
1815106433,23,6,7,712,842,1
1815106433,23,6,7,712,842,1
1815106739,6,6,20,510,707,1
1815106739,6,6,20,510,707,1
1815106791,19,11,15,555,474,0
1815106791,19,11,15,555,474,0
1815106912,9,17,12,383,368,0
1815106912,9,17,12,383,368,0
1815107956,10,7,12,441,666,0
1815107956,10,7,12,441,666,0
1815107985,2,8,4,446,375,0
1815107985,2,8,4,446,375,0
1815108428,4,7,7,349,376,0
1815108428,4,7,7,349,376,0
1815109048,12,7,14,549,636,1
1815109048,12,7,14,549,636,1
1815109431,8,4,6,443,448,0
1815109431,8,4,6,443,448,0
1815109498,6,6,21,564,619,1
1815109498,6,6,21,564,619,1
1815110216,0,7,2,240,292,0
1815110216,0,7,2,240,292,0
1815110271,9,7,5,536,499,1
1815110271,9,7,5,536,499,1
1815110935,7,4,9,626,526,1
1815110935,7,4,9,626,526,1
1815111104,4,3,12,478,403,1
1815111104,4,3,12,478,403,1
1815111176,4,4,9,514,586,1
1815111176,4,4,9,514,586,1
1815112514,3,11,6,262,313,0
1815112514,3,11,6,262,313,0
1815112576,5,10,9,360,392,0
1815112576,5,10,9,360,392,0
1815112622,10,6,11,523,623,1
1815112622,10,6,11,523,623,1
1815113399,0,9,4,306,291,0
1815113399,0,9,4,306,291,0
1815113531,14,15,21,550,494,0
1815113531,14,15,21,550,494,0
1815113590,16,7,18,569,596,1
1815113590,16,7,18,569,596,1
1815114224,3,10,10,304,321,0
1815114224,3,10,10,304,321,0
1815114559,15,9,13,586,649,1
1815114559,15,9,13,586,649,1
1815114947,2,8,1,295,296,0
1815114947,2,8,1,295,296,0
1815116365,12,1,7,703,555,1
1815116365,12,1,7,703,555,1
1815117258,19,3,11,827,908,1
1815117258,19,3,11,827,908,1
1815117327,24,2,5,753,885,1
1815117327,24,2,5,753,885,1
1815117486,7,11,11,417,424,0
1815117486,7,11,11,417,424,0
1815118010,6,14,12,328,406,0
1815118010,6,14,12,328,406,0
1815118204,6,11,3,538,436,0
1815118204,6,11,3,538,436,0
1815118236,8,14,16,466,452,0
1815118236,8,14,16,466,452,0
1815118588,11,6,11,545,589,1
1815118588,11,6,11,545,589,1
1815118620,10,7,12,565,589,1
1815118620,10,7,12,565,589,1
1815118625,11,13,15,434,585,0
1815118625,11,13,15,434,585,0
1815118882,20,12,13,508,530,0
1815118882,20,12,13,508,530,0
1815119449,16,11,8,558,661,0
1815119449,16,11,8,558,661,0
1815119600,4,9,8,401,404,0
1815119600,4,9,8,401,404,0
1815119740,1,8,5,381,403,0
1815119740,1,8,5,381,403,0
1815120473,3,11,2,216,272,0
1815120473,3,11,2,216,272,0
1815120646,6,2,4,661,654,1
1815120646,6,2,4,661,654,1
1815121460,25,12,6,636,620,1
1815121460,25,12,6,636,620,1
1815121617,19,7,16,713,568,1
1815121617,19,7,16,713,568,1
1815121798,13,6,13,578,602,1
1815121798,13,6,13,578,602,1
1815122575,22,9,14,544,596,1
1815122575,22,9,14,544,596,1
1815123150,2,9,5,281,299,0
1815123150,2,9,5,281,299,0
1815123184,4,4,9,344,420,0
1815123184,4,4,9,344,420,0
1815098663,0,9,4,234,190,0
1815098663,0,9,4,234,190,0
1815098693,0,13,13,307,353,0
1815098693,0,13,13,307,353,0
1815098714,0,9,2,250,247,0
1815098714,0,9,2,250,247,0
1815098728,0,2,1,223,225,0
1815098728,0,2,1,223,225,0
1815098744,4,15,12,347,441,0
1815098744,4,15,12,347,441,0
1815098746,13,7,9,479,500,1
1815098746,13,7,9,479,500,1
1815098760,11,6,21,511,602,1
1815098760,11,6,21,511,602,1
1815098762,9,8,10,307,360,0
1815098762,9,8,10,307,360,0
1815098789,19,7,15,514,613,1
1815098789,19,7,15,514,613,1
1815098823,12,8,9,601,671,1
1815098823,12,8,9,601,671,1
1815098826,18,2,3,576,682,1
1815098826,18,2,3,576,682,1
1815098841,21,6,20,482,622,1
1815098841,21,6,20,482,622,1
1815098899,28,2,8,724,770,1
1815098899,28,2,8,724,770,1
1815098953,13,6,8,504,657,1
1815098953,13,6,8,504,657,1
1815098962,24,11,20,596,529,0
1815098962,24,11,20,596,529,0
1815099008,13,9,15,493,546,1
1815099008,13,9,15,493,546,1
1815099033,11,4,13,610,723,1
1815099033,11,4,13,610,723,1
1815099061,11,5,9,456,603,0
1815099061,11,5,9,456,603,0
1815099084,9,4,13,505,439,1
1815099084,9,4,13,505,439,1
1815099097,3,11,6,223,280,0
1815099097,3,11,6,223,280,0
1815099139,5,8,14,429,462,1
1815099139,5,8,14,429,462,1
1815099144,13,6,8,478,504,1
1815099144,13,6,8,478,504,1
1815099148,15,15,5,411,580,0
1815099148,15,15,5,411,580,0
1815099149,21,6,14,527,610,1
1815099149,21,6,14,527,610,1
1815099150,17,13,13,510,611,0
1815099150,17,13,13,510,611,0
1815099193,3,12,6,305,356,0
1815099193,3,12,6,305,356,0
1815099218,2,14,7,294,318,0
1815099218,2,14,7,294,318,0
1815099245,15,4,12,475,525,1
1815099245,15,4,12,475,525,1
1815099321,9,9,6,419,554,0
1815099321,9,9,6,419,554,0
1815099330,15,5,14,431,531,1
1815099330,15,5,14,431,531,1
1815099372,4,7,7,320,360,0
1815099372,4,7,7,320,360,0
1815099398,8,7,16,474,512,1
1815099398,8,7,16,474,512,1
1815099427,2,15,8,374,521,0
1815099427,2,15,8,374,521,0
1815099467,4,9,1,243,256,0
1815099467,4,9,1,243,256,0
1815099512,11,16,14,374,523,0
1815099512,11,16,14,374,523,0
1815099570,11,12,15,362,551,0
1815099570,11,12,15,362,551,0
1815099589,9,14,6,469,623,0
1815099589,9,14,6,469,623,0
1815099618,1,13,13,234,278,0
1815099618,1,13,13,234,278,0
1815099732,2,6,12,258,268,0
1815099732,2,6,12,258,268,0
1815099763,18,6,11,604,727,1
1815099763,18,6,11,604,727,1
1815099780,2,12,13,270,222,1
1815099780,2,12,13,270,222,1
1815099833,9,7,11,376,469,1
1815099833,9,7,11,376,469,1
1815099971,22,5,18,662,830,1
1815099971,22,5,18,662,830,1
1815100005,7,16,5,360,522,0
1815100005,7,16,5,360,522,0
1815100012,8,1,12,545,442,1
1815100012,8,1,12,545,442,1
1815100027,7,6,4,348,407,0
1815100027,7,6,4,348,407,0
1815100090,21,6,17,595,767,1
1815100090,21,6,17,595,767,1
1815100103,21,2,9,678,754,1
1815100103,21,2,9,678,754,1
1815100125,3,3,11,404,341,1
1815100125,3,3,11,404,341,1
1815100160,4,13,8,304,337,0
1815100160,4,13,8,304,337,0
1815100200,5,2,13,418,468,1
1815100200,5,2,13,418,468,1
1815100207,3,11,3,340,433,0
1815100207,3,11,3,340,433,0
1815100216,5,6,9,353,492,0
1815100216,5,6,9,353,492,0
1815100281,17,7,9,648,671,1
1815100281,17,7,9,648,671,1
1815100282,3,4,6,512,379,0
1815100282,3,4,6,512,379,0
1815100327,16,12,13,489,605,0
1815100327,16,12,13,489,605,0
1815100334,3,6,13,432,582,0
1815100334,3,6,13,432,582,0
1815100363,14,16,10,471,544,0
1815100363,14,16,10,471,544,0
1815100410,11,1,10,537,692,1
