id,k,d,a,gpm,xpm,win
1815105657,3,12,25,296,397,0
1815105657,3,12,25,296,397,0
1815106211,2,9,16,306,390,1
1815106211,2,9,16,306,390,1
1815106653,4,13,13,278,379,0
1815106653,4,13,13,278,379,0
1815107904,13,2,26,490,683,1
1815107904,13,2,26,490,683,1
1815109702,16,9,29,406,447,1
1815109702,16,9,29,406,447,1
1815111940,6,8,6,376,461,0
1815111940,6,8,6,376,461,0
1815112669,7,4,23,449,581,1
1815112669,7,4,23,449,581,1
1815113892,4,12,32,396,545,1
1815113892,4,12,32,396,545,1
1815114180,2,3,17,343,295,1
1815114180,2,3,17,343,295,1
1815115132,3,10,9,254,308,0
1815115132,3,10,9,254,308,0
1815116006,2,13,22,328,375,0
1815116006,2,13,22,328,375,0
1815117139,10,8,24,358,486,1
1815117139,10,8,24,358,486,1
1815119048,20,3,26,557,702,1
1815119048,20,3,26,557,702,1
1815120417,10,15,22,458,589,1
1815120417,10,15,22,458,589,1
1815122714,13,7,26,424,505,1
1815122714,13,7,26,424,505,1
1815122846,1,7,5,191,201,0
1815122846,1,7,5,191,201,0
1815123044,4,9,17,318,383,0
1815123044,4,9,17,318,383,0
1815123046,7,12,12,400,423,0
1815123046,7,12,12,400,423,0
1815105185,7,10,11,391,440,0
1815105185,7,10,11,391,440,0
1815105531,2,11,17,311,441,0
1815105531,2,11,17,311,441,0
1815106494,9,10,15,444,588,0
1815106494,9,10,15,444,588,0
1815106602,0,16,23,268,334,1
1815106602,0,16,23,268,334,1
1815106912,7,7,24,397,493,1
1815106912,7,7,24,397,493,1
1815110712,5,11,16,315,396,0
1815110712,5,11,16,315,396,0
1815110935,4,11,13,476,591,0
1815110935,4,11,13,476,591,0
1815111383,10,4,15,486,484,1
1815111383,10,4,15,486,484,1
1815111642,16,9,6,445,664,0
1815111642,16,9,6,445,664,0
1815111643,7,5,22,442,532,1
1815111643,7,5,22,442,532,1
1815112366,15,17,20,387,522,0
1815112366,15,17,20,387,522,0
1815112622,10,8,13,360,482,0
1815112622,10,8,13,360,482,0
1815114224,12,7,17,447,466,1
1815114224,12,7,17,447,466,1
1815115183,1,5,7,245,284,0
1815115183,1,5,7,245,284,0
1815116560,10,3,10,510,520,1
1815116560,10,3,10,510,520,1
1815117689,9,5,22,408,567,1
1815117689,9,5,22,408,567,1
1815119165,12,13,26,445,496,1
1815119165,12,13,26,445,496,1
1815119679,11,3,23,554,689,1
1815119679,11,3,23,554,689,1
1815120643,7,18,23,363,517,0
1815120643,7,18,23,363,517,0
1815098843,3,9,20,330,413,1
1815098843,3,9,20,330,413,1
1815099195,3,5,16,306,313,1
1815099195,3,5,16,306,313,1
1815099382,4,6,21,376,425,1
1815099382,4,6,21,376,425,1
1815099867,15,8,29,524,611,1
1815099867,15,8,29,524,611,1
1815099922,5,18,22,343,475,0
1815099922,5,18,22,343,475,0
1815100002,4,14,19,321,475,0
1815100002,4,14,19,321,475,0
1815100200,2,7,4,230,226,0
1815100200,2,7,4,230,226,0
1815100315,12,6,21,442,525,1
1815100315,12,6,21,442,525,1
1815100334,14,7,22,488,600,1
1815100334,14,7,22,488,600,1
1815100711,5,10,19,279,382,0
1815100711,5,10,19,279,382,0
1815105599,1,2,4,203,288,0
1815105599,1,2,4,203,288,0
1815105733,6,8,24,391,419,1
