id,k,d,a,gpm,xpm,win
1815098804,5,12,17,330,413,0
1815098804,5,12,17,330,413,0
1815098931,3,14,15,273,321,1
1815098931,3,14,15,273,321,1
1815099145,19,6,14,489,650,1
1815099145,19,6,14,489,650,1
1815099196,9,11,28,376,480,0
1815099196,9,11,28,376,480,0
1815099214,15,5,12,397,488,1
1815099214,15,5,12,397,488,1
1815099515,14,3,15,444,424,1
1815099515,14,3,15,444,424,1
1815099776,23,7,28,625,726,1
1815099776,23,7,28,625,726,1
1815099847,6,8,11,316,279,1
1815099847,6,8,11,316,279,1
1815100024,4,4,4,379,311,1
1815100024,4,4,4,379,311,1
1815100081,8,14,20,337,517,0
1815100081,8,14,20,337,517,0
1815100494,7,15,17,363,334,1
1815100494,7,15,17,363,334,1
1815100592,1,8,2,154,118,0
1815100592,1,8,2,154,118,0
1815100823,6,10,7,383,363,1
1815100823,6,10,7,383,363,1
1815105385,7,7,14,405,444,1
1815105385,7,7,14,405,444,1
1815105470,9,13,22,342,469,0
1815105470,9,13,22,342,469,0
1815105547,6,10,9,330,459,0
1815105547,6,10,9,330,459,0
1815105760,16,11,15,445,446,1
1815105760,16,11,15,445,446,1
1815105820,11,16,9,328,425,0
1815105820,11,16,9,328,425,0
1815105821,9,9,7,358,360,1
1815105821,9,9,7,358,360,1
1815105880,25,12,23,517,570,1
1815105880,25,12,23,517,570,1
1815106167,9,11,11,308,372,0
1815106167,9,11,11,308,372,0
1815106195,10,8,19,400,503,1
1815106195,10,8,19,400,503,1
1815106242,14,12,15,370,433,1
1815106242,14,12,15,370,433,1
1815106540,10,5,16,345,438,1
1815106540,10,5,16,345,438,1
1815106595,5,9,1,325,382,0
1815106595,5,9,1,325,382,0
1815106653,7,15,16,271,368,0
1815106653,7,15,16,271,368,0
1815107493,16,12,32,420,517,0
1815107493,16,12,32,420,517,0
1815107560,9,15,7,264,260,0
1815107560,9,15,7,264,260,0
1815107582,4,8,7,293,313,0
1815107582,4,8,7,293,313,0
1815107796,9,15,13,288,444,0
1815107796,9,15,13,288,444,0
1815107904,1,16,4,193,171,0
1815107904,1,16,4,193,171,0
1815108036,17,4,14,406,474,1
1815108036,17,4,14,406,474,1
1815108190,1,6,0,173,98,0
1815108190,1,6,0,173,98,0
1815108232,4,19,12,294,415,0
1815108232,4,19,12,294,415,0
1815108872,8,9,16,371,352,1
1815108872,8,9,16,371,352,1
1815108961,7,15,11,249,220,0
1815108961,7,15,11,249,220,0
1815109189,11,7,16,368,429,1
1815109189,11,7,16,368,429,1
1815109435,10,11,12,346,422,0
1815109435,10,11,12,346,422,0
1815109442,6,7,7,338,319,1
1815109442,6,7,7,338,319,1
1815109632,3,10,7,277,317,0
1815109632,3,10,7,277,317,0
1815109752,6,11,9,263,295,0
1815109752,6,11,9,263,295,0
1815109885,3,12,13,405,406,0
1815109885,3,12,13,405,406,0
1815109957,13,11,20,395,540,1
1815109957,13,11,20,395,540,1
1815110072,4,14,22,294,451,1
1815110072,4,14,22,294,451,1
1815110202,9,12,23,409,516,1
1815110202,9,12,23,409,516,1
1815110203,7,9,13,260,347,0
1815110203,7,9,13,260,347,0
1815110248,14,13,20,408,538,1
1815110248,14,13,20,408,538,1
1815110471,4,14,15,319,439,1
1815110471,4,14,15,319,439,1
1815110866,3,13,2,212,192,0
1815110866,3,13,2,212,192,0
1815111198,14,8,10,448,400,1
1815111198,14,8,10,448,400,1
1815111443,4,13,7,277,303,0
1815111443,4,13,7,277,303,0
1815111609,11,4,19,431,539,1
1815111609,11,4,19,431,539,1
1815111923,6,12,14,275,278,0
1815111923,6,12,14,275,278,0
1815112037,1,14,7,224,213,0
1815112037,1,14,7,224,213,0
1815112241,4,11,14,275,320,0
1815112241,4,11,14,275,320,0
1815112250,6,9,8,285,325,0
1815112250,6,9,8,285,325,0
1815112562,11,5,16,430,498,1
1815112562,11,5,16,430,498,1
1815112669,9,11,9,355,429,0
1815112669,9,11,9,355,429,0
1815112755,2,12,8,216,221,0
1815112755,2,12,8,216,221,0
1815113007,12,9,13,445,551,0
1815113007,12,9,13,445,551,0
1815113029,7,13,18,301,362,0
1815113029,7,13,18,301,362,0
1815113759,3,9,13,367,492,1
1815113759,3,9,13,367,492,1
1815113791,14,4,16,456,526,1
1815113791,14,4,16,456,526,1
1815113859,1,7,6,197,223,0
1815113859,1,7,6,197,223,0
1815114035,5,8,10,357,379,1
1815114035,5,8,10,357,379,1
1815114057,10,9,13,336,425,0
1815114057,10,9,13,336,425,0
1815114091,13,9,5,364,423,1
1815114091,13,9,5,364,423,1
1815114197,2,9,12,245,359,0
1815114197,2,9,12,245,359,0
1815114730,3,10,8,247,292,0
1815114730,3,10,8,247,292,0
1815114765,2,13,8,244,221,0
1815114765,2,13,8,244,221,0
1815114784,13,7,23,435,563,1
1815114784,13,7,23,435,563,1
1815115229,6,11,10,306,368,0
1815115229,6,11,10,306,368,0
1815115377,14,20,14,345,382,1
1815115377,14,20,14,345,382,1
1815115828,17,4,9,504,535,1
1815115828,17,4,9,504,535,1
1815116052,10,11,12,336,420,0
1815116052,10,11,12,336,420,0
1815116088,5,5,9,308,322,1
1815116088,5,5,9,308,322,1
1815116224,17,11,31,435,593,1
1815116224,17,11,31,435,593,1
1815116249,11,5,18,427,546,1
1815116249,11,5,18,427,546,1
1815116473,8,10,12,329,438,0
1815116473,8,10,12,329,438,0
1815116786,3,9,6,290,324,0
1815116786,3,9,6,290,324,0
1815117152,7,7,7,300,327,0
1815117152,7,7,7,300,327,0
1815117316,8,8,19,386,566,1
1815117316,8,8,19,386,566,1
1815117725,27,2,16,574,591,1
1815117725,27,2,16,574,591,1
1815117845,7,4,10,324,387,1
1815117845,7,4,10,324,387,1
1815117894,12,6,21,352,448,0
1815117894,12,6,21,352,448,0
1815117916,0,8,4,250,267,0
1815117916,0,8,4,250,267,0
1815117969,3,7,3,256,232,0
1815117969,3,7,3,256,232,0
1815118126,4,12,5,183,200,0
1815118126,4,12,5,183,200,0
1815118138,21,8,21,514,643,1
1815118138,21,8,21,514,643,1
1815118441,4,9,7,243,253,0
1815118441,4,9,7,243,253,0
1815118564,5,11,3,301,300,0
1815118564,5,11,3,301,300,0
1815118587,17,4,13,411,565,0
1815118587,17,4,13,411,565,0
1815118893,13,9,11,352,407,0
1815118893,13,9,11,352,407,0
1815119048,11,10,7,333,433,0
1815119048,11,10,7,333,433,0
1815119304,7,7,14,297,346,0
1815119304,7,7,14,297,346,0
1815119362,4,13,11,318,339,0
1815119362,4,13,11,318,339,0
1815119793,13,12,7,389,469,0
1815119793,13,12,7,389,469,0
1815120385,11,13,18,290,381,0
1815120385,11,13,18,290,381,0
1815120516,23,2,10,564,578,1
1815120516,23,2,10,564,578,1
1815120865,11,6,13,437,562,1
1815120865,11,6,13,437,562,1
1815121172,14,5,18,473,643,1
1815121172,14,5,18,473,643,1
1815121294,7,3,16,419,543,1
1815121294,7,3,16,419,543,1
1815121433,17,5,15,446,501,1
1815121433,17,5,15,446,501,1
1815121604,9,11,21,365,475,0
1815121604,9,11,21,365,475,0
1815122222,17,9,13,512,588,1
1815122222,17,9,13,512,588,1
1815122435,6,7,9,380,380,1
1815122435,6,7,9,380,380,1
1815122917,11,13,9,317,408,1
1815122917,11,13,9,317,408,1
1815122976,21,6,11,465,666,1
1815122976,21,6,11,465,666,1
1815123046,6,9,9,241,284,0
1815123046,6,9,9,241,284,0
1815123167,4,13,8,218,265,0
1815123167,4,13,8,218,265,0
1815123211,10,4,19,386,575,1
1815123211,10,4,19,386,575,1
1815098882,2,7,12,303,428,0
1815098882,2,7,12,303,428,0
1815098910,5,12,26,342,446,1
1815098910,5,12,26,342,446,1
1815099190,5,9,3,356,381,0
1815099190,5,9,3,356,381,0
1815099513,7,14,16,276,319,0
1815099513,7,14,16,276,319,0
1815099545,4,11,8,293,355,0
1815099545,4,11,8,293,355,0
1815099705,9,17,19,361,539,0
1815099705,9,17,19,361,539,0
1815099730,19,7,9,579,617,1
1815099730,19,7,9,579,617,1
1815099861,4,7,13,260,307,0
1815099861,4,7,13,260,307,0
1815099878,10,13,14,355,372,1
1815099878,10,13,14,355,372,1
