id,k,d,a,gpm,xpm,win
1815098851,13,6,7,515,542,1
1815098851,13,6,7,515,542,1
1815100024,5,2,9,548,608,1
1815100024,5,2,9,548,608,1
1815100592,6,4,10,378,386,1
1815100592,6,4,10,378,386,1
1815100620,5,4,9,394,355,1
1815100620,5,4,9,394,355,1
1815100727,22,10,14,693,581,1
1815100727,22,10,14,693,581,1
1815105321,7,7,8,415,532,0
1815105321,7,7,8,415,532,0
1815105974,5,0,5,537,437,1
1815105974,5,0,5,537,437,1
1815106211,13,10,7,399,551,0
1815106211,13,10,7,399,551,0
1815106595,9,0,10,517,438,1
1815106595,9,0,10,517,438,1
1815106616,5,8,4,342,390,0
1815106616,5,8,4,342,390,0
1815106805,12,6,20,465,576,1
1815106805,12,6,20,465,576,1
1815107062,9,11,19,506,470,1
1815107062,9,11,19,506,470,1
1815107493,24,10,10,622,505,1
1815107493,24,10,10,622,505,1
1815107585,14,13,13,525,608,0
1815107585,14,13,13,525,608,0
1815108438,10,9,9,474,562,0
1815108438,10,9,9,474,562,0
1815108500,18,5,5,562,498,1
1815108500,18,5,5,562,498,1
1815108961,9,5,12,433,521,0
1815108961,9,5,12,433,521,0
1815109047,13,13,20,424,509,0
1815109047,13,13,20,424,509,0
1815109885,16,9,2,652,566,0
1815109885,16,9,2,652,566,0
1815110072,13,9,10,403,476,0
1815110072,13,9,10,403,476,0
1815110202,19,7,10,534,553,1
1815110202,19,7,10,534,553,1
1815111010,15,4,14,491,542,1
1815111010,15,4,14,491,542,1
1815111093,3,2,8,390,411,1
1815111093,3,2,8,390,411,1
1815111198,0,25,0,150,98,0
1815111198,0,25,0,150,98,0
1815112241,12,8,14,492,612,1
1815112241,12,8,14,492,612,1
1815112505,17,9,28,606,692,1
1815112505,17,9,28,606,692,1
1815113186,10,3,11,594,522,1
1815113186,10,3,11,594,522,1
1815113759,7,14,11,357,447,0
1815113759,7,14,11,357,447,0
1815114978,5,9,2,272,280,0
1815114978,5,9,2,272,280,0
1815115132,8,10,6,365,340,0
1815115132,8,10,6,365,340,0
1815115229,12,6,12,574,685,1
1815115229,12,6,12,574,685,1
1815116473,10,7,12,505,485,1
1815116473,10,7,12,505,485,1
1815117007,12,0,9,635,637,1
1815117007,12,0,9,635,637,1
