id,k,d,a,gpm,xpm,win
1815099776,7,19,10,282,242,0
1815099776,7,19,10,282,242,0
1815100576,0,0,0,142,19,0
1815100576,0,0,0,142,19,0
1815100779,9,15,17,312,424,0
1815100779,9,15,17,312,424,0
1815105360,7,2,12,331,359,1
1815105360,7,2,12,331,359,1
1815106472,8,8,7,380,449,0
1815106472,8,8,7,380,449,0
1815107062,6,10,22,357,418,1
1815107062,6,10,22,357,418,1
1815107537,9,5,17,481,529,1
1815107537,9,5,17,481,529,1
1815107560,3,10,12,266,336,0
1815107560,3,10,12,266,336,0
1815107904,5,16,12,298,301,0
1815107904,5,16,12,298,301,0
1815108232,13,7,32,509,557,1
1815108232,13,7,32,509,557,1
1815109189,3,7,23,361,427,1
1815109189,3,7,23,361,427,1
1815110072,6,7,12,307,359,1
1815110072,6,7,12,307,359,1
1815110088,9,14,9,429,482,0
1815110088,9,14,9,429,482,0
1815111443,3,16,12,304,395,0
1815111443,3,16,12,304,395,0
1815111838,6,11,26,345,457,1
1815111838,6,11,26,345,457,1
1815112494,2,9,15,439,402,1
1815112494,2,9,15,439,402,1
1815114091,6,12,12,305,367,0
1815114091,6,12,12,305,367,0
1815114614,5,6,22,427,487,1
1815114614,5,6,22,427,487,1
1815115132,9,4,14,435,462,1
1815115132,9,4,14,435,462,1
1815115378,8,7,8,259,268,0
1815115378,8,7,8,259,268,0
1815118639,7,5,23,380,365,1
1815118639,7,5,23,380,365,1
1815120043,6,5,23,445,516,1
1815120043,6,5,23,445,516,1
1815120131,6,7,9,287,337,0
1815120131,6,7,9,287,337,0
1815120337,15,4,17,468,431,1
1815120337,15,4,17,468,431,1
1815121135,6,9,6,348,408,0
1815121135,6,9,6,348,408,0
1815121346,7,3,11,459,486,1
1815121346,7,3,11,459,486,1
1815122517,7,15,22,281,356,0
1815122517,7,15,22,281,356,0
1815122718,8,12,26,326,377,0
1815122718,8,12,26,326,377,0
1815098739,8,10,11,306,412,0
1815098739,8,10,11,306,412,0
1815099284,2,11,7,241,246,0
1815099284,2,11,7,241,246,0
1815099775,3,15,12,230,234,0
1815099775,3,15,12,230,234,0
1815099948,19,16,17,381,489,0
1815099948,19,16,17,381,489,0
1815100635,11,10,28,400,490,1
1815100635,11,10,28,400,490,1
1815105361,9,7,21,400,479,1
1815105361,9,7,21,400,479,1
1815105708,3,3,21,389,479,1
1815105708,3,3,21,389,479,1
1815106010,10,4,18,501,566,1
1815106010,10,4,18,501,566,1
1815106433,7,6,28,389,456,1
1815106433,7,6,28,389,456,1
1815106575,9,12,14,417,498,0
1815106575,9,12,14,417,498,0
1815106677,6,6,13,424,346,1
1815106677,6,6,13,424,346,1
1815106737,8,7,17,288,308,0
1815106737,8,7,17,288,308,0
1815107480,10,12,18,377,441,1
1815107480,10,12,18,377,441,1
1815108741,5,6,7,357,360,0
1815108741,5,6,7,357,360,0
1815109431,4,5,6,246,256,0
1815109431,4,5,6,246,256,0
1815109821,1,9,4,165,122,0
1815109821,1,9,4,165,122,0
1815109992,9,15,19,307,433,0
1815109992,9,15,19,307,433,0
1815110115,3,9,2,242,252,0
1815110115,3,9,2,242,252,0
1815111253,3,10,11,282,322,0
1815111253,3,10,11,282,322,0
1815111625,10,12,6,330,412,0
1815111625,10,12,6,330,412,0
1815111880,4,14,13,303,377,0
1815111880,4,14,13,303,377,0
1815112514,4,11,12,383,574,0
1815112514,4,11,12,383,574,0
1815112895,9,10,18,431,549,0
1815112895,9,10,18,431,549,0
1815114390,2,10,23,369,336,1
1815114390,2,10,23,369,336,1
1815114668,10,6,15,393,584,0
1815114668,10,6,15,393,584,0
1815115545,2,1,12,529,261,1
1815115545,2,1,12,529,261,1
1815115691,7,8,21,421,404,1
1815115691,7,8,21,421,404,1
1815116678,9,13,17,369,379,0
1815116678,9,13,17,369,379,0
1815116852,2,9,11,298,346,0
1815116852,2,9,11,298,346,0
1815117258,6,6,18,397,414,1
1815117258,6,6,18,397,414,1
1815117659,9,4,23,399,331,1
1815117659,9,4,23,399,331,1
1815118562,10,7,22,517,596,1
1815118562,10,7,22,517,596,1
1815118719,9,14,21,374,525,0
1815118719,9,14,21,374,525,0
1815119469,14,5,20,506,529,1
1815119469,14,5,20,506,529,1
1815119676,7,6,19,320,424,0
1815119676,7,6,19,320,424,0
1815119681,4,11,27,405,445,1
1815119681,4,11,27,405,445,1
1815120120,6,6,18,421,521,1
1815120120,6,6,18,421,521,1
1815120942,4,17,12,329,363,0
1815120942,4,17,12,329,363,0
1815121042,8,6,12,372,435,1
1815121042,8,6,12,372,435,1
1815121435,9,14,18,342,413,0
1815121435,9,14,18,342,413,0
1815121460,14,8,13,375,459,0
1815121460,14,8,13,375,459,0
1815121552,11,13,20,439,541,1
1815121552,11,13,20,439,541,1
1815121617,11,15,15,315,376,0
1815121617,11,15,15,315,376,0
1815122380,5,8,14,273,311,0
1815122380,5,8,14,273,311,0
1815122392,6,7,18,347,403,0
1815122392,6,7,18,347,403,0
1815122489,9,1,19,458,489,1
1815122489,9,1,19,458,489,1
1815122984,8,4,21,448,577,1
1815122984,8,4,21,448,577,1
1815123307,10,8,26,409,472,1
1815123307,10,8,26,409,472,1
1815098682,4,12,14,289,342,0
1815098682,4,12,14,289,342,0
1815098692,7,12,9,362,429,0
1815098692,7,12,9,362,429,0
1815099033,1,8,5,202,195,0
1815099033,1,8,5,202,195,0
1815099084,3,13,7,304,256,0
1815099084,3,13,7,304,256,0
1815099300,5,10,10,427,546,1
1815099300,5,10,10,427,546,1
1815099321,5,11,20,297,373,0
1815099321,5,11,20,297,373,0
1815099338,3,3,7,220,76,1
1815099338,3,3,7,220,76,1
1815099368,5,7,12,324,448,0
1815099368,5,7,12,324,448,0
1815099541,12,9,13,374,458,0
1815099541,12,9,13,374,458,0
1815099867,9,9,15,352,384,1
1815099867,9,9,15,352,384,1
1815099891,6,9,30,374,418,1
1815099891,6,9,30,374,418,1
1815099958,6,6,17,317,267,1
1815099958,6,6,17,317,267,1
1815099986,17,12,15,486,587,0
1815099986,17,12,15,486,587,0
1815100216,7,12,14,294,330,0
1815100216,7,12,14,294,330,0
1815100282,3,3,10,364,254,1
1815100282,3,3,10,364,254,1
1815100302,13,9,10,330,438,0
1815100302,13,9,10,330,438,0
1815100410,7,8,14,370,384,1
1815100410,7,8,14,370,384,1
1815100598,10,6,27,428,551,1
1815100598,10,6,27,428,551,1
1815100655,5,8,13,363,372,1
1815100655,5,8,13,363,372,1
1815105306,2,4,11,370,354,1
1815105306,2,4,11,370,354,1
1815105479,6,10,23,297,389,0
1815105479,6,10,23,297,389,0
1815105496,14,4,7,488,622,1
