id,k,d,a,gpm,xpm,win
1815100763,8,12,17,331,407,1
1815100763,8,12,17,331,407,1
1815105494,8,7,16,494,460,1
1815105494,8,7,16,494,460,1
1815111010,2,15,5,256,298,0
1815111010,2,15,5,256,298,0
1815111198,6,8,7,355,364,0
1815111198,6,8,7,355,364,0
1815111286,24,3,11,741,792,1
1815111286,24,3,11,741,792,1
1815112250,4,14,3,317,370,0
1815112250,4,14,3,317,370,0
1815112587,1,4,2,180,179,0
1815112587,1,4,2,180,179,0
1815114640,2,3,10,425,315,1
1815114640,2,3,10,425,315,1
1815122714,12,13,8,376,413,0
1815122714,12,13,8,376,413,0
1815099545,7,7,10,397,438,0
1815099545,7,7,10,397,438,0
1815099596,9,12,14,401,523,0
1815099596,9,12,14,401,523,0
1815105398,25,8,21,624,759,1
1815105398,25,8,21,624,759,1
1815105849,12,13,22,466,495,1
1815105849,12,13,22,466,495,1
1815105863,1,16,12,270,374,0
1815105863,1,16,12,270,374,0
1815105993,9,1,5,612,552,1
1815105993,9,1,5,612,552,1
1815110104,3,5,17,450,433,1
1815110104,3,5,17,450,433,1
1815110935,4,8,16,484,448,1
1815110935,4,8,16,484,448,1
1815115897,5,13,7,364,469,0
1815115897,5,13,7,364,469,0
1815118251,2,5,2,252,247,0
1815118251,2,5,2,252,247,0
1815119165,12,15,21,384,473,0
1815119165,12,15,21,384,473,0
1815120524,6,6,9,423,498,0
1815120524,6,6,9,423,498,0
1815098841,9,8,25,459,625,1
1815098841,9,8,25,459,625,1
1815098843,17,9,16,545,651,1
1815098843,17,9,16,545,651,1
1815098941,7,8,21,400,521,0
1815098941,7,8,21,400,521,0
1815099263,1,21,10,251,269,0
1815099263,1,21,10,251,269,0
1815099382,3,12,4,264,263,0
1815099382,3,12,4,264,263,0
1815099467,21,3,19,582,661,1
1815099467,21,3,19,582,661,1
1815099532,4,6,25,372,464,1
1815099532,4,6,25,372,464,1
1815099580,14,9,24,452,520,1
1815099580,14,9,24,452,520,1
1815099581,0,4,10,466,541,1
1815099581,0,4,10,466,541,1
1815099760,7,5,18,379,433,1
1815099760,7,5,18,379,433,1
1815099780,8,14,14,273,294,0
1815099780,8,14,14,273,294,0
1815100101,6,5,15,406,445,1
1815100101,6,5,15,406,445,1
1815100200,4,4,1,454,557,0
1815100200,4,4,1,454,557,0
1815105639,4,15,18,298,328,1
1815105639,4,15,18,298,328,1
1815105781,3,18,7,371,507,1
1815105781,3,18,7,371,507,1
1815106325,9,13,21,406,480,1
1815106325,9,13,21,406,480,1
1815106754,11,14,7,587,573,1
1815106754,11,14,7,587,573,1
1815106779,2,7,2,211,205,0
1815106779,2,7,2,211,205,0
1815106794,31,7,19,682,606,1
1815106794,31,7,19,682,606,1
1815106857,10,10,13,375,470,1
1815106857,10,10,13,375,470,1
1815106914,17,9,14,511,529,1
1815106914,17,9,14,511,529,1
1815107138,20,7,24,523,689,1
1815107138,20,7,24,523,689,1
1815107434,5,8,16,342,456,1
1815107434,5,8,16,342,456,1
1815107475,4,13,1,280,293,0
1815107475,4,13,1,280,293,0
1815107824,9,7,24,424,509,1
1815107824,9,7,24,424,509,1
1815108030,7,7,3,370,441,0
1815108030,7,7,3,370,441,0
1815108353,7,11,18,389,512,0
1815108353,7,11,18,389,512,0
1815108463,2,13,18,216,237,0
1815108463,2,13,18,216,237,0
1815108528,8,12,26,375,437,1
1815108528,8,12,26,375,437,1
1815108886,6,11,21,376,374,1
1815108886,6,11,21,376,374,1
1815109086,7,15,10,410,518,0
1815109086,7,15,10,410,518,0
1815109158,3,10,1,229,288,0
1815109158,3,10,1,229,288,0
1815109241,4,13,19,372,433,0
1815109241,4,13,19,372,433,0
1815109397,7,2,11,408,366,1
1815109397,7,2,11,408,366,1
1815109666,5,5,10,292,364,0
1815109666,5,5,10,292,364,0
1815109820,34,14,4,536,653,0
1815109820,34,14,4,536,653,0
1815109912,8,9,16,395,469,0
1815109912,8,9,16,395,469,0
1815110128,18,3,19,603,743,1
1815110128,18,3,19,603,743,1
1815110343,18,9,4,466,605,0
1815110343,18,9,4,466,605,0
1815110924,5,6,16,405,417,1
1815110924,5,6,16,405,417,1
1815110960,18,4,5,669,709,1
1815110960,18,4,5,669,709,1
1815111212,5,13,14,305,367,0
1815111212,5,13,14,305,367,0
1815111230,10,0,21,480,616,1
1815111230,10,0,21,480,616,1
1815111299,13,7,8,394,467,0
1815111299,13,7,8,394,467,0
1815111312,7,9,5,448,591,0
1815111312,7,9,5,448,591,0
1815111839,2,8,0,191,176,0
1815111839,2,8,0,191,176,0
1815111854,19,9,13,519,604,1
1815111854,19,9,13,519,604,1
1815112069,20,1,14,632,593,1
1815112069,20,1,14,632,593,1
1815112347,12,5,21,394,537,0
1815112347,12,5,21,394,537,0
1815112364,3,12,12,421,476,1
1815112364,3,12,12,421,476,1
1815112403,2,8,1,316,332,0
1815112403,2,8,1,316,332,0
1815112413,6,13,8,366,516,0
1815112413,6,13,8,366,516,0
1815112450,14,6,13,494,598,1
1815112450,14,6,13,494,598,1
1815112818,15,10,18,417,533,0
1815112818,15,10,18,417,533,0
1815112952,5,14,13,384,364,0
1815112952,5,14,13,384,364,0
1815112995,2,10,3,245,288,0
1815112995,2,10,3,245,288,0
1815113163,3,13,7,354,348,0
1815113163,3,13,7,354,348,0
1815113296,10,8,19,353,430,0
1815113296,10,8,19,353,430,0
1815113661,9,14,31,400,569,1
1815113661,9,14,31,400,569,1
1815113877,1,16,6,205,226,0
1815113877,1,16,6,205,226,0
1815114015,7,22,19,319,344,0
1815114015,7,22,19,319,344,0
1815114287,3,13,19,323,360,0
1815114287,3,13,19,323,360,0
1815114736,3,6,14,420,457,1
1815114736,3,6,14,420,457,1
