id,k,d,a,gpm,xpm,win
1815098804,2,12,8,248,304,0
1815098804,2,12,8,248,304,0
1815099847,2,12,11,298,345,0
1815099847,2,12,11,298,345,0
1815100024,2,9,7,298,248,0
1815100024,2,9,7,298,248,0
1815100144,20,9,24,488,632,1
1815100144,20,9,24,488,632,1
1815105232,2,14,18,235,286,0
1815105232,2,14,18,235,286,0
1815105321,2,4,13,402,460,1
1815105321,2,4,13,402,460,1
1815105337,2,9,12,306,346,1
1815105337,2,9,12,306,346,1
1815105360,1,10,7,237,273,0
1815105360,1,10,7,237,273,0
1815105385,10,1,18,480,460,1
1815105385,10,1,18,480,460,1
1815105721,2,13,13,277,316,0
1815105721,2,13,13,277,316,0
1815105786,1,7,9,292,334,0
1815105786,1,7,9,292,334,0
1815105880,4,13,15,245,320,0
1815105880,4,13,15,245,320,0
1815105974,4,0,11,411,285,1
1815105974,4,0,11,411,285,1
1815106242,7,9,21,276,335,0
1815106242,7,9,21,276,335,0
1815106653,5,9,11,268,350,1
1815106653,5,9,11,268,350,1
1815107537,5,10,7,284,317,0
1815107537,5,10,7,284,317,0
1815107796,2,8,16,269,405,0
1815107796,2,8,16,269,405,0
1815108036,3,4,16,257,301,1
1815108036,3,4,16,257,301,1
1815108112,12,3,23,472,508,1
1815108112,12,3,23,472,508,1
1815109133,3,4,14,339,343,1
1815109133,3,4,14,339,343,1
1815109632,2,13,5,243,267,0
1815109632,2,13,5,243,267,0
1815110088,4,21,6,260,237,0
1815110088,4,21,6,260,237,0
1815110203,3,9,11,343,396,1
1815110203,3,9,11,343,396,1
1815110450,5,9,20,314,492,0
1815110450,5,9,20,314,492,0
1815110471,2,21,18,233,241,0
1815110471,2,21,18,233,241,0
1815111609,4,9,9,290,316,0
1815111609,4,9,9,290,316,0
1815111853,5,6,7,429,309,1
1815111853,5,6,7,429,309,1
1815112587,3,3,19,388,358,1
1815112587,3,3,19,388,358,1
1815113471,12,10,19,326,392,1
1815113471,12,10,19,326,392,1
1815113773,6,7,18,316,354,1
1815113773,6,7,18,316,354,1
1815113892,16,11,12,401,536,0
1815113892,16,11,12,401,536,0
1815114057,0,12,14,178,232,0
1815114057,0,12,14,178,232,0
1815114361,1,8,9,216,218,0
1815114361,1,8,9,216,218,0
1815114531,9,4,19,463,399,1
1815114531,9,4,19,463,399,1
1815114542,4,5,10,306,365,1
1815114542,4,5,10,306,365,1
1815114614,6,8,16,328,322,1
1815114614,6,8,16,328,322,1
1815114732,1,7,10,305,224,1
1815114732,1,7,10,305,224,1
1815115320,16,4,12,525,681,1
1815115320,16,4,12,525,681,1
1815115364,2,10,12,354,331,1
1815115364,2,10,12,354,331,1
1815115378,3,9,9,316,303,1
1815115378,3,9,9,316,303,1
1815116006,10,8,22,362,412,1
1815116006,10,8,22,362,412,1
1815116051,7,7,10,421,307,1
1815116051,7,7,10,421,307,1
1815116786,0,10,7,195,219,0
1815116786,0,10,7,195,219,0
1815117845,8,9,9,342,377,0
1815117845,8,9,9,342,377,0
1815118123,3,4,0,227,234,0
1815118123,3,4,0,227,234,0
1815118309,4,13,13,282,374,0
1815118309,4,13,13,282,374,0
1815118466,3,2,8,323,345,1
1815118466,3,2,8,323,345,1
1815118564,1,7,11,270,268,1
1815118564,1,7,11,270,268,1
1815119958,6,9,10,316,421,0
1815119958,6,9,10,316,421,0
1815120129,4,7,5,259,267,0
1815120129,4,7,5,259,267,0
1815120337,6,1,21,403,428,1
1815120337,6,1,21,403,428,1
1815120385,2,13,30,343,489,1
1815120385,2,13,30,343,489,1
1815120963,10,2,21,411,443,1
1815120963,10,2,21,411,443,1
1815121018,6,7,23,377,429,1
1815121018,6,7,23,377,429,1
1815121604,9,18,16,312,422,0
1815121604,9,18,16,312,422,0
1815121927,6,5,25,366,491,1
1815121927,6,5,25,366,491,1
1815122280,4,7,5,310,366,0
1815122280,4,7,5,310,366,0
1815122517,7,8,20,399,597,1
1815122517,7,8,20,399,597,1
1815122718,7,14,23,348,433,1
1815122718,7,14,23,348,433,1
1815122917,5,8,22,317,429,0
1815122917,5,8,22,317,429,0
1815123077,6,6,19,319,440,0
1815123077,6,6,19,319,440,0
1815098821,3,11,8,237,267,0
1815098821,3,11,8,237,267,0
1815099731,3,12,12,304,299,1
1815099731,3,12,12,304,299,1
1815099800,4,4,10,387,278,1
1815099800,4,4,10,387,278,1
1815099860,2,11,7,198,238,0
1815099860,2,11,7,198,238,0
1815099878,8,10,13,298,322,0
1815099878,8,10,13,298,322,0
1815100105,2,6,10,265,215,1
1815100105,2,6,10,265,215,1
1815100556,3,8,16,265,360,0
1815100556,3,8,16,265,360,0
1815100775,2,3,10,364,297,1
1815100775,2,3,10,364,297,1
1815105531,0,15,14,331,425,0
1815105531,0,15,14,331,425,0
1815106108,3,6,13,325,355,1
1815106108,3,6,13,325,355,1
1815106383,3,5,10,356,363,1
1815106383,3,5,10,356,363,1
1815106575,4,17,12,294,298,0
1815106575,4,17,12,294,298,0
1815106677,5,9,10,363,356,0
1815106677,5,9,10,363,356,0
1815106828,2,17,26,323,410,1
1815106828,2,17,26,323,410,1
1815106983,1,12,15,246,246,1
1815106983,1,12,15,246,246,1
1815107061,2,10,10,223,298,0
1815107061,2,10,10,223,298,0
1815107377,2,12,10,333,481,0
1815107377,2,12,10,333,481,0
1815108335,2,13,2,235,248,0
1815108335,2,13,2,235,248,0
1815108631,4,8,7,319,360,0
1815108631,4,8,7,319,360,0
1815108728,0,17,6,267,262,0
1815108728,0,17,6,267,262,0
1815108977,4,3,23,401,480,1
1815108977,4,3,23,401,480,1
1815109123,5,10,17,354,347,1
1815109123,5,10,17,354,347,1
1815109470,2,6,11,311,334,0
1815109470,2,6,11,311,334,0
1815109498,8,5,22,440,516,1
1815109498,8,5,22,440,516,1
1815109992,7,11,19,348,528,1
1815109992,7,11,19,348,528,1
1815110405,6,10,18,270,400,0
1815110405,6,10,18,270,400,0
1815110720,2,12,11,278,353,0
1815110720,2,12,11,278,353,0
1815111176,5,7,19,297,406,0
1815111176,5,7,19,297,406,0
1815111383,5,3,16,411,421,1
1815111383,5,3,16,411,421,1
1815111643,9,16,5,371,359,0
1815111643,9,16,5,371,359,0
1815111881,4,11,11,310,296,1
1815111881,4,11,11,310,296,1
1815112040,11,4,24,450,492,1
1815112040,11,4,24,450,492,1
1815112217,0,9,13,333,353,1
1815112217,0,9,13,333,353,1
1815112447,7,10,15,335,302,0
1815112447,7,10,15,335,302,0
1815112514,2,15,5,191,167,0
1815112514,2,15,5,191,167,0
1815112563,4,9,28,363,546,0
1815112563,4,9,28,363,546,0
1815112713,5,8,14,381,432,1
1815112713,5,8,14,381,432,1
1815113127,7,8,12,370,412,1
1815113127,7,8,12,370,412,1
1815113399,3,4,14,362,334,1
1815113399,3,4,14,362,334,1
1815113590,9,12,13,318,400,0
1815113590,9,12,13,318,400,0
1815113808,1,12,7,298,307,1
1815113808,1,12,7,298,307,1
1815113893,7,7,22,382,358,1
1815113893,7,7,22,382,358,1
1815114559,3,15,10,224,256,0
1815114559,3,15,10,224,256,0
1815114631,3,10,7,235,267,0
1815114631,3,10,7,235,267,0
1815114947,7,0,13,427,393,1
1815114947,7,0,13,427,393,1
1815114988,2,9,13,203,205,0
1815114988,2,9,13,203,205,0
1815115047,2,4,15,369,363,1
1815115047,2,4,15,369,363,1
1815115433,6,10,22,331,422,0
1815115433,6,10,22,331,422,0
1815115565,5,10,10,246,349,0
1815115565,5,10,10,246,349,0
1815115585,3,5,8,294,292,1
1815115585,3,5,8,294,292,1
1815115798,6,13,12,306,362,0
1815115798,6,13,12,306,362,0
1815116852,6,6,12,323,360,1
1815116852,6,6,12,323,360,1
1815117327,2,11,6,182,192,0
1815117327,2,11,6,182,192,0
1815117485,4,10,15,302,392,1
1815117485,4,10,15,302,392,1
1815117486,5,12,11,289,312,0
1815117486,5,12,11,289,312,0
1815118010,1,13,16,183,210,0
1815118010,1,13,16,183,210,0
1815118350,0,15,9,220,181,0
1815118350,0,15,9,220,181,0
1815119740,2,7,5,230,260,0
1815119740,2,7,5,230,260,0
1815120237,17,0,17,549,537,1
1815120237,17,0,17,549,537,1
1815120543,4,9,11,303,259,1
1815120543,4,9,11,303,259,1
1815120942,2,6,21,320,407,1
1815120942,2,6,21,320,407,1
1815121435,7,11,18,375,486,1
1815121435,7,11,18,375,486,1
1815121606,4,16,33,314,406,1
1815121606,4,16,33,314,406,1
1815121753,3,9,22,292,389,0
1815121753,3,9,22,292,389,0
1815122578,0,11,6,163,168,0
1815122578,0,11,6,163,168,0
1815123205,2,19,18,279,287,1
1815123205,2,19,18,279,287,1
1815098682,4,12,4,245,288,0
1815098682,4,12,4,245,288,0
1815098710,14,7,22,497,730,1
1815098710,14,7,22,497,730,1
1815098747,3,11,17,317,429,0
1815098747,3,11,17,317,429,0
1815098748,5,13,14,368,541,1
1815098748,5,13,14,368,541,1
1815098760,2,14,11,274,301,0
1815098760,2,14,11,274,301,0
1815098822,4,7,6,367,381,0
1815098822,4,7,6,367,381,0
1815099008,3,22,12,317,320,0
1815099008,3,22,12,317,320,0
1815099073,7,6,19,375,406,1
1815099073,7,6,19,375,406,1
1815099218,5,2,18,339,342,1
1815099218,5,2,18,339,342,1
1815099283,0,8,1,140,47,0
1815099283,0,8,1,140,47,0
1815099352,3,8,1,273,213,0
1815099352,3,8,1,273,213,0
1815099528,2,24,12,283,315,1
1815099528,2,24,12,283,315,1
1815099580,4,13,22,338,420,0
1815099580,4,13,22,338,420,0
1815099612,2,15,11,203,278,0
1815099612,2,15,11,203,278,0
1815099746,6,2,18,349,407,1
1815099746,6,2,18,349,407,1
1815099763,3,13,3,194,137,0
1815099763,3,13,3,194,137,0
1815099773,4,5,15,332,380,1
1815099773,4,5,15,332,380,1
1815099815,5,9,31,460,514,1
1815099815,5,9,31,460,514,1
1815099830,4,18,18,246,277,0
1815099830,4,18,18,246,277,0
1815099881,3,14,7,257,269,0
1815099881,3,14,7,257,269,0
1815100027,1,10,5,190,248,0
1815100027,1,10,5,190,248,0
1815100069,1,3,2,193,214,0
1815100069,1,3,2,193,214,0
1815100109,10,8,6,310,384,0
1815100109,10,8,6,310,384,0
1815100302,4,18,12,246,273,0
1815100302,4,18,12,246,273,0
1815100328,4,9,11,317,300,1
1815100328,4,9,11,317,300,1
1815100378,4,6,10,331,398,1
1815100378,4,6,10,331,398,1
1815100531,5,9,9,337,348,0
1815100531,5,9,9,337,348,0
1815100619,2,9,8,249,209,0
1815100619,2,9,8,249,209,0
1815100712,6,18,13,318,346,1
1815100712,6,18,13,318,346,1
1815100751,2,10,5,187,251,0
1815100751,2,10,5,187,251,0
1815100821,6,9,25,373,410,1
1815100821,6,9,25,373,410,1
1815100839,10,6,19,371,430,1
1815100839,10,6,19,371,430,1
1815105186,5,8,7,308,344,0
1815105186,5,8,7,308,344,0
1815105400,8,12,16,384,441,1
1815105400,8,12,16,384,441,1
1815105426,10,6,24,496,590,1
1815105426,10,6,24,496,590,1
1815105428,2,1,24,303,368,1
1815105428,2,1,24,303,368,1
1815105438,4,5,30,343,548,1
1815105438,4,5,30,343,548,1
1815105481,8,7,3,320,321,0
1815105481,8,7,3,320,321,0
1815105582,2,9,14,315,406,0
1815105582,2,9,14,315,406,0
1815105744,7,8,9,264,348,0
1815105744,7,8,9,264,348,0
1815105896,5,10,18,340,391,1
1815105896,5,10,18,340,391,1
1815105924,3,4,23,346,359,1
1815105924,3,4,23,346,359,1
1815105968,8,13,10,340,321,1
1815105968,8,13,10,340,321,1
1815106047,4,8,24,308,405,1
1815106047,4,8,24,308,405,1
1815106052,2,10,3,236,257,0
1815106052,2,10,3,236,257,0
1815106082,1,11,7,270,201,1
1815106082,1,11,7,270,201,1
1815106110,2,4,17,365,407,1
1815106110,2,4,17,365,407,1
1815106112,4,9,8,304,333,1
1815106112,4,9,8,304,333,1
1815106145,2,8,6,219,252,0
1815106145,2,8,6,219,252,0
1815106243,2,12,13,295,279,1
1815106243,2,12,13,295,279,1
1815106384,6,14,16,324,384,0
1815106384,6,14,16,324,384,0
1815106463,2,14,28,322,487,1
1815106463,2,14,28,322,487,1
1815106744,3,14,22,295,354,0
1815106744,3,14,22,295,354,0
1815106804,3,15,6,206,256,0
1815106804,3,15,6,206,256,0
1815107017,6,11,6,369,359,0
1815107017,6,11,6,369,359,0
1815107189,1,9,4,210,254,0
1815107189,1,9,4,210,254,0
1815107281,0,11,4,165,167,0
1815107281,0,11,4,165,167,0
1815107340,1,7,1,190,230,0
1815107340,1,7,1,190,230,0
1815107405,4,6,16,404,446,1
1815107405,4,6,16,404,446,1
1815107471,8,13,22,276,338,0
1815107471,8,13,22,276,338,0
1815107475,0,11,1,134,107,0
1815107475,0,11,1,134,107,0
1815107476,7,10,16,357,486,0
1815107476,7,10,16,357,486,0
1815107579,3,8,8,334,338,1
1815107579,3,8,8,334,338,1
1815107664,6,14,16,407,558,0
1815107664,6,14,16,407,558,0
1815107681,3,12,20,387,537,1
1815107681,3,12,20,387,537,1
1815107723,5,9,21,393,493,1
1815107723,5,9,21,393,493,1
1815107920,4,14,18,366,498,1
1815107920,4,14,18,366,498,1
1815108004,5,9,16,320,371,0
1815108004,5,9,16,320,371,0
1815108247,5,18,3,271,252,0
1815108247,5,18,3,271,252,0
1815108429,4,7,17,373,431,1
1815108429,4,7,17,373,431,1
1815108776,1,5,8,356,508,1
1815108776,1,5,8,356,508,1
1815108818,6,11,13,288,383,0
1815108818,6,11,13,288,383,0
1815108885,3,2,14,334,325,1
1815108885,3,2,14,334,325,1
1815108926,2,13,2,173,192,0
1815108926,2,13,2,173,192,0
1815108945,2,17,10,193,245,0
1815108945,2,17,10,193,245,0
1815109150,6,8,28,393,581,1
1815109150,6,8,28,393,581,1
1815109241,1,15,12,248,306,0
1815109241,1,15,12,248,306,0
1815109301,2,15,11,240,251,0
1815109301,2,15,11,240,251,0
1815109459,6,7,16,399,527,1
1815109459,6,7,16,399,527,1
1815109530,3,7,5,249,289,0
1815109530,3,7,5,249,289,0
1815109581,11,9,27,419,525,1
1815109581,11,9,27,419,525,1
1815109659,2,14,12,261,271,0
1815109659,2,14,12,261,271,0
1815109719,3,12,15,259,268,0
1815109719,3,12,15,259,268,0
1815109778,4,8,13,303,352,1
1815109778,4,8,13,303,352,1
1815109980,2,6,10,311,404,0
1815109980,2,6,10,311,404,0
1815110011,5,12,13,297,405,0
1815110011,5,12,13,297,405,0
1815110044,6,8,17,304,379,0
1815110044,6,8,17,304,379,0
1815110196,5,9,11,301,329,0
1815110196,5,9,11,301,329,0
1815110232,4,10,18,347,417,1
1815110232,4,10,18,347,417,1
1815110299,5,11,5,288,366,0
1815110299,5,11,5,288,366,0
1815110374,0,0,0,211,0,1
1815110374,0,0,0,211,0,1
1815110513,5,13,8,314,426,0
1815110513,5,13,8,314,426,0
1815110539,4,10,8,267,271,0
1815110539,4,10,8,267,271,0
1815110656,3,7,10,239,246,0
1815110656,3,7,10,239,246,0
1815110661,2,25,12,224,306,0
1815110661,2,25,12,224,306,0
1815110747,13,16,12,366,443,0
1815110747,13,16,12,366,443,0
1815110797,5,11,11,333,369,1
1815110797,5,11,11,333,369,1
1815110847,8,4,21,368,527,1
1815110847,8,4,21,368,527,1
1815110959,4,13,24,326,383,1
1815110959,4,13,24,326,383,1
1815111157,4,8,16,268,343,0
1815111157,4,8,16,268,343,0
1815111364,11,12,21,442,590,1
1815111364,11,12,21,442,590,1
1815111429,1,4,21,406,406,1
1815111429,1,4,21,406,406,1
1815111481,6,7,9,353,414,1
1815111481,6,7,9,353,414,1
1815111492,4,13,20,259,345,0
1815111492,4,13,20,259,345,0
1815111584,13,12,21,588,654,1
1815111584,13,12,21,588,654,1
1815111683,0,3,5,194,210,0
1815111683,0,3,5,194,210,0
1815111722,6,5,21,342,418,1
1815111722,6,5,21,342,418,1
1815111731,7,11,24,354,380,1
1815111731,7,11,24,354,380,1
1815111839,3,4,8,353,276,1
1815111839,3,4,8,353,276,1
1815111866,2,11,24,356,436,1
1815111866,2,11,24,356,436,1
1815111889,1,12,3,213,261,0
1815111889,1,12,3,213,261,0
1815111957,2,12,18,279,300,1
1815111957,2,12,18,279,300,1
1815112430,6,12,9,329,318,0
1815112430,6,12,9,329,318,0
1815112579,7,6,15,401,402,1
1815112579,7,6,15,401,402,1
1815112640,2,10,13,282,396,1
1815112640,2,10,13,282,396,1
1815112650,7,11,16,320,363,0
1815112650,7,11,16,320,363,0
1815112652,1,7,15,305,324,1
1815112652,1,7,15,305,324,1
1815112887,1,12,9,247,254,1
1815112887,1,12,9,247,254,1
1815112930,3,8,19,346,362,1
1815112930,3,8,19,346,362,1
1815112968,3,17,34,385,510,0
1815112968,3,17,34,385,510,0
1815113152,1,8,14,224,295,0
1815113152,1,8,14,224,295,0
1815113169,7,14,12,232,320,0
1815113169,7,14,12,232,320,0
1815113171,2,8,10,327,414,1
1815113171,2,8,10,327,414,1
1815113187,2,11,17,260,376,0
1815113187,2,11,17,260,376,0
1815113191,8,11,20,424,499,1
1815113191,8,11,20,424,499,1
1815113249,8,17,11,263,296,0
1815113249,8,17,11,263,296,0
1815113262,5,10,9,348,423,0
1815113262,5,10,9,348,423,0
1815113339,4,4,8,307,272,1
1815113339,4,4,8,307,272,1
1815113500,4,10,14,312,379,1
1815113500,4,10,14,312,379,1
1815113585,5,17,16,300,347,0
1815113585,5,17,16,300,347,0
1815113651,6,9,10,336,487,0
1815113651,6,9,10,336,487,0
1815113776,11,13,21,382,418,1
1815113776,11,13,21,382,418,1
1815113824,8,7,7,373,335,1
1815113824,8,7,7,373,335,1
1815113947,8,3,17,403,409,1
1815113947,8,3,17,403,409,1
1815113960,7,10,11,357,467,0
1815113960,7,10,11,357,467,0
1815114014,11,8,11,359,481,1
1815114014,11,8,11,359,481,1
1815114117,8,3,8,515,389,1
1815114117,8,3,8,515,389,1
1815114287,3,7,19,312,337,1
1815114287,3,7,19,312,337,1
1815114296,1,8,11,299,317,1
1815114296,1,8,11,299,317,1
1815114334,1,17,10,264,312,0
1815114334,1,17,10,264,312,0
1815114376,8,13,13,313,345,0
1815114376,8,13,13,313,345,0
1815114450,11,2,12,372,430,1
1815114450,11,2,12,372,430,1
1815114539,2,10,9,182,229,0
1815114539,2,10,9,182,229,0
1815114643,2,14,13,280,299,1
1815114643,2,14,13,280,299,1
1815114803,0,12,5,186,200,0
1815114803,0,12,5,186,200,0
1815114862,0,16,11,225,261,0
1815114862,0,16,11,225,261,0
1815114919,5,10,18,353,492,1
1815114919,5,10,18,353,492,1
1815114930,1,14,10,229,231,1
1815114930,1,14,10,229,231,1
1815115146,4,4,21,319,438,1
1815115146,4,4,21,319,438,1
1815115158,6,3,17,398,372,1
1815115158,6,3,17,398,372,1
1815115176,2,15,12,232,200,1
1815115176,2,15,12,232,200,1
1815115177,2,20,5,218,242,0
1815115177,2,20,5,218,242,0
1815115389,2,13,14,252,340,0
1815115389,2,13,14,252,340,0
1815115535,6,7,18,336,375,1
1815115535,6,7,18,336,375,1
1815115606,3,8,19,352,436,1
1815115606,3,8,19,352,436,1
1815115638,0,11,10,235,275,0
1815115638,0,11,10,235,275,0
1815115650,1,6,4,255,275,0
1815115650,1,6,4,255,275,0
1815115675,12,5,19,368,565,1
1815115675,12,5,19,368,565,1
1815115728,16,8,9,437,628,1
1815115728,16,8,9,437,628,1
1815115861,5,21,8,290,306,0
1815115861,5,21,8,290,306,0
1815115873,6,9,15,359,387,0
1815115873,6,9,15,359,387,0
1815115882,1,14,6,257,193,1
1815115882,1,14,6,257,193,1
1815115958,3,6,10,290,343,1
1815115958,3,6,10,290,343,1
1815116129,5,5,10,285,322,0
1815116129,5,5,10,285,322,0
1815116584,2,14,14,314,357,0
1815116584,2,14,14,314,357,0
1815116602,4,3,17,393,423,1
1815116602,4,3,17,393,423,1
1815116620,6,10,20,346,462,1
1815116620,6,10,20,346,462,1
1815116956,5,10,17,358,505,0
1815116956,5,10,17,358,505,0
1815116977,3,10,10,248,281,0
1815116977,3,10,10,248,281,0
1815117034,18,8,15,416,512,1
1815117034,18,8,15,416,512,1
1815117053,2,12,12,248,252,1
1815117053,2,12,12,248,252,1
1815117408,4,11,12,306,328,1
1815117408,4,11,12,306,328,1
1815117460,4,4,13,324,372,1
1815117460,4,4,13,324,372,1
1815117500,3,12,2,237,265,0
1815117500,3,12,2,237,265,0
1815117583,1,10,1,166,165,0
1815117583,1,10,1,166,165,0
1815118021,2,4,21,352,472,1
1815118021,2,4,21,352,472,1
1815118217,4,10,16,309,409,1
1815118217,4,10,16,309,409,1
1815118330,4,9,13,333,402,1
1815118330,4,9,13,333,402,1
1815118367,6,7,12,348,452,1
1815118367,6,7,12,348,452,1
1815118373,6,10,8,354,264,1
1815118373,6,10,8,354,264,1
1815118462,2,4,7,328,382,1
1815118462,2,4,7,328,382,1
1815118501,2,15,14,241,321,0
1815118501,2,15,14,241,321,0
1815118532,6,22,20,370,420,1
1815118532,6,22,20,370,420,1
1815118546,7,15,25,352,420,1
1815118546,7,15,25,352,420,1
1815118646,1,13,17,212,234,0
1815118646,1,13,17,212,234,0
1815118666,2,9,11,262,343,0
1815118666,2,9,11,262,343,0
1815118945,15,4,19,386,530,1
1815118945,15,4,19,386,530,1
1815118950,2,11,9,220,245,0
1815118950,2,11,9,220,245,0
1815118961,2,4,8,299,418,0
1815118961,2,4,8,299,418,0
1815119101,0,9,4,239,330,0
1815119101,0,9,4,239,330,0
1815119140,1,3,8,429,346,1
1815119140,1,3,8,429,346,1
1815119345,8,14,12,370,506,1
1815119345,8,14,12,370,506,1
1815119424,5,6,5,222,222,0
1815119424,5,6,5,222,222,0
1815119455,2,11,10,316,384,1
1815119455,2,11,10,316,384,1
1815119482,3,7,3,207,212,0
1815119482,3,7,3,207,212,0
1815119499,5,8,13,295,377,1
1815119499,5,8,13,295,377,1
1815119512,4,10,8,291,379,0
1815119512,4,10,8,291,379,0
1815119515,3,14,14,263,323,0
1815119515,3,14,14,263,323,0
1815119526,2,3,12,329,381,1
1815119526,2,3,12,329,381,1
1815119527,6,12,24,335,417,1
1815119527,6,12,24,335,417,1
1815119528,3,8,20,309,416,0
1815119528,3,8,20,309,416,0
1815119625,3,6,6,247,197,0
1815119625,3,6,6,247,197,0
1815119843,6,6,4,284,356,0
1815119843,6,6,4,284,356,0
1815119893,5,9,17,379,384,1
1815119893,5,9,17,379,384,1
1815119920,2,11,9,273,316,0
1815119920,2,11,9,273,316,0
1815120033,6,10,12,253,290,0
1815120033,6,10,12,253,290,0
1815120105,15,11,16,338,479,0
1815120105,15,11,16,338,479,0
1815120319,6,13,19,330,352,1
1815120319,6,13,19,330,352,1
1815120347,1,5,17,395,423,1
1815120347,1,5,17,395,423,1
1815120578,3,16,8,272,313,0
1815120578,3,16,8,272,313,0
1815120673,0,10,8,302,394,0
1815120673,0,10,8,302,394,0
1815120794,14,10,19,419,605,0
1815120794,14,10,19,419,605,0
1815120839,4,12,22,280,307,1
1815120839,4,12,22,280,307,1
1815120961,4,10,2,260,300,0
1815120961,4,10,2,260,300,0
1815121246,1,8,7,293,412,0
1815121246,1,8,7,293,412,0
1815121261,7,13,20,349,336,1
1815121261,7,13,20,349,336,1
1815121284,0,14,10,253,258,0
1815121284,0,14,10,253,258,0
1815121690,9,15,14,427,519,1
1815121690,9,15,14,427,519,1
1815121842,2,13,20,279,349,1
1815121842,2,13,20,279,349,1
1815121898,13,3,7,544,543,1
1815121898,13,3,7,544,543,1
1815121997,5,14,30,347,451,1
1815121997,5,14,30,347,451,1
